Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,13.4919,13.9224,13.4903,13.5591,13.5591,483500
2013-05-14,13.6135,13.8247,13.5239,13.7783,13.7783,211500
2013-05-15,13.764,13.892,13.6024,13.8424,13.8424,227800
2013-05-16,13.7783,13.8983,13.6743,13.7015,13.7015,262400
2013-05-17,13.7752,13.8472,13.5944,13.8472,13.8472,179400
2013-05-20,13.7655,13.8855,13.6487,13.7463,13.7463,99100
2013-05-21,13.8199,13.8423,13.5223,13.6807,13.6807,150500
2013-05-22,13.6327,13.6583,13.3287,13.5687,13.5687,233600
2013-05-23,13.4471,13.5639,13.2919,13.4951,13.4951,308700
2013-05-24,13.5191,13.5847,13.3447,13.4183,13.4183,142600
2013-05-27,13.4167,13.4679,13.3623,13.4055,13.4055,99500
2013-05-28,13.4359,13.6935,13.4183,13.5863,13.5863,178800
2013-05-29,13.5543,13.6104,13.2711,13.3031,13.3031,200600
2013-05-31,13.279,13.3254,12.7653,13.1302,13.1302,745700
2013-06-03,13.1222,13.2183,12.8262,12.831,12.831,233400
2013-06-04,12.919,12.919,12.583,12.7302,12.7302,482000
2013-06-05,12.7381,12.7381,12.4773,12.5717,12.5717,162600
2013-06-06,12.5718,12.7462,12.4902,12.6454,12.6454,200700
2013-06-07,12.7397,12.7894,12.4821,12.4821,12.4821,146900
2013-06-10,12.4821,12.7317,12.4149,12.4949,12.4949,139000
2013-06-11,12.4021,12.4021,12.1621,12.1861,12.1861,249700
2013-06-12,12.3589,12.3733,12.1797,12.1957,12.1957,185800
2013-06-13,12.1621,12.2869,12.1125,12.1125,12.1125,217000
2013-06-14,12.1941,12.5974,12.1941,12.2741,12.2741,233500
2013-06-17,12.3541,12.7605,12.3541,12.4901,12.4901,271800
2013-06-18,12.4469,12.5637,12.2629,12.4261,12.4261,115600
2013-06-19,12.4261,12.5061,12.0981,12.3541,12.3541,234900
2013-06-20,12.1701,12.2821,12.0117,12.2021,12.2021,199800
2013-06-21,12.1236,12.5605,12.1236,12.4517,12.4517,543100
2013-06-24,12.2709,12.4469,12.1109,12.1637,12.1637,235200
2013-06-25,12.2533,12.4069,11.9461,12.1925,12.1925,236400
2013-06-26,12.2437,12.6405,12.2437,12.5141,12.5141,248400
2013-06-27,12.4758,12.9126,12.4758,12.6902,12.6902,129800
2013-06-28,12.6629,13.2822,12.5141,13.215,13.215,365300
2013-07-01,13.0999,13.4135,13.0999,13.2455,13.2455,144800
2013-07-02,13.183,13.3303,12.9558,12.9942,12.9942,236800
2013-07-03,12.9766,13.1527,12.8582,12.8582,12.8582,156600
2013-07-04,12.9398,13.0742,12.8262,12.8342,12.8342,59200
2013-07-05,12.7734,13.039,12.7718,13.039,13.039,152900
2013-07-08,13.0662,13.2502,12.9686,12.9798,12.9798,219800
2013-07-10,12.9958,13.3382,12.9958,13.0902,13.0902,182300
2013-07-11,13.1334,13.2822,13.071,13.0822,13.0822,121200
2013-07-12,13.1126,13.1974,13.031,13.1174,13.1174,115700
2013-07-15,13.1095,13.2839,13.1095,13.2839,13.2839,141300
2013-07-16,13.2998,13.3286,12.9798,13.0918,13.0918,144100
2013-07-17,13.0934,13.199,12.9526,12.9814,12.9814,203500
2013-07-18,12.9622,13.0406,12.7542,12.8342,12.8342,248200
2013-07-19,12.8246,12.8614,12.711,12.815,12.815,159700
2013-07-22,12.8342,13.0742,12.815,12.9942,12.9942,197600
2013-07-23,13.0758,13.1846,12.9814,13.0886,13.0886,116500
2013-07-24,13.0742,13.1718,12.8838,12.9622,12.9622,162300
2013-07-25,12.9446,13.0294,12.8998,12.9686,12.9686,140100
2013-07-26,12.9702,13.1174,12.8694,13.0262,13.0262,134300
