Date,Open,High,Low,Close,Adj Close,Volume
2005-03-30,23.1,23.1,21.4,21.62,21.62,5701986
2005-03-31,21.79,21.79,19.6,21.62,21.62,4182122
2005-04-01,21.62,22.0,20.9,21.0,21.0,714391
2005-04-04,20.5,20.6,19.06,19.76,19.76,310634
2005-04-05,20.0,20.0,19.25,19.47,19.47,373432
2005-04-06,19.1,19.72,16.5,16.98,16.98,1063373
2005-04-07,17.19,18.0,17.1,17.89,17.89,963864
2005-04-08,18.2,19.1,18.18,18.8,18.8,409564
2005-04-11,19.0,19.44,18.61,19.44,19.44,81267
2005-04-12,19.49,19.89,18.49,18.9,18.9,148565
2005-04-13,19.4,19.5,19.03,19.1,19.1,486767
2005-04-14,19.1,21.0,19.1,19.45,19.45,275073
2005-04-15,19.83,19.83,19.1,19.35,19.35,13618
2005-04-18,19.4,19.45,19.1,19.1,19.1,15223
2005-04-19,19.1,20.43,19.1,19.85,19.85,118462
2005-04-20,19.6,20.4,19.45,19.45,19.45,207023
2005-04-22,19.79,19.8,19.22,19.78,19.78,38652
2005-04-25,19.5,19.7,19.2,19.49,19.49,58547
2005-04-26,19.59,19.59,18.99,19.5,19.5,191881
2005-04-27,19.0,19.0,18.65,18.66,18.66,80410
2005-04-28,18.9,18.9,17.4,17.69,17.69,104986
2005-04-29,17.99,17.99,17.2,17.3,17.3,156069
2005-05-02,17.9,17.9,16.6,16.9,16.9,182957
2005-05-03,16.9,17.0,15.85,16.91,16.91,538623
2005-05-04,16.5,16.8,16.45,16.7,16.7,60691
2005-05-05,16.11,16.9,16.11,16.8,16.8,425516
2005-05-06,16.7,16.89,16.3,16.8,16.8,32943
2005-05-09,16.8,16.8,16.3,16.75,16.75,81088
2005-05-10,16.8,17.0,16.11,16.3,16.3,131742
2005-05-11,16.3,16.3,15.5,16.1,16.1,319211
2005-05-12,16.2,16.2,15.65,15.65,15.65,172923
2005-05-13,15.5,15.75,14.7,15.0,15.0,315941
2005-05-16,15.1,15.3,14.5,14.8,14.8,165437
2005-05-17,14.8,14.9,14.65,14.8,14.8,361026
2005-05-18,14.95,15.0,14.8,15.0,15.0,426956
2005-05-19,14.9,15.01,14.85,14.9,14.9,31182
2005-05-20,15.25,17.2,15.0,16.5,16.5,37743
2005-05-23,16.5,17.79,16.0,17.1,17.1,137358
2005-05-24,17.38,17.4,16.8,17.15,17.15,151515
2005-05-25,17.5,17.5,17.0,17.0,17.0,20362
2005-05-27,17.34,17.4,17.0,17.11,17.11,136760
2005-05-30,17.1,18.0,17.0,17.7,17.7,60194
2005-05-31,17.98,18.0,17.2,17.9,17.9,72701
2005-06-01,17.96,18.07,17.17,17.6,17.6,136396
2005-06-02,17.89,19.3,17.89,18.75,18.75,250758
2005-06-03,18.9,19.5,18.1,18.1,18.1,93810
2005-06-06,17.75,17.9,17.0,17.0,17.0,52889
2005-06-07,17.01,17.15,16.99,17.0,17.0,145799
2005-06-08,16.5,18.2,16.5,17.8,17.8,149771
2005-06-09,18.0,18.0,17.1,17.35,17.35,62394
2005-06-10,18.0,18.4,17.5,18.4,18.4,110130
2005-06-13,18.5,19.0,18.2,18.2,18.2,89794
2005-06-14,18.39,18.78,18.0,18.58,18.58,75325
2005-06-15,18.36,18.36,17.51,17.89,17.89,53372
2005-06-16,18.5,19.0,18.06,18.3,18.3,73112
2005-06-17,18.28,19.0,18.25,18.7,18.7,159542
2005-06-20,18.66,18.66,17.5,18.03,18.03,74079
2005-06-21,18.18,18.18,17.8,18.0,18.0,64036
2005-06-22,18.1,18.1,17.95,17.95,17.95,10881
2005-06-23,17.95,18.0,17.6,17.85,17.85,40650
2005-06-24,17.15,18.85,17.15,18.0,18.0,158030
2005-06-27,18.05,18.2,18.0,18.0,18.0,82827
2005-06-28,18.5,18.5,18.0,18.0,18.0,3400
2005-06-29,18.0,18.19,17.5,17.63,17.63,97478
2005-06-30,18.1,18.5,17.6,17.6,17.6,83401
2005-07-01,17.9,18.15,17.75,18.0,18.0,80150
2005-07-04,17.6,18.1,17.6,18.0,18.0,16084
2005-07-05,18.0,18.48,18.0,18.05,18.05,68718
2005-07-06,17.6,18.5,17.6,18.5,18.5,78900
2005-07-07,18.0,18.5,18.0,18.4,18.4,26440
2005-07-08,18.31,19.0,18.3,19.0,19.0,49746
2005-07-11,19.0,19.75,18.99,19.5,19.5,197676
2005-07-12,19.8,19.9,19.5,19.75,19.75,159439
2005-07-13,19.99,20.48,19.71,19.85,19.85,140604
2005-07-14,20.2,20.2,19.76,19.8,19.8,58153
2005-07-15,19.8,20.99,19.7,20.99,20.99,247624
2005-07-18,20.79,21.5,20.0,21.5,21.5,267352
2005-07-19,21.5,22.09,21.0,21.97,21.97,215012
2005-07-20,21.89,22.7,21.52,22.1,22.1,349334
2005-07-21,22.1,23.0,22.0,22.0,22.0,346530
2005-07-22,22.0,22.0,20.99,21.1,21.1,135976
2005-07-25,20.25,21.0,20.25,20.8,20.8,27318
