Date,Open,High,Low,Close,Adj Close,Volume
2007-11-30,5.27,5.4808,5.0803,5.1435,5.1435,311678434
2007-12-03,5.0592,5.133,4.9538,4.9538,4.9538,42726945
2007-12-04,4.8694,4.9116,4.6691,4.8694,4.8694,27755429
2007-12-05,4.9369,5.0317,4.8799,4.9727,4.9727,20468421
2007-12-06,4.9643,5.0107,4.7852,4.9011,4.9011,24118825
2007-12-07,4.8779,4.9432,4.7851,4.9432,4.9432,22262723
2007-12-10,4.8484,4.9538,4.8167,4.9116,4.9116,14442015
2007-12-11,4.9137,5.0233,4.8694,4.9495,4.9495,18146119
2007-12-12,4.9137,5.0697,4.8948,5.0065,5.0065,16154117
2007-12-13,4.9201,5.1414,4.8526,5.1414,5.1414,33777635
2007-12-14,5.1118,5.2172,4.9959,4.9959,4.9959,18866420
2007-12-17,4.9538,4.9875,4.7008,4.8062,4.8062,5228105
2007-12-18,4.8694,4.9811,4.7851,4.9748,4.9748,18427819
2007-12-19,4.9327,4.9643,4.8357,4.8905,4.8905,5732106
2007-12-20,4.8885,4.9538,4.8294,4.9538,4.9538,22313723
2007-12-21,4.9748,5.1013,4.9748,5.1013,5.1013,13075814
2007-12-26,5.1013,5.1645,5.038,5.1371,5.1371,9203710
2007-12-27,5.1161,5.1751,5.0782,5.1435,5.1435,4893305
2007-12-28,5.1224,5.27,5.1035,5.27,5.27,4985105
2008-01-02,5.2383,5.2678,5.1645,5.1793,5.1793,7178107
2008-01-03,5.1857,5.2068,5.1541,5.1646,5.1646,11737212
2008-01-04,5.0149,5.0592,4.743,4.7957,4.7957,13694414
2008-01-07,4.8484,4.8484,4.294,4.4795,4.4795,17278818
2008-01-08,4.5301,4.5301,4.3003,4.4057,4.4057,28494330
2008-01-09,4.3424,4.4225,4.2476,4.3108,4.3108,12758113
2008-01-10,4.3108,4.3403,3.8576,3.9651,3.9651,36400238
2008-01-11,4.0051,4.0367,3.71,3.71,3.71,28173929
2008-01-14,3.7711,3.8534,3.6046,3.6257,3.6257,15011716
2008-01-15,3.6046,3.8154,3.4992,3.5203,3.5203,20498721
2008-01-16,3.4592,3.4613,3.1641,3.202,3.202,36517238
2008-01-17,3.3095,3.455,3.0987,3.2484,3.2484,42799245
2008-01-18,3.3917,3.5456,3.3095,3.5182,3.5182,20636122
2008-01-21,3.2463,3.3285,3.1177,3.2252,3.2252,10620611
2008-01-22,3.1831,3.3918,3.1451,3.2463,3.2463,20788222
2008-01-23,3.202,3.202,2.9048,2.909,2.909,23216424
2008-01-24,3.0882,3.436,3.0566,3.436,3.436,43995346
2008-01-28,3.2926,3.7817,3.2926,3.6046,3.6046,15337816
2008-01-29,3.6889,3.7732,3.6362,3.6573,3.6573,14544615
2008-01-30,3.6468,3.6784,3.4149,3.5625,3.5625,10101611
2008-01-31,3.4339,3.4339,3.3095,3.3517,3.3517,16960818
2008-02-01,3.4803,3.5077,3.3749,3.4128,3.4128,10035010
2008-02-06,3.2674,3.4149,3.2337,3.3517,3.3517,4731905
2008-02-07,3.2885,3.3665,3.28,3.3496,3.3496,3260403
2008-02-08,3.3728,3.4381,3.3496,3.4381,3.4381,2865303
2008-02-11,3.4381,3.5604,3.436,3.5604,3.5604,3210303
2008-02-12,3.5836,3.7354,3.5815,3.6658,3.6658,8280609
2008-02-13,3.6889,3.729,3.5224,3.5224,3.5224,6303907
2008-02-14,3.6004,3.6152,3.3559,3.436,3.436,3112203
2008-02-15,3.3938,3.4781,3.3727,3.4149,3.4149,2346902
2008-02-18,3.4781,3.5076,3.3833,3.3917,3.3917,2588703
2008-02-19,3.4339,3.4592,3.3222,3.3243,3.3243,3738904
2008-02-20,3.5456,3.8365,3.4781,3.8365,3.8365,30620732
2008-02-21,4.0052,4.0473,3.8471,3.8576,3.8576,10908011
2008-02-22,3.8366,3.8787,3.6911,3.7944,3.7944,6026706
2008-02-25,3.7733,3.8555,3.7101,3.7944,3.7944,6975307
2008-02-26,3.7416,3.8238,3.6952,3.7627,3.7627,14557215
2008-02-27,3.8049,3.9588,3.7312,3.7944,3.7944,15676516
2008-02-28,3.8049,3.8998,3.7733,3.885,3.885,10428311
2008-02-29,3.8049,3.9419,3.8007,3.8007,3.8007,5650506
2008-03-03,3.8154,4.003,3.8133,3.9419,3.9419,4386905
2008-03-04,3.9398,3.9883,3.7438,3.7733,3.7733,6264607
2008-03-05,3.8239,3.8682,3.786,3.8471,3.8471,9469210
2008-03-06,3.8155,3.8703,3.7733,3.7733,3.7733,4562105
2008-03-07,3.71,3.7311,3.6573,3.6995,3.6995,2556003
2008-03-10,3.6889,3.7669,3.5835,3.6236,3.6236,4524305
2008-03-11,3.6678,3.7627,3.6067,3.7627,3.7627,6978907
2008-03-12,3.7627,3.7838,3.6573,3.6573,3.6573,5302506
2008-03-13,3.5625,3.5625,3.4592,3.4803,3.4803,6346807
2008-03-14,3.5414,3.5625,3.299,3.3517,3.3517,8639709
2008-03-17,3.2653,3.2653,3.1514,3.1936,3.1936,10638011
2008-03-18,3.2842,3.3622,3.2463,3.299,3.299,7378808
2008-03-19,3.2885,3.3517,3.1262,3.162,3.162,3751804
2008-03-20,3.1409,3.2062,3.0544,3.0987,3.0987,4319105
2008-03-24,3.1409,3.3496,3.1367,3.3201,3.3201,5188205
2008-03-25,3.3728,3.5625,3.2948,3.5414,3.5414,11689512
2008-03-26,3.7944,3.8977,3.4824,3.4824,3.4824,28840530
2008-03-27,3.5519,3.6046,3.457,3.4718,3.4718,6260407
2008-03-28,3.4993,3.5119,3.3833,3.4803,3.4803,2092502
2008-03-31,3.436,3.4782,3.28,3.3728,3.3728,8990709
2008-04-01,3.4065,3.4149,3.3201,3.3538,3.3538,11065512
2008-04-02,3.3897,3.3897,3.3201,3.3454,3.3454,4255804
2008-04-03,3.3412,3.4782,3.3222,3.4782,3.4782,5791506
2008-04-04,3.4782,3.6215,3.436,3.5836,3.5836,7468208
2008-04-07,3.5731,3.6468,3.4782,3.4782,3.4782,3381004
2008-04-08,3.474,3.474,3.3327,3.3812,3.3812,7725908
2008-04-09,3.3728,3.3917,3.3201,3.3306,3.3306,5705406
2008-04-10,3.3559,3.3559,3.1409,3.162,3.162,11548512
2008-04-11,3.1704,3.1873,3.0777,3.1093,3.1093,8135708
2008-04-14,3.0967,3.0967,2.9849,3.025,3.025,7812608
2008-04-15,3.046,3.0882,2.7551,2.8352,2.8352,19173320
2008-04-16,2.9217,2.9723,2.8142,2.9723,2.9723,9937810
2008-04-17,2.9195,2.9954,2.7825,2.8057,2.8057,13911915
2008-04-18,2.9111,2.9617,2.7404,2.7404,2.7404,26664328
2008-04-22,2.7593,2.8141,2.6666,2.8036,2.8036,10734611
2008-04-23,2.8437,2.8858,2.7235,2.7235,2.7235,13965915
2008-04-24,2.7509,2.7741,2.6666,2.7509,2.7509,12617113
2008-04-25,2.772,2.8858,2.7699,2.8858,2.8858,9531310
2008-04-28,2.9512,3.0777,2.9428,3.0545,3.0545,16376117
2008-04-29,3.0608,3.0945,2.9343,2.9575,2.9575,11317512
2008-04-30,2.9954,3.6025,2.9301,3.4992,3.4992,33471935
2008-05-02,3.6173,3.8576,3.5351,3.8576,3.8576,47582750
2008-05-05,3.8239,3.8239,3.6258,3.6869,3.6869,11470512
2008-05-06,3.5941,3.6152,3.5203,3.5667,3.5667,21085222
2008-05-07,3.5688,3.7312,3.5414,3.6363,3.6363,13222214
2008-05-08,3.6889,3.7838,3.6489,3.7311,3.7311,12507013
2008-05-09,3.6869,3.8092,3.6468,3.7691,3.7691,14672715
2008-05-12,3.8196,4.0051,3.8154,3.9946,3.9946,12800713
2008-05-13,4.0052,4.1211,3.9377,3.9904,3.9904,10982111
2008-05-14,4.0072,4.0431,3.8407,3.8681,3.8681,17010318
2008-05-15,3.8997,3.9039,3.7311,3.7901,3.7901,9474610
2008-05-16,3.8639,3.9419,3.8365,3.9208,3.9208,10192511
2008-05-19,3.8997,4.0136,3.8997,3.9166,3.9166,6857407
2008-05-20,3.8766,3.9314,3.7944,3.8808,3.8808,4071304
2008-05-21,3.8724,3.9061,3.8176,3.8492,3.8492,3206703
2008-05-23,3.788,3.847,3.7374,3.8154,3.8154,1543502
2008-05-26,3.8155,3.8492,3.7944,3.7944,3.7944,969601
2008-05-27,3.7943,3.9103,3.7522,3.8934,3.8934,8258409
2008-05-28,3.9208,4.0157,3.9103,3.9398,3.9398,6218106
2008-05-29,3.9461,4.2159,3.8576,3.8681,3.8681,15554116
2008-05-30,3.944,3.9841,3.7943,3.8892,3.8892,18382219
2008-06-02,3.8577,3.8914,3.7733,3.8176,3.8176,11058012
2008-06-03,3.7943,3.8007,3.5983,3.6278,3.6278,22642824
2008-06-04,3.5836,3.6299,3.4592,3.4887,3.4887,21956423
2008-06-05,3.5835,3.6341,3.5098,3.573,3.573,19533920
2008-06-06,3.5414,3.5625,3.3285,3.3517,3.3517,19880121
2008-06-09,3.3833,3.4571,3.2463,3.3833,3.3833,15664216
2008-06-10,3.3074,3.3939,3.2084,3.299,3.299,17332518
2008-06-11,3.3264,3.3264,3.1409,3.162,3.162,17442618
2008-06-12,3.1831,3.2421,3.1514,3.1936,3.1936,17881219
2008-06-13,3.2147,3.377,3.2042,3.3749,3.3749,19405520
2008-06-16,3.4149,3.5308,3.2779,3.4676,3.4676,23188824
2008-06-17,3.5351,3.5899,3.4719,3.5625,3.5625,29776831
2008-06-18,3.5224,3.5498,3.3938,3.4465,3.4465,13955415
2008-06-19,3.3939,3.4592,3.2779,3.2969,3.2969,11317512
2008-06-20,3.2863,3.2863,3.183,3.2357,3.2357,17489118
2008-06-23,3.2653,3.2885,3.1409,3.1409,3.1409,12457813
2008-06-24,3.1261,3.2842,3.0776,3.2357,3.2357,26569528
2008-06-25,3.2695,3.3032,3.2484,3.2779,3.2779,10089011
2008-06-26,3.2147,3.2358,3.1178,3.1304,3.1304,9158410
2008-06-27,3.143,3.1725,2.9512,2.9512,2.9512,21087922
2008-06-30,3.0018,3.0039,2.8774,2.8985,2.8985,26762128
2008-07-01,2.8458,2.8479,2.751,2.7615,2.7615,28335030
2008-07-02,2.8247,2.8247,2.6392,2.6561,2.6561,16986318
2008-07-03,2.6772,2.751,2.5929,2.6835,2.6835,12834913
2008-07-04,2.6751,2.713,2.6392,2.7088,2.7088,9204910
2008-07-07,2.751,2.8648,2.7488,2.8416,2.8416,16227617
2008-07-08,2.7825,2.949,2.7825,2.9448,2.9448,26236227
2008-07-10,2.9406,2.9406,2.6982,2.6982,2.6982,28661130
2008-07-11,2.6982,2.7193,2.5992,2.6877,2.6877,30672932
2008-07-14,2.7678,2.7699,2.5549,2.5928,2.5928,20487921
2008-07-15,2.5295,2.656,2.4916,2.6244,2.6244,27160228
2008-07-16,2.597,2.6771,2.5843,2.6539,2.6539,11418912
2008-07-17,2.6813,2.772,2.6202,2.6202,2.6202,16348217
2008-07-18,2.6096,2.6729,2.5443,2.5443,2.5443,8323509
2008-07-21,2.597,2.6075,2.5127,2.5211,2.5211,11415912
