Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,4.4779,4.6046,4.4752,4.544,4.544,150523
2005-01-04,4.544,4.5811,4.4338,4.4338,4.4338,332154
2005-01-05,4.449,4.449,4.1309,4.365,4.365,256321
2005-01-06,4.3636,4.365,4.1378,4.3099,4.3099,203688
2005-01-07,4.3099,4.3994,4.2342,4.2686,4.2686,76595
2005-01-10,4.2728,4.2728,4.1378,4.1585,4.1585,172320
2005-01-11,4.1846,4.2273,4.1116,4.1722,4.1722,166366
2005-01-12,4.2012,4.2535,4.091,4.1998,4.1998,95925
2005-01-13,4.2149,4.303,4.1735,4.1942,4.1942,43719
2005-01-14,4.1874,4.2686,4.1309,4.2686,4.2686,128285
2005-01-17,4.2479,4.314,4.2135,4.2548,4.2548,35188
2005-01-18,4.2136,4.3788,4.2039,4.2893,4.2893,92493
2005-01-19,4.2962,4.4201,4.2962,4.4201,4.4201,127433
2005-01-20,4.4201,4.4201,4.2136,4.2824,4.2824,138563
2005-01-21,4.2962,4.31,4.1433,4.1998,4.1998,143543
2005-01-24,4.1997,4.3512,4.186,4.3099,4.3099,124630
2005-01-26,4.3884,4.3884,4.2906,4.3209,4.3209,46943
2005-01-27,4.2907,4.2907,4.186,4.2411,4.2411,175682
2005-01-28,4.2686,4.2686,4.1309,4.1791,4.1791,198672
2005-01-31,4.241,4.2658,4.1804,4.2548,4.2548,79048
2005-02-01,4.2149,4.2149,4.1405,4.1419,4.1419,247651
2005-02-02,4.1585,4.365,4.1516,4.365,4.365,191888
2005-02-03,4.3636,4.5385,4.3554,4.5027,4.5027,638965
2005-02-04,4.4765,4.7161,4.4765,4.7106,4.7106,484818
2005-02-09,4.7506,4.7644,4.5647,4.7506,4.7506,142347
2005-02-10,4.6817,4.7368,4.6404,4.7368,4.7368,257710
2005-02-11,4.7092,4.7299,4.5977,4.7092,4.7092,171816
2005-02-14,4.7065,4.7065,4.5895,4.6129,4.6129,631025
2005-02-15,4.5963,4.8882,4.5577,4.8882,4.8882,394425
2005-02-16,4.9172,4.9323,4.7919,4.8208,4.8208,502453
2005-02-17,4.9048,5.0191,4.9048,4.9571,4.9571,356498
2005-02-18,5.0122,5.1017,4.9502,5.0948,5.0948,302557
2005-02-21,5.0948,5.1017,4.9034,4.9034,4.9034,465604
2005-02-22,4.8988,4.9266,4.6074,4.6421,4.6421,631613
2005-02-23,4.7046,4.7393,4.4576,4.4576,4.4576,348658
2005-02-24,4.5866,4.5866,4.4798,4.5658,4.5658,693605
2005-02-25,4.5935,4.6768,4.4547,4.4561,4.4561,649588
2005-02-28,4.4825,4.5117,4.2535,4.3021,4.3021,507919
2005-03-01,4.3021,4.4048,4.2188,4.2341,4.2341,366161
2005-03-02,4.2605,4.3438,4.2189,4.2744,4.2744,384854
2005-03-03,4.3368,4.3715,4.2771,4.3118,4.3118,706412
