Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,2.945,3.0057,2.945,3.0039,3.0039,597319
2005-01-04,3.0063,3.0403,2.9043,2.9043,2.9043,675659
2005-01-05,2.9383,2.9383,2.8159,2.834,2.834,772971
2005-01-06,2.8498,2.8566,2.7568,2.7568,2.7568,410205
2005-01-07,2.771,2.8068,2.7256,2.7755,2.7755,772887
2005-01-10,2.7841,2.8067,2.7659,2.8022,2.8022,956062
2005-01-11,2.8135,2.8339,2.7545,2.7618,2.7618,552465
2005-01-12,2.7706,2.7842,2.6617,2.6844,2.6844,519373
2005-01-13,2.7206,2.7523,2.7133,2.7428,2.7428,645699
2005-01-14,2.7365,2.7502,2.7034,2.7302,2.7302,622133
2005-01-17,2.7369,2.7383,2.7138,2.7206,2.7206,517591
2005-01-18,2.717,2.8226,2.6934,2.8226,2.8226,835432
2005-01-19,2.8339,2.8929,2.8271,2.8566,2.8566,629838
2005-01-20,2.8516,2.8516,2.7677,2.7886,2.7886,512383
2005-01-21,2.8112,2.8248,2.716,2.7228,2.7228,497085
2005-01-24,2.7252,2.7796,2.7207,2.766,2.766,238527
2005-01-26,2.7759,2.7886,2.7523,2.7886,2.7886,472888
2005-01-27,2.7659,2.8339,2.7659,2.8112,2.8112,691484
2005-01-28,2.8113,2.834,2.7669,2.8331,2.8331,235858
2005-01-31,2.8843,2.9428,2.8843,2.9206,2.9206,701856
2005-02-01,2.8907,2.9242,2.8839,2.9097,2.9097,643151
2005-02-02,2.9048,3.0237,2.9044,3.0133,3.0133,654823
2005-02-03,3.0178,3.154,3.0115,3.1449,3.1449,861576
2005-02-04,3.1449,3.3718,3.1358,3.365,3.365,1048711
2005-02-09,3.3809,3.4263,3.2947,3.3809,3.3809,938806
2005-02-10,3.3491,3.3496,3.2679,3.3446,3.3446,854108
2005-02-11,3.335,3.4035,3.2959,3.3944,3.3944,754474
2005-02-14,3.3939,3.5668,3.3939,3.5668,3.5668,877938
2005-02-15,3.5215,3.635,3.4943,3.6218,3.6218,1976547
2005-02-16,3.5805,3.6077,3.5537,3.5623,3.5623,1276828
2005-02-17,3.5646,3.635,3.5646,3.5896,3.5896,824476
2005-02-18,3.5669,3.5715,3.4535,3.4757,3.4757,809043
2005-02-21,3.4948,3.4948,3.3514,3.3786,3.3786,592692
2005-02-22,3.34,3.526,3.34,3.4938,3.4938,679120
2005-02-23,3.4721,3.5646,3.4721,3.5533,3.5533,660199
2005-02-24,3.5505,3.767,3.5505,3.7325,3.7325,919601
2005-02-25,3.7202,3.7665,3.6304,3.7302,3.7302,702301
2005-02-28,3.7211,3.7393,3.6531,3.7166,3.7166,945905
2005-03-01,3.6853,3.8686,3.6853,3.8527,3.8527,1013593
2005-03-02,3.8461,3.882,3.8148,3.8443,3.8443,850122
2005-03-03,3.86,3.9404,3.8555,3.8941,3.8941,723150
2005-03-04,3.9102,3.9964,3.9102,3.9424,3.9424,1294139
2005-03-07,3.9869,4.0646,3.9869,3.9969,3.9969,773852
2005-03-08,3.9913,3.9913,3.9286,3.9395,3.9395,907871
2005-03-09,3.9283,3.9423,3.842,3.8715,3.8715,565203
2005-03-10,3.8606,3.8737,3.7743,3.8147,3.8147,1221739
2005-03-11,3.8732,3.8732,3.7697,3.7697,3.7697,582173
2005-03-14,3.7647,3.8011,3.7284,3.7602,3.7602,862536
2005-03-15,3.7693,3.8147,3.7044,3.7239,3.7239,639044
2005-03-16,3.7212,3.783,3.6513,3.783,3.783,751141
2005-03-17,3.7647,3.8692,3.7239,3.8283,3.8283,577010
2005-03-18,3.8374,3.8602,3.7566,3.7716,3.7716,716179
2005-03-21,3.7693,3.7693,3.6331,3.6331,3.6331,492115
2005-03-22,3.6467,3.7689,3.6208,3.6785,3.6785,761451
2005-03-23,3.6326,3.6557,3.5526,3.5967,3.5967,964908
2005-03-24,3.6331,3.6876,3.5877,3.6785,3.6785,631499
2005-03-28,3.6417,3.6784,3.5649,3.574,3.574,426703
2005-03-29,3.5744,3.6308,3.4968,3.5195,3.5195,479446
2005-03-30,3.5245,3.5695,3.4968,3.5195,3.5195,506065
2005-03-31,3.5696,3.5696,3.4634,3.5106,3.5106,613404
2005-04-01,3.5649,3.5876,3.4972,3.5013,3.5013,747738
2005-04-04,3.5001,3.5223,3.4769,3.4996,3.4996,602149
2005-04-05,3.486,3.5451,3.486,3.5451,3.5451,557208
2005-04-06,3.5452,3.6084,3.5247,3.5711,3.5711,530559
2005-04-07,3.6079,3.6366,3.5225,3.6293,3.6293,355315
2005-04-08,3.6269,3.6359,3.5587,3.5905,3.5905,536038
2005-04-11,3.5901,3.636,3.5537,3.5996,3.5996,340347
2005-04-12,3.5814,3.6087,3.5587,3.5928,3.5928,562894
2005-04-13,3.6088,3.6361,3.5775,3.602,3.602,764364
2005-04-14,3.5906,3.6179,3.5006,3.5338,3.5338,572827
2005-04-15,3.5405,3.5905,3.5041,3.5314,3.5314,1415233
2005-04-18,3.5319,3.5359,3.436,3.4855,3.4855,420467
2005-04-19,3.5224,3.5451,3.4906,3.5451,3.5451,624111
2005-04-20,3.536,3.5451,3.4224,3.436,3.436,632597
2005-04-22,3.4382,3.4405,3.386,3.4087,3.4087,396479
2005-04-25,3.4088,3.4633,3.3865,3.4542,3.4542,472678
2005-04-26,3.4771,3.5816,3.4321,3.5816,3.5816,621321
2005-04-27,3.5446,3.636,3.4792,3.636,3.636,864517
2005-04-28,3.6179,3.6338,3.4452,3.4452,3.4452,691071
2005-04-29,3.5001,3.626,3.4542,3.626,3.626,403548
2005-05-02,3.5906,3.7497,3.5556,3.7179,3.7179,601267
2005-05-03,3.707,3.7752,3.6387,3.6501,3.6501,399488
2005-05-04,3.682,3.7889,3.6206,3.7593,3.7593,668130
2005-05-05,3.7756,3.8298,3.7206,3.757,3.757,336757
2005-05-06,3.7981,3.7981,3.7389,3.7412,3.7412,248784
2005-05-09,3.8208,3.9117,3.8208,3.8981,3.8981,884904
2005-05-10,3.8754,3.8981,3.7757,3.8003,3.8003,415503
2005-05-11,3.8207,3.8207,3.6706,3.7024,3.7024,693755
2005-05-12,3.7089,3.7389,3.5279,3.6161,3.6161,574553
2005-05-13,3.6253,3.639,3.5294,3.5844,3.5844,470603
2005-05-16,3.6253,3.6676,3.5479,3.6571,3.6571,167991
2005-05-17,3.6571,3.6571,3.5729,3.6184,3.6184,404204
2005-05-18,3.6479,3.7412,3.6229,3.7066,3.7066,421135
2005-05-19,3.6934,3.7116,3.6456,3.6729,3.6729,450069
2005-05-20,3.6411,3.6616,3.5797,3.5979,3.5979,452288
2005-05-23,3.6115,3.6196,3.5487,3.5546,3.5546,307289
2005-05-24,3.5477,3.5572,3.4795,3.5386,3.5386,568359
2005-05-25,3.5478,3.5887,3.5137,3.5887,3.5887,544790
2005-05-27,3.5888,3.6389,3.527,3.5479,3.5479,461467
2005-05-30,3.575,3.5932,3.525,3.5564,3.5564,145648
2005-05-31,3.5479,3.5647,3.5183,3.5274,3.5274,643006
2005-06-01,3.5206,3.5661,3.5179,3.5365,3.5365,945646
2005-06-02,3.5644,3.6372,3.5585,3.6099,3.6099,1134674
2005-06-03,3.6199,3.7482,3.6007,3.7373,3.7373,848024
2005-06-06,3.6914,3.8466,3.619,3.8011,3.8011,968464
2005-06-07,3.7396,3.8684,3.71,3.7778,3.7778,653817
2005-06-08,3.8234,3.8234,3.6508,3.6827,3.6827,482092
2005-06-09,3.6417,3.6873,3.5967,3.6554,3.6554,346122
2005-06-10,3.665,3.7283,3.665,3.6964,3.6964,328522
2005-06-13,3.7328,3.7328,3.6326,3.6554,3.6554,281889
2005-06-14,3.6554,3.7965,3.578,3.7601,3.7601,695954
2005-06-15,3.6964,3.7651,3.6417,3.7651,3.7651,660304
2005-06-16,3.7556,3.8157,3.7556,3.7829,3.7829,437612
2005-06-17,3.8397,3.8461,3.7987,3.8274,3.8274,309524
2005-06-20,3.8239,3.8376,3.7556,3.833,3.833,409902
2005-06-21,3.8239,3.9532,3.7465,3.7729,3.7729,543714
2005-06-22,3.7728,3.7788,3.6741,3.7032,3.7032,397581
2005-06-23,3.7055,3.7055,3.6463,3.66,3.66,264322
2005-06-24,3.6718,3.6818,3.6463,3.6531,3.6531,178542
2005-06-27,3.6508,3.7897,3.6321,3.7241,3.7241,606274
2005-06-28,3.7328,3.8202,3.7328,3.8011,3.8011,350309
2005-06-29,3.8011,3.8421,3.7806,3.8011,3.8011,267821
2005-06-30,3.801,3.8238,3.7601,3.7901,3.7901,299975
2005-07-01,3.7902,3.8398,3.7692,3.8143,3.8143,265977
2005-07-04,3.7783,3.8239,3.7647,3.7879,3.7879,173877
2005-07-05,3.7784,3.8148,3.7147,3.7197,3.7197,514565
2005-07-06,3.7282,3.7282,3.6322,3.6554,3.6554,629484
2005-07-07,3.6413,3.6554,3.5735,3.619,3.619,543204
2005-07-08,3.628,3.6644,3.5779,3.5797,3.5797,438671
2005-07-11,3.6418,3.6782,3.5985,3.6509,3.6509,309162
2005-07-12,3.6959,3.71,3.6195,3.6668,3.6668,245333
2005-07-13,3.6873,3.7647,3.6645,3.7419,3.7419,363772
2005-07-14,3.7556,3.8097,3.7556,3.8011,3.8011,502313
2005-07-15,3.7865,3.7965,3.71,3.7692,3.7692,263130
2005-07-18,3.7669,3.8602,3.71,3.8379,3.8379,369517
2005-07-19,3.7332,3.8511,3.7332,3.8306,3.8306,745456
2005-07-20,3.7714,3.8648,3.7696,3.8461,3.8461,428197
2005-07-21,3.8466,3.8694,3.7915,3.8284,3.8284,204464
2005-07-22,3.8011,3.8284,3.7191,3.7287,3.7287,383133
2005-07-25,3.6867,3.6894,3.5961,3.5961,3.5961,572804
2005-07-26,3.6008,3.751,3.5967,3.7328,3.7328,457941
2005-07-27,3.7328,3.8193,3.6691,3.792,3.792,614522
2005-07-28,3.792,3.8739,3.7583,3.8193,3.8193,378887
2005-07-29,3.8466,3.8648,3.7797,3.7797,3.7797,319523
2005-08-01,3.8011,3.8962,3.7647,3.8648,3.8648,452662
2005-08-02,3.895,4.1456,3.895,4.1,4.1,746991
2005-08-03,4.1,4.1228,3.936,3.936,3.936,795319
2005-08-04,3.9451,4.0134,3.8954,3.9314,3.9314,522698
2005-08-05,3.9633,4.0002,3.8744,3.92,3.92,605473
2005-08-08,4.0331,4.0978,3.977,4.0317,4.0317,804452
2005-08-09,4.0544,4.2503,4.0407,4.2503,4.2503,1005735
2005-08-10,4.2367,4.4189,4.2367,4.3825,4.3825,953426
2005-08-11,4.3272,4.4644,4.2052,4.2457,4.2457,651335
2005-08-12,4.0999,4.3641,4.0771,4.3277,4.3277,515763
2005-08-15,4.3733,4.4098,4.2868,4.3642,4.3642,788371
2005-08-16,4.3506,4.4144,4.3188,4.3511,4.3511,494113
2005-08-17,4.3589,4.4805,4.3416,4.4395,4.4395,601386
2005-08-18,4.4144,4.4554,4.3734,4.3962,4.3962,459512
2005-08-19,4.3737,4.4097,4.1477,4.2821,4.2821,513837
2005-08-22,4.3328,4.4075,4.3328,4.3843,4.3843,258877
2005-08-23,4.3368,4.3505,4.2739,4.2867,4.2867,439713
2005-08-24,4.3186,4.4143,4.2872,4.4052,4.4052,583627
2005-08-25,4.4007,4.5068,4.3702,4.5009,4.5009,258075
2005-08-26,4.5009,4.5191,4.4212,4.4371,4.4371,277654
2005-08-29,4.4644,4.5464,4.4302,4.5373,4.5373,212677
2005-08-30,4.5331,4.5691,4.4461,4.4985,4.4985,280508
2005-08-31,4.5464,4.5555,4.5099,4.5555,4.5555,862309
2005-09-01,4.5328,4.5966,4.5096,4.5328,4.5328,398053
2005-09-02,4.5584,4.5994,4.5174,4.5812,4.5812,444165
2005-09-05,4.5739,4.6268,4.5584,4.5584,4.5584,199548
2005-09-06,4.5652,4.7134,4.5497,4.6883,4.6883,513437
2005-09-08,4.686,4.8091,4.686,4.784,4.784,663910
2005-09-09,4.7595,4.8228,4.7499,4.7818,4.7818,613448
2005-09-12,4.7773,4.8,4.7362,4.7613,4.7613,301584
2005-09-13,4.759,4.7636,4.5571,4.6086,4.6086,541158
2005-09-14,4.6094,4.6678,4.5173,4.5447,4.5447,855266
2005-09-15,4.5812,4.6907,4.5812,4.6086,4.6086,722395
2005-09-16,4.6449,4.6449,4.5629,4.6267,4.6267,540478
2005-09-19,4.6086,4.6861,4.5863,4.6519,4.6519,476836
2005-09-20,4.6587,4.7863,4.6587,4.7494,4.7494,904000
2005-09-21,4.7271,4.8916,4.6952,4.8456,4.8456,887184
2005-09-22,4.8543,4.9454,4.8274,4.9003,4.9003,764646
2005-09-23,4.924,4.9892,4.9003,4.955,4.955,607834
2005-09-26,4.9887,4.9892,4.9231,4.9459,4.9459,1175493
2005-09-27,4.9685,4.9685,4.8441,4.8637,4.8637,1307999
2005-09-28,4.8867,4.982,4.8776,4.9095,4.9095,1061040
2005-09-29,4.9232,4.9596,4.8484,4.9414,4.9414,1141324
2005-09-30,4.9458,4.9732,4.9025,4.9595,4.9595,1903138
2005-10-03,4.9482,5.1716,4.9482,5.1055,5.1055,547660
2005-10-04,5.1288,5.3136,5.1288,5.1813,5.1813,1026257
2005-10-05,5.163,5.163,5.033,5.0581,5.0581,806790
2005-10-06,4.9919,5.058,4.8482,4.9171,4.9171,676195
2005-10-07,4.9304,5.122,4.9304,5.1174,5.1174,809695
2005-10-10,5.154,5.1859,5.0856,5.1084,5.1084,526716
2005-10-11,5.1538,5.2907,5.1538,5.2405,5.2405,588540
2005-10-13,5.017,5.0849,4.8664,5.0393,5.0393,889368
