Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,9.8736,9.8736,9.3784,9.6697,9.6697,85582800
2013-04-30,9.6697,9.9493,9.6697,9.9318,9.9318,26950200
2013-05-02,9.9026,10.1939,9.891,10.1939,10.1939,16057200
2013-05-03,10.1474,10.3979,10.1182,10.3396,10.3396,13031000
2013-05-06,10.3395,10.4794,10.2755,10.4444,10.4444,19911900
2013-05-07,10.4211,10.4561,10.0774,10.4211,10.4211,7255800
2013-05-08,10.3687,10.4153,10.0949,10.1939,10.1939,10770000
2013-05-09,10.1765,10.3396,10.1124,10.3396,10.3396,8355600
2013-05-10,10.3105,10.4561,10.2231,10.4328,10.4328,7967400
2013-06-24,9.9377,9.961,9.3086,9.8736,9.8736,12899600
2013-06-25,9.8153,9.99,9.5881,9.7279,9.7279,6366000
2013-06-26,9.8445,9.8853,9.6814,9.8037,9.8037,3390800
2013-06-27,9.7396,10.1939,9.7396,10.0716,10.0716,6301100
2013-06-28,10.06,10.392,9.9726,10.2522,10.2522,5578700
2013-07-01,10.1822,10.4386,10.0541,10.1939,10.1939,4269600
2013-07-02,10.2056,10.3571,9.7862,10.0134,10.0134,3728300
2013-07-03,9.99,10.2231,9.8444,10.0483,10.0483,4602900
2013-07-04,10.0483,10.3337,9.99,10.3279,10.3279,5186400
2013-07-05,10.2464,10.392,10.1124,10.2522,10.2522,7332500
2013-07-08,10.2463,10.5318,10.1881,10.4269,10.4269,4159400
2013-07-10,10.4852,10.4852,10.2522,10.3396,10.3396,4124000
2013-07-11,10.3686,10.456,10.2696,10.4269,10.4269,4249400
2013-07-12,10.3221,10.3978,10.2638,10.3221,10.3221,3437200
2013-07-15,10.3221,10.3221,10.0541,10.258,10.258,5793100
2013-07-16,10.1939,10.2522,9.99,10.1415,10.1415,3055600
2013-07-17,10.1357,10.4736,10.1066,10.4619,10.4619,6742200
2013-07-18,10.3687,10.7065,10.3512,10.5143,10.5143,3401100
2013-07-19,10.4619,10.5085,10.3804,10.4561,10.4561,1694200
2013-07-22,10.4502,10.5435,10.4269,10.4852,10.4852,2413200
2013-07-23,10.4677,10.5143,10.4328,10.4852,10.4852,2540100
2013-07-24,10.456,10.5143,10.3512,10.5143,10.5143,1977700
2013-07-25,10.3862,10.5901,10.3804,10.5493,10.5493,3145900
2013-07-26,10.4852,10.6599,10.3978,10.6075,10.6075,2164100
2013-07-29,10.5143,10.7357,10.4561,10.5726,10.5726,2801100
2013-07-30,10.5435,10.7124,10.5027,10.7124,10.7124,2984800
2013-07-31,10.6075,10.7473,10.5784,10.7415,10.7415,3346600
2013-08-01,10.7415,10.9338,10.6425,10.8755,10.8755,3614400
2013-08-02,10.7765,11.1085,10.7532,11.0619,11.0619,5518300
2013-08-05,11.0153,11.359,10.9628,11.3007,11.3007,6374100
2013-08-06,11.2774,11.3473,11.0852,11.3007,11.3007,3746700
2013-08-07,11.19,11.5628,11.0327,11.4172,11.4172,6741200
2013-08-08,11.359,11.6503,11.2134,11.592,11.592,5228100
2013-08-09,11.5337,11.6444,11.3066,11.6153,11.6153,3321900
2013-08-12,11.6502,11.7085,11.3182,11.3648,11.3648,5182100
2013-08-13,11.4231,11.5279,11.3357,11.4522,11.4522,3361100
2013-08-14,11.4114,11.5162,11.2716,11.3007,11.3007,3669100
2013-08-15,11.2716,11.4405,11.0793,11.3007,11.3007,8960800
2013-08-16,11.2833,11.4988,11.0386,11.2483,11.2483,4835900
2013-08-19,11.1959,11.2483,10.8463,10.8813,10.8813,4897900
2013-08-20,10.8544,11.0689,10.7293,10.8425,10.8425,3678700
2013-08-21,10.765,11.0807,10.6399,11.0033,11.0033,4048100
2013-08-22,10.9675,11.1522,10.9079,11.1522,11.1522,2313000
2013-08-23,11.045,11.5871,11.045,11.5037,11.5037,4077600
2013-08-26,11.2893,11.3488,11.2416,11.3131,11.3131,4006000
2013-08-27,11.1403,11.2952,11.0867,11.2952,11.2952,3483700
2013-08-28,11.1999,11.2893,11.0927,11.2416,11.2416,3386300
2013-08-29,11.182,11.3309,11.1224,11.319,11.319,4654200
2013-08-30,11.2297,11.462,11.2297,11.462,11.462,3806100
2013-09-02,11.3429,11.468,11.3429,11.4382,11.4382,2949600
2013-09-03,11.3488,11.4977,11.319,11.4322,11.4322,5987400
2013-09-04,11.3786,11.4978,11.3489,11.4263,11.4263,1877100
2013-09-05,11.3846,11.7003,11.3846,11.6467,11.6467,4234200
2013-09-06,11.6169,11.9029,11.599,11.8552,11.8552,7978400
2013-09-09,11.8016,12.2543,11.742,12.1888,12.1888,6199300
2013-09-10,12.1233,12.3378,12.0697,12.3378,12.3378,5232200
2013-09-11,12.2126,12.582,12.165,12.4271,12.4271,7203600
2013-09-12,12.3557,12.5165,12.2961,12.5165,12.5165,4570000
2013-09-13,12.4569,12.5642,12.4271,12.4748,12.4748,2308400
2013-09-16,12.4807,12.5403,12.2603,12.439,12.439,9339900
2013-09-17,12.3676,12.6714,12.3438,12.6178,12.6178,6467500
2013-09-18,12.582,13.1122,12.5284,13.0467,13.0467,7528000
2013-09-19,13.0109,13.1003,12.5999,12.9573,12.9573,5765500
2013-09-20,12.868,12.9573,12.7727,12.8084,12.8084,2971200
2013-09-23,12.8144,12.9276,12.6178,12.7429,12.7429,3225900
2013-09-24,12.6892,12.862,12.5343,12.7905,12.7905,5959400
2013-09-25,12.7488,13.0348,12.6595,13.0169,13.0169,2501600
2013-09-26,12.9276,13.1778,12.8382,13.0467,13.0467,3635100
2013-09-27,12.9871,13.2016,12.9037,13.2016,13.2016,2592200
2013-09-30,13.1122,13.1301,12.9037,12.9931,12.9931,3580300
2013-10-01,12.9573,13.3803,12.8858,13.3803,13.3803,2853100
2013-10-02,13.2849,13.3684,13.1181,13.1658,13.1658,4816600
2013-10-03,13.1361,13.2254,12.7191,12.868,12.868,3460000
2013-10-04,12.868,12.9871,12.7786,12.868,12.868,3807900
2013-10-07,12.8084,13.1122,12.7607,13.1003,13.1003,5017800
2013-10-08,13.0466,13.3445,12.9692,13.3326,13.3326,2529000
2013-10-09,13.279,13.6127,13.2254,13.6067,13.6067,4020200
2013-10-10,13.5412,13.9403,13.5352,13.9403,13.9403,6724800
2013-10-11,13.8569,13.9641,13.7795,13.8986,13.8986,5691900
2013-10-14,13.8569,14.1786,13.708,14.0535,14.0535,4243600
2013-10-15,13.9999,14.1726,13.7794,14.1488,14.1488,3549600
2013-10-16,14.1488,14.2263,14.0118,14.0297,14.0297,4807000
2013-10-17,13.9939,14.2382,13.9582,14.2382,14.2382,5664100
2013-10-18,14.2561,14.5003,14.2561,14.4348,14.4348,7660700
2013-10-21,14.4169,14.6552,14.3752,14.4169,14.4169,3558200
2013-10-22,14.3871,14.5062,14.2441,14.4288,14.4288,6112500
2013-10-23,14.3513,14.4049,14.0296,14.0594,14.0594,4296000
2013-10-24,14.0952,14.2918,13.9463,14.2918,14.2918,2918500
2013-10-25,14.1964,14.2977,14.1309,14.1726,14.1726,2330400
2013-10-28,14.2084,14.2203,14.0654,14.2084,14.2084,1836800
2013-10-29,14.1786,14.256,14.0356,14.1369,14.1369,2831200
2013-10-30,14.1488,14.3811,14.0415,14.3811,14.3811,3444800
2013-10-31,14.3215,14.5777,14.2739,14.5777,14.5777,4142800
2013-11-01,14.5778,14.7327,14.5003,14.7148,14.7148,3171700
2013-11-04,14.6611,14.7624,14.3156,14.4526,14.4526,5427900
2013-11-05,14.3931,14.5361,14.2084,14.2084,14.2084,3102400
2013-11-06,14.2322,14.2501,13.7497,13.8569,13.8569,3651600
2013-11-07,13.8331,14.0595,13.7616,13.7616,13.7616,3671300
2013-11-08,13.7556,13.97,13.5173,13.8211,13.8211,3305100
2013-11-11,13.9403,14.2441,13.8807,14.0952,14.0952,2847400
