Date,Open,High,Low,Close,Adj Close,Volume
2007-07-20,15.8115,15.9268,15.3997,15.8115,15.8115,8098986
2007-07-23,15.8032,16.2726,15.235,15.7703,15.7703,922330
2007-07-24,15.3998,15.6468,15.2351,15.2433,15.2433,917162
2007-07-25,15.2349,15.6467,15.1526,15.6467,15.6467,1481763
2007-07-26,15.1279,15.2268,14.7409,15.0703,15.0703,1391634
2007-07-27,15.0291,15.6385,14.8644,15.6385,15.6385,396489
2007-07-30,15.3257,16.7998,15.2268,16.7174,16.7174,584428
2007-07-31,16.668,16.7174,16.0586,16.388,16.388,602585
2007-08-01,16.1409,16.4703,15.6797,16.4703,16.4703,652130
2007-08-02,16.5445,16.8821,15.8115,16.8821,16.8821,649723
2007-08-03,16.1491,16.7173,16.0585,16.2232,16.2232,261702
2007-08-06,16.2232,16.4703,15.4079,16.4291,16.4291,375493
2007-08-07,16.3056,16.4538,15.7291,16.4538,16.4538,245467
2007-08-08,16.3879,17.0468,15.8938,16.635,16.635,280448
2007-08-09,16.4703,16.635,16.1408,16.2232,16.2232,195289
2007-08-10,15.5068,16.3056,15.4821,16.3056,16.3056,149880
2007-08-13,16.3056,16.5114,16.1408,16.2232,16.2232,174277
2007-08-14,16.2232,16.4538,15.7456,16.0503,16.0503,371469
2007-08-15,15.6468,15.9762,14.9056,15.1527,15.1527,1356424
2007-08-16,14.8398,14.9056,13.1763,14.7327,14.7327,281695
2007-08-17,15.235,15.9761,13.9997,14.4197,14.4197,1190415
2007-08-20,15.1114,15.2267,13.4727,13.9997,13.9997,440750
2007-08-21,14.2469,14.4116,13.6704,13.6704,13.6704,123604
2007-08-22,13.8762,13.9997,13.7609,13.9915,13.9915,153623
2007-08-23,13.9998,13.9998,13.2587,13.7116,13.7116,342408
2007-08-24,13.7116,14.8233,13.588,14.8233,14.8233,396703
2007-08-27,15.0704,15.441,14.9057,15.2351,15.2351,316871
2007-08-28,15.2268,15.2351,14.8233,14.8645,14.8645,35137
2007-08-29,14.8233,15.3998,14.8233,15.1527,15.1527,163875
2007-08-30,15.3175,15.4822,15.1116,15.2351,15.2351,132400
2007-08-31,15.482,16.0585,15.0785,16.0585,16.0585,103791
2007-09-03,16.0585,16.4373,15.8114,16.0585,16.0585,71837
2007-09-04,16.0174,16.3221,15.7291,16.1409,16.1409,386136
2007-09-05,16.0585,16.1409,15.2762,16.1409,16.1409,124960
2007-09-06,16.1409,16.2233,15.8938,16.1409,16.1409,407716
2007-09-10,16.0503,16.0503,15.6468,16.0503,16.0503,9800
2007-09-11,15.7291,16.3715,15.7291,16.2644,16.2644,107850
2007-09-12,15.8938,16.2644,15.8938,16.0585,16.0585,69124
2007-09-13,15.8114,16.0585,15.8114,16.0585,16.0585,143216
2007-09-14,16.0174,16.1409,15.6468,16.1409,16.1409,62700
2007-09-17,15.6879,16.0914,15.4161,15.6467,15.6467,67400
2007-09-18,16.0585,16.0585,15.3667,15.6467,15.6467,455768
2007-09-19,16.0586,16.0586,15.1774,15.5645,15.5645,151857
2007-09-20,15.8114,15.8114,15.2349,15.6467,15.6467,84896
2007-09-21,15.6468,15.6468,15.0703,15.0703,15.0703,139660
2007-09-24,15.3174,15.4492,14.9056,15.1527,15.1527,180540
2007-09-25,15.0045,15.4821,14.8233,14.8233,14.8233,271530
2007-09-26,15.2267,15.2267,14.082,14.1644,14.1644,481443
2007-09-27,14.4445,15.2351,14.1645,15.2351,15.2351,123873
2007-09-28,14.8233,15.1527,14.8233,14.988,14.988,99310
