Date,Open,High,Low,Close,Adj Close,Volume
2017-02-16,2.1506,2.1506,2.0909,2.0909,2.0909,7700
2017-02-17,2.1507,2.1507,2.1507,2.1507,2.1507,5000
2017-02-24,2.1746,2.1746,2.1746,2.1746,2.1746,1300
2017-03-01,2.1746,2.1746,2.1447,2.1447,2.1447,4300
2017-03-03,2.2702,2.2702,2.2104,2.2403,2.2403,1800
2017-03-06,2.2462,2.3298,2.2104,2.294,2.294,5700
2017-03-07,2.1626,2.2702,2.1626,2.1961,2.1961,3400
2017-03-08,2.1769,2.2701,2.1339,2.2104,2.2104,4100
2017-03-09,2.1387,2.2701,2.1064,2.2689,2.2689,1700
2017-03-10,2.1626,2.2677,2.1507,2.2331,2.2331,6500
2017-03-13,2.1984,2.1984,2.1984,2.1984,2.1984,600
2017-03-14,2.245,2.2701,2.2103,2.2211,2.2211,900
2017-03-15,2.2104,2.2319,2.2104,2.2319,2.2319,1600
2017-03-16,2.2104,2.2689,2.2104,2.2223,2.2223,800
2017-03-17,2.2104,2.2581,2.2104,2.2223,2.2223,1100
2017-03-20,2.1865,2.1865,2.0909,2.0909,2.0909,2000
2017-03-21,2.0909,2.0909,2.0324,2.0324,2.0324,2500
2017-03-22,2.1267,2.2223,2.1267,2.2211,2.2211,155800
2017-03-23,2.1722,2.2188,2.1387,2.1387,2.1387,3000
2017-03-24,2.1411,2.1853,2.1315,2.1339,2.1339,11700
2017-03-27,2.1387,2.1387,2.1268,2.1268,2.1268,400
2017-03-28,2.1447,2.2343,2.1447,2.2343,2.2343,15300
2017-03-29,2.2438,2.2701,2.2259,2.245,2.245,21300
2017-03-30,2.2403,2.2761,2.2104,2.2582,2.2582,87300
2017-03-31,2.2438,2.2785,2.2438,2.2701,2.2701,97600
2017-04-03,2.2582,2.3,2.2343,2.3,2.3,26300
2017-04-04,2.2582,2.3765,2.2582,2.3765,2.3765,6000
2017-04-05,2.2976,2.3705,2.2976,2.3394,2.3394,4500
2017-04-06,2.2773,2.2893,2.2104,2.2104,2.2104,18500
2017-04-07,2.2558,2.2761,2.2522,2.2761,2.2761,2300
2017-04-10,2.2354,2.3,2.2331,2.2689,2.2689,4900
2017-04-11,2.2702,2.2702,2.2128,2.2367,2.2367,2900
2017-04-12,2.2104,2.2809,2.2104,2.2809,2.2809,6900
2017-04-13,2.2235,2.2235,2.1626,2.1996,2.1996,9886100
2017-04-17,2.0801,2.2223,2.0801,2.1984,2.1984,1002000
2017-04-18,2.1985,2.1985,2.1388,2.1507,2.1507,751100
2017-04-19,2.104,2.1984,2.0312,2.0897,2.0897,1728500
2017-04-20,2.0407,2.1447,2.0407,2.0909,2.0909,639600
2017-04-24,2.1519,2.1519,2.1268,2.1268,2.1268,2000400
2017-04-26,2.1507,2.1507,2.1507,2.1507,2.1507,100
2017-05-02,2.1507,2.1865,2.1148,2.1865,2.1865,12900
2017-05-03,2.2223,2.2701,2.1805,2.2701,2.2701,1510100
2017-05-04,2.2331,2.2331,2.1746,2.2152,2.2152,1511900
2017-05-05,2.2104,2.2223,2.1865,2.2223,2.2223,2800
2017-05-08,2.1506,2.2223,2.1506,2.2223,2.2223,400
2017-05-09,2.2224,2.2403,2.1889,2.2403,2.2403,5300
2017-05-10,2.2403,2.312,2.2403,2.2403,2.2403,1550800
2017-05-11,2.2402,2.2689,2.2402,2.2689,2.2689,2800
2017-05-12,2.2701,2.2701,2.1709,2.2701,2.2701,400
2017-05-16,2.2462,2.2462,2.2462,2.2462,2.2462,100
2017-05-17,2.2223,2.2462,2.1984,2.2462,2.2462,11300
2017-05-18,2.1602,2.1602,1.9487,2.0025,2.0025,131800
2017-05-19,2.0981,2.0981,2.0551,2.073,2.073,3600
2017-05-22,1.9476,2.0073,1.9476,2.0073,2.0073,7500
2017-05-23,2.0073,2.0431,1.9511,1.9511,1.9511,4300
2017-05-24,2.0073,2.061,1.8818,1.8818,1.8818,1742100
2017-05-25,1.9356,1.9356,1.883,1.883,1.883,2000
2017-05-26,1.877,1.877,1.877,1.877,1.877,200
2017-05-29,1.9117,1.9117,1.852,1.852,1.852,200
2017-05-30,1.852,1.852,1.7922,1.8221,1.8221,28600
2017-05-31,1.815,1.8185,1.6907,1.6907,1.6907,10800
2017-06-01,1.6918,1.6918,1.6727,1.6727,1.6727,2010000
2017-06-02,1.6727,1.6727,1.6727,1.6727,1.6727,1000000
2017-06-05,1.7444,1.7444,1.6727,1.6727,1.6727,700
2017-06-06,1.699,1.699,1.699,1.699,1.699,100
2017-06-08,1.6704,1.6704,1.6429,1.6429,1.6429,200
2017-06-13,1.607,1.607,1.607,1.607,1.607,200
2017-06-14,1.6692,1.6811,1.6142,1.6142,1.6142,14900
2017-06-20,1.6321,1.6656,1.613,1.6608,1.6608,10100
2017-06-21,1.613,1.613,1.613,1.613,1.613,600
2017-06-22,1.5055,1.5055,1.5055,1.5055,1.5055,200
2017-06-23,1.6022,1.613,1.6022,1.607,1.607,1500
2017-06-26,1.6011,1.6668,1.6011,1.6668,1.6668,2400
2017-06-27,1.6667,1.6715,1.6321,1.6321,1.6321,7000
2017-06-28,1.6715,1.6715,1.6715,1.6715,1.6715,2400
2017-06-29,1.6488,1.6727,1.6488,1.6727,1.6727,1600
2017-06-30,1.7289,1.7289,1.6847,1.7265,1.7265,3400
2017-07-04,1.7922,1.7922,1.7922,1.7922,1.7922,100
2017-07-05,1.852,1.8699,1.852,1.8699,1.8699,78000
2017-07-06,2.1884,2.1884,2.1174,2.1174,2.1174,3100
2017-07-07,2.1305,2.1305,2.1305,2.1305,2.1305,100
2017-07-12,2.2145,2.2145,2.2145,2.2145,2.2145,100
2017-07-17,2.2942,2.2942,2.2174,2.2174,2.2174,200
2017-07-18,2.3914,2.3914,2.2957,2.3044,2.3044,49500
2017-07-19,2.2971,2.3334,2.2609,2.2609,2.2609,134700
2017-07-20,2.2753,2.2768,2.2536,2.2536,2.2536,66200
2017-07-21,2.2507,2.2507,2.2102,2.2464,2.2464,229900
2017-07-24,2.2464,2.2464,2.2464,2.2464,2.2464,100
2017-07-25,2.2188,2.2435,2.2029,2.2029,2.2029,30400
2017-07-27,2.2029,2.2029,2.2029,2.2029,2.2029,27600
2017-07-28,2.2029,2.2029,2.2029,2.2029,2.2029,100000
2017-08-02,2.174,2.1957,2.1232,2.1754,2.1754,123600
2017-08-03,2.2101,2.2101,2.1739,2.1913,2.1913,1008400
2017-08-04,2.2044,2.2044,2.2044,2.2044,2.2044,1664200
2017-08-07,2.229,2.2319,2.2261,2.2261,2.2261,263900
2017-08-08,2.2406,2.242,2.2304,2.242,2.242,500200
2017-08-09,2.1942,2.2,2.1769,2.1812,2.1812,4600
2017-08-10,2.1637,2.1637,2.1333,2.1391,2.1391,5000
2017-08-11,2.1175,2.1305,2.0392,2.1305,2.1305,9700
2017-08-14,2.0696,2.1058,2.0391,2.1,2.1,30500
2017-08-15,2.1,2.1101,2.0913,2.0913,2.0913,30100
2017-08-16,2.1218,2.1421,2.116,2.116,2.116,8300
2017-08-17,2.116,2.1232,2.087,2.1232,2.1232,1700
2017-08-18,2.0943,2.1305,2.0943,2.1015,2.1015,11400
2017-08-21,2.1768,2.3174,2.1739,2.1913,2.1913,192500
2017-08-22,2.1087,2.3188,2.1087,2.2174,2.2174,2364400
2017-08-23,2.2435,2.2913,2.2188,2.2623,2.2623,624700
2017-08-24,2.1899,2.3261,2.1899,2.2841,2.2841,929100
2017-08-25,2.3116,2.3406,2.2899,2.3044,2.3044,527300
2017-08-28,2.2841,2.416,2.2841,2.3276,2.3276,193300
2017-08-29,2.3246,2.4203,2.3188,2.3913,2.3913,539100
2017-08-30,2.3348,2.4304,2.3348,2.3797,2.3797,3249200
2017-08-31,2.358,2.3971,2.3159,2.3681,2.3681,2714500
2017-09-01,2.4652,2.6043,2.3623,2.5652,2.5652,632600
2017-09-04,2.5363,2.7508,2.4928,2.7392,2.7392,481000
2017-09-05,2.7827,2.7827,2.6914,2.7392,2.7392,1006700
2017-09-06,2.7392,2.7957,2.7131,2.7305,2.7305,1688200
2017-09-08,2.7971,2.7971,2.6797,2.7681,2.7681,961200
2017-09-11,2.7667,2.7826,2.7217,2.7826,2.7826,891300
2017-09-12,2.7812,2.7812,2.7203,2.7203,2.7203,364300
2017-09-13,2.6986,2.7826,2.6681,2.7522,2.7522,1823900
2017-09-14,2.7624,2.8116,2.7363,2.7841,2.7841,1638700
2017-09-15,2.7681,2.7927,2.7072,2.7536,2.7536,1697600
2017-09-18,2.8044,2.8044,2.7117,2.7392,2.7392,1031700
2017-09-19,2.7363,2.7435,2.7102,2.7363,2.7363,252300
2017-09-20,2.7464,2.7898,2.7304,2.7536,2.7536,562900
2017-09-21,2.7739,2.7739,2.7739,2.7739,2.7739,434900
2017-09-22,2.7753,2.7826,2.7174,2.7536,2.7536,66200
2017-09-25,2.7811,2.7811,2.7145,2.7536,2.7536,130100
2017-09-26,2.7536,2.7797,2.7377,2.7536,2.7536,1058400
2017-09-27,2.7696,2.7783,2.6971,2.7667,2.7667,130200
2017-09-28,2.7682,2.7841,2.7189,2.7392,2.7392,191700
2017-09-29,2.7391,2.7826,2.6841,2.7319,2.7319,1508400
2017-10-02,2.7566,2.7812,2.6667,2.6957,2.6957,1720100
2017-10-03,2.7001,2.7667,2.6957,2.7102,2.7102,198700
