Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,6.4723,6.5463,6.2171,6.2504,6.2504,494908
2005-01-04,6.2504,6.2874,5.9915,5.9915,5.9915,936106
2005-01-05,5.9914,6.132,5.9914,6.1024,6.1024,307160
2005-01-06,6.1025,6.1025,5.9915,6.0581,6.0581,397838
2005-01-07,6.2095,6.4359,6.133,6.4359,6.4359,293230
2005-01-10,6.3299,6.4352,6.0596,6.4132,6.4132,80074
2005-01-11,6.2853,6.33,6.233,6.2656,6.2656,280260
2005-01-12,6.2656,6.3905,6.2126,6.3905,6.3905,462896
2005-01-13,6.361,6.5874,6.3602,6.5495,6.5495,197556
2005-01-14,6.3602,6.8145,6.3602,6.8069,6.8069,207448
2005-01-17,6.7009,6.7615,6.6714,6.7312,6.7312,116084
2005-01-18,6.7312,6.7766,6.5124,6.6714,6.6714,266746
2005-01-19,6.679,6.7388,6.6631,6.6631,6.6631,201034
2005-01-20,6.5351,6.6676,6.4746,6.5041,6.5041,587742
2005-01-21,6.4745,6.8902,6.4745,6.629,6.629,508508
2005-01-24,6.6713,6.9886,6.6713,6.9886,6.9886,426650
2005-01-26,7.0265,7.0265,6.8335,6.9584,6.9584,146522
2005-01-27,6.8902,6.8902,6.7017,6.8145,6.8145,122874
2005-01-28,6.732,6.8145,6.7017,6.8145,6.8145,130976
2005-01-31,6.8153,6.9955,6.7388,6.8524,6.8524,94940
2005-02-01,6.735,6.8819,6.7009,6.7918,6.7918,242230
2005-02-02,6.8145,6.8145,6.7161,6.8145,6.8145,136526
2005-02-03,6.8145,6.8524,6.6707,6.7388,6.7388,265412
2005-02-04,6.9652,6.9652,6.6328,6.7986,6.7986,303320
2005-02-09,6.9962,6.9962,6.6252,6.6252,6.6252,150392
2005-02-10,6.6404,6.7002,6.5919,6.626,6.626,292570
2005-02-11,6.7229,6.7388,6.4473,6.7312,6.7312,196838
2005-02-14,6.6032,6.8372,6.6032,6.8372,6.8372,196252
2005-02-15,6.8137,6.928,6.6653,6.9129,6.9129,320744
2005-02-16,6.9129,6.9281,6.7017,6.7085,6.7085,709132
2005-02-17,6.8145,6.8516,6.6335,6.8069,6.8069,520896
2005-02-18,6.8463,6.8463,6.6858,6.7615,6.7615,458374
2005-02-21,6.8146,6.8411,6.7464,6.835,6.835,99962
2005-02-22,7.0038,7.4422,7.0038,7.3074,7.3074,1175430
2005-02-23,7.3446,7.5301,7.3446,7.5187,7.5187,293974
2005-02-24,7.5338,8.1395,7.5338,8.1395,8.1395,922996
