Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,82.8921,83.4493,80.4778,81.4064,81.4064,489910
2005-01-04,80.8215,81.1001,74.9092,76.6891,76.6891,1676519
2005-01-05,76.9182,77.3825,74.9681,76.5777,76.5777,1022886
2005-01-06,76.5777,76.5777,72.43,74.4729,74.4729,1110655
2005-01-07,75.0919,76.0514,74.2871,75.0919,75.0919,1055137
2005-01-10,75.092,75.5098,71.5943,72.43,72.43,765319
2005-01-11,72.6776,74.2872,72.5074,73.73,73.73,754926
2005-01-12,74.9093,75.7141,73.4544,75.6986,75.6986,1009032
2005-01-13,76.1443,77.0729,74.9062,75.8348,75.8348,761161
2005-01-14,75.1538,76.2836,74.9681,76.0205,76.0205,1288758
2005-01-17,76.1382,76.4322,75.643,76.1382,76.1382,157277
2005-01-18,75.8193,75.8193,73.08,73.5443,73.5443,781436
2005-01-19,74.2871,74.8907,71.749,73.049,73.049,876303
2005-01-20,72.3681,72.3681,70.0157,70.3871,70.3871,1168205
2005-01-21,71.1918,72.0585,71.1918,71.749,71.749,974908
2005-01-24,71.3157,72.3681,70.9442,71.5633,71.5633,336115
2005-01-26,72.7395,72.7395,70.8824,71.1919,71.1919,626132
2005-01-27,70.48,70.5728,68.9168,69.3966,69.3966,979262
2005-01-28,69.9538,71.4395,68.9633,71.4395,71.4395,848888
2005-01-31,72.6157,72.6157,71.1918,72.2752,72.2752,626809
2005-02-01,72.5229,73.5443,71.9502,73.2967,73.2967,1307273
2005-02-02,73.6681,77.3206,73.2812,77.3206,77.3206,1521971
2005-02-03,78.0015,79.2396,77.0729,78.8682,78.8682,1678291
2005-02-04,79.2397,82.0254,79.1778,81.7159,81.7159,1465817
2005-02-09,83.5731,84.1302,81.7159,82.8921,82.8921,425446
2005-02-10,82.6444,82.6444,79.8587,81.0968,81.0968,906426
2005-02-11,81.0906,81.7096,78.6146,80.4097,80.4097,759649
2005-02-14,80.4004,81.0349,77.9396,78.6206,78.6206,568639
2005-02-15,77.3979,80.4158,76.8872,79.9206,79.9206,770419
2005-02-16,80.4222,80.9794,77.2183,78.6268,78.6268,1175122
2005-02-17,80.4778,80.7873,79.6111,80.7873,80.7873,744615
2005-02-18,81.0968,81.4064,80.1683,81.1897,81.1897,777189
2005-02-21,81.0968,81.1897,79.4873,79.8587,79.8587,421728
2005-02-22,79.8618,80.4035,78.3141,78.9177,78.9177,1142707
2005-02-23,79.6978,80.6883,78.9241,80.5954,80.5954,1619090
2005-02-24,80.6945,82.5826,80.6945,82.4588,82.4588,2271502
2005-02-25,82.0873,83.8826,80.973,82.0254,82.0254,1545333
2005-02-28,81.7159,82.5206,80.4932,81.0968,81.0968,1186130
2005-03-01,80.7872,81.3444,79.4872,81.3444,81.3444,884221
2005-03-02,81.7159,82.0255,79.8587,80.4778,80.4778,594816
2005-03-03,81.7159,81.7933,78.4194,79.4873,79.4873,1705237
2005-03-04,80.4777,81.2825,80.1682,80.292,80.292,758210
2005-03-07,81.0039,81.9325,79.3015,81.0349,81.0349,740634
2005-03-08,80.4778,80.4778,78.9456,79.4254,79.4254,581817
2005-03-09,79.1158,79.2396,78.4968,78.8682,78.8682,721331
2005-03-10,78.8682,79.1777,77.011,78.0015,78.0015,564010
2005-03-11,79.1777,79.1777,74.9062,74.9062,74.9062,843268
2005-03-14,76.1379,76.1379,73.1357,73.9714,73.9714,979028
2005-03-15,74.2872,74.9062,73.0491,73.3586,73.3586,1181532
2005-03-16,73.3277,75.8349,72.43,75.2777,75.2777,1115958
2005-03-17,74.2871,77.3824,73.8228,77.1348,77.1348,1197932
2005-03-18,77.5063,77.9706,74.6896,75.2158,75.2158,542803
2005-03-21,76.3269,76.3269,72.5662,73.0305,73.0305,969381
2005-03-22,73.6681,73.6681,68.1584,68.7156,68.7156,1166130
2005-03-23,69.0251,69.0251,66.6727,67.6632,67.6632,2269184
2005-03-24,69.3563,70.5172,68.4122,69.3099,69.3099,944082
2005-03-28,69.9537,71.1919,67.4775,67.4775,67.4775,952857
2005-03-29,68.7156,69.2109,64.6918,65.187,65.187,951147
2005-03-30,66.2394,67.4156,63.8715,65.7751,65.7751,1084591
2005-03-31,66.8523,68.276,65.769,67.038,67.038,1492387
2005-04-01,68.6538,69.5205,66.9823,68.9633,68.9633,1214801
2005-04-04,68.3998,69.2045,64.9953,67.4713,67.4713,1512058
2005-04-05,67.6013,68.2513,65.6203,65.6203,65.6203,925880
2005-04-06,66.1775,66.4251,62.8965,64.3822,64.3822,1683294
2005-04-07,64.7692,65.218,63.3144,65.0013,65.0013,865477
2005-04-08,65.0012,66.9203,63.7631,65.5584,65.5584,1374399
2005-04-11,66.5149,66.5149,64.7506,65.9113,65.9113,398031
2005-04-12,65.6358,66.7966,65.2489,66.2394,66.2394,676759
2005-04-13,66.7655,68.0037,66.2393,66.8584,66.8584,1383094
2005-04-14,67.1613,67.2851,61.7451,61.8998,61.8998,1718814
2005-04-15,61.9679,62.525,59.4916,61.2869,61.2869,1404839
2005-04-18,61.4726,61.5964,60.0488,61.2869,61.2869,1362716
2005-04-19,61.9,64.0665,61.9,64.0665,64.0665,1339710
2005-04-20,64.0727,64.0727,61.875,62.0917,62.0917,655981
2005-04-22,63.3298,63.3298,61.2869,61.5964,61.5964,435390
2005-04-25,62.1536,63.4537,61.7822,63.2989,63.2989,236248
2005-04-26,63.1131,63.7631,62.525,63.2679,63.2679,568626
2005-04-27,62.525,63.4226,62.0916,62.7107,62.7107,394762
2005-04-28,62.525,62.525,60.3583,60.3583,60.3583,452919
2005-04-29,61.8504,62.9803,59.9001,60.8288,60.8288,1004374
2005-05-02,62.7727,62.7727,60.4822,60.9774,60.9774,574776
2005-05-03,60.9712,61.4045,60.3832,60.9712,60.9712,618720
2005-05-04,61.5965,63.4536,61.2869,63.1441,63.1441,1147075
2005-05-05,63.4537,64.1965,61.9679,62.3084,62.3084,989293
2005-05-06,62.8655,62.8965,60.9774,61.225,61.225,1465638
2005-05-09,61.2869,61.4107,58.8571,59.5535,59.5535,845872
2005-05-10,60.6679,60.9155,56.644,57.8202,57.8202,1486282
2005-05-11,57.944,58.0678,56.5202,56.8916,56.8916,973022
2005-05-12,57.8821,58.0059,55.0344,55.0963,55.0963,978737
2005-05-13,55.4678,56.0249,55.0035,55.0035,55.0035,797293
2005-05-16,13.9227,14.2694,13.6379,14.1765,14.1765,602789
2005-05-17,14.2384,14.4427,13.9288,14.356,14.356,873998
2005-05-18,14.5479,14.6717,14.3931,14.5355,14.5355,968106
2005-05-19,14.3312,14.5355,14.0527,14.2879,14.2879,551375
2005-05-20,14.3002,14.3621,13.7183,13.7988,13.7988,268572
2005-05-23,13.836,13.836,13.1859,13.2169,13.2169,389054
2005-05-24,13.2169,13.5512,12.9198,13.5512,13.5512,943428
2005-05-25,13.6255,13.9289,13.3717,13.5884,13.5884,1775623
2005-05-27,13.5883,14.0217,13.5883,13.9288,13.9288,1461382
2005-05-30,14.0527,14.517,14.0032,14.3003,14.3003,693396
2005-05-31,14.3312,14.4798,14.0217,14.2136,14.2136,1247940
2005-06-01,14.2384,14.6717,14.1765,14.4984,14.4984,807991
2005-06-02,14.6717,15.786,14.5169,15.786,15.786,1834710
2005-06-03,15.7551,16.0337,15.037,15.4765,15.4765,876816
2005-06-06,14.9193,15.0431,14.3931,14.6717,14.6717,1081448
2005-06-07,14.6098,14.6098,13.9289,14.0279,14.0279,1959407
2005-06-08,14.3684,14.4179,13.4707,13.6812,13.6812,1062208
2005-06-09,13.3779,13.4955,12.7588,13.4336,13.4336,1179695
2005-06-10,13.6564,13.7926,13.4955,13.7431,13.7431,576061
2005-06-13,13.9288,14.1765,13.4955,13.5574,13.5574,861572
2005-06-14,13.7369,14.1083,12.9012,13.9288,13.9288,1312650
2005-06-15,13.7431,13.805,13.186,13.4336,13.4336,1351866
2005-06-16,13.8546,13.8546,13.4645,13.6255,13.6255,2024932
2005-06-17,13.8359,14.0836,13.5388,13.5388,13.5388,934048
2005-06-20,13.6008,13.6008,13.1922,13.2417,13.2417,1166651
2005-06-21,13.2416,13.4645,12.7526,12.8764,12.8764,931368
2005-06-22,13.0621,13.0621,12.3502,12.5607,12.5607,1534052
2005-06-23,12.5669,12.7835,11.8859,11.8921,11.8921,1128199
2005-06-24,11.9541,12.0407,11.6693,11.7931,11.7931,910840
2005-06-27,11.6321,11.7621,11.3412,11.725,11.725,1026033
2005-06-28,11.8055,12.3503,11.7126,12.1955,12.1955,1384874
2005-06-29,12.3503,12.6226,12.0717,12.2574,12.2574,780412
2005-06-30,12.2883,12.5236,12.0902,12.1026,12.1026,995625
2005-07-01,12.1027,12.2574,11.9169,11.9479,11.9479,431510
2005-07-04,11.756,12.0717,11.5765,11.6817,11.6817,355618
2005-07-05,11.7065,11.7065,11.3907,11.4836,11.4836,1370734
2005-07-06,11.2978,11.3597,11.1183,11.1616,11.1616,1172924
2005-07-07,11.0193,11.1679,10.7779,10.8831,10.8831,1328227
2005-07-08,10.9573,11.143,10.5178,10.5178,10.5178,1522962
2005-07-11,10.5983,11.6074,10.5983,11.6074,11.6074,1363171
2005-07-12,11.7621,12.3564,11.6259,12.1583,12.1583,1550064
2005-07-13,12.3627,13.1489,12.3255,13.056,13.056,2007593
2005-07-14,13.186,13.5946,12.6907,13.1179,13.1179,1556450
2005-07-15,12.6721,12.9383,12.5669,12.5669,12.5669,1052680
2005-07-18,12.5669,13.4955,12.3936,13.3098,13.3098,1088783
2005-07-19,13.0931,14.0217,13.0064,13.6874,13.6874,1363128
2005-07-20,13.6193,14.7027,13.3903,14.1765,14.1765,2028893
2005-07-21,14.356,14.6903,13.9908,14.2384,14.2384,1590204
2005-07-22,14.2384,14.4241,13.6874,13.8979,13.8979,1207642
2005-07-25,13.3716,13.4026,12.9259,12.9383,12.9383,1652064
2005-07-26,12.7465,13.3098,12.635,12.8455,12.8455,1402440
2005-07-27,13.1241,13.4645,13.056,13.3593,13.3593,1267162
2005-07-28,13.5575,14.3003,13.5575,14.0527,14.0527,1529662
