Date,Open,High,Low,Close,Adj Close,Volume
2007-04-05,4.2987,4.4374,4.2183,4.3819,4.3819,8935509
2007-04-09,4.2987,4.3735,4.2155,4.368,4.368,1840118
2007-04-10,4.2848,4.2848,4.1184,4.1434,4.1434,1956971
2007-04-11,4.0962,4.16,3.9492,3.9631,3.9631,2132517
2007-04-12,3.9354,4.1739,3.9243,4.1656,4.1656,1210197
2007-04-13,4.2154,4.2875,4.16,4.2709,4.2709,914930
2007-04-16,4.2016,4.2987,4.16,4.16,4.16,575537
2007-04-17,4.16,4.1822,4.0934,4.16,4.16,298914
2007-04-18,4.1323,4.2571,4.1184,4.16,4.16,426113
2007-04-19,4.1185,4.1878,4.0907,4.1878,4.1878,497637
2007-04-20,4.16,4.2321,4.1461,4.16,4.16,701260
2007-04-23,4.16,4.1822,4.1573,4.1739,4.1739,398355
2007-04-24,4.16,4.2127,4.1461,4.2016,4.2016,580952
2007-04-25,4.1738,4.2986,4.1738,4.2986,4.2986,503308
2007-04-26,4.2932,4.3708,4.0907,4.1739,4.1739,677891
2007-04-27,4.1601,4.1739,4.0935,4.1573,4.1573,651155
2007-04-30,4.16,4.1684,4.0907,4.1323,4.1323,180842
2007-05-02,4.1601,4.1601,4.1102,4.1573,4.1573,140942
2007-05-03,4.1462,4.2183,4.124,4.185,4.185,748402
2007-05-04,4.1849,4.3264,4.1378,4.2709,4.2709,658569
2007-05-07,4.3126,4.5206,4.3126,4.4346,4.4346,504966
2007-05-08,4.3819,4.5205,4.2432,4.4928,4.4928,288560
2007-05-09,4.4927,4.5205,4.3818,4.4234,4.4234,282672
2007-05-10,4.4096,4.4096,4.2876,4.3264,4.3264,210281
2007-05-11,4.3264,4.4345,4.3264,4.4068,4.4068,794499
2007-05-14,4.4068,4.4068,4.2709,4.3347,4.3347,138924
2007-05-15,4.4095,4.4373,4.3125,4.4234,4.4234,301351
2007-05-16,4.4373,4.6176,4.4068,4.576,4.576,627656
2007-05-17,4.5205,4.7979,4.4706,4.7008,4.7008,518649
2007-05-18,4.7009,4.8673,4.7009,4.8534,4.8534,451533
2007-05-21,4.8533,5.2693,4.8533,5.2,5.2,535574
2007-05-22,5.2416,5.4635,5.2028,5.2194,5.2194,1157202
2007-05-23,5.2138,5.4357,5.2138,5.3941,5.3941,436171
2007-05-24,5.4607,5.5189,5.3803,5.408,5.408,773237
2007-05-25,5.408,5.6853,5.408,5.5744,5.5744,451102
2007-05-28,5.6161,5.9905,5.6161,5.8823,5.8823,164363
2007-05-29,5.9654,6.1568,5.824,5.824,5.824,1125411
2007-05-30,5.5744,5.9627,5.4496,5.4496,5.4496,910815
2007-05-31,5.6826,5.9571,5.5883,5.824,5.824,332941
2007-06-01,5.9349,6.24,5.9349,6.24,6.24,382763
2007-06-04,6.2899,6.9305,6.2899,6.6005,6.6005,445136
2007-06-05,6.6838,6.8779,6.4203,6.4619,6.4619,433366
2007-06-06,6.5729,6.5978,6.3233,6.351,6.351,219090
2007-06-08,6.3094,6.5035,6.0986,6.3815,6.3815,339508
2007-06-11,6.4397,6.5451,6.1291,6.1846,6.1846,509658
2007-06-12,6.24,6.3787,5.9627,5.9627,5.9627,252734
2007-06-13,6.1014,6.1291,6.0598,6.1291,6.1291,287430
2007-06-14,6.1014,6.4342,6.0321,6.4342,6.4342,1308921
2007-06-15,6.4951,7.0165,6.4951,6.7669,6.7669,410463
2007-06-18,6.8863,7.0721,6.462,6.6561,6.6561,187678
2007-06-19,6.6421,6.6421,6.534,6.5728,6.5728,230714
2007-06-20,6.839,6.839,6.2982,6.2982,6.2982,323487
2007-06-21,6.448,6.7919,6.3786,6.7669,6.7669,232814
2007-06-22,6.6782,6.9,6.6782,6.8917,6.8917,461333
2007-06-25,6.7004,6.8224,6.6283,6.6699,6.6699,240023
2007-06-26,6.7947,6.8197,6.6699,6.8197,6.8197,73964
2007-06-27,6.6976,6.7254,6.5867,6.5867,6.5867,360496
2007-06-28,6.7947,7.0443,6.6533,6.9334,6.9334,317521
2007-06-29,6.9612,7.2662,6.878,7.1553,7.1553,626213
2007-07-02,7.2107,7.2939,7.1747,7.2135,7.2135,183981
2007-07-03,7.2689,7.377,7.2356,7.2356,7.2356,220032
2007-07-04,7.2661,7.3493,6.9943,7.0609,7.0609,245734
2007-07-05,7.2079,7.2079,6.803,6.8585,6.8585,70993
2007-07-06,6.9472,7.0997,6.6532,6.7392,6.7392,238979
2007-07-10,6.8085,6.8085,6.3787,6.4064,6.4064,509351
2007-07-11,6.5951,6.5951,6.1153,6.1846,6.1846,603277
2007-07-12,6.2955,6.4619,6.2927,6.4619,6.4619,788395
2007-07-13,6.6421,6.656,6.4896,6.6005,6.6005,534554
2007-07-16,6.5867,6.6533,6.5174,6.6283,6.6283,320234
2007-07-17,6.8778,6.9028,6.5478,6.6421,6.6421,1398458
2007-07-18,6.6283,6.6338,6.4508,6.5867,6.5867,887867
2007-07-19,6.5035,6.8197,6.5035,6.7115,6.7115,493459
2007-07-20,6.7115,6.8169,6.6588,6.7392,6.7392,179262
2007-07-23,6.753,6.753,6.656,6.7253,6.7253,338522
2007-07-24,6.7254,6.7947,6.4397,6.6283,6.6283,283715
2007-07-25,6.5728,6.7254,6.1457,6.6283,6.6283,447963
2007-07-26,6.5174,6.5174,6.143,6.5174,6.5174,490200
2007-07-27,6.5174,6.6533,6.2123,6.351,6.351,848967
2007-07-30,6.4258,6.5173,6.1318,6.2788,6.2788,300635
2007-07-31,6.4148,6.4453,6.1652,6.3787,6.3787,403855
2007-08-01,6.24,6.3759,6.0486,6.2261,6.2261,443490
2007-08-02,6.2289,6.3093,6.1013,6.24,6.24,434113
2007-08-03,6.24,6.24,5.8517,6.1013,6.1013,549176
2007-08-06,6.2095,6.2095,5.8267,6.1013,6.1013,445993
2007-08-07,6.1292,6.6561,5.9156,6.6561,6.6561,843687
2007-08-08,6.6283,6.9334,6.6228,6.8086,6.8086,651650
2007-08-09,6.6504,6.7835,6.3953,6.6532,6.6532,226094
2007-08-10,6.3787,6.6255,6.1513,6.6255,6.6255,434463
2007-08-13,6.6422,6.7365,6.5174,6.5174,6.5174,335510
2007-08-14,6.6505,6.6505,6.1485,6.3787,6.3787,138770
2007-08-15,6.2705,6.3232,5.9765,6.1152,6.1152,421774
2007-08-16,5.9349,6.0736,5.2721,6.0736,6.0736,618286
2007-08-17,6.0708,6.3787,5.6299,5.7408,5.7408,431027
2007-08-20,5.9072,6.0736,5.5938,5.7547,5.7547,1072370
2007-08-21,5.713,5.738,5.4912,5.6021,5.6021,588441
2007-08-22,5.6687,6.0625,5.6687,5.9904,5.9904,438493
2007-08-23,6.0986,6.1014,5.6687,5.9627,5.9627,254874
2007-08-24,5.9571,6.2871,5.8434,6.24,6.24,416197
2007-08-27,6.2068,6.2678,6.0598,6.1569,6.1569,101254
2007-08-28,6.1014,6.1014,5.824,5.9627,5.9627,461256
2007-08-29,6.1264,6.1264,5.7686,6.0182,6.0182,919538
2007-08-30,6.007,6.007,5.7574,5.824,5.824,787118
2007-08-31,5.9211,6.1846,5.7991,6.1846,6.1846,300731
2007-09-03,6.1846,6.3787,6.1319,6.3621,6.3621,167275
2007-09-04,6.3232,6.4619,5.9294,5.9294,5.9294,359838
2007-09-05,5.9904,5.9904,5.4884,5.5189,5.5189,1172151
2007-09-06,5.6327,5.7824,5.519,5.5245,5.5245,581867
2007-09-10,5.5051,5.5051,5.2139,5.2139,5.2139,246138
2007-09-11,5.3248,5.3775,5.0502,5.2693,5.2693,766662
2007-09-12,5.2832,5.5439,5.2416,5.3941,5.3941,333312
2007-09-13,5.3997,5.5301,5.3304,5.3304,5.3304,116279
2007-09-14,5.3664,5.3664,5.2416,5.3248,5.3248,415692
2007-09-17,5.3525,5.3525,5.1695,5.2693,5.2693,176621
2007-09-18,5.2971,5.4774,5.164,5.2971,5.2971,227173
2007-09-19,5.4635,5.6161,5.4164,5.4774,5.4774,844035
2007-09-20,5.5467,5.6299,5.4968,5.5467,5.5467,378282
2007-09-21,5.6132,5.616,5.505,5.6021,5.6021,546737
2007-09-24,5.7797,5.7797,5.6715,5.7658,5.7658,211538
2007-09-25,5.7686,5.9932,5.6576,5.9627,5.9627,343653
2007-09-26,5.9627,6.0099,5.8518,5.935,5.935,249190
2007-09-27,5.9627,6.1291,5.8268,6.1291,6.1291,285794
2007-09-28,6.1291,6.2677,5.9349,6.0098,6.0098,554771
