Date,Open,High,Low,Close,Adj Close,Volume
2009-06-29,6.0502,6.1748,5.8723,5.9682,5.9682,340658037
2009-06-30,6.0108,6.0854,5.9252,5.9966,5.9966,91354170
2009-07-01,6.0929,6.4273,6.0751,6.3454,6.3454,81824880
2009-07-02,6.2279,6.4166,6.1641,6.413,6.413,52866353
2009-07-03,6.4204,6.5058,6.342,6.349,6.349,5594352
2009-07-06,6.267,6.3845,6.1887,6.2813,6.2813,18494625
2009-07-07,6.2422,6.2528,5.9538,6.0322,6.0322,27551929
2009-07-08,5.9754,6.1211,5.9503,6.05,6.05,20835044
2009-07-10,6.05,6.2955,6.0144,6.2244,6.2244,26881873
2009-07-13,6.2635,6.4024,6.1211,6.4024,6.4024,82418097
2009-07-14,6.4415,6.5449,6.3703,6.4771,6.4771,32791346
2009-07-15,6.5483,6.6691,6.5338,6.6194,6.6194,15763240
2009-07-16,6.6159,6.7155,6.4095,6.7155,6.7155,7422176
2009-07-17,6.7259,6.7546,6.5125,6.5839,6.5839,16738265
2009-07-20,6.5839,6.6372,6.3488,6.4024,6.4024,31882012
2009-07-21,6.4061,6.4345,6.1925,6.228,6.228,17138189
2009-07-22,6.2279,6.3382,6.1924,6.1924,6.1924,27070786
2009-07-23,6.2494,6.3097,6.2138,6.2636,6.2636,13699523
2009-07-24,6.2529,6.381,6.1888,6.1888,6.1888,12029359
2009-07-27,6.2137,6.2458,6.0216,6.05,6.05,16901101
2009-07-28,6.0323,6.139,6.0217,6.139,6.139,24519556
2009-07-29,6.1036,6.107,6.0501,6.0785,6.0785,4646001
2009-07-30,6.1035,6.2991,6.1035,6.2991,6.2991,10620967
2009-07-31,6.267,6.3703,6.2635,6.3703,6.3703,5642327
2009-08-03,6.3847,6.4772,6.3312,6.3383,6.3383,5968795
2009-08-04,6.2955,6.4628,6.2671,6.3739,6.3739,6899229
2009-08-05,6.428,6.6445,6.3704,6.6374,6.6374,18395888
2009-08-06,6.6376,6.7059,6.374,6.3849,6.3849,12729474
2009-08-07,6.4211,6.4751,6.1867,6.3128,6.3128,27335345
2009-08-10,6.2624,6.3127,6.1901,6.2226,6.2226,17369504
2009-08-11,6.2551,6.2551,6.118,6.1324,6.1324,23126891
2009-08-12,6.1683,6.2262,6.1361,6.154,6.154,14354649
2009-08-13,6.1865,6.2188,6.0999,6.0999,6.0999,21772446
2009-08-14,6.1215,6.1468,5.9916,6.0639,6.0639,8343254
2009-08-17,5.9593,6.1325,5.8617,5.9881,5.9881,5287193
2009-08-18,6.0386,6.1937,6.0386,6.0891,6.0891,6278940
2009-08-19,6.0529,6.0926,5.9916,6.0025,6.0025,5422558
2009-08-20,6.0171,6.0494,5.963,5.9701,5.9701,4394183
2009-08-21,6.0059,6.1865,6.0059,6.1865,6.1865,8701772
2009-08-24,6.2045,6.2802,6.1683,6.2767,6.2767,8580541
2009-08-25,6.2262,6.3057,6.2045,6.2731,6.2731,10406175
2009-08-26,6.2333,6.2404,6.0349,6.0639,6.0639,12925554
