Date,Open,High,Low,Close,Adj Close,Volume
2012-03-14,2.3952,2.3952,2.3952,2.3952,2.3952,600
2012-03-16,2.3952,2.3952,2.3952,2.3952,2.3952,4700
2012-03-29,2.3952,2.3952,2.3952,2.3952,2.3952,13200
2012-06-01,1.6951,1.7025,1.6951,1.7025,1.7025,200
2012-06-08,1.6213,1.6213,1.6213,1.6213,1.6213,4000
2012-06-21,1.6213,1.6213,1.6213,1.6213,1.6213,2200
2012-06-22,1.6213,1.6213,1.6213,1.6213,1.6213,200
2012-06-25,1.6213,1.6213,1.6213,1.6213,1.6213,3500
2012-06-26,1.6213,1.6213,1.6213,1.6213,1.6213,100
2012-07-04,1.6213,1.6213,1.6213,1.6213,1.6213,3700
2012-07-12,1.4739,1.6213,1.4739,1.6213,1.6213,2800
2012-07-31,1.4739,1.4739,1.4739,1.4739,1.4739,2200
2012-08-14,1.4813,1.6213,1.4813,1.6213,1.6213,200
2012-10-15,1.7392,1.8424,1.7392,1.8424,1.8424,2100
2012-10-17,2.4173,2.4173,2.4173,2.4173,2.4173,100
2012-10-23,2.7342,2.9479,2.7342,2.9479,2.9479,300
2012-10-24,2.9479,2.9479,2.9479,2.9479,2.9479,100
2012-10-25,3.3164,3.3164,3.3164,3.3164,3.3164,100
2012-10-26,3.4638,3.4638,3.4638,3.4638,3.4638,200
2012-10-30,3.6775,3.6775,3.6775,3.6775,3.6775,200
2012-11-30,3.6775,3.6775,3.6775,3.6775,3.6775,2000
2012-12-04,3.6775,3.6775,3.6775,3.6775,3.6775,500
2012-12-05,4.2428,4.3471,4.2155,4.306,4.306,533300
2012-12-06,4.3955,4.5461,4.3166,4.5461,4.5461,1425700
2012-12-07,4.5461,4.6587,4.4945,4.6061,4.6061,1024000
2012-12-10,4.6303,4.6324,4.5124,4.5271,4.5271,696200
2012-12-11,4.5398,4.5556,4.4324,4.5061,4.5061,715800
2012-12-12,4.506,4.5271,4.445,4.5271,4.5271,483400
2012-12-13,4.4313,4.5861,4.425,4.5587,4.5587,801900
2012-12-14,4.5398,4.6324,4.4945,4.5798,4.5798,211100
2012-12-17,4.625,4.7461,4.5282,4.7377,4.7377,551800
2012-12-18,4.7377,4.8977,4.7177,4.8851,4.8851,1543000
2012-12-19,4.8619,4.9072,4.7429,4.8956,4.8956,1237900
2012-12-20,4.8956,5.0009,4.8103,4.8935,4.8935,919200
2012-12-21,4.8461,4.9198,4.7767,4.8693,4.8693,694200
2012-12-26,4.8756,4.8851,4.7903,4.7903,4.7903,202500
2012-12-27,4.7377,4.8714,4.7219,4.7482,4.7482,287600
2012-12-28,4.7388,4.8693,4.7377,4.8693,4.8693,533600
2013-01-02,4.9998,4.9998,4.7398,4.7903,4.7903,299000
2013-01-03,4.785,4.8114,4.624,4.6745,4.6745,523200
2013-01-04,4.6629,4.8324,4.5818,4.8324,4.8324,613700
2013-01-07,4.7892,4.8429,4.745,4.8324,4.8324,296300
2013-01-08,4.8335,4.8388,4.6219,4.6324,4.6324,1050200
2013-01-09,4.6829,4.7472,4.6282,4.6661,4.6661,1739200
2013-01-10,4.6651,4.7967,4.6219,4.7377,4.7377,738500
2013-01-11,4.7157,4.8325,4.7094,4.7999,4.7999,656900
2013-01-14,4.7788,4.7851,4.4882,4.5356,4.5356,11691300
2013-01-15,4.5788,4.5799,4.4746,4.5009,4.5009,756400
2013-01-16,4.5145,4.5945,4.3355,4.5503,4.5503,1226800
2013-01-17,4.5061,4.6525,4.5061,4.6114,4.6114,1059600
2013-01-18,4.5861,4.6398,4.5429,4.6008,4.6008,664700
2013-01-21,4.6219,4.6324,4.5429,4.6324,4.6324,378400
2013-01-22,4.6535,4.6599,4.5798,4.6209,4.6209,606100
2013-01-23,4.6208,4.6787,4.5903,4.6787,4.6787,1298000
2013-01-24,4.6893,4.8314,4.6493,4.7956,4.7956,1884100
2013-01-28,4.7388,4.8641,4.7388,4.843,4.843,1174600
2013-01-29,4.8262,4.9957,4.8104,4.9957,4.9957,1659100
2013-01-30,4.9883,5.1473,4.9872,5.0862,5.0862,1502800
2013-01-31,5.0978,5.1483,5.0356,5.1483,5.1483,944900
2013-02-01,5.1041,5.2262,5.0999,5.1641,5.1641,677100
2013-02-04,5.1578,5.1736,5.0999,5.1483,5.1483,708000
2013-02-05,5.1483,5.221,5.1168,5.1894,5.1894,733400
2013-02-06,5.242,5.2557,5.1641,5.2062,5.2062,707800
2013-02-07,5.1799,5.2852,5.1283,5.2073,5.2073,778300
2013-02-08,5.2409,5.3535,5.183,5.3167,5.3167,1134100
2013-02-13,5.3031,5.4421,5.2894,5.3073,5.3073,323700
2013-02-14,5.4073,5.4073,5.3084,5.3368,5.3368,1008700
2013-02-15,5.3378,5.422,5.282,5.3904,5.3904,794400
2013-02-18,5.3862,5.4504,5.3199,5.3904,5.3904,865800
2013-02-19,5.3694,5.4242,5.2325,5.3294,5.3294,889000
2013-02-20,5.3167,5.3862,5.2378,5.2641,5.2641,767700
2013-02-21,5.2389,5.3126,5.161,5.2905,5.2905,543400
2013-02-22,5.2904,5.4346,5.2641,5.3904,5.3904,680300
2013-02-25,5.4221,5.4221,5.3063,5.3747,5.3747,628700
2013-02-26,5.322,5.4052,5.322,5.3694,5.3694,522900
2013-02-27,5.3894,5.422,5.3326,5.3673,5.3673,427700
2013-02-28,5.3694,5.4536,5.322,5.4536,5.4536,2194200
2013-03-01,5.3747,5.4589,5.3557,5.3915,5.3915,845900
2013-03-04,5.3494,5.6115,5.3494,5.5652,5.5652,981800
2013-03-05,5.6,5.7189,5.5768,5.5905,5.5905,954800
