Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,3.8109,3.8664,3.8002,3.813,3.813,164413
2005-01-04,3.813,3.8856,3.813,3.8429,3.8429,383782
2005-01-05,3.8643,3.8643,3.7576,3.8643,3.8643,431689
2005-01-06,3.8429,4.0457,3.8429,4.0457,4.0457,210014
2005-01-07,4.0457,4.1204,4.0457,4.1012,4.1012,289873
2005-01-10,4.1013,4.1205,4.0564,4.0671,4.0671,89242
2005-01-11,4.1461,4.1461,3.9625,4.0137,4.0137,127619
2005-01-12,3.9924,4.0137,3.9284,3.9497,3.9497,152392
2005-01-13,3.971,4.0137,3.9091,3.9667,3.9667,101812
2005-01-14,3.9496,4.0094,3.9496,4.0094,4.0094,82815
2005-01-17,4.0137,4.0137,3.907,3.9689,3.9689,51605
2005-01-18,3.8856,3.971,3.8856,3.939,3.939,87965
2005-01-19,3.939,3.939,3.8643,3.907,3.907,42850
2005-01-20,3.8856,3.8877,3.8493,3.8749,3.8749,90709
2005-01-21,3.9283,3.9283,3.8429,3.8429,3.8429,84385
2005-01-24,3.8642,3.8749,3.8429,3.8429,3.8429,268856
2005-01-26,3.8642,3.8856,3.8216,3.8429,3.8429,178530
2005-01-27,3.845,3.8856,3.8002,3.8429,3.8429,331451
2005-01-28,3.8108,3.8215,3.7724,3.7724,3.7724,128633
2005-01-31,3.8599,3.8599,3.7575,3.7596,3.7596,80848
2005-02-01,3.7576,3.8216,3.7362,3.7789,3.7789,33510
2005-02-02,3.7767,3.907,3.7767,3.86,3.86,37449
2005-02-03,3.8536,3.8962,3.8215,3.8749,3.8749,86480
2005-02-04,3.9262,3.971,3.8558,3.9625,3.9625,108532
2005-02-09,3.9496,4.2997,3.9496,4.2058,4.2058,235868
2005-02-10,4.1632,4.2272,4.1632,4.2187,4.2187,227641
2005-02-11,4.2187,4.2891,4.1845,4.2699,4.2699,197981
2005-02-14,4.2357,4.588,4.2357,4.462,4.462,152193
2005-02-15,4.3019,4.3852,4.2699,4.3126,4.3126,102237
2005-02-16,4.2486,4.2806,4.2272,4.2678,4.2678,62721
2005-02-17,4.2699,4.3019,4.208,4.208,4.208,75831
2005-02-18,4.2165,4.2891,4.2059,4.2699,4.2699,150292
2005-02-21,4.2272,4.2913,4.1952,4.2806,4.2806,69984
2005-02-22,4.272,4.2934,4.2059,4.2507,4.2507,384262
2005-02-23,4.2293,4.2656,4.208,4.2272,4.2272,232505
2005-02-24,4.3126,4.334,4.302,4.3233,4.3233,2716266
2005-02-25,4.2913,4.3767,4.2699,4.3233,4.3233,189868
2005-02-28,4.3232,4.3232,4.2485,4.2485,4.2485,72681
2005-03-01,4.2699,4.3104,4.2699,4.272,4.272,152487
2005-03-02,4.2699,4.3233,4.2187,4.3233,4.3233,55314
2005-03-03,4.2977,4.3553,4.2699,4.3126,4.3126,84503
2005-03-04,4.3232,4.3766,4.2912,4.3339,4.3339,65850
2005-03-07,4.3766,4.462,4.3553,4.4001,4.4001,65677
2005-03-08,4.4087,4.4813,4.4087,4.4407,4.4407,76690
2005-03-09,4.4406,4.4406,4.2699,4.2912,4.2912,103512
2005-03-10,4.2912,4.2912,4.1631,4.1866,4.1866,210216
2005-03-11,4.2058,4.2912,4.1631,4.2656,4.2656,75362
2005-03-14,4.1845,4.2486,4.1739,4.1952,4.1952,249285
2005-03-15,4.2058,4.208,4.0564,4.0564,4.0564,108282
2005-03-16,4.0585,4.0777,3.8962,4.0158,4.0158,122884
2005-03-17,4.0543,4.0543,3.9283,4.0137,4.0137,43054
2005-03-18,4.0137,4.0457,3.9389,4.0158,4.0158,119306
2005-03-21,4.067,4.0884,4.035,4.0585,4.0585,86394
2005-03-22,4.0777,4.099,3.9603,4.035,4.035,251898
2005-03-23,4.0564,4.0564,3.8856,3.8856,3.8856,72451
2005-03-24,3.971,3.971,3.8643,3.907,3.907,140465
2005-03-28,3.9476,3.9497,3.875,3.907,3.907,74077
2005-03-29,3.8642,3.8856,3.8002,3.8023,3.8023,110078
2005-03-30,3.7895,3.9923,3.7895,3.9283,3.9283,56179
2005-03-31,3.9496,3.971,3.8429,3.8621,3.8621,224921
2005-04-01,3.8642,3.9069,3.7681,3.8941,3.8941,323118
2005-04-04,3.8301,3.8579,3.8024,3.8408,3.8408,41802
2005-04-05,3.845,3.9496,3.8429,3.8984,3.8984,161747
2005-04-06,3.8429,3.907,3.8429,3.8536,3.8536,116957
2005-04-07,3.8429,3.8429,3.7596,3.8002,3.8002,89720
2005-04-08,3.7575,3.7575,3.7233,3.7575,3.7575,4436
2005-04-11,3.7575,3.8856,3.7575,3.845,3.845,35628
2005-04-12,3.8536,3.8536,3.7405,3.7789,3.7789,65813
2005-04-13,3.7789,3.875,3.7789,3.8643,3.8643,34618
2005-04-14,3.8642,3.8642,3.7148,3.7148,3.7148,103734
2005-04-15,3.7575,3.7575,3.6935,3.7575,3.7575,178821
2005-04-18,3.6935,3.828,3.6935,3.781,3.781,66328
2005-04-19,3.843,3.9497,3.843,3.9497,3.9497,176111
2005-04-20,3.8834,4.0563,3.8429,3.9923,3.9923,140731
2005-04-22,4.0563,4.0563,3.9816,3.9923,3.9923,59878
2005-04-25,4.0137,4.0137,3.9283,3.9283,3.9283,57740
2005-04-26,3.971,4.0777,3.971,4.0777,4.0777,149332
2005-04-27,4.0777,4.2357,4.0457,4.2357,4.2357,109971
2005-04-28,4.1418,4.3126,4.1205,4.2699,4.2699,121120
2005-04-29,4.2912,4.3659,4.1845,4.3339,4.3339,181406
2005-05-02,4.3325,4.3325,4.2134,4.2892,4.2892,41941
2005-05-03,4.3325,4.4192,4.3325,4.365,4.365,83461
2005-05-04,4.417,4.417,4.3303,4.3325,4.3325,242755
2005-05-05,4.3326,4.365,4.2026,4.2459,4.2459,48913
2005-05-06,4.287,4.287,4.1223,4.1375,4.1375,107795
2005-05-09,4.0618,4.0748,4.0293,4.0401,4.0401,371181
