Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,463.2498,468.7929,447.4122,452.5594,452.5594,7860182
2005-01-04,459.2903,459.2903,419.6963,423.2598,423.2598,15905082
2005-01-05,428.8031,430.3868,413.7573,421.2802,421.2802,12948367
2005-01-06,421.6762,423.2599,415.3411,416.133,416.133,12361645
2005-01-07,416.1329,425.6355,415.737,419.6964,419.6964,9137665
2005-01-10,419.6964,427.6152,407.8182,415.737,415.737,7217322
2005-01-11,415.341,422.072,411.7776,422.072,422.072,4801172
2005-01-12,427.6152,429.199,419.6964,423.6558,423.6558,6952814
2005-01-13,429.5949,439.4934,426.0314,437.5137,437.5137,5506094
2005-01-14,431.9706,444.2447,425.6355,444.2447,444.2447,7483071
2005-01-17,444.2447,447.8081,430.7827,435.534,435.534,4462730
2005-01-18,432.3665,433.9502,418.9045,423.6558,423.6558,11057259
2005-01-19,430.3867,433.5542,420.8842,423.2598,423.2598,4046353
2005-01-20,417.7167,419.3005,402.2751,419.3005,419.3005,13756489
2005-01-21,419.3005,441.0772,419.3005,431.9706,431.9706,10826095
2005-01-24,465.2295,465.2295,453.7473,458.8945,458.8945,23609902
2005-01-26,479.4833,482.2549,473.1483,475.128,475.128,13088767
2005-01-27,470.7727,471.1686,454.1432,457.3107,457.3107,11386523
2005-01-28,457.3107,466.8133,445.8285,462.062,462.062,12123005
2005-01-31,469.1889,470.7727,454.5391,465.2295,465.2295,6286522
2005-02-01,462.4579,462.4579,443.4528,443.4528,443.4528,5029496
2005-02-02,447.4122,454.5391,441.0772,449.3919,449.3919,8443517
2005-02-03,449.3919,456.9148,446.6203,453.3513,453.3513,11969430
2005-02-04,455.331,469.5848,453.3513,467.2092,467.2092,21139809
2005-02-09,479.8793,486.2143,474.732,486.2143,486.2143,7940565
2005-02-10,478.6914,490.9655,470.3767,490.5696,490.5696,18760076
2005-02-11,490.9656,504.0317,479.0874,500.4682,500.4682,13067012
2005-02-14,492.9453,504.8235,488.9859,504.8235,504.8235,18105015
2005-02-15,494.9251,500.4682,488.986,499.2804,499.2804,19210988
2005-02-16,499.2803,508.387,492.9453,498.8844,498.8844,25466607
2005-02-17,508.387,522.6408,506.8032,516.7017,516.7017,10884979
2005-02-18,514.722,522.6408,507.1991,518.6814,518.6814,7767757
2005-02-21,518.6814,532.1434,511.1585,526.6002,526.6002,8434574
2005-02-22,516.7018,532.5394,506.8033,517.0977,517.0977,17908162
2005-02-23,514.722,521.8489,510.7626,521.8489,521.8489,6294640
2005-02-24,522.6408,554.316,522.6408,554.316,554.316,27377643
2005-02-25,550.3566,559.8592,546.3972,554.316,554.316,9004388
2005-02-28,555.1079,561.8389,546.3972,561.8389,561.8389,6908606
2005-03-01,552.3363,575.3009,547.5851,561.8389,561.8389,10640263
2005-03-02,565.7983,578.0724,560.2551,578.0724,578.0724,5456019
2005-03-03,578.0724,582.0318,554.7119,568.5698,568.5698,5420837
2005-03-04,568.1739,582.0318,546.3972,558.2754,558.2754,18624957
2005-03-07,563.8186,568.1739,554.316,554.316,554.316,6017718
2005-03-08,554.316,560.2551,532.5393,538.4784,538.4784,3949439
2005-03-09,530.1637,550.3566,526.9962,540.0622,540.0622,5966341
2005-03-10,549.5647,549.5647,514.722,527.788,527.788,6095841
2005-03-11,539.6662,539.6662,509.9707,514.722,514.722,5465910
2005-03-14,514.722,526.2042,502.8438,509.9707,509.9707,4675116
2005-03-15,517.8895,517.8895,495.321,513.5342,513.5342,10756965
2005-03-16,506.0114,549.9607,500.8641,549.9607,549.9607,6914832
2005-03-17,526.6002,549.5647,521.057,542.4378,542.4378,17995130
2005-03-18,538.4784,549.1688,518.6814,520.6611,520.6611,6040675
2005-03-21,520.6611,526.6002,503.2397,516.7017,516.7017,2894664
2005-03-22,515.1179,529.3718,485.0265,490.9656,490.9656,7711194
2005-03-23,483.0468,498.4884,467.2092,467.6051,467.6051,5768678
2005-03-24,480.6711,485.0265,475.9199,480.2752,480.2752,3926104
2005-03-28,481.0671,483.0468,471.5645,477.1077,477.1077,3701520
2005-03-29,483.0467,498.8843,480.2752,490.5696,490.5696,4744013
2005-03-30,497.3006,518.6814,490.9656,509.1788,509.1788,4626227
2005-03-31,508.7829,512.7423,485.0265,495.3209,495.3209,4969663
2005-04-01,506.8032,516.7017,495.7169,513.5342,513.5342,5538907
2005-04-04,504.8235,530.5596,483.8387,487.0062,487.0062,5452326
2005-04-05,494.5291,508.7829,483.0468,487.7981,487.7981,6233449
