Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,3.98,4.0388,3.7957,3.8192,3.8192,583153
2005-01-04,3.8129,3.8663,3.6624,3.6702,3.6702,773241
2005-01-05,3.6859,3.7243,3.5769,3.6153,3.6153,776162
2005-01-06,3.6262,3.6702,3.5368,3.5839,3.5839,770913
2005-01-07,3.6043,3.7054,3.6043,3.638,3.638,723806
2005-01-10,3.6545,3.7055,3.5918,3.6937,3.6937,1187737
2005-01-11,3.7094,3.7729,3.6937,3.7525,3.7525,1069377
2005-01-12,3.7808,3.8113,3.6467,3.8035,3.8035,608744
2005-01-13,3.834,3.9838,3.834,3.9603,3.9603,937294
2005-01-14,3.9133,4.1093,3.8662,4.1015,4.1015,1137753
2005-01-17,4.1015,4.1564,4.078,4.1015,4.1015,545497
2005-01-18,4.0771,4.1015,3.9603,3.9603,3.9603,582373
2005-01-19,3.9854,4.0231,3.925,3.9917,3.9917,512866
2005-01-20,3.9603,3.9603,3.827,3.8584,3.8584,598556
2005-01-21,3.8842,4.0113,3.8427,3.9995,3.9995,648720
2005-01-24,3.9917,4.1799,3.9839,4.1611,4.1611,708558
2005-01-26,4.2308,4.3289,4.0936,4.1877,4.1877,1098343
2005-01-27,4.1188,4.1329,3.9682,4.0388,4.0388,1147795
2005-01-28,4.0583,4.0583,3.9532,4.0301,4.0301,732536
2005-01-31,4.0592,4.1172,4.0545,4.0976,4.0976,326693
2005-02-01,4.0819,4.1447,4.0545,4.1329,4.1329,837573
2005-02-02,4.1439,4.2498,4.1415,4.2427,4.2427,1078653
2005-02-03,4.2349,4.2662,4.1878,4.2482,4.2482,831521
2005-02-04,4.2505,4.376,4.227,4.376,4.376,488668
2005-02-09,4.4544,4.4936,4.227,4.4387,4.4387,711602
2005-02-10,4.4293,4.4826,4.3187,4.4544,4.4544,1084759
2005-02-11,4.4458,4.5093,4.4309,4.4701,4.4701,680633
2005-02-14,4.4348,4.525,4.3383,4.3846,4.3846,728651
2005-02-15,4.3117,4.4701,4.2826,4.4583,4.4583,1327391
2005-02-16,4.4191,4.5877,4.3799,4.5877,4.5877,1560363
2005-02-17,4.6112,4.7673,4.6112,4.7524,4.7524,2049678
2005-02-18,4.7548,4.9171,4.7132,4.8034,4.8034,1587022
2005-02-21,4.8073,4.8716,4.7289,4.7838,4.7838,802779
2005-02-22,4.9093,5.0685,4.7524,4.8387,4.8387,2415977
2005-02-23,4.8936,4.8936,4.8308,4.8567,4.8567,1035195
2005-02-24,4.9328,5.27,4.9328,5.27,5.27,2305744
2005-02-25,5.2503,5.4887,5.1876,5.2464,5.2464,1890736
2005-02-28,5.2543,5.3523,5.1132,5.27,5.27,649571
2005-03-01,5.4111,5.4739,5.1445,5.1633,5.1633,1189100
2005-03-02,5.1673,5.2535,5.0661,5.2151,5.2151,1340382
2005-03-03,5.3406,5.3876,5.223,5.2857,5.2857,840935
2005-03-04,5.2661,5.4739,5.2347,5.4739,5.4739,1054995
2005-03-07,5.6033,5.6064,5.4111,5.4582,5.4582,846324
2005-03-08,5.4496,5.4582,5.3406,5.4151,5.4151,1007053
2005-03-09,5.3327,5.368,5.1994,5.2449,5.2449,1306860
2005-03-10,5.2096,5.2355,5.0747,5.1586,5.1586,996648
2005-03-11,5.2543,5.3092,5.0982,5.1053,5.1053,754627
2005-03-14,5.1759,5.1759,4.823,5.0975,5.0975,858664
2005-03-15,5.1366,5.168,5.019,5.0629,5.0629,729537
2005-03-16,5.066,5.1523,4.9955,5.0582,5.0582,1395701
2005-03-17,4.9877,5.2308,4.9799,5.2269,5.2269,937369
2005-03-18,5.2457,5.27,5.0818,5.1092,5.1092,702786
2005-03-21,5.1092,5.1751,5.0465,5.0614,5.0614,680702
2005-03-22,5.1531,5.27,4.9955,4.9955,4.9955,1076098
2005-03-23,5.0206,5.1139,4.8865,4.9249,4.9249,862405
2005-03-24,5.019,5.099,4.9814,4.9916,4.9916,1182242
2005-03-28,5.019,5.0465,4.714,4.8606,4.8606,848313
2005-03-29,4.9249,4.9775,4.5995,4.6975,4.6975,1083169
2005-03-30,4.772,4.9265,4.6269,4.8465,4.8465,980041
2005-03-31,4.87,4.9861,4.8229,4.9641,4.9641,1076556
2005-04-01,5.0347,5.0896,4.9876,5.0543,5.0543,638652
2005-04-04,5.0387,5.0575,4.9211,4.9485,4.9485,590012
2005-04-05,4.9719,5.0025,4.7484,4.7602,4.7602,941818
2005-04-06,4.7846,4.7995,4.6175,4.6191,4.6191,971435
2005-04-07,4.6889,4.7132,4.5289,4.7132,4.7132,1114505
2005-04-08,4.7014,4.7054,4.4544,4.4701,4.4701,1188323
2005-04-11,4.4959,4.525,4.274,4.274,4.274,869115
2005-04-12,4.2654,4.4168,4.2066,4.3697,4.3697,958906
2005-04-13,4.3132,4.4662,4.2113,4.2701,4.2701,1274075
2005-04-14,4.2584,4.2662,3.9611,3.9925,3.9925,1512930
2005-04-15,3.9415,4.1172,3.9415,4.1172,4.1172,1704934
2005-04-18,4.1172,4.1878,4.0388,4.1721,4.1721,1034619
2005-04-19,4.2269,4.2936,4.1956,4.2732,4.2732,865014
2005-04-20,4.3085,4.3446,4.1799,4.1799,4.1799,702801
2005-04-22,4.227,4.2897,4.1329,4.1454,4.1454,502801
2005-04-25,4.1995,4.3289,4.1407,4.3211,4.3211,830475
2005-04-26,4.3054,4.5015,4.3054,4.3917,4.3917,2535398
2005-04-27,4.3838,4.4701,4.3014,4.3485,4.3485,1228273
2005-04-28,4.3211,4.3682,4.1651,4.2129,4.2129,1572653
2005-04-29,4.3046,4.3564,4.176,4.3266,4.3266,1397091
2005-05-02,3.7121,3.7121,3.5742,3.5862,3.5862,1960288
2005-05-03,3.5893,3.6619,3.5607,3.6252,3.6252,1390863
2005-05-04,3.6619,3.7129,3.6196,3.677,3.677,1069655
2005-05-05,3.6897,3.7527,3.6013,3.6252,3.6252,1254047
2005-05-06,3.6651,3.7559,3.6491,3.7527,3.7527,886274
2005-05-09,3.7527,3.7695,3.685,3.689,3.689,732575
2005-05-10,3.6969,3.72,3.4898,3.5296,3.5296,1143787
2005-05-11,3.5296,3.6132,3.4738,3.5216,3.5216,1574927
2005-05-12,3.524,3.5734,3.2674,3.3463,3.3463,2032743
2005-05-13,3.4021,3.4021,3.1296,3.2587,3.2587,2344501
2005-05-16,3.2826,3.3225,3.1886,3.2667,3.2667,1290869
2005-05-17,3.2587,3.2659,3.187,3.2428,3.2428,805888
2005-05-18,3.2818,3.4252,3.2683,3.3623,3.3623,1308766
2005-05-19,3.3344,3.3344,3.2284,3.2818,3.2818,773845
2005-05-20,3.3065,3.3256,3.2468,3.2866,3.2866,474124
2005-05-23,3.2866,3.2905,3.167,3.2268,3.2268,770924
2005-05-24,3.1878,3.2898,3.1472,3.2826,3.2826,1932059
2005-05-25,3.2898,3.3057,3.1559,3.1591,3.1591,1780417
2005-05-27,3.2069,3.3065,3.195,3.3065,3.3065,1249747
2005-05-30,3.3065,3.4571,3.2834,3.4021,3.4021,425829
2005-05-31,3.3862,3.4897,3.3543,3.4021,3.4021,1528424
2005-06-01,3.4101,3.5017,3.3774,3.4348,3.4348,1005977
2005-06-02,3.489,3.5408,3.4356,3.5408,3.5408,1474443
2005-06-03,3.5375,3.5774,3.4698,3.4706,3.4706,632332
2005-06-06,3.4021,3.4698,3.277,3.3224,3.3224,943513
