Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,2.7239,2.7239,2.7239,2.7239,2.7239,10000
2005-07-04,2.5636,2.5636,2.5636,2.5636,2.5636,500
2005-07-05,2.5636,2.5636,2.5636,2.5636,2.5636,500
2005-07-06,2.5636,2.5636,2.5636,2.5636,2.5636,1500
2005-07-07,2.5636,2.6918,2.5636,2.6918,2.6918,3000
2005-07-11,2.5636,2.5636,2.5636,2.5636,2.5636,2000
2005-07-12,2.5636,2.5636,2.5636,2.5636,2.5636,1100
2005-07-13,2.6918,2.7238,2.6918,2.6918,2.6918,10600
2005-07-14,2.82,2.82,2.82,2.82,2.82,100
2005-07-25,2.6598,2.6598,2.6598,2.6598,2.6598,400
2005-07-26,2.5636,2.5636,2.5636,2.5636,2.5636,500
2005-07-28,2.8456,2.8456,2.8456,2.8456,2.8456,200
2005-07-29,2.7239,2.8841,2.7239,2.82,2.82,2200
2005-08-01,2.7239,2.8841,2.7239,2.8841,2.8841,2100
2005-08-03,3.0443,3.0443,2.9674,2.9674,2.9674,800
2005-08-04,2.8552,2.8552,2.8552,2.8552,2.8552,1000
2005-08-09,2.8841,2.8841,2.8841,2.8841,2.8841,5000
2005-08-10,2.8841,3.525,2.8841,3.525,3.525,76200
2005-08-11,3.3647,3.6211,3.3647,3.6211,3.6211,13000
2005-08-12,3.5891,3.8134,3.5891,3.8134,3.8134,1900
2005-08-16,3.8134,3.8774,3.8134,3.8454,3.8454,27000
2005-08-17,3.9576,4.0056,3.8454,3.9896,3.9896,8300
2005-08-18,3.8775,3.8839,3.8455,3.8647,3.8647,2300
2005-08-19,3.8454,3.9864,3.8454,3.9864,3.9864,6700
2005-08-22,3.9736,3.9736,3.9736,3.9736,3.9736,500
2005-08-23,3.9736,3.9896,3.9576,3.9736,3.9736,17000
2005-08-24,3.9736,3.9736,3.9736,3.9736,3.9736,19400
2005-08-25,3.9737,4.0057,3.9737,4.0057,4.0057,3000
