Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,6.0796,6.1948,5.9516,6.0796,6.0796,8205430
2010-04-05,6.0796,6.1244,6.0796,6.086,6.086,3087621
2010-04-06,6.0604,6.0988,6.0156,6.0796,6.0796,2593658
2010-04-07,6.0796,6.1948,6.0476,6.0924,6.0924,2558986
2010-04-08,6.1052,6.1116,6.0732,6.0796,6.0796,2795109
2010-04-09,6.1244,6.1244,6.0668,6.0796,6.0796,1848918
2010-04-12,6.0988,6.1308,6.0604,6.1116,6.1116,1810383
2010-04-13,6.1116,6.2396,6.0924,6.2396,6.2396,1400092
2010-04-14,6.2588,6.3676,6.15,6.3292,6.3292,1849175
2010-04-15,6.182,6.374,6.182,6.2972,6.2972,731129
2010-04-16,6.3292,6.3292,6.2076,6.2076,6.2076,616292
2010-04-19,6.1628,6.3036,6.1436,6.3036,6.3036,332398
2010-04-20,6.2268,6.3356,6.1884,6.3164,6.3164,737439
2010-04-22,6.3036,6.3036,6.2076,6.2716,6.2716,1143930
2010-04-23,6.3036,6.3164,6.1884,6.2588,6.2588,473082
2010-04-26,6.2588,6.2972,6.2396,6.2716,6.2716,695878
2010-04-27,6.2332,6.2396,6.1116,6.1116,6.1116,695927
2010-04-28,6.1244,6.2396,6.0476,6.1116,6.1116,930792
2010-04-29,6.1436,6.182,6.0796,6.0796,6.0796,260320
2010-04-30,6.0732,6.1436,6.0412,6.1436,6.1436,1133867
2010-05-03,6.1756,6.3612,6.0924,6.3292,6.3292,632954
2010-05-04,6.214,6.5212,6.15,6.278,6.278,1795408
2010-05-05,6.2716,6.2716,6.1436,6.2076,6.2076,879206
2010-05-06,6.2652,6.2652,5.7148,6.1948,6.1948,1896548
2010-05-07,6.1756,6.1756,5.8236,6.0412,6.0412,750900
2010-05-10,6.2204,6.2524,5.9836,6.0796,6.0796,571553
2010-05-11,6.0733,6.0989,5.7661,5.8557,5.8557,2507328
2010-05-12,5.9325,6.0157,5.8877,6.0157,6.0157,1644123
2010-05-13,6.0668,6.1052,5.99,6.0796,6.0796,488913
2010-05-14,6.0669,6.0797,5.7981,5.9517,5.9517,813454
2010-05-17,6.0349,6.1053,5.8109,5.8685,5.8685,392605
2010-05-18,5.9773,5.9773,5.7661,5.8173,5.8173,523940
2010-05-19,5.7597,5.9133,5.5677,5.7277,5.7277,833855
2010-05-20,5.7021,5.7021,5.2925,5.4333,5.4333,1269258
2010-05-21,5.4589,5.5677,5.3181,5.5677,5.5677,2099208
2010-05-24,5.7277,5.7277,5.3245,5.4397,5.4397,1333128
2010-05-25,5.2221,5.3757,5.2221,5.3117,5.3117,846363
2010-05-26,5.3693,5.6317,5.3565,5.4333,5.4333,1643572
2010-05-27,5.5677,5.7149,5.4461,5.7149,5.7149,1472296
2010-05-28,5.7277,5.8813,5.5165,5.8813,5.8813,423287
2010-05-31,5.9068,6.0732,5.6636,6.0732,6.0732,323812
2010-06-01,5.9389,6.0413,5.8237,5.9837,5.9837,441991
2010-06-02,6.0029,6.0413,5.8749,6.0093,6.0093,280727
2010-06-04,5.8621,6.0285,5.5997,5.8493,5.8493,1123263
2010-06-07,5.7405,5.8813,5.7405,5.8813,5.8813,158108
2010-06-08,5.9069,5.9069,5.5933,5.7597,5.7597,1544904
2010-06-09,5.7597,5.9197,5.7149,5.9197,5.9197,319249
2010-06-10,5.9004,6.1308,5.894,6.1308,6.1308,500001
2010-06-11,5.9708,6.0924,5.9708,6.0796,6.0796,226326
2010-06-14,6.0797,6.0797,5.8685,5.9517,5.9517,501522
2010-06-15,5.9133,6.0093,5.8237,5.9965,5.9965,569544
2010-06-16,5.9324,6.1052,5.894,6.1052,6.1052,853373
2010-06-17,6.1244,6.2268,6.0732,6.2268,6.2268,948885
2010-06-18,6.2076,6.4636,6.1436,6.3676,6.3676,2271786
2010-06-21,6.3996,6.4636,6.1948,6.3356,6.3356,1247037
2010-06-22,6.3356,6.3676,6.182,6.3356,6.3356,430046
2010-06-23,6.2268,6.2524,6.086,6.1116,6.1116,393528
2010-06-24,6.1116,6.1756,5.9324,6.0796,6.0796,434675
2010-06-25,5.9836,6.2716,5.9836,6.2716,6.2716,262791
2010-06-28,6.2076,6.374,6.15,6.3356,6.3356,754863
2010-06-29,6.1052,6.4508,6.0348,6.3932,6.3932,958046
2010-06-30,6.3548,6.3868,6.2332,6.3868,6.3868,1485369
2010-07-01,6.3164,6.3932,6.1884,6.2076,6.2076,667928
2010-07-02,6.2396,6.2652,6.1052,6.2396,6.2396,732566
2010-07-05,6.3036,6.3036,6.1116,6.1756,6.1756,552148
2010-07-06,6.2844,6.3868,5.894,6.1372,6.1372,1587027
2010-07-07,6.2076,6.2972,6.118,6.246,6.246,1219164
2010-07-08,6.31,6.4508,6.2716,6.3676,6.3676,2126610
2010-07-12,6.3676,6.4316,6.1884,6.3036,6.3036,639772
2010-07-13,6.3932,6.4636,6.2844,6.4636,6.4636,1209156
2010-07-14,6.3996,6.3996,6.278,6.3996,6.3996,979208
2010-07-15,6.3996,6.4316,6.2908,6.3676,6.3676,892248
2010-07-16,6.3676,6.3804,6.2844,6.3036,6.3036,355083
2010-07-19,6.3868,6.4316,6.3356,6.3676,6.3676,829668
2010-07-20,6.3868,6.4508,6.3036,6.3036,6.3036,1678915
2010-07-21,6.3996,6.6364,6.31,6.3356,6.3356,1940995
2010-07-22,6.4316,6.4508,6.278,6.3676,6.3676,1437607
2010-07-23,6.3996,6.3996,6.2844,6.374,6.374,563510
2010-07-26,6.374,6.4508,6.3292,6.3676,6.3676,601369
2010-07-27,6.3676,6.5916,6.3676,6.5596,6.5596,2564981
2010-07-28,6.6556,6.7132,6.5596,6.694,6.694,1075005
2010-07-29,6.7196,6.7644,6.566,6.7132,6.7132,779884
2010-07-30,6.6556,6.9372,6.566,6.8668,6.8668,523332
2010-08-02,6.8732,7.1036,6.8668,6.886,6.886,1381527
2010-08-03,6.886,7.0012,6.662,6.7068,6.7068,1282673
2010-08-04,6.8412,6.8476,6.598,6.598,6.598,1126482
2010-08-05,6.6492,6.7004,6.5916,6.6556,6.6556,411337
2010-08-06,6.7068,6.9756,6.6556,6.9372,6.9372,1104939
2010-08-09,7.0396,7.0396,6.8796,6.9244,6.9244,1507736
2010-08-10,6.9436,6.9436,6.8156,6.9116,6.9116,1256537
2010-08-11,6.886,6.886,6.7068,6.8476,6.8476,1448436
2010-08-12,6.7964,6.8604,6.7452,6.8476,6.8476,797810
2010-08-13,6.822,6.9692,6.694,6.758,6.758,601246
2010-08-16,6.726,6.8476,6.6748,6.8284,6.8284,544866
2010-08-17,6.8284,6.9756,6.7388,6.9756,6.9756,1055158
2010-08-18,6.9564,6.9564,6.79,6.9244,6.9244,279809
2010-08-19,6.9308,7.0076,6.8476,6.9756,6.9756,232236
2010-08-20,6.9116,6.9308,6.7836,6.822,6.822,268203
2010-08-23,6.8668,6.9692,6.822,6.9116,6.9116,249559
2010-08-24,6.9116,6.9884,6.8476,6.9692,6.9692,315886
2010-08-25,6.9628,7.0972,6.886,6.9436,6.9436,1098267
2010-08-26,7.0268,7.0972,6.8156,6.9116,6.9116,503115
2010-08-27,6.9436,7.0268,6.9244,6.9756,6.9756,248841
2010-08-30,6.9564,7.0076,6.8796,6.9628,6.9628,276046
2010-08-31,7.0588,7.0972,6.9948,7.0396,7.0396,443547
2010-09-01,7.1036,7.2444,7.1036,7.11,7.11,1048013
2010-09-02,7.1676,7.2508,6.9308,7.0076,7.0076,500708
2010-09-03,7.0716,7.0908,6.8476,6.886,6.886,686640
2010-09-06,6.982,6.982,6.8476,6.9116,6.9116,156602
2010-09-08,6.8476,7.2188,6.7836,7.1164,7.1164,634459
2010-09-09,7.1356,7.3276,7.0396,7.2508,7.2508,555419
2010-09-10,7.1676,7.3404,7.078,7.2636,7.2636,574845
2010-09-13,7.2956,7.2956,7.1676,7.2828,7.2828,858767
2010-09-14,7.206,7.27,7.174,7.2188,7.2188,585801
2010-09-15,7.174,7.3788,7.1612,7.3404,7.3404,1405647
2010-09-16,7.3276,7.3724,7.2188,7.2764,7.2764,871908
2010-09-17,7.206,7.3596,7.206,7.3276,7.3276,1122562
2010-09-20,7.3276,7.3916,7.2828,7.3916,7.3916,836406
2010-09-21,7.366,7.526,7.3276,7.3532,7.3532,985387
2010-09-22,7.3596,7.4812,7.1996,7.3916,7.3916,980922
2010-09-23,7.3212,7.5196,7.2956,7.3596,7.3596,1337690
2010-09-24,7.3916,7.462,7.0716,7.2444,7.2444,1660839
2010-09-27,7.366,7.366,7.1676,7.3596,7.3596,965472
2010-09-28,7.3596,7.3852,7.206,7.3596,7.3596,1056126
2010-09-29,7.3404,7.4812,7.1356,7.2188,7.2188,1328396
2010-09-30,7.2188,7.2956,7.0588,7.1676,7.1676,1318448
2010-10-01,7.1868,7.6156,7.1356,7.5836,7.5836,1203206
2010-10-04,7.5772,7.7244,7.4236,7.6604,7.6604,808527
2010-10-05,7.6795,7.8459,7.6219,7.7563,7.7563,938325
2010-10-06,7.7564,7.8396,7.6028,7.7052,7.7052,1335703
2010-10-07,7.7755,7.8395,7.5835,7.8011,7.8011,868895
2010-10-08,7.7755,8.3195,7.6731,8.1019,8.1019,2024784
2010-10-11,8.0891,8.3835,7.9995,8.3195,8.3195,975257
2010-10-13,8.3195,8.5115,8.2235,8.5115,8.5115,1565112
2010-10-14,8.4795,8.4795,8.0443,8.3003,8.3003,2415721
2010-10-15,8.3323,8.3323,8.0187,8.2555,8.2555,1556905
2010-10-18,8.1915,8.2171,8.0955,8.0955,8.0955,764362
2010-10-19,8.0123,8.3131,7.8779,8.3131,8.3131,1913856
2010-10-20,8.1915,8.3579,8.1019,8.2491,8.2491,1546325
2010-10-21,8.2491,8.3707,8.1723,8.1723,8.1723,890488
2010-10-22,8.2875,8.3387,8.0379,8.1851,8.1851,834900
2010-10-25,8.1979,8.3003,8.0507,8.1915,8.1915,1139254
2010-10-26,8.1403,8.2235,8.0891,8.0891,8.0891,523551
2010-10-27,8.1019,8.1851,8.0315,8.0635,8.0635,678881
2010-10-28,8.1915,8.3003,8.1083,8.2299,8.2299,834706
2010-10-29,8.2299,8.3067,8.1723,8.2555,8.2555,985660
2010-11-01,8.2811,8.3195,8.0635,8.2235,8.2235,736909
2010-11-03,8.2555,8.4667,8.2363,8.4091,8.4091,1874360
2010-11-04,8.4987,8.7035,8.3195,8.4283,8.4283,1827345
2010-11-05,8.3003,8.4027,8.2235,8.2875,8.2875,1293316
2010-11-08,8.2299,8.6075,8.2299,8.6075,8.6075,1050319
2010-11-09,8.6011,8.7291,8.5499,8.6395,8.6395,2000233
2010-11-10,8.6651,8.8187,8.5051,8.6907,8.6907,1754039
