Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,3.1495,3.1816,2.9888,2.9888,2.9888,53375
2005-01-04,3.0247,3.0897,2.9271,2.9271,2.9271,59875
2005-01-05,2.9075,2.9075,2.8429,2.8752,2.8752,78875
2005-01-06,2.8882,2.9207,2.7584,2.7584,2.7584,108875
2005-01-07,2.7779,2.9086,2.7779,2.7779,2.7779,34375
2005-01-10,2.815,2.815,2.6513,2.6513,2.6513,163875
2005-01-11,2.7093,2.8725,2.5787,2.7746,2.7746,60500
2005-01-12,2.7811,2.8781,2.7164,2.7811,2.7811,68000
2005-01-13,2.7572,2.7572,2.661,2.661,2.661,19375
2005-01-14,2.7031,2.8008,2.7031,2.7357,2.7357,59250
2005-01-17,2.7453,2.7776,2.6807,2.713,2.713,10250
2005-01-18,2.7294,2.7294,2.5994,2.5994,2.5994,49375
2005-01-19,2.5866,2.7159,2.5866,2.6189,2.6189,41125
2005-01-20,2.6286,2.6286,2.5637,2.5637,2.5637,69500
2005-01-21,2.5572,2.6867,2.5572,2.5572,2.5572,33500
2005-01-24,2.5483,2.7096,2.5483,2.6773,2.6773,17625
2005-01-26,2.6935,2.726,2.6286,2.6286,2.6286,23750
2005-01-27,2.7077,2.7077,2.4467,2.4793,2.4793,103625
2005-01-28,2.5073,2.5073,2.3466,2.3787,2.3787,75125
2005-01-31,2.4187,2.5799,2.4187,2.5799,2.5799,71375
2005-02-01,2.6319,2.6319,2.5344,2.5994,2.5994,75750
2005-02-02,2.5606,2.7227,2.5606,2.7227,2.7227,101625
2005-02-03,2.7418,2.8724,2.7092,2.8071,2.8071,69875
2005-02-04,2.8251,2.9856,2.8251,2.9856,2.9856,65000
2005-02-09,2.9908,2.9908,2.83,2.8622,2.8622,18125
2005-02-10,2.8977,2.9628,2.8,2.9628,2.9628,59625
2005-02-11,2.9044,2.9367,2.8721,2.9044,2.9044,71250
2005-02-14,2.8882,2.9207,2.8882,2.8882,2.8882,66625
2005-02-15,2.8818,2.9466,2.8495,2.9466,2.9466,12250
2005-02-16,2.8558,2.9532,2.8558,2.8558,2.8558,161000
2005-02-17,2.9791,3.0446,2.9464,2.9791,2.9791,56000
2005-02-18,2.9207,2.9532,2.8882,2.9207,2.9207,67000
2005-02-21,2.8882,2.9531,2.8882,2.8882,2.8882,31625
2005-02-22,2.8916,3.0215,2.7941,2.7941,2.7941,107875
2005-02-23,2.9074,2.9074,2.8428,2.8428,2.8428,76250
2005-02-24,2.8893,2.9856,2.8572,2.9856,2.9856,57375
2005-02-25,3.0214,3.0214,2.9239,2.9239,2.9239,30625
2005-02-28,3.0247,3.0247,2.8946,2.9271,2.9271,39500
2005-03-01,2.8721,2.9367,2.8721,2.9044,2.9044,23250
2005-03-02,2.9367,2.9693,2.8714,2.9693,2.9693,42500
2005-03-03,2.9888,2.9888,2.8924,2.9888,2.9888,29875
2005-03-04,2.9436,3.0083,2.9436,3.0083,3.0083,32500
2005-03-07,2.9988,3.031,2.9343,3.031,3.031,89625
2005-03-08,3.0444,3.4006,3.0444,3.2387,3.2387,86500
2005-03-09,3.2487,3.3787,3.0213,3.0213,3.0213,77625
2005-03-10,3.0537,3.1836,3.0537,3.0537,3.0537,34500
2005-03-11,3.0665,3.1956,3.0342,3.0342,3.0342,32500
2005-03-14,3.0059,3.2322,2.9413,3.2322,3.2322,90375
2005-03-15,3.2192,3.2192,3.0566,3.2192,3.2192,64875
2005-03-16,3.0859,3.4432,3.0859,3.3782,3.3782,75125
2005-03-17,3.362,3.3943,3.2327,3.362,3.362,48750
2005-03-18,3.2933,3.4237,3.2933,3.4237,3.4237,54250
2005-03-21,3.392,3.5535,3.3597,3.5535,3.5535,49375
2005-03-22,3.4398,3.5697,3.3425,3.5372,3.5372,27250
2005-03-23,3.4074,3.5048,3.2776,3.5048,3.5048,43500
2005-03-24,3.4857,3.5502,3.3243,3.5502,3.5502,33875
2005-03-28,3.4399,3.5373,3.4399,3.5048,3.5048,16875
2005-03-29,3.5308,3.5632,3.4984,3.5632,3.5632,43250
2005-03-30,3.5696,3.8293,3.5696,3.7319,3.7319,54375
2005-03-31,3.8553,3.8877,3.7257,3.8877,3.8877,34500
2005-04-01,3.8737,3.8737,3.5509,3.68,3.68,52125
2005-04-04,3.6961,3.6961,3.3719,3.534,3.534,54875
2005-04-05,3.5509,3.68,3.5186,3.68,3.68,15875
2005-04-06,3.6799,3.7122,3.4862,3.6476,3.6476,14125
2005-04-07,3.7414,3.8715,3.6112,3.8715,3.8715,44000
2005-04-08,3.5664,3.5988,3.534,3.5664,3.5664,8125
2005-04-11,3.4134,3.706,3.4134,3.706,3.706,62000
2005-04-12,3.6871,3.8812,3.5901,3.8812,3.8812,58750
2005-04-13,3.6875,4.3021,3.6875,3.9786,3.9786,205000
2005-04-14,3.9712,3.9712,3.7129,3.8098,3.8098,33500
2005-04-15,3.8458,3.8458,3.748,3.7806,3.7806,288875
2005-04-18,3.8134,4.0073,3.7164,3.878,3.878,90625
2005-04-19,3.9234,3.9234,3.8586,3.891,3.891,104875
2005-04-20,3.9201,3.9201,3.8553,3.8877,3.8877,70125
2005-04-22,3.9267,3.9267,3.8293,3.8293,3.8293,36000
2005-04-25,3.8942,3.9267,3.8942,3.8942,3.8942,80375
2005-04-26,3.8777,3.91,3.8131,3.8131,3.8131,159875
2005-04-27,3.6933,3.8877,3.6609,3.8877,3.8877,23750
2005-04-28,3.881,3.881,3.7516,3.8163,3.8163,40750
2005-04-29,3.8942,3.8942,3.7319,3.8942,3.8942,205
2005-05-02,3.7004,3.8613,3.7004,3.7969,3.7969,50750
2005-05-03,3.7123,3.8426,3.7123,3.7449,3.7449,24750
2005-05-04,3.8943,4.2188,3.8618,3.8618,3.8618,69375
2005-05-05,3.8553,3.8877,3.7257,3.8553,3.8553,30000
2005-05-06,3.9267,3.9267,3.8617,3.8942,3.8942,19500
2005-05-09,3.9849,3.9849,3.8229,3.8877,3.8877,22375
2005-05-10,3.9982,3.9982,3.8682,3.8682,3.8682,77500
2005-05-11,3.7487,3.878,3.7164,3.878,3.878,13250
2005-05-12,3.852,3.8844,3.8196,3.852,3.852,67875
2005-05-13,3.8521,3.8845,3.8198,3.8845,3.8845,22500
2005-05-16,3.8617,3.8942,3.8293,3.8942,3.8942,20625
2005-05-17,3.8293,3.8943,3.8293,3.8618,3.8618,31125
2005-05-18,3.9234,3.9234,3.8261,3.9234,3.9234,15000
2005-05-19,3.8618,3.8618,3.5048,3.8618,3.8618,17000
2005-05-20,3.7325,3.7969,3.6682,3.7969,3.7969,10
2005-05-23,3.7969,3.8845,3.7969,3.8845,3.8845,11500
2005-05-24,3.878,3.8942,3.8747,3.8942,3.8942,6000
