Date,Open,High,Low,Close,Adj Close,Volume
2005-07-13,2.9527,3.1598,2.9144,3.0693,3.0693,3178425
2005-07-14,3.2212,3.2212,3.0831,3.1598,3.1598,598580
2005-07-15,3.1429,3.1521,3.1138,3.1153,3.1153,690517
2005-07-18,3.0985,3.1353,3.0678,3.123,3.123,284253
2005-07-19,3.1137,3.1521,3.1137,3.1444,3.1444,613040
2005-07-20,3.1582,3.2211,3.1413,3.1904,3.1904,307468
2005-07-21,3.2979,3.2979,3.2135,3.2672,3.2672,71449
2005-07-22,3.2671,3.2671,3.2058,3.2518,3.2518,75683
2005-07-25,3.1137,3.2533,3.1137,3.1444,3.1444,331452
2005-07-26,3.1444,3.1444,3.1138,3.1429,3.1429,284265
2005-07-27,3.2043,3.2181,3.1414,3.1429,3.1429,388473
2005-07-28,3.1444,3.2365,3.1444,3.2058,3.2058,90903
2005-07-29,3.2978,3.3883,3.2671,3.3515,3.3515,598931
2005-08-01,3.3822,3.4021,3.3285,3.3285,3.3285,369861
2005-08-02,3.373,3.3899,3.3439,3.3899,3.3899,260868
2005-08-03,3.3745,3.4359,3.3745,3.3745,3.3745,266149
2005-08-04,3.4512,3.5739,3.4512,3.5586,3.5586,186255
2005-08-05,3.574,3.6522,3.5295,3.5295,3.5295,116345
2005-08-08,3.6199,3.6583,3.5739,3.6506,3.6506,68198
2005-08-09,3.666,3.6813,3.6522,3.666,3.666,84662
2005-08-10,3.6813,3.758,3.666,3.6813,3.6813,367358
2005-08-11,3.6046,3.7672,3.6046,3.6506,3.6506,241476
2005-08-12,3.422,3.7564,3.422,3.7564,3.7564,85830
2005-08-15,3.8194,3.8654,3.6829,3.8654,3.8654,162018
2005-08-16,3.8654,3.9727,3.8654,3.9528,3.9528,73771
2005-08-17,3.9881,3.9881,3.9421,3.9789,3.9789,102535
2005-08-18,3.9804,3.9804,3.9421,3.9574,3.9574,85055
2005-08-19,3.9574,3.9574,3.8347,3.8347,3.8347,254124
2005-08-22,3.9098,3.9497,3.8853,3.9037,3.9037,285384
2005-08-23,3.8975,3.9114,3.8347,3.85,3.85,50506
2005-08-24,3.8501,3.9114,3.8486,3.8869,3.8869,15303
2005-08-25,3.9114,3.9114,3.7595,3.9114,3.9114,7161
2005-08-26,3.85,3.9114,3.8347,3.85,3.85,107174
2005-08-29,3.8347,3.8347,3.7503,3.7549,3.7549,159680
2005-08-30,3.9113,3.9113,3.6046,3.7426,3.7426,102813
2005-08-31,3.827,3.8286,3.7887,3.7887,3.7887,61961
2005-09-01,3.7565,3.8347,3.7565,3.8347,3.8347,20775
2005-09-02,3.8347,3.9099,3.8117,3.8961,3.8961,218632
2005-09-05,3.896,3.9681,3.896,3.9681,3.9681,2061
2005-09-06,3.9682,3.9682,3.8808,3.8961,3.8961,118319
2005-09-08,3.9114,3.9114,3.7274,3.8332,3.8332,187547
2005-09-09,3.8347,3.8347,3.6813,3.7948,3.7948,73000
2005-09-12,3.8347,3.8347,3.6813,3.758,3.758,83746
2005-09-13,3.758,3.758,3.6967,3.712,3.712,220556
2005-09-14,3.7426,3.7733,3.6659,3.7426,3.7426,382202
2005-09-15,3.8332,3.8362,3.758,3.8347,3.8347,196322
2005-09-16,3.8347,4.0494,3.8331,4.0402,4.0402,319643
2005-09-19,4.0402,4.0478,3.9343,4.0187,4.0187,130386
2005-09-20,4.0494,4.0878,4.0172,4.0341,4.0341,97763
2005-09-21,4.0341,4.0341,3.9881,3.9881,3.9881,146933
2005-09-22,3.988,3.988,3.9113,3.9865,3.9865,171044
2005-09-23,3.9881,3.9881,3.9114,3.9789,3.9789,31353
2005-09-26,3.9267,3.9267,3.7503,3.8316,3.8316,95040
2005-09-27,3.8347,3.9574,3.758,3.7887,3.7887,171722
2005-09-28,3.8347,4.0495,3.804,3.9881,3.9881,125000
2005-09-29,3.9421,3.9881,3.9114,3.9881,3.9881,83302
2005-09-30,3.9881,3.9958,3.9574,3.9881,3.9881,272700
2005-10-03,3.9881,4.0188,3.9114,3.9881,3.9881,199025
2005-10-04,3.9881,4.0341,3.9498,3.9881,3.9881,394396
2005-10-05,3.9498,3.9498,3.8654,3.8654,3.8654,274840
2005-10-06,3.8347,3.8577,3.689,3.758,3.758,310903
2005-10-07,3.8346,3.8346,3.6352,3.7104,3.7104,292780
2005-10-10,3.7273,3.7426,3.6506,3.7426,3.7426,305508
2005-10-11,3.8347,3.8347,3.6813,3.6813,3.6813,773769
2005-10-13,3.6813,3.6828,3.6199,3.6828,3.6828,413180
2005-10-14,3.6843,3.6843,3.6046,3.6506,3.6506,183351
2005-10-17,3.7565,3.7565,3.4205,3.4819,3.4819,763168
2005-10-18,3.4957,3.5816,3.3745,3.4819,3.4819,724037
2005-10-19,3.4957,3.5279,3.4512,3.4972,3.4972,227877
2005-10-20,3.5126,3.5279,3.4206,3.4359,3.4359,911965
2005-10-21,3.4512,3.4512,3.3975,3.4282,3.4282,455837
2005-10-24,3.4666,3.4666,3.3914,3.419,3.419,159103
2005-10-25,3.4205,3.4359,3.3132,3.3147,3.3147,89245
2005-10-26,3.373,3.3745,3.3438,3.3745,3.3745,309672
2005-10-27,3.3791,3.3899,3.2672,3.373,3.373,208133
2005-10-28,3.3745,3.4512,3.2993,3.4512,3.4512,209857
2005-10-31,3.4819,3.4957,3.3914,3.4359,3.4359,275909
2005-11-01,3.4819,3.5126,3.4512,3.5126,3.5126,160111
2005-11-03,3.528,3.6046,3.528,3.5617,3.5617,379993
2005-11-04,3.5433,3.712,3.5433,3.6813,3.6813,552736
2005-11-07,3.6813,3.7442,3.666,3.666,3.666,427794
