Date,Open,High,Low,Close,Adj Close,Volume
2007-12-17,184.5653,184.7486,177.7839,177.7839,177.7839,517247
2007-12-18,184.1969,184.1969,179.5599,179.5599,179.5599,23128
2007-12-19,179.6166,183.2822,179.6166,179.6166,179.6166,21551
2007-12-20,183.2786,183.2786,177.782,177.782,177.782,91990
2007-12-21,177.7838,177.7838,177.6005,177.6005,177.6005,67809
2007-12-26,184.0154,184.0154,184.0154,184.0154,184.0154,141401
2007-12-27,184.5653,184.5653,184.5653,184.5653,184.5653,27334
2007-12-28,188.5975,189.6972,188.5975,188.5975,188.5975,27334
2008-01-02,189.6972,189.6972,184.4975,184.4975,184.4975,46257
2008-01-03,184.4975,184.5836,183.2823,183.2823,183.2823,11564
2008-01-04,182.3658,183.2822,179.6166,179.6166,179.6166,4730
2008-01-07,181.4495,181.4495,181.4495,181.4495,181.4495,5256
2008-01-08,181.4495,181.4495,181.4458,181.4458,181.4458,6307
2008-01-09,181.4476,181.4494,181.4476,181.4476,181.4476,145081
2008-01-10,184.382,184.5653,184.382,184.382,184.382,9461
2008-01-11,184.5652,184.5652,184.3801,184.3801,184.3801,12615
2008-01-15,183.2822,183.2822,172.2853,172.2853,172.2853,9987
2008-01-16,174.1181,178.297,172.2853,172.2853,172.2853,22603
2008-01-17,173.2018,175.9529,173.2018,173.2018,173.2018,23654
2008-01-18,173.2018,173.2018,173.2018,173.2018,173.2018,525
2008-01-21,170.4526,171.369,164.9541,164.9541,164.9541,66758
2008-01-22,161.2884,163.1157,155.7899,155.7899,155.7899,16821
2008-01-23,155.7918,163.299,151.0246,151.0246,151.0246,37321
2008-01-24,155.79,158.5392,150.2915,150.2915,150.2915,31013
2008-01-28,150.2914,150.2914,146.6258,146.6258,146.6258,35744
2008-01-29,144.793,146.6258,143.8766,143.8766,143.8766,76746
2008-01-30,146.6258,146.6258,146.6258,146.6258,146.6258,35744
2008-01-31,146.6258,146.6258,146.6258,146.6258,146.6258,65707
2008-02-01,163.1121,163.1121,151.2079,151.2079,151.2079,11038
2008-02-06,146.6259,146.6259,144.7931,144.7931,144.7931,1051
2008-02-11,142.9602,142.9602,142.9602,142.9602,142.9602,7884
2008-02-12,146.6258,146.6258,146.6258,146.6258,146.6258,7359
2008-02-13,146.4426,146.4426,146.4426,146.4426,146.4426,525
2008-02-14,146.6258,146.6258,146.624,146.624,146.624,86733
2008-02-15,142.9602,144.5603,142.9602,142.9602,142.9602,7359
2008-02-18,146.624,146.624,144.9763,144.9763,144.9763,34167
2008-02-19,146.4426,146.6259,146.4426,146.4426,146.4426,5256
2008-02-20,147.5422,147.5422,146.6258,146.6258,146.6258,84105
2008-02-21,146.6258,152.1243,146.624,146.624,146.624,142978
2008-02-22,149.3751,149.3751,149.3751,149.3751,149.3751,39950
2008-02-25,159.089,159.089,159.089,159.089,159.089,5256
2008-02-26,174.1182,174.12,174.1182,174.1182,174.1182,27334
2008-02-27,186.5832,192.4464,186.5832,186.5832,186.5832,79374
2008-02-28,187.8643,189.6971,187.8643,187.8643,187.8643,41526
2008-02-29,186.5814,186.5814,186.5814,186.5814,186.5814,35744
2008-03-03,186.0316,186.0316,181.4495,181.4495,181.4495,8936
2008-03-04,181.4495,181.4495,175.4213,175.4213,175.4213,8936
2008-03-05,175.951,175.9528,175.951,175.951,175.951,17346
2008-03-06,174.1182,174.1182,174.1182,174.1182,174.1182,525
2008-03-07,174.1182,174.1182,173.2018,173.2018,173.2018,12615
2008-03-10,173.2018,173.2018,172.1021,172.1021,172.1021,5256
2008-03-11,172.2872,172.2872,168.6197,168.6197,168.6197,13141
2008-03-12,169.5362,170.4526,169.5362,169.5362,169.5362,9461
2008-03-13,164.9541,164.9541,162.938,162.938,162.938,18923
2008-03-14,161.2884,163.1212,159.4556,159.4556,159.4556,10513
2008-03-17,160.372,162.2048,160.372,160.372,160.372,3153
2008-03-18,160.372,160.372,159.2705,159.2705,159.2705,178198
2008-03-19,157.6228,159.4556,150.2915,150.2915,150.2915,95144
2008-03-20,162.2048,162.2048,162.2048,162.2048,162.2048,12090
2008-03-24,162.2048,164.954,162.2048,162.2048,162.2048,5782
2008-03-25,162.9361,164.954,162.9361,162.9361,162.9361,24180
2008-03-26,164.8606,164.9559,164.8606,164.8606,164.8606,35219
2008-03-27,164.9541,164.9541,164.9541,164.9541,164.9541,71489
2008-03-28,164.954,164.954,162.2048,162.2048,162.2048,53617
2008-03-31,167.7033,167.7033,167.7033,167.7033,167.7033,23128
2008-04-01,167.7033,167.7033,164.9541,164.9541,164.9541,44155
2008-04-02,164.9541,164.9541,160.9219,160.9219,160.9219,12615
2008-04-03,161.2885,161.2885,161.2885,161.2885,161.2885,8936
2008-04-04,162.2048,162.2048,162.2048,162.2048,162.2048,4205
2008-04-07,163.1213,164.9541,161.2885,161.2885,161.2885,23128
2008-04-08,159.4556,159.4556,159.4556,159.4556,159.4556,4205
2008-04-09,159.4556,159.4556,159.4556,159.4556,159.4556,525
2008-04-10,159.4465,159.4465,159.4465,159.4465,159.4465,525
2008-04-11,159.2723,159.2723,158.5392,158.5392,158.5392,1051
2008-04-14,158.3559,158.3559,153.9571,153.9571,153.9571,1051
2008-04-15,155.7899,155.7899,155.7899,155.7899,155.7899,13667
2008-04-16,159.4556,159.4556,159.4556,159.4556,159.4556,211840
2008-04-17,162.2048,162.2048,162.2048,162.2048,162.2048,1576
2008-04-18,164.0376,164.0376,164.0376,164.0376,164.0376,8936
2008-04-22,169.5362,169.5362,169.5362,169.5362,169.5362,22077
2008-04-23,172.6519,172.6519,172.6519,172.6519,172.6519,2102
2008-04-24,173.7516,173.7516,173.7516,173.7516,173.7516,3153
2008-04-25,176.8674,176.8674,175.0346,175.0346,175.0346,60976
2008-04-28,174.1182,174.1182,174.1182,174.1182,174.1182,5782
2008-04-29,173.2017,174.1181,172.2853,172.2853,172.2853,7884
2008-04-30,177.2339,177.2339,177.2339,177.2339,177.2339,20500
2008-05-02,185.1152,185.1152,185.1152,185.1152,185.1152,27859
2008-05-05,184.1987,184.1987,183.9238,183.9238,183.9238,10513
2008-05-06,184.7486,184.7486,184.7486,184.7486,184.7486,7884
2008-05-07,185.1152,185.1152,184.7486,184.7486,184.7486,9987
2008-05-08,186.5814,186.948,186.5814,186.5814,186.5814,32590
2008-05-09,187.8625,187.8643,187.8625,187.8625,187.8625,247059
2008-05-12,189.6972,189.6972,189.6972,189.6972,189.6972,140876
2008-05-13,190.6135,190.6135,188.7807,188.7807,188.7807,8410
2008-05-14,190.6136,191.53,190.6136,190.6136,190.6136,64655
2008-05-15,192.4464,192.4464,192.4464,192.4464,192.4464,69912
2008-05-16,193.9127,193.9127,193.9127,193.9127,193.9127,48886
2008-05-19,196.1102,196.1102,196.1102,196.1102,196.1102,7884
2008-05-20,195.1957,196.1102,192.4446,192.4446,192.4446,24705
2008-05-21,192.4464,192.4464,190.6136,190.6136,190.6136,2102
2008-05-23,190.6136,190.6136,190.6136,190.6136,190.6136,1051
2008-05-26,190.6136,190.6136,190.6136,190.6136,190.6136,1051
2008-05-27,190.6136,190.6136,190.6136,190.6136,190.6136,525
2008-05-28,188.7807,188.7807,187.8643,187.8643,187.8643,4730
2008-05-29,187.8644,188.7808,185.1152,185.1152,185.1152,25231
2008-05-30,186.0297,186.0297,186.0297,186.0297,186.0297,1051
2008-06-02,183.4674,184.1987,183.2823,183.2823,183.2823,35219
2008-06-03,183.2786,183.2786,179.6166,179.6166,179.6166,4205
2008-06-04,179.6166,179.6166,178.7002,178.7002,178.7002,29436
2008-06-05,181.4495,181.4495,181.4495,181.4495,181.4495,9987
2008-06-06,183.2823,183.2823,174.1182,174.1182,174.1182,25231
2008-06-09,177.234,177.234,174.1182,174.1182,174.1182,4205
2008-06-10,175.951,175.951,175.951,175.951,175.951,11564
2008-06-11,179.6166,179.6166,179.6166,179.6166,179.6166,26808
2008-06-12,181.4495,181.4495,181.4495,181.4495,181.4495,5256
2008-06-13,182.3659,182.3659,181.4495,181.4495,181.4495,8936
2008-06-16,178.6984,181.4476,178.6984,178.6984,178.6984,6307
2008-06-17,181.0829,181.4495,178.8835,178.8835,178.8835,12090
2008-06-18,179.6166,179.6166,179.6166,179.6166,179.6166,6307
2008-06-19,177.7839,177.7839,177.7839,177.7839,177.7839,14192
2008-06-20,177.7839,179.6186,177.7839,177.7839,177.7839,16821
2008-06-23,177.7838,177.7838,175.0346,175.0346,175.0346,44155
2008-06-24,175.951,177.7838,175.951,175.951,175.951,31539
2008-06-25,173.2017,175.5844,172.2853,172.2853,172.2853,48360
2008-06-26,169.5362,170.4526,169.5362,169.5362,169.5362,32065
2008-06-27,172.8352,173.9349,169.3528,169.3528,169.3528,8410
2008-06-30,169.5362,169.5362,169.5362,169.5362,169.5362,1051
2008-07-01,168.0699,168.0699,159.4538,159.4538,159.4538,8936
2008-07-02,159.4537,159.4537,154.8735,154.8735,154.8735,42578
2008-07-03,150.2915,150.2915,149.3751,149.3751,149.3751,32065
2008-07-04,149.3751,149.3751,149.3751,149.3751,149.3751,2628
2008-07-07,149.7417,149.8333,149.3751,149.3751,149.3751,3153
2008-07-08,149.3751,149.3751,149.3751,149.3751,149.3751,6833
2008-07-10,149.3752,149.3752,144.7931,144.7931,144.7931,15244
2008-07-11,144.793,144.793,128.2958,128.2958,128.2958,22077
2008-07-14,139.2945,139.2945,139.2945,139.2945,139.2945,42052
2008-07-15,141.1274,141.1274,141.1274,141.1274,141.1274,6833
2008-07-16,146.6258,146.6258,146.6258,146.6258,146.6258,6307
2008-07-17,146.3271,151.2079,143.8766,143.8766,143.8766,66758
2008-07-18,143.8766,143.8766,143.8766,143.8766,143.8766,525
2008-07-21,143.8766,143.8766,141.6772,141.6772,141.6772,5782
2008-07-22,142.0438,142.0438,137.4617,137.4617,137.4617,16821
2008-07-23,137.4617,137.4617,137.4617,137.4617,137.4617,3679
2008-07-24,137.4618,137.4618,133.7778,133.7778,133.7778,5782
2008-07-25,139.2945,139.2945,131.9632,131.9632,131.9632,3679
2008-07-28,131.9633,131.9633,130.8599,130.8599,130.8599,42052
2008-07-29,131.7763,131.7799,130.1304,130.1304,130.1304,77797
2008-07-30,130.1304,130.1304,127.3812,127.3812,127.3812,16821
2008-07-31,126.4648,131.0469,126.4648,126.4648,126.4648,21551
2008-08-01,126.4647,126.4647,115.4678,115.4678,115.4678,39950
2008-08-04,115.4679,115.4679,102.6381,102.6381,102.6381,45206
2008-08-05,102.6382,102.6382,95.3087,95.3087,95.3087,48360
2008-08-06,96.2213,96.2231,96.2213,96.2213,96.2213,76220
2008-08-07,96.2232,97.1396,96.2232,96.2232,96.2232,77271
2008-08-08,96.2232,96.2232,96.2232,96.2232,96.2232,27859
2008-08-11,96.2232,96.2232,89.8083,89.8083,89.8083,2628
2008-08-12,88.8919,88.8919,85.2263,85.2263,85.2263,10513
2008-08-13,86.1427,86.1427,86.1427,86.1427,86.1427,42052
2008-08-14,86.6926,91.6412,86.326,86.326,86.326,142453
2008-08-15,87.0591,87.7922,83.76,83.76,83.76,26282
2008-08-18,84.3098,84.3098,79.7186,79.7186,79.7186,34693
2008-08-19,82.477,87.9755,82.477,82.477,82.477,66232
2008-08-20,85.043,86.1426,82.477,82.477,82.477,59399
2008-08-21,85.8696,87.7922,83.9433,83.9433,83.9433,101977
2008-08-22,85.2263,85.2263,84.6765,84.6765,84.6765,49411
2008-08-25,84.6764,84.6764,81.0108,81.0108,81.0108,6307
2008-08-26,81.5607,81.5607,78.9947,78.9947,78.9947,35744
2008-08-27,81.194,81.194,81.194,81.194,81.194,4205
2008-08-28,82.4752,83.3953,80.6442,80.6442,80.6442,46783
2008-08-29,84.1265,84.1265,84.1265,84.1265,84.1265,23654
2008-09-01,84.3099,84.4932,84.3099,84.3099,84.3099,24180
2008-09-02,84.3099,84.3099,79.7278,79.7278,79.7278,47309
2008-09-03,80.6441,80.6441,78.8058,78.8058,78.8058,69386
2008-09-04,78.8059,78.8059,74.2092,74.2092,74.2092,57296
2008-09-05,73.3129,73.3129,69.6473,69.6473,69.6473,80425
2008-09-08,73.3147,73.3147,73.3129,73.3129,73.3129,2102
2008-09-09,71.4801,71.4801,70.0138,70.0138,70.0138,114067
2008-09-10,71.4801,72.3965,71.4801,71.4801,71.4801,9461
2008-09-11,70.9302,70.9302,68.9141,68.9141,68.9141,13667
2008-09-12,69.6473,71.4801,69.6473,69.6473,69.6473,28911
2008-09-15,66.7147,67.4478,65.615,65.615,65.615,121426
2008-09-16,64.5154,64.5154,63.2324,63.2324,63.2324,28911
2008-09-17,61.5829,61.5829,54.9847,54.9847,54.9847,159800
2008-09-18,56.451,56.451,54.9847,54.9847,54.9847,601352
2008-09-19,60.4831,62.3159,54.9828,54.9828,54.9828,42052
2008-09-22,54.9847,54.9847,53.5166,53.5166,53.5166,10513
2008-09-23,52.0522,52.2355,50.0361,50.0361,50.0361,19449
2008-09-24,50.9524,50.9524,50.4026,50.4026,50.4026,9461
2008-09-25,50.9525,52.2355,50.9342,50.9342,50.9342,49411
2008-09-26,49.4862,49.4862,49.4844,49.4844,49.4844,9461
2008-09-29,48.0199,48.0199,42.1549,42.1549,42.1549,126157
2008-09-30,43.9878,43.9878,43.9878,43.9878,43.9878,482028
2008-10-01,43.3279,43.8961,39.4057,39.4057,39.4057,94618
2008-10-02,38.4892,38.4892,36.8397,36.8397,36.8397,27334
2008-10-03,37.9395,38.306,36.6565,36.6565,36.6565,19975
2008-10-06,34.8237,35.007,34.8237,34.8237,34.8237,22077
2008-10-07,34.8236,34.8236,33.9072,33.9072,33.9072,42052
2008-10-08,32.8991,32.8991,30.1499,30.1499,30.1499,88836
2008-10-09,29.9667,30.2416,27.4924,27.4924,27.4924,67284
2008-10-10,25.6577,26.2094,25.4763,25.4763,25.4763,39950
2008-10-13,27.1258,27.1258,25.6595,25.6595,25.6595,77797
2008-10-14,26.5759,29.3251,25.6595,25.6595,25.6595,80425
2008-10-15,24.9264,24.9264,22.9103,22.9103,22.9103,93567
2008-10-16,22.9103,22.9103,21.8088,21.8088,21.8088,52565
2008-10-17,21.9938,21.9938,21.9938,21.9938,21.9938,177672
2008-10-20,24.7431,24.7431,24.7431,24.7431,24.7431,218148
2008-10-21,26.576,27.859,26.576,26.576,26.576,135619
2008-10-22,26.3926,26.3926,26.3926,26.3926,26.3926,87259
2008-10-23,25.5661,26.576,24.7248,24.7248,24.7248,144555
2008-10-24,23.4583,23.4583,21.8106,21.8106,21.8106,38898
2008-10-27,21.8106,21.8106,20.1611,20.1611,20.1611,24705
2008-10-28,20.5313,21.444,19.2428,19.2428,19.2428,56245
2008-10-29,19.8128,19.8311,19.8128,19.8128,19.8128,24180
2008-10-30,21.0683,21.0775,21.0683,21.0683,21.0683,121426
2008-10-31,21.444,23.0935,21.444,21.444,21.444,236546
2008-11-03,22.2688,23.7002,22.2688,22.2688,22.2688,26282
2008-11-04,23.8267,24.1933,23.0936,23.0936,23.0936,49411
2008-11-05,26.0261,30.2416,26.0261,26.0261,26.0261,95669
2008-11-06,29.6917,30.2415,29.6917,29.6917,29.6917,140876
2008-11-07,32.9908,33.9072,31.8911,31.8911,31.8911,237071
2008-11-10,33.724,33.8358,33.724,33.724,33.724,41001
2008-11-11,33.7222,33.724,32.8076,32.8076,32.8076,27334
2008-11-12,32.0743,32.0743,29.3251,29.3251,29.3251,233392
2008-11-13,29.7631,30.6081,29.6935,29.6935,29.6935,35744
2008-11-14,29.5085,29.5085,29.5085,29.5085,29.5085,8936
2008-11-17,28.4088,28.7754,28.4088,28.4088,28.4088,22603
2008-11-18,28.407,28.407,28.407,28.407,28.407,84630
2008-11-19,28.4088,29.2336,28.4088,28.4088,28.4088,15769
2008-11-21,28.2255,28.4088,28.2255,28.2255,28.2255,22603
2008-11-24,29.2336,30.3332,28.2255,28.2255,28.2255,31013
2008-11-25,27.4924,28.867,27.4887,27.4887,27.4887,17872
2008-11-26,28.4088,28.4088,28.4088,28.4088,28.4088,18923
2008-11-27,28.4088,28.4088,28.4088,28.4088,28.4088,31013
2008-11-28,28.4088,28.4106,28.4088,28.4088,28.4088,37321
2008-12-01,26.5741,26.5759,25.9344,25.9344,25.9344,123003
2008-12-02,26.9425,26.9425,26.9425,26.9425,26.9425,5256
2008-12-03,26.9425,27.4923,26.9425,26.9425,26.9425,8410
2008-12-04,26.9425,26.9425,25.6632,25.6632,25.6632,21026
2008-12-05,25.6595,26.3926,25.6595,25.6595,25.6595,13667
2008-12-08,26.411,26.4861,25.6595,25.6595,25.6595,18923
2008-12-09,25.6632,26.3908,25.6595,25.6595,25.6595,30488
2008-12-10,25.8428,25.8428,25.8428,25.8428,25.8428,29436
2008-12-11,25.6595,25.8428,25.6595,25.6595,25.6595,106182
2008-12-12,26.5741,26.5741,26.5741,26.5741,26.5741,26808
2008-12-15,27.1258,27.8589,25.1097,25.1097,25.1097,364280
2008-12-16,25.4763,26.576,25.4763,25.4763,25.4763,45732
2008-12-17,26.2094,26.5759,25.2948,25.2948,25.2948,221827
2008-12-18,25.6613,26.2992,25.6595,25.6595,25.6595,86207
2008-12-19,25.6595,26.2093,25.2911,25.2911,25.2911,60450
2008-12-22,25.2948,25.4762,25.2948,25.2948,25.2948,26282
2008-12-23,25.6595,26.0261,25.2948,25.2948,25.2948,55194
2008-12-26,26.0261,26.0261,25.6595,25.6595,25.6595,90938
2008-12-29,26.3908,26.9425,26.0261,26.0261,26.0261,15244
2008-12-30,25.6613,26.2093,25.6595,25.6595,25.6595,25757
2009-01-02,26.389,27.4924,26.389,26.389,26.389,117747
2009-01-05,27.3072,27.3072,27.3072,27.3072,27.3072,28911
2009-01-06,27.3073,27.3073,27.0342,27.0342,27.0342,6833
2009-01-07,26.3945,26.3945,26.2094,26.2094,26.2094,29962
2009-01-08,26.2863,26.5759,25.9344,25.9344,25.9344,36270
2009-01-09,26.2112,26.2112,26.2112,26.2112,26.2112,18398
2009-01-12,26.0242,26.6676,25.6595,25.6595,25.6595,16821
2009-01-13,26.2094,26.3908,26.2094,26.2094,26.2094,12615
2009-01-14,26.2937,26.2937,25.6595,25.6595,25.6595,5256
2009-01-15,25.6228,25.654,25.6228,25.6228,25.6228,29436
2009-01-16,25.6595,25.6595,25.6595,25.6595,25.6595,6307
2009-01-19,25.4763,25.4763,25.4763,25.4763,25.4763,4730
2009-01-20,25.8428,25.8428,24.3765,24.3765,24.3765,11564
2009-01-21,24.5599,24.7139,24.5599,24.5599,24.5599,8936
2009-01-22,24.7431,25.1097,24.7431,24.7431,24.7431,26808
2009-01-23,25.4763,25.4763,25.4763,25.4763,25.4763,19449
2009-01-26,25.2013,25.2929,25.2013,25.2013,25.2013,35219
2009-01-27,25.5514,25.5514,25.5514,25.5514,25.5514,24180
2009-01-28,26.5209,26.5209,26.5209,26.5209,26.5209,54668
2009-01-29,29.3251,29.6917,29.3251,29.3251,29.3251,1691567
2009-01-30,30.2415,32.0762,29.7833,29.7833,29.7833,307509
2009-02-02,30.2416,30.9748,29.5085,29.5085,29.5085,83579
2009-02-03,29.5085,29.9667,29.1419,29.1419,29.1419,48360
2009-02-04,29.5066,30.1261,29.3215,29.3215,29.3215,98298
2009-02-05,29.3252,29.3252,28.9586,28.9586,28.9586,15244
2009-02-06,30.6026,30.9747,30.6026,30.6026,30.6026,82528
2009-02-09,30.6026,30.6026,30.2415,30.2415,30.2415,39424
2009-02-10,30.4707,30.7896,30.4707,30.4707,30.4707,114067
2009-02-11,30.5128,30.6063,30.5128,30.5128,30.5128,32590
2009-02-12,30.423,30.4248,30.1499,30.1499,30.1499,74643
2009-02-13,31.158,31.5246,31.158,31.158,31.158,116696
2009-02-16,31.3413,31.5227,31.3413,31.3413,31.3413,7884
2009-02-17,31.4329,31.5245,31.4329,31.4329,31.4329,46257
2009-02-18,32.0744,32.0744,32.0744,32.0744,32.0744,9461
2009-02-19,32.9908,32.9908,32.6701,32.6701,32.6701,80425
2009-02-20,32.2577,32.2577,31.8911,31.8911,31.8911,6833
2009-02-25,32.2577,32.2577,32.2577,32.2577,32.2577,10513
2009-02-26,32.3494,32.6243,31.9828,31.9828,31.9828,18398
2009-02-27,31.9828,31.9828,31.5063,31.5063,31.5063,18398
2009-03-02,31.5061,31.5245,30.7895,30.7895,30.7895,20500
2009-03-03,31.5228,31.5228,30.8831,30.8831,30.8831,18923
2009-03-04,30.9765,31.0645,30.7914,30.7914,30.7914,8936
2009-03-05,30.2415,31.3394,30.2415,30.2415,30.2415,28385
2009-03-06,31.158,31.158,31.158,31.158,31.158,15769
2009-03-09,31.0645,31.0645,30.9747,30.9747,30.9747,5256
2009-03-10,32.0726,32.4392,32.0726,32.0726,32.0726,20500
2009-03-11,32.0726,32.0726,32.0286,32.0286,32.0286,13141
2009-03-12,32.3475,32.9872,32.3475,32.3475,32.3475,31013
2009-03-13,32.2577,32.5308,31.9461,31.9461,31.9461,37847
2009-03-16,32.1642,32.1642,31.7078,31.7078,31.7078,32065
2009-03-17,33.1741,33.3574,33.1741,33.1741,33.1741,16821
2009-03-18,33.1722,33.3574,32.7177,32.7177,32.7177,182928
2009-03-19,34.4552,34.8236,34.4552,34.4552,34.4552,140876
2009-03-20,35.9233,36.453,35.9233,35.9233,35.9233,79900
2009-03-23,36.6546,36.6564,35.7382,35.7382,35.7382,209737
2009-03-24,35.9233,36.1066,35.9233,35.9233,35.9233,224455
2009-03-25,36.1066,36.2697,35.9233,35.9233,35.9233,56245
