Date,Open,High,Low,Close,Adj Close,Volume
2009-11-06,8.3212,8.3212,8.3212,8.3212,8.3212,3000
2009-11-09,7.0884,7.0884,7.0884,7.0884,7.0884,5200
2009-11-10,7.2425,7.2425,7.2425,7.2425,7.2425,4000
2009-11-11,7.2425,7.2425,7.2425,7.2425,7.2425,3000
2009-11-12,7.2425,7.2425,7.2425,7.2425,7.2425,5000
2009-11-13,7.2426,7.2734,7.2426,7.2734,7.2734,3400
2009-11-16,7.2425,7.2425,7.2425,7.2425,7.2425,4926
2009-11-17,7.2488,7.2611,7.2488,7.2611,7.2611,3000
2009-11-18,7.2487,7.2487,7.2117,7.2117,7.2117,5100
2009-11-19,7.15,7.15,7.0884,7.0884,7.0884,6100
2009-11-23,7.0822,7.0822,7.0822,7.0822,7.0822,3900
2009-11-24,7.0576,7.0576,7.0268,7.0268,7.0268,5534
2009-11-25,7.0576,7.1131,7.0576,7.0884,7.0884,4400
2009-11-26,7.0576,7.0576,7.0268,7.0268,7.0268,4002
2009-11-27,6.9651,6.9651,6.9035,6.9035,6.9035,7031
2009-11-30,6.9036,7.0577,6.4721,6.9652,6.9652,10420
2009-12-01,6.774,6.9034,6.774,6.7925,6.7925,9160
2009-12-02,6.8234,6.885,6.8234,6.8357,6.8357,7400
2009-12-03,6.8418,7.2733,6.8234,7.0884,7.0884,11400
2009-12-04,7.0577,7.1193,6.8419,7.1193,7.1193,3720
2009-12-07,7.0885,7.0885,6.8419,6.9652,6.9652,2100
2009-12-08,6.8542,6.8727,6.8419,6.8727,6.8727,8320
2009-12-09,6.8603,6.9343,6.8603,6.9343,6.9343,2700
2009-12-10,6.9344,6.9344,6.8419,6.8419,6.8419,11086
2009-12-11,6.8419,6.9343,6.8419,6.9035,6.9035,2900
2009-12-14,6.8727,6.8727,6.8542,6.8542,6.8542,2000
2009-12-15,6.8419,6.8419,6.8111,6.8111,6.8111,2900
2009-12-16,6.8419,6.8419,6.8296,6.8419,6.8419,5700
2009-12-17,6.8296,6.8296,6.8111,6.8111,6.8111,4700
2009-12-18,6.7802,6.9035,6.2625,6.4104,6.4104,41370
2009-12-21,6.7803,6.7803,6.5337,6.5337,6.5337,5000
2009-12-22,6.5336,6.5336,6.5028,6.5028,6.5028,6000
2009-12-23,6.5029,6.6878,6.5029,6.6878,6.6878,3200
2009-12-28,6.657,6.6755,6.6508,6.6508,6.6508,2300
2009-12-29,6.5953,6.5953,6.2625,6.2625,6.2625,1311600
2009-12-30,6.4351,6.4351,6.2686,6.4104,6.4104,6800
2010-01-05,6.4103,6.5336,6.1638,6.5028,6.5028,1800
2010-01-06,6.5028,6.5028,6.4412,6.4412,6.4412,3500
2010-01-07,6.5214,6.5214,6.5214,6.5214,6.5214,500
2010-01-08,6.5029,6.5029,6.4104,6.4104,6.4104,4000
2010-01-11,6.4413,6.4413,6.3488,6.3488,6.3488,6413
2010-01-12,6.3488,6.4104,6.1947,6.4104,6.4104,7700
2010-01-13,6.2317,6.2872,6.1947,6.2872,6.2872,5721
2010-01-14,6.3734,6.3796,6.3734,6.3796,6.3796,620
2010-01-15,6.3796,6.4659,6.3796,6.4289,6.4289,8000
2010-01-18,6.4412,6.4844,6.4104,6.4104,6.4104,21439
2010-01-19,6.5336,6.6569,6.5336,6.6261,6.6261,28450
2010-01-20,6.6262,6.657,6.2872,6.2872,6.2872,3440
2010-01-21,6.657,6.657,6.4721,6.5337,6.5337,1799
2010-01-22,6.472,6.6384,6.4227,6.4412,6.4412,5300
2010-01-26,6.5337,6.6446,6.5337,6.6446,6.6446,327
2010-01-27,6.657,6.657,6.6323,6.657,6.657,9500
2010-01-28,6.6569,6.6569,6.5953,6.6076,6.6076,10040
2010-01-29,6.657,6.7186,6.6261,6.7186,6.7186,7100
2010-02-01,6.7186,6.7309,6.657,6.7186,6.7186,1800
2010-02-02,6.7063,6.7186,6.7001,6.7063,6.7063,5682
2010-02-03,6.7186,6.7186,6.657,6.657,6.657,7100
2010-02-04,6.6631,6.6631,6.5645,6.5645,6.5645,8300
2010-02-05,6.5954,6.657,6.5954,6.657,6.657,2200
2010-02-08,6.7063,6.7186,6.7063,6.7186,6.7186,1500
2010-02-09,6.7063,6.7186,6.657,6.7186,6.7186,6020
2010-02-10,6.7186,6.7186,6.6447,6.7063,6.7063,8300
2010-02-11,6.6878,6.9035,6.6878,6.8419,6.8419,3590
2010-02-12,6.9035,6.9035,6.7186,6.7802,6.7802,3900
2010-02-18,6.7802,6.8727,6.657,6.8727,6.8727,5400
2010-02-19,6.6878,6.8419,6.6262,6.8419,6.8419,3310
2010-02-22,6.6569,6.7186,6.5953,6.7124,6.7124,11500
2010-02-23,6.7124,6.7309,6.5645,6.7309,6.7309,6300
2010-02-24,6.7309,6.7309,6.7309,6.7309,6.7309,100
2010-02-25,6.8419,6.8419,6.8419,6.8419,6.8419,200
2010-02-26,6.7187,6.768,6.5954,6.7618,6.7618,4900
2010-03-01,6.7617,6.7617,6.7186,6.7186,6.7186,1130
2010-03-02,6.7186,6.7186,6.6878,6.6878,6.6878,3801
2010-03-03,6.6878,6.7186,6.657,6.7186,6.7186,304600
2010-03-04,6.657,6.7186,6.657,6.7186,6.7186,2800
2010-03-05,6.657,6.657,6.657,6.657,6.657,2300
2010-03-08,6.7186,6.7186,6.657,6.657,6.657,4300
2010-03-09,6.6569,6.7802,6.5953,6.7802,6.7802,10130
2010-03-10,6.7802,6.7802,6.6569,6.7802,6.7802,400
2010-03-11,6.7803,6.7803,6.6694,6.6817,6.6817,16730
2010-03-12,6.6785,6.6785,6.6284,6.6785,6.6785,8210
2010-03-15,6.8851,6.8851,6.7912,6.8225,6.8225,7200
2010-03-16,6.7912,6.8163,6.7662,6.7662,6.7662,4200
2010-03-17,6.7724,6.7724,6.7474,6.7724,6.7724,5000
2010-03-18,6.7473,6.7473,6.7285,6.7285,6.7285,3500
2010-03-19,6.7286,6.7286,6.7036,6.7036,6.7036,3500
2010-03-22,6.666,6.666,6.666,6.666,6.666,5000
2010-03-23,6.6347,6.6347,6.5721,6.5721,6.5721,4000
2010-03-24,6.6346,6.6847,6.5094,6.6847,6.6847,32000
2010-03-25,6.5095,6.5408,6.5095,6.5408,6.5408,4000
2010-03-26,6.5408,6.5408,6.5095,6.5095,6.5095,6001
2010-03-29,6.5095,6.5095,6.4469,6.4469,6.4469,26500
2010-03-30,6.4469,6.4469,6.3843,6.3843,6.3843,5000
2010-03-31,6.3844,6.3844,6.3218,6.3218,6.3218,11802
2010-04-01,6.5096,6.8476,6.3218,6.3218,6.3218,10300
2010-04-05,6.3531,6.3531,6.2592,6.3218,6.3218,12000
2010-04-06,6.353,6.353,6.2591,6.2591,6.2591,8001
2010-04-07,6.2591,6.2591,6.2591,6.2591,6.2591,2200
2010-04-08,6.2592,6.2592,6.1966,6.2529,6.2529,2625
2010-04-09,6.2591,6.2591,6.2591,6.2591,6.2591,100
2010-04-12,6.2029,6.2029,6.1966,6.1966,6.1966,4500
2010-04-13,6.1966,6.1966,6.1966,6.1966,6.1966,1800
2010-04-14,6.1966,6.1966,6.1653,6.1653,6.1653,4000
2010-04-15,6.1652,6.2591,6.1652,6.2591,6.2591,2500
2010-04-16,6.184,6.184,6.1339,6.1339,6.1339,4500
