Date,Open,High,Low,Close,Adj Close,Volume
2008-04-07,2.2808,2.3319,2.236,2.2616,2.2616,133300
2008-04-08,2.2232,2.3127,2.2232,2.2999,2.2999,176705
2008-04-09,2.2999,2.2999,2.236,2.2999,2.2999,160400
2008-04-10,2.2756,2.3561,2.2756,2.3561,2.3561,168564
2008-04-11,2.3561,2.4009,2.3446,2.3638,2.3638,260585
2008-04-14,2.3638,2.3638,2.2232,2.2488,2.2488,134366
2008-04-15,2.2872,2.3383,2.2693,2.2744,2.2744,64765
2008-04-16,2.337,2.3446,2.2986,2.3242,2.3242,103355
2008-04-17,2.3254,2.5171,2.3216,2.5171,2.5171,171064
2008-04-18,2.6103,2.6212,2.5433,2.5966,2.5966,192133
2008-04-22,2.4176,2.4176,2.2194,2.2823,2.2823,218404
2008-04-23,2.3233,2.3233,2.2276,2.2276,2.2276,305498
2008-04-24,2.2549,2.3014,2.1934,2.1934,2.1934,27225
2008-04-25,2.2208,2.2276,2.1729,2.1866,2.1866,217814
2008-04-28,2.2071,2.2481,2.1756,2.1934,2.1934,101100
2008-04-29,2.1879,2.2221,2.1811,2.2221,2.2221,261818
2008-04-30,2.2221,2.3779,2.1825,2.3779,2.3779,320799
2008-05-02,2.3642,2.3834,2.2822,2.3574,2.3574,227914
2008-05-05,2.3724,2.4599,2.3492,2.4599,2.4599,240075
2008-05-06,2.4326,2.4326,2.3793,2.4053,2.4053,158444
2008-05-07,2.4326,2.4326,2.3164,2.3164,2.3164,354665
2008-05-08,2.3629,2.3629,2.3232,2.3369,2.3369,57020
2008-05-09,2.3233,2.3301,2.3055,2.3096,2.3096,67519
2008-05-12,2.3369,2.3369,2.3096,2.3301,2.3301,42350
2008-05-13,2.3574,2.3765,2.3137,2.3451,2.3451,149705
2008-05-14,2.3752,2.3766,2.2987,2.3424,2.3424,302682
2008-05-15,2.3629,2.3984,2.3232,2.382,2.382,258500
2008-05-16,2.3779,2.4011,2.3451,2.3779,2.3779,237649
2008-05-19,2.3779,2.4326,2.3342,2.3752,2.3752,72580
2008-05-20,2.3642,2.3642,2.2754,2.3082,2.3082,136808
2008-05-21,2.3165,2.337,2.2645,2.2823,2.2823,189600
2008-05-23,2.2549,2.3369,2.1866,2.2344,2.2344,175197
2008-05-26,2.2454,2.2481,2.214,2.2249,2.2249,72948
2008-05-27,2.2249,2.2345,2.173,2.188,2.188,55954
2008-05-28,2.1907,2.2345,2.1743,2.2208,2.2208,450820
2008-05-29,2.2208,2.2604,2.1866,2.2003,2.2003,392849
2008-05-30,2.2221,2.3233,2.2208,2.2809,2.2809,219532
2008-06-02,2.2809,2.2905,2.2413,2.2686,2.2686,98844
2008-06-03,2.2755,2.3096,2.2181,2.3028,2.3028,122192
2008-06-04,2.2413,2.3028,2.2413,2.3028,2.3028,107811
2008-06-05,2.3083,2.3233,2.2782,2.3069,2.3069,100455
2008-06-06,2.3164,2.3232,2.2822,2.2959,2.2959,104439
2008-06-09,2.296,2.3438,2.255,2.3233,2.3233,243810
2008-06-10,2.3083,2.3219,2.2645,2.3028,2.3028,80670
2008-06-11,2.3027,2.3027,2.2549,2.2549,2.2549,100200
2008-06-12,2.2604,2.2959,2.2549,2.2891,2.2891,172400
2008-06-13,2.2823,2.3014,2.27,2.2823,2.2823,41713
2008-06-16,2.2823,2.2891,2.2686,2.2823,2.2823,45320
2008-06-17,2.2549,2.2754,2.2413,2.2686,2.2686,171144
2008-06-18,2.2823,2.2823,2.2071,2.2071,2.2071,231686
2008-06-19,2.2207,2.2207,2.1797,2.1852,2.1852,80500
2008-06-20,2.1852,2.2262,2.1702,2.1852,2.1852,407800
2008-06-23,2.1852,2.1934,2.1606,2.1729,2.1729,84836
2008-06-24,2.1729,2.1729,2.1046,2.1319,2.1319,120657
2008-06-25,2.1319,2.1319,2.0499,2.095,2.095,284081
2008-06-26,2.0772,2.1182,2.0513,2.0909,2.0909,60017
2008-06-27,2.0772,2.1456,2.0636,2.1319,2.1319,173400
2008-06-30,2.1319,2.1852,2.1319,2.1661,2.1661,68400
2008-07-01,2.1388,2.1798,2.0226,2.0636,2.0636,278577
2008-07-02,2.0773,2.0773,2.0021,2.0021,2.0021,64400
2008-07-03,2.0021,2.0431,1.9816,2.0431,2.0431,25316
2008-07-04,2.0486,2.0486,2.0007,2.0226,2.0226,26700
2008-07-07,2.0226,2.0909,2.0212,2.0636,2.0636,99759
2008-07-08,2.0499,2.2399,2.0499,2.2399,2.2399,75900
2008-07-10,2.1866,2.296,2.1866,2.2823,2.2823,441548
2008-07-11,2.2782,2.2782,2.2249,2.2413,2.2413,147504
2008-07-14,2.2413,2.3247,2.2003,2.3233,2.3233,425362
2008-07-15,2.2686,2.2946,2.214,2.2946,2.2946,318159
2008-07-16,2.2946,2.3492,2.2563,2.3219,2.3219,82319
2008-07-17,2.3219,2.3219,2.2686,2.3096,2.3096,146600
2008-07-18,2.3028,2.3028,2.2221,2.2686,2.2686,45900
2008-07-21,2.2686,2.2713,2.2426,2.2686,2.2686,330190
2008-07-22,2.2549,2.2658,2.1442,2.1729,2.1729,138200
2008-07-23,2.1866,2.2262,2.1456,2.2112,2.2112,45606
2008-07-24,2.2002,2.2002,2.1592,2.1852,2.1852,34000
2008-07-25,2.1852,2.1852,2.0691,2.1456,2.1456,275025
2008-07-28,2.1511,2.1511,2.0636,2.0773,2.0773,858328
2008-07-29,2.1374,2.1593,2.0636,2.1593,2.1593,347401
2008-07-30,2.1866,2.2071,2.0759,2.0978,2.0978,258046
2008-07-31,2.0978,2.1183,2.0308,2.1183,2.1183,611500
2008-08-01,2.0909,2.1306,2.0226,2.0841,2.0841,175565
2008-08-04,2.0841,2.0841,1.9912,1.9953,1.9953,123560
2008-08-05,2.0226,2.0909,1.9966,2.0499,2.0499,84100
2008-08-06,2.0691,2.1183,2.05,2.0773,2.0773,34730
2008-08-07,2.1115,2.1443,2.0992,2.1224,2.1224,193471
2008-08-08,2.1183,2.1934,2.1005,2.1456,2.1456,170300
2008-08-11,2.1456,2.1483,2.0841,2.0841,2.0841,301522
2008-08-12,2.0978,2.0978,2.0158,2.0363,2.0363,177809
2008-08-13,2.0486,2.0486,1.9406,2.0158,2.0158,148870
2008-08-14,2.0459,2.1183,2.0363,2.0773,2.0773,61700
2008-08-15,2.0773,2.1046,2.05,2.0773,2.0773,69901
2008-08-18,2.0909,2.0936,2.0485,2.0499,2.0499,53600
2008-08-19,2.0499,2.0704,2.0363,2.0636,2.0636,35200
2008-08-20,2.0636,2.0773,2.0431,2.0595,2.0595,41340
2008-08-21,2.0609,2.0622,1.9953,2.0472,2.0472,99300
2008-08-22,2.0363,2.0636,2.0363,2.0363,2.0363,41356
2008-08-25,2.0499,2.0636,2.0499,2.0499,2.0499,19000
2008-08-26,2.0499,2.0772,1.9816,2.0089,2.0089,108040
2008-08-27,2.0403,2.0403,2.0021,2.0089,2.0089,41900
2008-08-28,1.9953,2.0226,1.9816,2.0226,2.0226,226399
2008-08-29,2.0226,2.0226,1.9679,2.0089,2.0089,175035
2008-09-01,2.009,2.0705,1.9953,2.0158,2.0158,56738
2008-09-02,2.0336,2.0363,1.9816,1.9953,1.9953,100041
2008-09-03,1.9953,1.9953,1.9597,1.9816,1.9816,65701
2008-09-04,1.9939,1.9939,1.8873,1.9406,1.9406,148028
2008-09-05,1.9065,1.9434,1.8928,1.927,1.927,253008
2008-09-08,1.9571,1.9571,1.886,1.9065,1.9065,80225
2008-09-09,1.9065,1.9065,1.8094,1.8108,1.8108,159283
2008-09-10,1.8121,1.8217,1.7616,1.7766,1.7766,300329
2008-09-11,1.7766,1.8176,1.7438,1.7971,1.7971,316600
2008-09-12,1.7971,1.8436,1.7042,1.8135,1.8135,450851
2008-09-15,1.7493,1.7835,1.7083,1.722,1.722,141331
2008-09-16,1.7083,1.7192,1.6345,1.6878,1.6878,327744
2008-09-17,1.6537,1.6537,1.558,1.6195,1.6195,995412
2008-09-18,1.6195,1.6386,1.5115,1.6386,1.6386,447562
2008-09-19,1.7766,1.7766,1.6386,1.6386,1.6386,655210
2008-09-22,1.6194,1.6427,1.5033,1.6126,1.6126,383501
