Date,Open,High,Low,Close,Adj Close,Volume
2007-06-22,4.7655,4.7741,4.2762,4.4677,4.4677,11165320
2007-06-25,4.4678,4.5528,4.3827,4.5103,4.5103,992754
2007-06-26,4.5485,4.6166,4.4762,4.6166,4.6166,932126
2007-06-27,4.6549,4.6549,4.4677,4.6379,4.6379,550056
2007-06-28,4.6337,4.7656,4.5954,4.7656,4.7656,887153
2007-06-29,4.7443,4.872,4.7443,4.7869,4.7869,300650
2007-07-02,4.7869,4.9613,4.7656,4.9358,4.9358,1370884
2007-07-03,4.9699,4.9784,4.7997,4.872,4.872,457934
2007-07-04,4.8465,4.872,4.7869,4.872,4.872,206379
2007-07-05,4.872,4.9571,4.8082,4.9571,4.9571,596921
2007-07-06,4.9018,5.106,4.8933,5.089,5.089,2245363
2007-07-10,5.089,5.3188,5.089,5.2762,5.2762,971499
2007-07-11,5.2336,5.3187,5.0336,5.3187,5.3187,560183
2007-07-12,5.2761,5.3995,5.2761,5.3825,5.3825,347061
2007-07-13,5.3996,5.6167,5.3996,5.5273,5.5273,516196
2007-07-16,5.5528,5.5528,5.3826,5.489,5.489,294237
2007-07-17,5.4465,5.6124,5.3656,5.6124,5.6124,349351
2007-07-18,5.5102,5.6166,5.4038,5.5315,5.5315,337830
2007-07-19,5.6166,5.7442,5.5144,5.7442,5.7442,457031
2007-07-20,5.74,5.8506,5.4294,5.8506,5.8506,1117870
2007-07-23,5.7654,5.8718,5.7144,5.825,5.825,326575
2007-07-24,5.6378,5.7868,5.4251,5.6506,5.6506,553876
2007-07-25,5.5316,5.6762,5.3231,5.5273,5.5273,684480
2007-07-26,5.4464,5.5996,5.2549,5.2975,5.2975,230066
2007-07-27,5.4379,5.4379,5.0209,5.1911,5.1911,234881
2007-07-30,5.4421,5.4464,5.106,5.4464,5.4464,526776
2007-07-31,5.5273,5.5273,5.1954,5.2975,5.2975,467540
2007-08-01,5.1698,5.2549,4.8932,5.106,5.106,472041
2007-08-02,5.2336,5.4038,5.1485,5.2336,5.2336,353643
2007-08-03,5.3145,5.3188,5.0549,5.106,5.106,256128
2007-08-06,5.2336,5.2549,4.8932,5.0634,5.0634,511129
2007-08-07,5.1273,5.2975,4.9145,5.2975,5.2975,363535
2007-08-08,5.2336,5.3187,5.1911,5.3187,5.3187,416008
2007-08-09,5.2974,5.3144,5.1655,5.2336,5.2336,175117
2007-08-10,5.106,5.6379,5.0635,5.6379,5.6379,194736
2007-08-13,5.6123,5.6123,5.2549,5.4464,5.4464,87957
2007-08-14,5.5229,5.5272,5.1485,5.3187,5.3187,57820
2007-08-15,5.2975,5.3996,4.9571,5.106,5.106,295826
2007-08-16,4.723,4.723,4.1273,4.6464,4.6464,986440
2007-08-17,5.0932,5.0932,4.1359,4.6805,4.6805,379950
2007-08-20,4.5358,4.7655,4.4677,4.5315,4.5315,178786
2007-08-21,4.4253,4.5699,4.2976,4.3189,4.3189,514137
2007-08-22,4.4465,4.4465,4.1997,4.255,4.255,1478757
2007-08-23,4.3401,4.3614,4.2252,4.255,4.255,516942
2007-08-24,4.255,4.6762,4.255,4.6762,4.6762,215562
2007-08-27,4.6337,4.6379,4.3826,4.489,4.489,517240
2007-08-28,4.5911,4.5911,4.2848,4.4252,4.4252,455300
2007-08-29,4.4551,4.5827,4.2338,4.2423,4.2423,1276240
2007-08-30,4.306,4.306,4.1273,4.1273,4.1273,618230
2007-08-31,4.2082,4.3359,4.2082,4.3359,4.3359,839972
2007-09-03,4.3783,4.523,4.2975,4.523,4.523,112107
2007-09-04,4.5954,4.5954,4.3614,4.4039,4.4039,1061579
2007-09-05,4.3614,4.3614,4.255,4.255,4.255,1214684
2007-09-06,4.2976,4.3614,4.255,4.3401,4.3401,114010
2007-09-10,4.2933,4.2933,4.1699,4.255,4.255,152700
2007-09-11,4.2763,4.2976,4.1912,4.255,4.255,115323
2007-09-12,4.255,4.255,4.1316,4.1699,4.1699,110754
2007-09-13,4.2507,4.2549,4.0422,4.0422,4.0422,610117
2007-09-14,4.0422,4.123,3.9571,4.0422,4.0422,377636
2007-09-17,4.0423,4.0423,3.8721,3.8721,3.8721,546954
2007-09-18,3.9911,4.0422,3.8805,4.0422,4.0422,1214704
2007-09-19,4.4252,4.4677,4.2635,4.4677,4.4677,1291497
2007-09-20,4.3826,4.5102,4.3188,4.4677,4.4677,174617
2007-09-21,4.4081,4.5528,4.4081,4.5528,4.5528,505620
2007-09-24,4.5528,4.6549,4.489,4.6549,4.6549,589292
2007-09-25,4.5614,4.7656,4.5571,4.7656,4.7656,820716
2007-09-26,4.7656,4.7869,4.6933,4.7656,4.7656,199500
2007-09-27,4.7614,4.872,4.7231,4.872,4.872,346800
2007-09-28,4.8294,4.872,4.7699,4.872,4.872,1716785
2007-10-01,4.872,4.9358,4.8464,4.8507,4.8507,325163
2007-10-02,4.7656,4.8507,4.655,4.6805,4.6805,238200
2007-10-03,4.8081,4.8081,4.5528,4.6592,4.6592,194028
