Date,Open,High,Low,Close,Adj Close,Volume
2009-12-17,5.8487,6.2788,5.7834,6.2788,6.2788,18837000
2009-12-18,6.3441,6.3475,6.0723,6.0723,6.0723,2533800
2009-12-21,6.0861,6.0861,5.8246,5.9175,5.9175,2273200
2009-12-22,5.9829,5.9932,5.8693,5.9519,5.9519,1136400
2009-12-23,5.9175,6.0207,5.8831,5.9519,5.9519,207800
2009-12-28,5.9347,6.1136,5.9175,6.0895,6.0895,566400
2009-12-29,6.0241,6.2443,6.0241,6.1927,6.1927,1649000
2009-12-30,6.1927,6.3269,6.1755,6.3269,6.3269,590800
2010-01-04,6.1962,6.3648,6.1962,6.2272,6.2272,464000
2010-01-05,6.2615,6.3613,6.1411,6.1927,6.1927,273800
2010-01-06,6.1928,6.5196,6.1928,6.4164,6.4164,764800
2010-01-07,6.3682,6.4473,6.2306,6.437,6.437,752800
2010-01-08,6.3029,6.843,6.3029,6.5678,6.5678,2120800
2010-01-11,6.6125,6.7019,6.5333,6.6228,6.6228,287800
2010-01-12,6.6228,7.0494,6.6159,6.7432,6.7432,718200
2010-01-13,6.7432,6.7604,6.6056,6.7604,6.7604,314600
2010-01-14,6.7673,7.0356,6.7673,6.8808,6.8808,76200
2010-01-15,6.8981,6.9394,6.7811,6.7811,6.7811,266400
2010-01-18,6.9393,6.9393,6.8258,6.8292,6.8292,103400
2010-01-19,6.8637,6.9325,6.8258,6.8843,6.8843,145200
2010-01-20,6.8808,6.9118,6.781,6.7948,6.7948,2142800
2010-01-21,6.7191,6.8774,6.6744,6.7501,6.7501,180800
2010-01-22,6.7398,6.7501,6.6744,6.7088,6.7088,710000
2010-01-26,6.7088,6.7777,6.671,6.671,6.671,860000
2010-01-27,6.7088,6.7088,6.5368,6.6675,6.6675,59000
2010-01-28,6.5849,6.7329,6.5849,6.7088,6.7088,35200
2010-01-29,6.7295,6.9325,6.7054,6.7054,6.7054,321000
2010-02-01,6.702,6.702,6.5884,6.6022,6.6022,139600
2010-02-02,6.5884,6.5884,6.5024,6.5024,6.5024,304600
2010-02-03,6.578,6.6021,6.4851,6.4989,6.4989,62200
2010-02-04,6.5059,6.5678,6.1137,6.1687,6.1687,432000
2010-02-05,6.1687,6.2891,5.921,6.0861,6.0861,394200
2010-02-08,6.1033,6.5403,5.9864,6.1515,6.1515,437800
2010-02-09,6.2203,6.4164,6.1928,6.3648,6.3648,321800
2010-02-10,6.3613,6.6056,6.3613,6.5161,6.5161,484600
2010-02-11,6.5196,6.6607,6.4577,6.4577,6.4577,314600
2010-02-12,6.5575,6.5953,6.3614,6.3648,6.3648,33600
2010-02-17,6.5884,6.5953,6.5058,6.5368,6.5368,246600
2010-02-18,6.4508,6.8808,6.351,6.8464,6.8464,211400
2010-02-19,6.7398,6.8636,6.7398,6.8533,6.8533,383400
2010-02-22,6.7088,6.9325,6.7019,6.7914,6.7914,1007600
2010-02-23,6.7432,6.8223,6.5609,6.64,6.64,1038200
2010-02-24,6.6021,6.8464,6.6021,6.7604,6.7604,56200
2010-02-25,6.7432,6.7432,6.5437,6.6228,6.6228,610600
2010-02-26,6.5953,6.8808,6.5746,6.8774,6.8774,32800
2010-03-01,6.9118,6.9152,6.6159,6.6159,6.6159,1138400
2010-03-02,6.64,6.8189,6.5024,6.5196,6.5196,129800
2010-03-03,6.7088,6.7088,6.523,6.5368,6.5368,210800
2010-03-04,6.6056,6.6503,6.5368,6.5368,6.5368,33400
2010-03-05,6.6366,6.64,6.5368,6.6228,6.6228,116600
2010-03-08,6.6366,6.6882,6.5574,6.6056,6.6056,86600
2010-03-09,6.6641,6.6675,6.5368,6.554,6.554,60600
2010-03-10,6.554,6.7432,6.5196,6.5196,6.5196,491000
2010-03-11,6.4852,6.5368,6.382,6.5368,6.5368,162200
2010-03-12,6.3682,6.6194,6.3682,6.5368,6.5368,90200
2010-03-15,6.3648,6.6744,6.3648,6.6056,6.6056,201800
2010-03-16,6.5368,6.874,6.4749,6.5712,6.5712,534200
2010-03-17,6.6331,6.8223,6.6331,6.7191,6.7191,208600
2010-03-18,6.6572,6.8636,6.6572,6.812,6.812,384400
2010-03-19,6.812,6.812,6.554,6.7604,6.7604,1068000
2010-03-22,6.7638,6.7776,6.5712,6.7776,6.7776,59200
2010-03-23,6.6985,6.8636,6.6985,6.7948,6.7948,613000
2010-03-24,6.7845,6.812,6.6435,6.6469,6.6469,254200
2010-03-25,6.7122,6.7742,6.6503,6.726,6.726,48200
2010-03-26,6.6193,6.7397,6.6193,6.695,6.695,48600
