Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,7.4467,7.5721,7.2429,7.2664,7.2664,975676
2005-01-04,7.337,7.3699,6.9795,6.9952,6.9952,1117615
2005-01-05,7.0219,7.0313,6.8667,6.8965,6.8965,891090
2005-01-06,6.9513,6.9528,6.7412,6.7804,6.7804,818280
2005-01-07,6.8056,6.9749,6.8009,6.8824,6.8824,643450
2005-01-10,6.9106,6.9749,6.7648,6.8197,6.8197,611368
2005-01-11,6.8965,6.9138,6.7272,6.7758,6.7758,626956
2005-01-12,6.8291,6.851,6.5218,6.6958,6.6958,1056756
2005-01-13,6.8024,6.8886,6.7726,6.8808,6.8808,758377
2005-01-14,6.851,7.0626,6.7413,7.0548,7.0548,1043895
2005-01-17,7.0392,7.0548,6.8432,6.8667,6.8667,722560
2005-01-18,6.7397,6.7726,6.6347,6.6472,6.6472,1035450
2005-01-19,6.7099,6.7805,6.6315,6.7068,6.7068,533374
2005-01-20,6.5829,6.6158,6.4293,6.4575,6.4575,957015
2005-01-21,6.5249,6.5845,6.3728,6.4277,6.4277,695016
2005-01-24,6.4872,6.6252,6.4277,6.6252,6.6252,471586
2005-01-26,6.7648,6.8353,6.7412,6.7726,6.7726,824080
2005-01-27,6.6942,6.7726,6.5767,6.6237,6.6237,767670
2005-01-28,6.6127,6.851,6.5845,6.8275,6.8275,805179
2005-01-31,6.8981,6.9764,6.8526,6.8667,6.8667,1056430
2005-02-01,6.7241,6.7413,6.5845,6.6002,6.6002,1638378
2005-02-02,6.6566,6.7068,6.5531,6.6315,6.6315,1407333
2005-02-03,6.6393,6.7867,6.6315,6.7726,6.7726,706579
2005-02-04,6.7727,6.9592,6.7727,6.9373,6.9373,948655
2005-02-09,6.9874,7.0517,6.782,6.851,6.851,1360227
2005-02-10,6.8181,7.0532,6.7883,7.036,7.036,853851
2005-02-11,7.0376,7.0862,6.9639,7.0313,7.0313,1852011
2005-02-14,7.0313,7.0873,6.9144,6.956,6.956,1047180
2005-02-15,6.8231,6.9353,6.8231,6.8872,6.8872,1109232
2005-02-16,6.8887,6.964,6.7222,6.759,6.759,2284551
2005-02-17,6.8871,7.0793,6.8247,7.0633,7.0633,1975093
2005-02-18,7.0489,7.4878,7.0473,7.4317,7.4317,3567643
2005-02-21,7.4269,7.6079,7.2892,7.3276,7.3276,1274064
2005-02-22,7.161,7.6239,7.0697,7.4285,7.4285,3279292
2005-02-23,7.483,7.5919,7.4525,7.5278,7.5278,1562091
2005-02-24,7.6447,7.8321,7.6159,7.8321,7.8321,2347515
2005-02-25,7.752,8.0883,7.6415,7.8481,7.8481,3177144
2005-02-28,7.8354,8.1845,7.8161,8.1605,8.1605,2328462
2005-03-01,8.1044,8.1365,7.8354,7.8818,7.8818,1595484
2005-03-02,7.8465,7.9058,7.6976,7.8994,7.8994,796210
2005-03-03,8.0404,8.2005,8.0083,8.1701,8.1701,1610602
2005-03-04,8.1221,8.5209,8.1221,8.4568,8.4568,1729111
2005-03-07,8.6169,8.8059,8.6169,8.713,8.713,1753819
2005-03-08,8.657,8.7755,8.5209,8.7307,8.7307,1525036
2005-03-09,8.6474,8.846,8.5369,8.7451,8.7451,1666873
2005-03-10,8.6986,8.8075,8.3287,8.4728,8.4728,1970841
