Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,17.8775,20.2612,17.779,19.946,19.946,41313700
2018-04-24,20.3892,21.2757,20.3104,20.3104,20.3104,5087900
2018-04-25,20.2907,20.5862,19.552,19.6997,19.6997,5177200
2018-04-26,19.9459,20.5862,19.4535,19.8967,19.8967,5738200
2018-04-27,20.1332,20.3203,19.4338,20.3203,20.3203,6204200
2018-04-30,20.3104,20.3104,19.8869,20.0937,20.0937,174200
2018-05-02,19.8081,20.34,19.8081,20.34,20.34,2227700
2018-05-03,20.2414,20.2808,19.946,20.0937,20.0937,1007700
2018-05-04,19.8179,20.1528,19.7982,20.0937,20.0937,154300
2018-05-07,19.9854,20.8521,19.6603,20.0937,20.0937,239300
2018-05-08,19.946,20.4877,19.946,20.1922,20.1922,91200
2018-05-09,20.1922,20.4778,20.0937,20.1922,20.1922,269800
2018-05-10,20.5468,20.5468,20.1824,20.1922,20.1922,5225200
2018-05-11,20.1923,20.34,19.818,20.34,20.34,1580200
2018-05-14,20.3499,20.8817,20.0051,20.4385,20.4385,559500
2018-05-15,19.9066,20.143,19.6998,19.8475,19.8475,2249300
2018-05-16,19.5618,19.8967,19.5618,19.8967,19.8967,350400
2018-05-17,19.9066,20.4384,19.8967,20.4089,20.4089,986600
2018-05-18,20.0642,20.862,20.0642,20.4385,20.4385,1187100
2018-05-21,20.4877,21.65,20.1922,20.6847,20.6847,4582000
2018-05-22,20.7044,21.3939,20.6946,21.1575,21.1575,282100
2018-05-23,21.1379,22.6449,21.1379,21.719,21.719,2204400
2018-05-24,21.3841,21.9356,20.734,21.6697,21.6697,1086200
2018-05-25,21.8372,21.8372,21.3447,21.4235,21.4235,140600
2018-05-28,21.9553,21.9553,20.4385,20.9802,20.9802,303800
2018-05-29,20.9704,21.65,20.7045,21.1871,21.1871,2374100
2018-05-30,21.2855,22.1129,20.7832,21.1772,21.1772,276300
2018-06-01,21.3349,22.0145,21.0098,21.6599,21.6599,791400
2018-06-04,22.044,22.5266,21.6796,21.8667,21.8667,2224100
2018-06-05,21.8667,21.9652,21.3841,21.5712,21.5712,1203300
2018-06-06,21.1772,21.8371,21.1772,21.4727,21.4727,2970300
2018-06-07,21.2068,21.2068,20.2415,20.5961,20.5961,1112800
2018-06-08,20.9802,21.5614,20.6946,20.931,20.931,680200
2018-06-11,21.1477,21.4037,20.7635,21.3742,21.3742,242200
2018-06-12,21.5417,21.6402,20.8621,21.3841,21.3841,2151900
2018-06-13,21.0689,22.044,21.0689,21.8569,21.8569,2890300
2018-06-14,21.916,23.1768,21.8865,22.6646,22.6646,1581500
2018-06-15,22.6744,23.1964,21.3742,22.8517,22.8517,1014500
2018-06-18,22.4676,23.2949,22.3592,23.0487,23.0487,1030500
2018-06-19,23.0487,23.6298,22.7828,23.2457,23.2457,1440500
2018-06-20,23.8859,24.6049,23.6397,23.8859,23.8859,2511400
2018-06-21,24.1715,25.1959,23.2063,23.5904,23.5904,2214900
2018-06-22,23.7875,24.1322,22.4184,22.704,22.704,1888800
2018-06-25,22.5858,23.1472,22.3001,22.7335,22.7335,332500
2018-06-26,22.5759,22.8123,22.0145,22.0539,22.0539,908700
2018-06-27,22.0735,23.1078,21.522,21.8273,21.8273,828400
2018-06-28,21.6697,21.6992,20.8817,21.3742,21.3742,1601900
2018-06-29,21.65,21.8765,20.8817,21.2757,21.2757,1262100
2018-07-02,21.0295,21.3249,20.7438,21.1772,21.1772,474000
2018-07-03,20.9802,21.6007,20.9014,21.1772,21.1772,776100
2018-07-04,21.1772,22.1425,21.128,22.1425,22.1425,33100
2018-07-05,21.9849,21.9849,21.2364,21.7387,21.7387,278400
2018-07-06,21.522,21.9455,21.3152,21.5023,21.5023,162900
2018-07-10,21.2856,21.8076,21.2363,21.6697,21.6697,283500
2018-07-11,21.8076,22.2114,21.5811,22.044,22.044,465700
2018-07-12,21.916,22.7532,21.5909,22.7138,22.7138,431900
2018-07-13,22.8418,24.1124,22.6547,23.4919,23.4919,252600
2018-07-16,23.2457,23.7185,23.0881,23.6397,23.6397,2442200
2018-07-17,23.6397,23.8662,23.5905,23.7382,23.7382,807000
2018-07-18,23.5609,23.9548,23.551,23.945,23.945,503400
2018-07-19,24.1716,25.0088,23.8859,24.2799,24.2799,1549600
2018-07-20,24.871,25.3733,24.6641,24.9005,24.9005,553200
2018-07-23,25.0482,25.0482,24.3981,24.3981,24.3981,578900
2018-07-24,24.7626,24.7724,23.492,24.1322,24.1322,831200
2018-07-25,24.1617,24.3784,24.1322,24.1322,24.1322,688800
2018-07-26,24.1519,24.2701,23.8761,24.1322,24.1322,3069100
2018-07-27,24.2307,25.0088,24.1421,24.3292,24.3292,270500
2018-07-30,24.7527,24.7724,24.0337,24.0337,24.0337,495700
2018-07-31,24.0337,24.2208,22.8025,24.1322,24.1322,794400
2018-08-01,24.1913,24.4671,23.2556,24.1322,24.1322,1190600
2018-08-02,24.3292,24.5754,23.9451,24.1322,24.1322,907300
2018-08-03,24.3588,24.6838,24.1421,24.4474,24.4474,87100
2018-08-06,24.6247,24.6247,24.1322,24.1322,24.1322,93400
2018-08-07,24.1322,24.2996,22.5562,23.6397,23.6397,4768400
2018-08-08,23.3639,23.7086,23.2457,23.6397,23.6397,589700
2018-08-09,23.9253,24.2996,23.1768,23.6397,23.6397,567800
2018-08-10,23.8071,23.8367,23.098,23.6397,23.6397,1033700
2018-08-13,23.6397,24.1321,23.6397,23.8859,23.8859,75800
2018-08-14,23.8071,24.4867,23.3048,23.8859,23.8859,335500
2018-08-15,23.6397,24.6739,23.5609,24.2307,24.2307,1050100
2018-08-16,24.2307,25.2157,24.0534,25.2157,25.2157,1382800
2018-08-17,25.2157,25.3634,24.9103,25.2452,25.2452,743400
2018-08-20,25.2058,25.5308,25.0187,25.3634,25.3634,436700
2018-08-21,25.2945,25.2945,23.9549,24.6444,24.6444,842500
2018-08-22,24.5557,24.7232,24.3292,24.5262,24.5262,259700
2018-08-23,24.536,24.8413,23.4722,23.6889,23.6889,611600
2018-08-24,23.9845,24.3587,23.9746,24.0928,24.0928,101800
2018-08-27,24.3489,24.6148,24.0633,24.4277,24.4277,127500
2018-08-28,25.1566,25.3043,24.477,25.2157,25.2157,150200
2018-08-29,25.127,25.2452,24.7134,24.9596,24.9596,762900
2018-08-30,24.733,24.861,24.6247,24.6739,24.6739,809700
2018-08-31,24.6444,25.1172,24.3489,25.1172,25.1172,2457700
2018-09-03,24.733,25.3634,24.7232,24.7724,24.7724,129800
2018-09-04,24.8611,24.8611,23.6496,24.1322,24.1322,652700
2018-09-05,23.8564,24.5163,23.8564,24.1519,24.1519,112900
2018-09-06,25.4915,26.0529,24.8217,24.8217,24.8217,1884200
2018-09-10,24.9202,25.3536,24.5853,24.8414,24.8414,2087500
2018-09-11,25.0286,25.0975,24.7528,25.0384,25.0384,699200
2018-09-12,25.0679,25.3733,24.8808,24.8808,24.8808,1858500
2018-09-13,25.0186,25.0186,23.8564,24.3193,24.3193,400300
2018-09-14,24.4966,25.058,23.9549,24.9103,24.9103,142500
2018-09-17,24.9104,25.3634,24.7922,25.2157,25.2157,617500
2018-09-18,24.7725,25.2354,24.7725,25.0187,25.0187,449700
2018-09-19,24.7724,25.0186,24.6345,24.8709,24.8709,626700
2018-09-20,24.8907,25.3437,24.7823,25.1172,25.1172,355100
2018-09-21,25.0384,25.6097,25.0286,25.2157,25.2157,943300
2018-09-24,25.2748,26.2302,24.6346,25.4127,25.4127,1117500
2018-09-25,25.1566,26.2992,25.1566,26.1022,26.1022,175000
2018-09-26,26.2991,27.5796,26.2991,27.0871,27.0871,444600
2018-09-27,27.0871,27.4614,26.2007,26.5257,26.5257,683900
2018-09-28,26.4764,27.0674,24.6739,25.9741,25.9741,2154700
2018-10-01,26.1415,26.2794,25.7673,26.0923,26.0923,380500
2018-10-02,25.9642,26.6537,25.2649,25.2649,25.2649,595100
2018-10-03,25.8559,25.9249,24.6937,24.8217,24.8217,499400
2018-10-04,24.8216,25.2944,24.1223,24.1223,24.1223,367300
2018-10-05,24.2799,24.5951,22.3789,23.1669,23.1669,341500
2018-10-08,23.7875,24.3292,23.3048,24.0928,24.0928,1264700
2018-10-09,24.339,25.1565,23.8859,24.2602,24.2602,806800
2018-10-10,24.142,25.0777,23.817,23.9056,23.9056,473000
2018-10-11,23.9844,24.3095,22.7729,23.6594,23.6594,403500
2018-10-15,24.0041,24.4079,23.4722,23.9056,23.9056,6671600
2018-10-16,24.0336,24.0435,23.3737,23.9056,23.9056,831700
2018-10-17,23.886,24.2996,23.6397,23.8958,23.8958,855900
2018-10-18,23.9352,24.4079,23.7086,24.0829,24.0829,1114800
2018-10-19,24.3685,24.3685,23.7382,24.0829,24.0829,413800
2018-10-22,24.6246,24.6246,23.4919,24.1026,24.1026,567600
2018-10-23,24.0238,24.1026,23.3836,23.6397,23.6397,454600
