Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,10.3577,10.4651,10.0201,10.1275,10.1275,127041
2005-01-04,10.2042,10.2042,9.8989,9.9894,9.9894,135642
2005-01-05,9.8989,9.9894,9.8206,9.8206,9.8206,179458
2005-01-06,9.8359,9.882,9.4753,9.549,9.549,138861
2005-01-07,9.6656,9.6978,9.5919,9.5919,9.5919,58581
2005-01-10,9.6227,9.6672,9.437,9.437,9.437,77258
2005-01-11,9.5796,9.5796,9.239,9.3326,9.3326,52784
2005-01-12,9.3634,9.5122,8.992,9.5122,9.5122,109451
2005-01-13,9.5152,9.7438,9.4523,9.7285,9.7285,108564
2005-01-14,9.6978,9.8205,9.6824,9.7438,9.7438,51035
2005-01-17,9.819,9.8206,9.4216,9.4216,9.4216,99343
2005-01-18,9.437,9.437,9.0994,9.2068,9.2068,172800
2005-01-19,9.3894,9.3894,9.1316,9.1454,9.1454,79670
2005-01-20,9.0994,9.1148,8.7158,8.7465,8.7465,178918
2005-01-21,8.8017,8.8999,8.7618,8.8017,8.8017,103720
2005-01-24,8.9736,9.3572,8.8999,9.2605,9.2605,72999
2005-01-26,9.331,9.6502,9.3003,9.3295,9.3295,111057
2005-01-27,9.3142,9.3603,9.1316,9.2421,9.2421,62932
2005-01-28,9.1915,9.5904,9.1915,9.5751,9.5751,74923
2005-01-31,9.6364,9.8589,9.6364,9.7438,9.7438,193449
2005-02-01,9.5444,9.6518,9.3004,9.3096,9.3096,325212
2005-02-02,9.437,9.483,9.2835,9.3618,9.3618,367030
2005-02-03,9.4309,9.5137,9.3603,9.437,9.437,172198
2005-02-04,9.5137,9.6656,9.4907,9.5935,9.5935,117300
2005-02-09,9.6671,9.6671,9.4446,9.5904,9.5904,318627
2005-02-10,9.5904,9.819,9.4922,9.7914,9.7914,170548
2005-02-11,9.8191,9.8974,9.6687,9.7746,9.7746,338965
2005-02-14,9.784,9.8093,9.5736,9.5736,9.5736,158584
2005-02-15,9.4898,9.5357,9.4265,9.4661,9.4661,163941
2005-02-16,9.4772,9.5405,9.1781,9.2003,9.2003,192596
2005-02-17,9.4803,9.5895,9.3347,9.5689,9.5689,213314
2005-02-18,9.7112,9.9517,9.6195,9.8568,9.8568,357695
2005-02-21,9.8885,10.0784,9.7936,9.7936,9.7936,185425
2005-02-22,9.746,10.0435,9.5878,9.8568,9.8568,131725
2005-02-23,9.8932,10.0625,9.8932,10.0625,10.0625,158507
2005-02-24,10.1574,10.3631,10.0941,10.284,10.284,287522
2005-02-25,10.284,10.4581,10.1891,10.2065,10.2065,401584
2005-02-28,10.284,10.5529,10.2381,10.4501,10.4501,264644
2005-03-01,10.3647,10.4422,10.1416,10.1527,10.1527,172429
2005-03-02,10.2366,10.2366,9.9043,10.1559,10.1559,152455
2005-03-03,10.284,10.4422,10.2666,10.3868,10.3868,157444
2005-03-04,10.2966,10.7586,10.295,10.7586,10.7586,312596
2005-03-07,10.8932,11.0735,10.8932,11.0593,11.0593,217611
2005-03-08,11.0245,11.1858,10.727,11.1542,11.1542,341988
2005-03-09,10.9959,11.3646,10.901,11.257,11.257,200653
2005-03-10,11.2302,11.2808,10.8378,11.0878,11.0878,148566
2005-03-11,11.2333,11.2491,10.8694,11.0577,11.0577,178075
2005-03-14,10.9944,11.0577,10.7191,10.9485,10.9485,83604
2005-03-15,10.9485,11.2317,10.8694,11.0434,11.0434,99574
2005-03-16,10.996,11.0577,10.64,10.8995,10.8995,182477
2005-03-17,10.6921,10.757,10.4627,10.6162,10.6162,180717
2005-03-18,10.6716,10.8362,10.3172,10.4185,10.4185,150540
2005-03-21,10.4249,10.4328,10.2604,10.4249,10.4249,55320
2005-03-22,10.4105,10.5846,10.1273,10.2365,10.2365,81550
2005-03-23,10.235,10.235,9.8094,9.9122,9.9122,113676
2005-03-24,10.235,10.235,10.0261,10.2049,10.2049,113106
2005-03-28,10.2049,10.2049,9.7303,9.8252,9.8252,115447
2005-03-29,9.9676,10.0451,9.224,9.3664,9.3664,155328
2005-03-30,9.4929,9.4929,9.0974,9.2398,9.2398,293800
2005-03-31,9.5721,9.6512,9.2731,9.5705,9.5705,511544
2005-04-01,9.8093,9.8885,9.6195,9.6891,9.6891,217507
2005-04-04,9.7319,9.7319,9.493,9.58,9.58,278531
2005-04-05,9.7303,9.7936,9.4772,9.493,9.493,276403
2005-04-06,9.6511,9.6511,9.3347,9.3442,9.3442,338595
2005-04-07,9.4882,9.5721,9.3506,9.5721,9.5721,170861
2005-04-08,9.5641,9.7223,9.4455,9.4692,9.4692,117030
2005-04-11,9.572,9.572,9.0673,9.0673,9.0673,218912
2005-04-12,9.1108,9.1607,8.6148,8.7596,8.7596,290718
2005-04-13,8.8687,8.9233,8.6148,8.6148,8.6148,300211
2005-04-14,8.6624,8.6624,8.1877,8.2969,8.2969,224548
2005-04-15,8.3063,8.5436,7.9978,8.1283,8.1283,228779
2005-04-18,8.1877,8.3301,7.9978,8.285,8.285,144903
2005-04-19,8.5294,8.7335,8.4249,8.4724,8.4724,190190
2005-04-20,8.5911,8.7809,8.2826,8.3063,8.3063,158085
2005-04-22,8.5412,8.5436,7.8554,8.1639,8.1639,120862
2005-04-25,8.1165,8.3063,8.1165,8.1758,8.1758,169972
2005-04-26,8.1757,8.5412,8.1757,8.4012,8.4012,134990
2005-04-27,8.425,8.565,8.1687,8.3182,8.3182,93758
2005-04-28,8.3134,8.4226,7.9266,7.9266,7.9266,218630
2005-04-29,8.19,8.2589,7.8317,7.891,7.891,583201
2005-05-02,8.0667,8.0904,7.9029,8.0833,8.0833,305186
2005-05-03,8.1212,8.3537,8.0689,8.2232,8.2232,145071
2005-05-04,8.4344,8.648,8.2351,8.5436,8.5436,217728
2005-05-05,8.6386,8.7406,8.2755,8.4843,8.4843,154141
2005-05-06,8.5436,8.686,8.3348,8.508,8.508,167556
2005-05-09,8.6861,8.6861,8.3894,8.425,8.425,121417
2005-05-10,8.4298,8.4962,8.0975,8.1687,8.1687,159348
2005-05-11,8.2351,8.2636,8.0216,8.0619,8.0619,146472
2005-05-12,8.3063,8.3063,7.713,7.7177,7.7177,135924
2005-05-13,7.7605,7.7843,7.3927,7.5232,7.5232,177631
2005-05-16,7.528,7.6373,7.2852,7.528,7.528,269087
2005-05-17,7.4794,7.7223,7.443,7.5693,7.5693,207499
2005-05-18,7.7708,7.7708,7.5037,7.6494,7.6494,325958
2005-05-19,7.5037,7.6737,7.3507,7.3944,7.3944,298529
2005-05-20,7.4746,7.4746,7.1541,7.2148,7.2148,241368
2005-05-23,7.2851,7.3556,7.1443,7.1443,7.1443,104452
2005-05-24,7.1006,7.5037,6.9938,7.4066,7.4066,236276
2005-05-25,7.5231,7.5231,7.2876,7.3847,7.3847,261125
