Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,38.5521,38.8714,37.8677,38.7802,38.7802,130366
2005-01-04,38.7802,38.7802,36.4169,36.499,36.499,34331
2005-01-05,36.4991,37.1195,36.2253,36.5173,36.5173,34281
2005-01-06,36.134,36.4352,35.8603,35.8603,35.8603,8056
2005-01-07,36.4899,36.6359,35.8603,36.0428,36.0428,16450
2005-01-10,35.9516,35.9516,34.811,34.811,34.811,12255
2005-01-11,34.4551,35.1029,34.4551,34.9387,34.9387,9257
2005-01-12,35.1303,36.4899,34.0445,34.0445,34.0445,31398
2005-01-13,34.674,36.499,34.674,36.499,36.499,70875
2005-01-14,36.499,36.499,35.5318,35.6413,35.6413,68610
2005-01-17,35.8603,36.499,35.176,36.2253,36.2253,7714
2005-01-18,36.499,36.499,35.3584,35.8603,35.8603,9780
2005-01-19,36.2709,36.3166,34.9479,34.9661,34.9661,12580
2005-01-20,35.4041,35.4041,33.3054,33.3145,33.3145,26524
2005-01-21,33.5791,34.674,33.0772,33.0772,33.0772,14637
2005-01-24,33.2598,33.7616,32.8674,33.3054,33.3054,8601
2005-01-26,33.9441,33.9441,32.8491,32.8491,32.8491,16035
2005-01-27,32.8492,34.8566,32.8492,34.8566,34.8566,162417
2005-01-28,34.6741,34.6741,33.8528,34.3182,34.3182,155554
2005-01-31,34.6741,37.3932,34.6741,34.6923,34.6923,15155
2005-02-01,35.6321,36.499,34.9478,36.499,36.499,17600
2005-02-02,36.4078,38.0958,36.4078,37.7856,37.7856,54030
2005-02-03,38.4152,38.4244,37.2199,37.2199,37.2199,107862
2005-02-04,38.1233,38.1233,36.6177,36.6177,36.6177,12079
2005-02-09,37.8678,37.959,37.6944,37.6944,37.6944,7289
2005-02-10,36.499,37.4115,36.499,36.9735,36.9735,23445
2005-02-11,37.3202,37.3202,36.5355,36.5355,36.5355,7850
2005-02-14,36.4899,36.864,36.4899,36.6815,36.6815,99423
2005-02-15,36.4991,38.9719,36.4991,38.8715,38.8715,148202
2005-02-16,38.8623,39.6927,38.8623,38.9627,38.9627,53649
2005-02-17,38.9627,38.9627,37.521,37.521,37.521,7304
2005-02-18,37.8677,37.8677,34.7288,35.9333,35.9333,162749
2005-02-21,36.0428,36.4991,35.5866,35.8147,35.8147,6170
2005-02-22,36.207,36.207,34.4003,34.4003,34.4003,73946
2005-02-23,34.5098,34.6923,33.5426,33.5426,33.5426,60701
2005-02-24,34.6923,35.5683,34.6923,35.1577,35.1577,29619
2005-02-25,35.1759,35.5774,33.7616,33.9988,33.9988,18227
2005-02-28,34.665,34.6741,33.7616,34.2726,34.2726,128766
2005-03-01,34.3182,35.1212,34.2178,34.9022,34.9022,223560
2005-03-02,34.9661,36.2253,34.9661,36.2253,36.2253,36322
2005-03-03,36.5081,37.7308,36.5081,37.6852,37.6852,73274
2005-03-04,37.7126,37.8495,37.1377,37.5666,37.5666,36233
2005-03-07,38.6069,38.6069,36.4078,36.9553,36.9553,74151
2005-03-08,37.4571,38.324,35.1303,36.0884,36.0884,60933
2005-03-09,36.9552,36.9552,35.9515,36.499,36.499,50221
2005-03-10,36.5082,37.0921,35.7691,36.8184,36.8184,90380
2005-03-11,36.864,37.0009,36.0884,36.3165,36.3165,75242
2005-03-14,36.0428,37.6852,36.0428,37.4115,37.4115,59967
2005-03-15,37.4206,38.2327,37.4206,37.4206,37.4206,34398
2005-03-16,36.9553,37.0374,35.3129,35.5866,35.5866,38848
2005-03-17,36.4899,36.4899,34.7745,34.9022,34.9022,31603
2005-03-18,35.4041,36.3166,35.0391,35.5866,35.5866,10208
2005-03-21,35.3128,35.5957,34.227,34.2452,34.2452,23232
2005-03-22,34.5828,34.674,33.7707,34.2178,34.2178,30506
2005-03-23,34.2178,34.2178,31.9823,32.2104,32.2104,20029
2005-03-24,32.3107,34.1266,32.3107,33.0316,33.0316,20844
2005-03-28,33.1047,33.1047,31.4896,31.9367,31.9367,22813
2005-03-29,31.9367,32.2378,31.2067,31.2067,31.2067,36571
2005-03-30,31.0241,32.8491,31.0241,32.6666,32.6666,16582
2005-03-31,32.3929,32.3929,30.1117,31.2523,31.2523,25138
2005-04-01,31.5717,32.5754,30.3855,30.6592,30.6592,137557
2005-04-04,30.8417,30.933,29.838,29.838,29.838,33616
2005-04-05,29.3543,30.2394,29.3452,29.4273,29.4273,17795
2005-04-06,29.6554,30.1117,29.1992,29.1992,29.1992,4900
2005-04-07,29.6098,29.9292,29.6098,29.9292,29.9292,5822
2005-04-08,29.9749,32.8765,29.9749,32.0188,32.0188,69484
2005-04-11,33.5244,33.5244,30.568,31.0242,31.0242,7939
2005-04-12,31.4111,33.1613,31.1348,32.7007,32.7007,16441
2005-04-13,32.7007,34.2943,32.7007,33.8982,33.8982,18589
2005-04-14,34.4969,34.6811,32.7928,32.977,32.977,23440
2005-04-15,33.1612,33.6218,33.023,33.1612,33.1612,13144
2005-04-18,33.8982,33.8982,33.1612,33.5297,33.5297,2990
2005-04-19,33.8982,33.8982,32.2401,32.8849,32.8849,20316
2005-04-20,31.5953,32.6454,30.8584,32.6454,32.6454,4818
2005-04-22,32.6086,32.6086,31.319,32.148,32.148,1555
2005-04-25,32.0927,32.0927,31.4203,31.7795,31.7795,5837
2005-04-26,31.3189,32.0558,30.8583,31.3189,31.3189,27252
2005-04-27,31.3189,32.9217,30.6833,31.7795,31.7795,14913
2005-04-28,32.3506,33.9718,32.3506,33.9718,33.9718,1083120
2005-04-29,33.1797,33.6218,32.0559,32.6178,32.6178,141232
2005-05-02,33.1612,33.7139,33.1612,33.5297,33.5297,183259
2005-05-03,33.7139,34.5337,33.4468,34.3587,34.3587,113294
2005-05-04,34.3587,34.7732,34.2666,34.7732,34.7732,44140
2005-05-05,34.5429,34.9114,33.4836,34.0271,34.0271,31607
2005-05-06,34.9022,35.6852,33.631,35.6852,35.6852,244894
2005-05-09,35.2339,35.9708,34.7272,35.8326,35.8326,59483
2005-05-10,36.7076,36.7076,34.939,35.6391,35.6391,149037
2005-05-11,35.9155,36.3852,35.7404,36.1918,36.1918,90217
2005-05-12,36.1918,37.03,36.0628,36.1089,36.1089,37029
2005-05-13,35.9247,37.0301,35.9247,35.9247,35.9247,91183
2005-05-16,35.9247,36.0168,34.1008,36.0168,36.0168,75649
2005-05-17,35.0588,35.9247,34.6351,35.7865,35.7865,148631
2005-05-18,35.4641,36.7537,35.0127,35.4641,35.4641,277132
2005-05-19,34.6442,35.4641,34.2666,35.0956,35.0956,20915
2005-05-20,34.7272,34.7272,33.6863,34.0732,34.0732,165117
2005-05-23,33.5297,34.0823,32.3414,33.5665,33.5665,40593
2005-05-24,33.6126,34.0547,33.4099,34.0547,34.0547,70908
2005-05-25,33.7047,33.7047,32.7744,33.2073,33.2073,119208
2005-05-27,34.4601,34.543,33.8061,34.543,34.543,24173
2005-05-30,34.543,35.9247,34.543,35.9247,35.9247,10665
2005-05-31,35.9247,36.8458,34.543,36.7445,36.7445,791154
2005-06-01,36.7353,38.5776,35.9062,36.201,36.201,235190
2005-06-02,36.8366,36.8366,33.6218,34.4232,34.4232,276342
2005-06-03,35.372,35.372,33.1613,33.9903,33.9903,100233
2005-06-06,33.3454,34.3679,33.1612,34.3587,34.3587,136741
2005-06-07,33.981,33.981,31.8532,33.152,33.152,166013
2005-06-08,33.6586,33.6586,32.4243,32.9309,32.9309,42343
2005-06-09,33.0691,33.1428,32.3322,32.8849,32.8849,7290
2005-06-10,33.4376,33.4376,32.7007,33.2073,33.2073,15659
2005-06-13,33.4376,33.4376,31.9638,32.6454,32.6454,90655
2005-06-14,33.3454,33.3454,31.9637,33.1612,33.1612,297764
2005-06-15,33.1612,33.1612,32.6454,32.9678,32.9678,246441
2005-06-16,33.1612,34.3587,32.9954,34.3587,34.3587,217358
2005-06-17,34.0916,34.3495,33.4836,33.6126,33.6126,116407
2005-06-20,33.6126,33.6126,32.7099,33.6034,33.6034,37375
2005-06-21,33.3547,33.4376,32.7928,32.7928,32.7928,75881
2005-06-22,32.931,33.6218,32.6086,33.5297,33.5297,133297
2005-06-23,33.1612,33.6678,33.0691,33.0691,33.0691,298903
2005-06-24,32.7928,32.8573,32.4243,32.4704,32.4704,33150
2005-06-27,32.4243,32.4243,31.1715,31.7795,31.7795,152445
2005-06-28,31.6598,32.8757,31.5124,32.8757,32.8757,139836
2005-06-29,32.3414,32.7006,32.2401,32.2585,32.2585,42567
2005-06-30,32.9678,32.9678,31.6874,32.0559,32.0559,30630
2005-07-01,32.0559,32.7007,32.0559,32.3322,32.3322,14048
2005-07-04,32.2401,32.2401,32.0559,32.0559,32.0559,1740
2005-07-05,32.2401,32.2401,31.5953,31.5953,31.5953,52952
2005-07-06,31.5953,32.3783,31.5953,32.323,32.323,315928
2005-07-07,31.494,31.7335,30.8584,30.8584,30.8584,270363
2005-07-08,31.1347,31.5031,30.9504,31.3189,31.3189,65885
2005-07-11,31.4111,32.2401,30.9044,31.0426,31.0426,32430
2005-07-12,30.8676,32.2309,30.8584,31.365,31.365,111983
2005-07-13,31.8717,32.6915,31.7335,32.4704,32.4704,59325
2005-07-14,32.4244,32.7928,32.4244,32.7007,32.7007,174031
2005-07-15,32.3322,32.4243,31.3189,31.3189,31.3189,23332
2005-07-18,31.3189,32.2401,31.0426,31.7795,31.7795,83701
2005-07-19,31.6874,32.2401,31.6874,32.194,32.194,184331
2005-07-20,32.0559,32.8849,32.0559,32.7007,32.7007,121375
2005-07-21,32.5164,32.8296,32.2401,32.8296,32.8296,109950
2005-07-22,32.6085,32.6085,32.2401,32.3322,32.3322,15610
2005-07-25,32.2401,32.7007,31.5032,32.7007,32.7007,90348
2005-07-26,32.3414,32.4703,31.7795,31.8808,31.8808,24106
2005-07-27,31.9637,32.7467,31.8808,32.7375,32.7375,72422
2005-07-28,32.8848,34.3587,32.8848,33.2533,33.2533,62991
2005-07-29,33.2994,33.2994,32.194,32.194,32.194,32697
2005-08-01,32.977,33.6218,32.2493,33.4284,33.4284,71273
2005-08-02,33.4376,35.2339,32.8112,34.8654,34.8654,149773
2005-08-03,34.8654,36.3853,34.0824,35.9247,35.9247,277001
2005-08-04,35.6851,35.6851,35.0496,35.6483,35.6483,64975
2005-08-05,35.5101,36.8458,35.5101,36.8458,36.8458,151553
2005-08-08,36.6616,36.7537,36.2011,36.4774,36.4774,57085
2005-08-09,36.7445,36.9563,35.7404,36.201,36.201,121084
2005-08-10,35.9247,36.3853,35.547,35.9247,35.9247,117111
2005-08-11,36.1089,37.4907,36.1089,37.3617,37.3617,499827
2005-08-12,36.8366,37.7025,36.3853,37.7025,37.7025,134698
2005-08-15,36.984,37.3064,36.984,37.0393,37.0393,39972
2005-08-16,36.8459,38.2184,36.8459,37.8407,37.8407,62360
2005-08-17,37.5919,39.425,37.2972,38.6144,38.6144,79133
2005-08-18,38.6052,39.1486,37.7761,38.2275,38.2275,26989
2005-08-19,39.1302,39.1487,38.4762,38.6881,38.6881,87507
2005-08-22,38.6881,39.4434,38.1354,38.2367,38.2367,11396
2005-08-23,38.6881,38.8723,36.8458,36.8458,36.8458,68112
2005-08-24,36.8458,37.1221,36.1089,36.7076,36.7076,152457
2005-08-25,36.984,37.3064,36.3852,36.7537,36.7537,61120
2005-08-26,36.9563,37.0024,36.2931,36.68,36.68,44790
2005-08-29,37.767,37.767,36.1274,36.2471,36.2471,15741
2005-08-30,36.3852,36.5695,36.1089,36.1089,36.1089,50576
2005-08-31,36.3853,36.8274,36.155,36.7998,36.7998,25414
2005-09-01,36.7444,36.8918,35.0035,35.0956,35.0956,39605
2005-09-02,35.7404,35.9247,34.9575,35.1509,35.1509,276972
2005-09-05,35.4641,36.026,35.4641,36.026,36.026,7378
2005-09-06,36.2194,36.2194,34.3126,34.3587,34.3587,326016
2005-09-08,34.4509,34.4509,32.4244,32.9402,32.9402,485313
2005-09-09,33.1612,33.6218,32.7283,33.1336,33.1336,375322
2005-09-12,33.4191,33.5297,32.7006,33.2257,33.2257,88128
2005-09-13,33.2165,33.4375,32.4335,32.8388,32.8388,122558
2005-09-14,32.8572,33.9902,32.8572,33.2533,33.2533,85431
2005-09-15,33.4376,33.6218,33.1612,33.6218,33.6218,216743
2005-09-16,33.7047,35.4181,33.6218,35.372,35.372,122755
2005-09-19,35.1785,36.2563,34.3587,34.3587,34.3587,187236
2005-09-20,34.8193,35.0035,34.0823,34.5337,34.5337,82208
2005-09-21,34.3403,34.6995,33.1612,33.8889,33.8889,160307
2005-09-22,33.1797,33.2626,32.0559,32.2401,32.2401,346618
2005-09-23,32.6914,33.8889,32.5164,33.6218,33.6218,115771
2005-09-26,33.1704,34.2666,33.1704,33.3731,33.3731,175648
2005-09-27,33.3823,33.6218,32.8019,32.9309,32.9309,63044
2005-09-28,33.2533,34.0824,33.0323,33.6218,33.6218,132497
2005-09-29,33.6311,34.0364,33.0231,33.0231,33.0231,158719
2005-09-30,33.2718,33.4376,32.8389,33.3455,33.3455,209294
2005-10-03,33.1059,33.6218,32.977,33.0046,33.0046,94439
2005-10-04,33.5296,33.7876,32.5164,32.6085,32.6085,137382
2005-10-05,33.0692,33.0692,30.232,32.3046,32.3046,280950
2005-10-06,31.4571,33.2901,31.4571,32.2861,32.2861,139043
2005-10-07,32.2862,33.4376,32.2862,32.7099,32.7099,220683
2005-10-10,33.2533,33.2533,32.2401,32.4243,32.4243,76461
2005-10-11,32.8296,33.9902,32.8296,33.631,33.631,90990
2005-10-13,33.6126,34.6351,32.7007,33.6218,33.6218,131279
2005-10-14,34.3587,36.2839,34.3587,35.7404,35.7404,483869
2005-10-17,36.1826,36.1826,35.372,35.4641,35.4641,324084
2005-10-18,35.0128,36.1089,35.0128,35.6944,35.6944,113029
2005-10-19,35.4641,35.6944,33.6218,34.7272,34.7272,75908
2005-10-20,34.2205,35.7312,34.2205,34.9943,34.9943,115878
2005-10-21,34.6351,36.6432,34.6351,35.7036,35.7036,157849
2005-10-24,35.5562,36.8458,35.5562,36.8458,36.8458,105075
2005-10-25,36.8458,36.9656,35.5562,35.5562,35.5562,152861
2005-10-26,35.9247,36.6155,35.6299,36.201,36.201,57189
2005-10-27,35.2799,35.6483,34.7272,34.8193,34.8193,90562
2005-10-28,34.9851,35.9247,34.9022,35.9247,35.9247,87970
2005-10-31,35.9431,36.3392,35.5286,36.1181,36.1181,66027
2005-11-01,36.201,39.0473,36.201,38.6881,38.6881,239841
2005-11-03,40.6962,41.5437,39.8856,40.0146,40.0146,217765
2005-11-04,39.7382,40.3922,39.425,39.8764,39.8764,77720
2005-11-07,39.9777,40.8067,39.6553,39.7474,39.7474,61744
2005-11-08,40.5304,40.7146,40.1896,40.6225,40.6225,121557
2005-11-09,40.6225,41.4515,40.0053,41.4515,41.4515,86829
2005-11-10,40.991,42.3727,40.991,42.3727,42.3727,44124
2005-11-11,41.9121,42.9254,41.9121,42.9254,42.9254,146251
2005-11-14,42.474,43.2017,42.3451,42.3819,42.3819,61311
2005-11-16,41.4516,42.3267,41.4516,41.4608,41.4608,43677
2005-11-17,41.516,43.2938,41.516,43.2938,43.2938,40392
2005-11-18,43.7544,45.4124,43.7544,44.4913,44.4913,39901
2005-11-21,44.3071,44.7861,43.7728,43.7728,43.7728,180413
2005-11-22,43.2939,43.5057,41.9122,43.3952,43.3952,179244
