Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,5.3929,5.7062,5.1912,5.6494,5.6494,42060600
2018-04-26,5.6788,5.7277,5.3204,5.4516,5.4516,5870800
2018-04-27,5.481,5.6103,5.3851,5.483,5.483,2796500
2018-04-30,5.4536,5.4829,5.3948,5.4144,5.4144,1111100
2018-05-02,5.2871,5.4731,5.2871,5.3478,5.3478,1285000
2018-05-03,5.3087,5.4634,5.248,5.3831,5.3831,2371800
2018-05-04,5.4184,5.4184,5.1697,5.2382,5.2382,1898400
2018-05-07,5.2186,5.2871,5.2088,5.2871,5.2871,1125600
2018-05-08,5.3165,5.3458,5.2479,5.2871,5.2871,947200
2018-05-09,5.2872,5.3048,5.203,5.2676,5.2676,999200
2018-05-10,5.3067,5.4125,5.2441,5.3263,5.3263,1189300
2018-05-11,5.3831,5.5221,5.3811,5.4046,5.4046,1758000
2018-05-14,5.4614,5.4712,5.3498,5.3498,5.3498,1051300
2018-05-15,5.5026,5.6984,5.483,5.669,5.669,2702600
2018-05-16,5.669,5.8374,5.5907,5.8374,5.8374,1768800
2018-05-17,5.8746,6.0665,5.8746,5.9333,5.9333,1561600
2018-05-18,5.9334,5.9334,5.7238,5.7963,5.7963,2940200
2018-05-21,5.8159,6.0881,5.6788,6.0313,6.0313,1901800
2018-05-22,6.0313,6.4229,6.0313,6.4131,6.4131,1388300
2018-05-23,6.4131,6.4131,6.0705,6.4014,6.4014,1463000
2018-05-24,6.2271,6.2701,5.9568,5.9725,5.9725,2466300
2018-05-25,5.9353,6.0763,5.8805,6.0685,6.0685,1687300
2018-05-28,6.0685,6.0685,5.6847,5.7767,5.7767,1282300
2018-05-29,5.8354,5.9431,5.6494,5.8276,5.8276,525900
2018-05-30,5.8942,6.0215,5.716,5.8746,5.8746,1481600
2018-06-01,5.998,6.0685,5.6769,5.8531,5.8531,1173100
2018-06-04,5.9137,6.0312,5.7982,5.9333,5.9333,912000
2018-06-05,5.8942,5.8942,5.6397,5.7317,5.7317,719100
2018-06-06,5.6827,5.7141,5.4634,5.577,5.577,1331300
2018-06-07,5.5769,5.5769,5.2577,5.4046,5.4046,1641200
2018-06-08,5.3322,5.5593,5.2871,5.4144,5.4144,1329000
2018-06-11,5.4477,5.5319,5.2774,5.4438,5.4438,606800
2018-06-12,5.4438,5.575,5.3537,5.4986,5.4986,610700
2018-06-13,5.5045,5.5045,5.1951,5.2362,5.2362,2358100
2018-06-14,5.2284,5.3636,5.2089,5.2911,5.2911,1609700
2018-06-15,5.291,5.2969,5.0227,5.2871,5.2871,1168700
2018-06-18,5.2871,5.2871,5.1305,5.1657,5.1657,1396000
2018-06-19,5.2049,5.5593,5.1501,5.4536,5.4536,478800
2018-06-20,5.5906,5.7179,5.4634,5.6396,5.6396,424800
2018-06-21,5.5809,5.714,5.3557,5.5241,5.5241,740700
2018-06-22,5.4849,5.718,5.4301,5.6788,5.6788,896400
2018-06-25,5.7415,5.7767,5.6396,5.7767,5.7767,2727500
2018-06-26,5.7904,5.8746,5.6886,5.8002,5.8002,459700
2018-06-27,5.8159,5.9236,5.7003,5.8746,5.8746,353900
2018-06-28,5.8746,5.9294,5.7081,5.9294,5.9294,2766200
2018-06-29,5.8472,5.9784,5.7082,5.8531,5.8531,1476800
2018-07-02,5.7532,5.8139,5.7414,5.7571,5.7571,264100
2018-07-03,5.7982,5.8315,5.6122,5.7179,5.7179,427500
2018-07-04,5.7943,5.8218,5.6259,5.7356,5.7356,962800
2018-07-05,5.7355,5.7708,5.6357,5.7179,5.7179,1173300
2018-07-06,5.718,5.7219,5.5907,5.5907,5.5907,2307300
2018-07-10,5.6259,5.7552,5.5613,5.6318,5.6318,843800
2018-07-11,5.6024,5.7669,5.526,5.622,5.622,815500
2018-07-12,5.6102,5.8256,5.5064,5.8217,5.8217,706000
2018-07-13,5.8237,5.855,5.6141,5.6435,5.6435,668700
2018-07-16,5.6455,5.7513,5.5437,5.5809,5.5809,520200
2018-07-17,5.6239,5.6553,5.5064,5.5554,5.5554,458000
2018-07-18,5.5437,5.7434,5.5319,5.7434,5.7434,1333300
2018-07-19,5.7179,5.7865,5.5907,5.6964,5.6964,508100
2018-07-20,5.7767,5.9353,5.7199,5.8746,5.8746,1070600
2018-07-23,5.951,5.9686,5.7982,5.8609,5.8609,435900
2018-07-24,5.8962,5.9314,5.8237,5.8942,5.8942,421700
2018-07-25,5.9353,6.0117,5.6161,5.6161,5.6161,1959900
2018-07-26,5.6259,5.6729,5.3459,5.387,5.387,1362700
2018-07-27,5.4321,5.5241,5.3518,5.5241,5.5241,599500
2018-07-30,5.5182,5.5222,5.3361,5.3753,5.3753,920400
2018-07-31,5.4321,5.5202,5.3067,5.5143,5.5143,1292100
2018-08-01,5.4458,5.6181,5.4438,5.6181,5.6181,268800
2018-08-02,5.5652,5.667,5.5652,5.667,5.667,190800
2018-08-03,5.667,5.667,5.5847,5.6102,5.6102,513700
2018-08-06,5.575,5.5867,5.4242,5.4379,5.4379,727900
2018-08-07,5.434,5.4438,5.2911,5.2911,5.2911,638600
2018-08-08,5.3342,5.3655,5.156,5.2676,5.2676,810400
2018-08-09,5.2284,5.291,5.1383,5.2793,5.2793,1638800
2018-08-10,5.291,5.3733,5.2264,5.2734,5.2734,530100
2018-08-13,5.2773,5.3556,5.199,5.2871,5.2871,481200
2018-08-14,5.246,5.246,4.9777,5.1794,5.1794,1574800
2018-08-15,5.15,5.1931,5.0913,5.0913,5.0913,2107100
2018-08-16,5.1031,5.1246,4.8603,4.9151,4.9151,4953000
2018-08-17,4.8779,4.8779,4.6997,4.778,4.778,6415400
2018-08-20,4.8113,4.8818,4.7976,4.8368,4.8368,1277300
2018-08-21,4.7898,4.8524,4.7016,4.7878,4.7878,4153000
2018-08-22,4.7447,4.9268,4.7447,4.9151,4.9151,1555400
2018-08-23,4.8524,4.9699,4.8074,4.9053,4.9053,379700
2018-08-24,4.9542,5.0521,4.8955,5.0345,5.0345,492600
2018-08-27,5.0345,5.1109,4.9249,5.0835,5.0835,955500
2018-08-28,5.0756,5.0913,4.9405,5.0306,5.0306,895200
2018-08-29,5.06,5.0913,4.9112,4.9758,4.9758,486600
2018-08-30,4.9601,5.0717,4.9072,5.0717,5.0717,619400
2018-08-31,5.0894,5.1148,5.0091,5.0698,5.0698,885600
2018-09-03,5.0659,5.0855,4.9465,4.9915,4.9915,477600
2018-09-04,4.9739,4.9758,4.8055,4.8838,4.8838,588600
2018-09-05,4.874,5.0581,4.8681,4.8975,4.8975,286200
2018-09-06,4.9582,5.1168,4.778,4.9621,4.9621,417300
2018-09-10,5.058,5.1304,4.9757,5.0482,5.0482,472200
2018-09-11,4.9778,5.0267,4.9112,4.9112,4.9112,752000
2018-09-12,4.8955,4.9915,4.7702,4.8779,4.8779,400000
2018-09-13,4.9327,4.9386,4.7095,4.7878,4.7878,751100
2018-09-14,4.7447,4.8328,4.6605,4.6664,4.6664,808400
2018-09-17,4.682,4.9523,4.6664,4.9131,4.9131,343000
2018-09-18,4.9856,5.0385,4.923,4.9817,4.9817,584300
2018-09-19,4.919,4.9935,4.5979,4.5979,4.5979,1530800
2018-09-20,4.6409,4.6527,4.3883,4.5626,4.5626,3770900
2018-09-21,4.543,4.7584,4.5391,4.637,4.637,879500
2018-09-24,4.637,4.6468,4.3707,4.3766,4.3766,2494400
2018-09-25,4.31,4.4941,4.1201,4.2728,4.2728,1888300
2018-09-26,4.2747,4.4451,4.2219,4.3472,4.3472,1408200
2018-09-27,4.3785,4.6703,4.3511,4.5861,4.5861,1816200
2018-09-28,4.5861,4.7702,4.5019,4.6997,4.6997,1837200
2018-10-01,4.6939,4.6939,4.5744,4.6214,4.6214,1156400
2018-10-02,4.6272,4.6977,4.545,4.6233,4.6233,1174200
2018-10-03,4.7193,4.921,4.6194,4.7095,4.7095,1390400
2018-10-04,4.7173,4.8231,4.5274,4.6997,4.6997,605100
2018-10-05,4.7878,4.7878,4.5039,4.5646,4.5646,1093700
2018-10-08,4.6037,4.7408,4.6037,4.6507,4.6507,2091600
2018-10-09,4.6782,4.7976,4.5646,4.5646,4.5646,1300800
2018-10-10,4.5039,4.7956,4.496,4.6233,4.6233,449500
2018-10-11,4.6194,4.7897,4.588,4.7388,4.7388,776500
2018-10-15,4.7859,4.874,4.4647,4.8172,4.8172,1561300
2018-10-16,4.8132,5.0717,4.7702,4.9366,4.9366,1453600
2018-10-17,4.8994,5.0737,4.8994,5.0091,5.0091,1561800
2018-10-18,5.0091,5.1344,5.0072,5.0522,5.0522,758200
2018-10-19,5.0561,5.109,4.8642,4.9445,4.9445,594600
2018-10-22,4.9837,5.1188,4.9739,4.9915,4.9915,938300
2018-10-23,5.0012,5.0913,4.9581,5.0443,5.0443,733100
2018-10-24,5.0325,5.0325,4.964,4.9738,4.9738,1242900
2018-10-25,4.9855,5.0815,4.8876,5.0815,5.0815,1487900
2018-10-26,5.0894,5.2167,4.9053,5.013,5.013,1638600
2018-10-29,5.244,5.244,5.0267,5.0482,5.0482,564000
2018-10-30,5.0581,5.0913,4.9249,4.9856,4.9856,3920900
2018-10-31,5.06,5.1227,4.9386,4.9895,4.9895,2590500
2018-11-01,5.058,5.2205,4.9581,5.0384,5.0384,868300
2018-11-05,5.0698,5.1383,4.9464,5.107,5.107,947800
2018-11-06,5.0933,5.1462,4.9562,5.0228,5.0228,732100
2018-11-07,5.0521,5.2851,5.0521,5.1696,5.1696,1127500
2018-11-08,5.1676,5.2988,5.0913,5.1696,5.1696,736600
2018-11-09,5.1697,5.2872,5.0287,5.1305,5.1305,1270400
2018-11-12,5.1501,5.201,5.0678,5.1344,5.1344,431800
2018-11-13,5.1658,5.2049,5.0091,5.0326,5.0326,1913700
2018-11-14,5.0169,5.3713,4.7486,5.3067,5.3067,4826100
2018-11-16,5.2696,5.5809,5.2696,5.4223,5.4223,1956900
2018-11-19,5.3929,5.4517,5.3342,5.3655,5.3655,475600
2018-11-21,5.2852,5.4556,5.2245,5.3361,5.3361,2756400
2018-11-22,5.3184,5.3654,5.2009,5.2871,5.2871,611500
2018-11-23,5.2578,5.3165,5.1696,5.3165,5.3165,1116300
2018-11-26,5.3674,5.3713,5.0972,5.2656,5.2656,757100
2018-11-27,5.2342,5.5221,5.103,5.4555,5.4555,1309200
2018-11-28,5.4282,5.765,5.3851,5.6514,5.6514,1288500
2018-11-29,5.6377,5.7297,5.5692,5.6279,5.6279,696100
