Date,Open,High,Low,Close,Adj Close,Volume
2005-01-07,0.3241,0.3241,0.3241,0.3241,0.3241,9
2005-01-10,0.3241,0.3241,0.3241,0.3241,0.3241,2
2005-01-20,0.3038,0.3038,0.3038,0.3038,0.3038,3
2005-02-21,0.3444,0.3444,0.3444,0.3444,0.3444,0
2005-02-23,0.3444,0.3444,0.3444,0.3444,0.3444,0
2005-02-28,0.3444,0.3444,0.3444,0.3444,0.3444,3
2005-03-10,0.3626,0.3626,0.3626,0.3626,0.3626,0
2005-03-14,0.3058,0.3058,0.3038,0.3038,0.3038,0
2005-03-21,0.3646,0.3646,0.3646,0.3646,0.3646,3
2005-03-31,0.3221,0.3221,0.314,0.314,0.314,1
2005-04-08,0.3241,0.3241,0.3241,0.3241,0.3241,0
2005-04-14,0.3241,0.3241,0.3241,0.3241,0.3241,1
2005-04-20,0.3585,0.3585,0.3585,0.3585,0.3585,0
2005-05-24,0.3444,0.3444,0.3424,0.3444,0.3444,5
2005-06-08,0.3444,0.3444,0.3444,0.3444,0.3444,0
2005-06-21,0.3444,0.3444,0.3444,0.3444,0.3444,0
2005-06-22,0.3139,0.3139,0.3119,0.3119,0.3119,0
2005-06-24,0.3058,0.3058,0.3058,0.3058,0.3058,0
2005-06-28,0.3058,0.3058,0.3038,0.3038,0.3038,2
2005-07-04,0.3038,0.3038,0.3038,0.3038,0.3038,2
2005-07-27,0.3018,0.3018,0.3018,0.3018,0.3018,0
2005-07-28,0.3038,0.3038,0.3038,0.3038,0.3038,3
2005-08-02,0.3221,0.3221,0.3221,0.3221,0.3221,0
2005-08-05,0.3241,0.3241,0.3241,0.3241,0.3241,1
2005-08-08,0.314,0.314,0.314,0.314,0.314,2
2005-08-12,0.2633,0.2633,0.2633,0.2633,0.2633,1
2005-08-16,0.3241,0.3241,0.3241,0.3241,0.3241,5
2005-08-17,0.3322,0.3342,0.3322,0.3342,0.3342,0
2005-08-25,0.3038,0.3038,0.3038,0.3038,0.3038,0
2005-08-31,0.3241,0.3241,0.3241,0.3241,0.3241,0
2005-09-02,0.3241,0.3241,0.3241,0.3241,0.3241,0
2005-09-13,0.3241,0.3241,0.3241,0.3241,0.3241,0
2005-09-15,0.3301,0.3301,0.3281,0.3281,0.3281,0
2005-09-16,0.3322,0.3322,0.3322,0.3322,0.3322,0
2005-09-19,0.3221,0.3221,0.3221,0.3221,0.3221,0
2005-10-13,0.316,0.316,0.316,0.316,0.316,0
2005-11-01,0.3201,0.3201,0.3201,0.3201,0.3201,0
2005-11-17,0.3342,0.3646,0.3322,0.3646,0.3646,13
