Date,Open,High,Low,Close,Adj Close,Volume
2008-04-18,6.5629,6.6019,6.1734,6.5045,6.5045,9943400
2008-04-22,6.4266,6.6408,6.2747,6.3487,6.3487,6488400
2008-04-23,6.3097,6.3487,6.0371,6.0371,6.0371,2655200
2008-04-24,5.9514,6.2124,5.8424,6.0371,6.0371,1931000
2008-04-25,5.9436,6.1033,5.893,6.0371,6.0371,284400
2008-04-28,6.0566,6.1267,6.0371,6.0371,6.0371,228000
2008-04-29,6.0371,6.076,6.0332,6.0371,6.0371,836800
2008-04-30,5.9982,6.0683,5.9241,6.0371,6.0371,248000
2008-05-02,6.0605,6.5824,6.0566,6.5824,6.5824,812400
2008-05-05,6.5823,6.5823,6.3292,6.4616,6.4616,171200
2008-05-06,6.4617,6.4617,6.3487,6.3487,6.3487,52400
2008-05-07,6.3059,6.3643,6.2747,6.3487,6.3487,84000
2008-05-08,6.3097,6.4071,6.2902,6.3876,6.3876,87800
2008-05-09,6.3487,6.5824,6.3487,6.3682,6.3682,98000
2008-05-12,6.4461,6.5785,6.3565,6.5785,6.5785,75200
2008-05-13,6.5434,6.6564,6.5434,6.6369,6.6369,254600
2008-05-14,6.6174,6.8744,6.6174,6.7576,6.7576,477200
2008-05-15,6.7538,7.0303,6.707,6.894,6.894,406800
2008-05-16,6.855,7.0108,6.8161,6.855,6.855,323400
2008-05-19,6.9719,7.2056,6.894,6.894,6.894,115600
2008-05-20,6.7966,6.7966,6.707,6.7382,6.7382,206800
2008-05-21,6.7732,6.7771,6.6213,6.7343,6.7343,155600
2008-05-23,6.6291,6.9875,6.6214,6.7382,6.7382,57000
2008-05-26,6.8706,7.2055,6.8511,6.855,6.855,125200
2008-05-27,6.8394,7.003,6.7421,6.9524,6.9524,220600
2008-05-28,7.0108,7.5951,7.0108,7.5756,7.5756,590600
2008-05-29,7.4548,8.5688,7.3614,8.1793,8.1793,430200
2008-05-30,8.2572,8.5688,7.9885,8.5649,8.5649,475800
2008-06-02,8.4987,9.6009,8.4987,9.079,9.079,592800
2008-06-03,9.3477,9.7178,9.0362,9.153,9.153,596400
2008-06-04,8.9933,9.3477,8.9193,9.3477,9.3477,313800
2008-06-05,9.3477,9.6982,9.3282,9.4996,9.4996,475800
2008-06-06,9.3477,9.5035,9.2698,9.5035,9.5035,336200
2008-06-09,9.4256,9.6593,8.8024,9.5814,9.5814,309800
2008-06-10,9.5814,9.5814,8.966,9.153,9.153,276800
2008-06-11,9.0751,9.153,8.9583,8.9583,8.9583,40800
2008-06-12,8.9582,9.1569,8.8025,8.9193,8.9193,123200
2008-06-13,8.9583,8.9583,8.7674,8.9544,8.9544,37000
2008-06-16,8.9583,8.9583,8.6078,8.8025,8.8025,22000
2008-06-17,8.7635,8.8609,8.6155,8.7051,8.7051,280200
2008-06-18,8.7051,8.8609,7.9067,8.1793,8.1793,229000
2008-06-19,8.2182,8.2182,7.9261,8.1014,8.1014,412600
2008-06-20,7.9806,8.0234,7.7898,7.9066,7.9066,167200
2008-06-23,7.9846,7.9846,7.8833,7.8872,7.8872,27000
2008-06-24,7.9066,7.9066,7.4003,7.6729,7.6729,201400
2008-06-25,7.7859,7.7898,7.634,7.6457,7.6457,138400
2008-06-26,7.7002,7.8287,7.595,7.595,7.595,316800
2008-06-27,7.4003,7.7897,7.4003,7.6729,7.6729,19800
2008-06-30,7.7897,7.7897,7.5171,7.5171,7.5171,60200
2008-07-01,7.4587,7.4587,7.2056,7.3964,7.3964,47000
2008-07-02,7.4003,7.7119,7.2679,7.2679,7.2679,278600
2008-07-03,7.2445,7.4665,6.9134,6.9134,6.9134,203800
2008-07-04,6.894,7.0108,6.8161,7.0108,7.0108,57600
2008-07-07,7.595,7.595,7.0497,7.4431,7.4431,368400
2008-07-08,7.4003,7.5756,7.1471,7.5522,7.5522,138800
2008-07-10,7.2056,7.4003,7.2056,7.3419,7.3419,159400
2008-07-11,7.4393,7.708,7.2835,7.708,7.708,138000
2008-07-14,7.708,7.708,7.4003,7.4003,7.4003,396600
2008-07-15,7.4003,7.4003,7.1082,7.2056,7.2056,213000
2008-07-16,7.2056,7.4003,7.0888,7.2056,7.2056,95200
2008-07-17,7.2445,7.2445,6.8316,7.0887,7.0887,159800
2008-07-18,7.2055,7.2055,6.8161,7.0108,7.0108,52600
2008-07-21,7.0109,7.1238,6.9135,7.0537,7.0537,27000
2008-07-22,7.0497,7.1237,7.0108,7.0692,7.0692,87200
2008-07-23,6.9719,7.1666,6.9329,7.1666,7.1666,330200
2008-07-24,7.1667,7.3614,7.0771,7.3614,7.3614,64200
2008-07-25,7.3613,7.4003,7.1666,7.3224,7.3224,99200
2008-07-28,7.4393,7.5756,7.3224,7.5756,7.5756,262200
2008-07-29,7.7547,7.8482,7.4003,7.447,7.447,166000
2008-07-30,7.4003,7.708,7.3225,7.3614,7.3614,47000
2008-07-31,7.3419,7.3613,7.0459,7.3224,7.3224,197200
2008-08-01,7.2835,7.3185,7.0887,7.2796,7.2796,25600
2008-08-04,7.2017,7.2017,7.0147,7.1666,7.1666,19800
2008-08-05,7.3964,7.3964,7.1666,7.2406,7.2406,100800
2008-08-06,7.3029,7.3029,6.9913,7.2445,7.2445,314800
2008-08-07,7.2445,7.2445,7.1666,7.2445,7.2445,3200
2008-08-08,7.0303,7.2795,7.0303,7.2406,7.2406,5800
2008-08-11,7.2445,7.2445,6.7771,6.9913,6.9913,96200
2008-08-12,7.2016,7.2016,6.2123,6.3097,6.3097,391000
2008-08-13,6.4656,6.6214,6.2007,6.2007,6.2007,76400
2008-08-14,6.1617,6.3097,5.854,5.854,5.854,233800
2008-08-15,6.0371,6.1345,5.6282,6.1345,6.1345,72800
2008-08-18,6.2318,6.2318,5.9591,6.0721,6.0721,81000
2008-08-19,5.9007,6.2318,5.9007,6.1539,6.1539,18600
2008-08-20,6.2318,6.3136,6.1539,6.2318,6.2318,26200
2008-08-21,6.4149,6.4149,6.0371,6.0371,6.0371,39200
2008-08-22,6.189,6.3798,6.1734,6.1734,6.1734,139000
2008-08-25,6.1539,6.228,6.0955,6.115,6.115,43800
2008-08-26,6.2279,6.2318,6.224,6.224,6.224,28800
2008-08-27,6.2318,6.3292,6.2123,6.2318,6.2318,115600
2008-08-28,6.3097,6.3097,6.2279,6.2279,6.2279,14400
2008-08-29,6.076,6.1929,6.076,6.1734,6.1734,21200
2008-09-01,6.115,6.2318,6.115,6.2318,6.2318,1000
2008-09-02,6.115,6.2708,6.0682,6.1695,6.1695,74000
2008-09-03,6.1929,6.1929,5.9202,6.0293,6.0293,53000
2008-09-04,6.1344,6.1344,5.5697,5.7644,5.7644,53800
2008-09-05,5.8423,5.8423,5.4528,5.7644,5.7644,63400
2008-09-08,5.9981,5.9981,5.8034,5.9358,5.9358,94000
2008-09-09,5.8424,5.9397,5.6866,5.8813,5.8813,204000
2008-09-10,5.8034,6.0644,5.8034,6.0566,6.0566,74000
2008-09-11,6.0176,6.189,5.9008,6.189,6.189,56200
2008-09-12,6.2318,6.3876,6.1929,6.3097,6.3097,561800
2008-09-15,6.1578,6.1578,5.7839,5.7839,5.7839,8000
2008-09-16,5.784,5.784,5.4529,5.4529,5.4529,348200
2008-09-17,5.706,5.706,5.1802,5.1802,5.1802,331000
2008-09-18,5.297,5.4451,4.9076,5.1802,5.1802,559000
2008-09-19,5.1997,5.5502,5.1997,5.4139,5.4139,341600
2008-09-22,5.6087,5.6087,5.1997,5.375,5.375,174200
2008-09-23,5.41,5.41,5.0828,5.0828,5.0828,46200
2008-09-24,5.2581,5.2581,5.1062,5.1218,5.1218,197200
2008-09-25,5.1451,5.3905,5.0828,5.3905,5.3905,138400
2008-09-26,5.2503,5.449,5.2503,5.336,5.336,110800
2008-09-29,5.301,5.3166,4.9076,4.9855,4.9855,161000
2008-09-30,4.9855,5.0517,4.8686,5.0517,5.0517,160200
2008-10-01,5.0673,5.1218,4.8258,5.1218,5.1218,189400
2008-10-02,4.9855,4.9855,4.635,4.6739,4.6739,245200
2008-10-03,4.6777,4.927,4.557,4.6349,4.6349,348400
2008-10-06,4.5959,4.5959,3.9728,4.0896,4.0896,249400
2008-10-07,4.1286,4.3584,4.1286,4.2454,4.2454,146200
2008-10-08,4.0507,4.1675,3.9338,4.1675,4.1675,237200
2008-10-09,4.2065,4.3038,4.187,4.2454,4.2454,41600
2008-10-10,4.1285,4.1285,3.8949,3.9338,3.9338,95800
2008-10-13,3.9923,4.5181,3.9923,4.5181,4.5181,185600
2008-10-14,4.6739,4.8141,4.596,4.596,4.596,33200
2008-10-15,4.5025,4.5025,3.9923,3.9923,3.9923,307000
2008-10-16,4.0935,4.1559,3.5444,3.9728,3.9728,498200
2008-10-17,4.0117,4.0117,3.8559,3.8871,3.8871,376800
2008-10-20,3.9338,4.1636,3.9338,4.0896,4.0896,450200
2008-10-21,4.0897,4.2844,3.9339,4.2065,4.2065,260600
2008-10-22,4.1831,4.187,4.0507,4.0896,4.0896,155400
2008-10-23,4.1247,4.1247,3.8988,4.0351,4.0351,617400
2008-10-24,3.9144,4.0118,3.8871,3.9066,3.9066,297400
2008-10-27,3.9104,4.0117,3.778,4.0078,4.0078,76800
2008-10-28,4.0897,4.1481,4.0274,4.1481,4.1481,18400
2008-10-29,4.1481,4.2065,4.0507,4.2065,4.2065,58600
2008-10-30,4.2844,4.6739,4.2844,4.5376,4.5376,64600
2008-10-31,4.4012,4.557,4.3817,4.557,4.557,49000
2008-11-03,4.8102,5.0829,4.6778,5.0673,5.0673,275800
2008-11-04,5.1413,5.4841,5.1413,5.4529,5.4529,64000
2008-11-05,5.4529,5.5658,5.4529,5.523,5.523,406000
2008-11-06,5.41,5.4879,5.41,5.4879,5.4879,13000
2008-11-07,5.6125,5.6125,5.4918,5.4918,5.4918,57400
2008-11-10,5.5308,5.6398,5.449,5.5697,5.5697,222400
