Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,8.961,9.3859,8.9007,9.2876,9.2876,11103500
2017-08-01,9.3796,9.4176,9.2876,9.3225,9.3225,3803600
2017-08-02,9.3225,9.3479,9.2242,9.3384,9.3384,1125900
2017-08-03,9.275,9.3416,9.2401,9.3035,9.3035,675000
2017-08-04,9.0371,9.0371,9.0371,9.0371,9.0371,2321000
2017-08-07,9.164,9.2274,9.0371,9.053,9.053,1628000
2017-08-08,9.1259,9.1259,8.8817,8.9261,8.9261,2009900
2017-08-09,8.942,8.9737,8.6598,8.7993,8.7993,1550300
2017-08-10,8.7803,9.0086,8.7454,8.9547,8.9547,642300
2017-08-11,9.0087,9.0562,8.8787,9.0055,9.0055,371700
2017-08-14,9.0531,9.0531,8.8977,9.0055,9.0055,328100
2017-08-15,9.0531,9.0531,8.977,9.0055,9.0055,556700
2017-08-16,9.0054,9.0656,8.85,9.0371,9.0371,1088100
2017-08-17,9.0372,9.0467,8.942,8.9579,8.9579,1895900
2017-08-18,8.9737,9.053,8.8817,9.0371,9.0371,2507200
2017-08-21,9.0403,9.0974,8.8279,9.0752,9.0752,1972900
2017-08-22,9.0752,9.1005,8.9864,9.0371,9.0371,354500
2017-08-23,9.0371,9.0403,8.8659,8.9008,8.9008,531100
2017-08-24,8.9674,9.1957,8.793,9.1957,9.1957,3808700
2017-08-25,9.1703,9.4493,9.1195,9.4493,9.4493,1523900
2017-08-28,9.4683,9.6174,9.3542,9.592,9.592,1750200
2017-08-29,9.5667,9.757,9.386,9.5667,9.5667,850300
2017-08-30,9.6238,9.6333,9.424,9.6079,9.6079,494700
2017-08-31,9.5382,9.6174,9.4747,9.5128,9.5128,185500
2017-09-01,9.516,9.5445,9.3923,9.4367,9.4367,783700
2017-09-04,9.4494,9.5604,9.4177,9.5128,9.5128,206500
2017-09-05,9.5128,9.6681,9.4874,9.6079,9.6079,1936300
2017-09-06,9.6713,9.8299,9.6713,9.7601,9.7601,841800
2017-09-08,9.8774,10.0804,9.8235,9.9884,9.9884,2235400
2017-09-11,9.9884,10.0836,9.9282,10.0138,10.0138,913900
2017-09-12,10.0074,10.1374,9.9884,9.9884,9.9884,892400
2017-09-13,9.9916,10.0296,9.8299,9.8901,9.8901,470400
2017-09-14,9.8457,10.0201,9.8457,9.8774,9.8774,396000
2017-09-15,9.8647,10.0708,9.8647,10.0645,10.0645,786800
2017-09-18,10.0835,10.1787,9.9282,9.9884,9.9884,1462600
2017-09-19,9.9885,10.147,9.9124,9.9758,9.9758,171800
2017-09-20,10.0455,10.0677,9.8965,9.9028,9.9028,498200
2017-09-21,9.9884,9.9884,9.9884,9.9884,9.9884,686100
2017-09-22,9.9789,10.1153,9.9187,10.1121,10.1121,283700
2017-09-25,10.1216,10.1755,9.8965,9.9409,9.9409,597400
