Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,1.8145,1.85,1.8145,1.8382,1.8382,3264596
2005-01-04,1.8461,1.854,1.8224,1.8382,1.8382,5268425
2005-01-05,1.8265,1.8502,1.8029,1.8147,1.8147,4671467
2005-01-06,1.8225,1.8225,1.787,1.7988,1.7988,3417241
2005-01-07,1.8027,1.8343,1.7909,1.8027,1.8027,4588440
2005-01-10,1.7831,1.8028,1.7476,1.7673,1.7673,3507524
2005-01-11,1.7633,1.7909,1.7633,1.7751,1.7751,6700559
2005-01-12,1.7949,1.7949,1.7476,1.7555,1.7555,2752700
2005-01-13,1.7593,1.7948,1.7593,1.783,1.783,3076453
2005-01-14,1.7831,1.7949,1.7555,1.7673,1.7673,4241148
2005-01-17,1.7752,1.7909,1.7476,1.7515,1.7515,1107058
2005-01-18,1.7396,1.7751,1.7159,1.7475,1.7475,3680262
2005-01-19,1.7712,1.7988,1.7594,1.7791,1.7791,2260560
2005-01-20,1.7239,1.7791,1.716,1.7357,1.7357,2361505
2005-01-21,1.7553,1.7711,1.7238,1.7435,1.7435,3323203
2005-01-24,1.7003,1.7831,1.6569,1.7555,1.7555,1961946
2005-01-26,1.7712,1.7712,1.7357,1.7396,1.7396,3073770
2005-01-27,1.7515,1.7515,1.7042,1.7239,1.7239,4610065
2005-01-28,1.7357,1.7357,1.7081,1.7357,1.7357,3290151
2005-01-31,1.7514,1.7869,1.7514,1.783,1.783,1768719
2005-02-01,1.783,1.8225,1.7712,1.7988,1.7988,2726053
2005-02-02,1.7908,1.846,1.7869,1.8421,1.8421,3958992
2005-02-03,1.8343,1.921,1.8343,1.9171,1.9171,3445508
2005-02-04,1.929,2.0,1.925,2.0,2.0,3336335
2005-02-09,2.0,2.0118,1.9526,1.9763,1.9763,921808
2005-02-10,1.9764,1.9764,1.9448,1.9685,1.9685,1500135
2005-02-11,1.9645,1.9921,1.933,1.9803,1.9803,2836267
2005-02-14,1.9804,2.0435,1.9607,2.0435,2.0435,2323818
2005-02-15,2.0196,2.0788,2.0117,2.063,2.063,2937422
2005-02-16,2.0552,2.071,2.0197,2.0197,2.0197,5617697
2005-02-17,2.0318,2.0554,2.012,2.0515,2.0515,2831529
2005-02-18,2.0553,2.0671,1.9724,1.9961,1.9961,2452066
2005-02-21,2.0118,2.0118,1.9605,1.9763,1.9763,3288634
2005-02-22,1.9764,2.0316,1.9645,1.9961,1.9961,6670604
2005-02-23,2.0157,2.0235,1.9644,1.9841,1.9841,5108404
2005-02-24,1.9999,2.0828,1.9999,2.067,2.067,8343768
2005-02-25,2.0631,2.0946,2.0276,2.0473,2.0473,5227080
2005-02-28,2.0552,2.0552,1.9803,2.0,2.0,4352538
2005-03-01,2.0119,2.0316,1.9764,2.0277,2.0277,7148392
2005-03-02,2.0277,2.0435,2.008,2.0435,2.0435,6747507
2005-03-03,2.0592,2.1144,2.0592,2.1105,2.1105,10733509
2005-03-04,2.1302,2.1933,2.1104,2.1854,2.1854,6346811
2005-03-07,2.1973,2.2052,2.1697,2.2052,2.2052,3793569
2005-03-08,2.1742,2.1861,2.1465,2.1742,2.1742,3171854
2005-03-09,2.1702,2.1742,2.1228,2.1544,2.1544,3360896
2005-03-10,2.1544,2.1742,2.107,2.1544,2.1544,4680999
2005-03-11,2.1742,2.1821,2.103,2.1544,2.1544,3518938
2005-03-14,2.1545,2.1545,2.0477,2.1268,2.1268,3644440
2005-03-15,2.1346,2.1623,2.0793,2.0951,2.0951,3129704
2005-03-16,2.0912,2.1544,2.0635,2.1544,2.1544,2477254
2005-03-17,2.115,2.1624,2.0754,2.1624,2.1624,3382503
2005-03-18,2.1386,2.1544,2.0635,2.0951,2.0951,2845457
2005-03-21,2.0952,2.0952,2.024,2.0359,2.0359,4695847
2005-03-22,2.0477,2.0873,1.9647,1.9924,1.9924,3932255
2005-03-23,2.016,2.016,1.9409,1.9607,1.9607,2040954
2005-03-24,1.9963,2.0161,1.9607,1.9963,1.9963,3841366
2005-03-28,2.0082,2.0082,1.9529,1.9766,1.9766,1978850
2005-03-29,1.9924,1.9964,1.8975,1.9094,1.9094,3481272
2005-03-30,1.9372,1.953,1.9095,1.9332,1.9332,5730027
2005-03-31,1.9529,1.9569,1.9331,1.945,1.945,2960369
2005-04-01,1.9884,2.0042,1.9449,1.9528,1.9528,4040938
2005-04-04,1.9568,1.9568,1.8896,1.9015,1.9015,4833233
2005-04-05,1.9291,1.9567,1.8974,1.9172,1.9172,4818970
2005-04-06,1.941,1.9489,1.8817,1.9094,1.9094,5833914
2005-04-07,1.9331,1.9687,1.9094,1.945,1.945,5745757
2005-04-08,1.9409,1.9409,1.9053,1.9172,1.9172,1771396
2005-04-11,1.9252,1.949,1.9094,1.9292,1.9292,3116990
2005-04-12,1.9291,1.941,1.9133,1.937,1.937,4009094
2005-04-13,1.9609,2.0083,1.9174,1.9411,1.9411,6111042
2005-04-14,1.949,1.9569,1.8778,1.8976,1.8976,4345976
2005-04-15,1.8859,1.8977,1.8345,1.8582,1.8582,4486111
2005-04-18,1.8622,1.8661,1.8266,1.8582,1.8582,2517781
2005-04-19,1.8778,1.8976,1.866,1.8976,1.8976,6727107
2005-04-20,1.9014,1.9172,1.8619,1.8777,1.8777,4522197
2005-04-22,1.8778,1.9173,1.8778,1.9015,1.9015,1638373
2005-04-25,1.9134,1.9727,1.8936,1.9727,1.9727,3186449
2005-04-26,1.9649,2.0361,1.9451,2.0321,2.0321,3292803
2005-04-27,2.0202,2.0597,1.9688,2.0439,2.0439,4579560
2005-04-28,2.028,2.0438,1.9331,1.9687,1.9687,2994532
2005-04-29,1.9806,1.9964,1.9173,1.945,1.945,4746577
2005-05-02,1.9519,1.9796,1.94,1.9677,1.9677,4967535
2005-05-03,1.9796,2.0112,1.94,1.9558,1.9558,4093355
2005-05-04,1.9952,2.0467,1.9635,2.0348,2.0348,5908619
2005-05-05,2.027,2.0547,2.0032,2.027,2.027,2150875
2005-05-06,2.0429,2.0429,2.0112,2.0191,2.0191,2869270
2005-05-09,2.039,2.039,2.0073,2.0152,2.0152,2245077
2005-05-10,2.0192,2.0192,1.9558,1.9598,1.9598,4446747
2005-05-11,1.9598,1.9598,1.9083,1.936,1.936,2990045
2005-05-12,1.9559,1.9559,1.8886,1.9005,1.9005,3940353
2005-05-13,1.8884,1.928,1.8766,1.9201,1.9201,1535179
2005-05-16,1.9201,1.9558,1.9083,1.9518,1.9518,2926951
2005-05-17,1.9519,1.9836,1.9202,1.9598,1.9598,5540176
2005-05-18,1.9755,1.9993,1.9755,1.9795,1.9795,3074208
2005-05-19,1.9755,1.9953,1.9637,1.9795,1.9795,5448174
2005-05-20,1.9796,1.9796,1.94,1.9558,1.9558,3154158
2005-05-23,1.9518,1.9598,1.9202,1.936,1.936,1078885
2005-05-24,1.94,1.94,1.9202,1.9242,1.9242,1009563
2005-05-25,1.948,1.9638,1.9123,1.9242,1.9242,2576967
2005-05-27,1.9796,1.9836,1.9321,1.944,1.944,1448170
2005-05-30,1.9321,1.9677,1.9202,1.94,1.94,1395206
2005-05-31,1.924,1.9597,1.924,1.9478,1.9478,3577787
2005-06-01,1.9597,1.9953,1.9478,1.9795,1.9795,5913245
2005-06-02,1.9875,2.0943,1.9795,2.0508,2.0508,10683736
2005-06-03,2.0508,2.0825,2.031,2.0627,2.0627,3834547
2005-06-06,2.0191,2.0508,1.9874,2.0191,2.0191,3580850
2005-06-07,2.0112,2.0666,1.9874,2.0389,2.0389,8563685
2005-06-08,2.0785,2.0943,2.0032,2.027,2.027,1986974
2005-06-09,2.0191,2.0191,1.9874,2.0191,2.0191,4162696
2005-06-10,2.0349,2.0349,2.0071,2.0111,2.0111,1992747
2005-06-13,2.0311,2.039,1.9875,1.9994,1.9994,2975823
2005-06-14,1.9993,1.9993,1.9636,1.9953,1.9953,6831770
2005-06-15,1.9915,1.9915,1.9479,1.9598,1.9598,4737658
2005-06-16,2.0073,2.0073,1.9598,1.9677,1.9677,4151637
2005-06-17,1.9676,1.9953,1.9676,1.9795,1.9795,4889586
2005-06-20,1.9794,1.9953,1.9636,1.9913,1.9913,1915883
2005-06-21,1.9993,2.0191,1.9676,1.9795,1.9795,4433182
2005-06-22,1.9675,1.9793,1.9477,1.9635,1.9635,3903173
2005-06-23,1.9638,1.9796,1.9242,1.9321,1.9321,4731732
2005-06-24,1.9394,1.9711,1.9275,1.9632,1.9632,4429578
2005-06-27,1.9633,1.9911,1.9435,1.9752,1.9752,4039454
2005-06-28,1.9909,2.0068,1.9592,2.0068,2.0068,4749980
2005-06-29,2.0149,2.0189,1.999,2.003,2.003,1643053
2005-06-30,1.9987,2.0225,1.9908,2.0146,2.0146,3095389
2005-07-01,2.0187,2.0267,1.9989,2.0108,2.0108,2309675
2005-07-04,2.0028,2.0028,1.9512,1.9988,1.9988,1059416
2005-07-05,1.995,1.9989,1.9553,1.9791,1.9791,3438030
2005-07-06,1.983,1.983,1.9433,1.9711,1.9711,2687261
2005-07-07,1.9276,1.995,1.9236,1.9752,1.9752,2953722
2005-07-08,1.9789,1.9908,1.9551,1.967,1.967,3494354
2005-07-11,1.9671,2.0107,1.9671,1.9988,1.9988,2938177
2005-07-12,2.0228,2.0347,1.991,2.0188,2.0188,2386518
2005-07-13,2.0188,2.0704,2.0188,2.0664,2.0664,3094715
2005-07-14,2.0703,2.0902,2.0505,2.0505,2.0505,2807149
2005-07-15,2.0346,2.0544,2.0227,2.0465,2.0465,2486236
2005-07-18,1.9868,2.0503,1.9868,2.0384,2.0384,2274673
2005-07-19,2.0108,2.0385,1.9949,2.0068,2.0068,3472011
2005-07-20,1.9908,2.0344,1.9789,2.0146,2.0146,7866934
2005-07-21,2.0267,2.0346,2.0029,2.0227,2.0227,2512049
2005-07-22,2.0149,2.0268,1.9752,1.9752,1.9752,2481662
2005-07-25,1.9633,1.9633,1.9117,1.9157,1.9157,4230600
2005-07-26,1.9038,1.9633,1.8761,1.9435,1.9435,2145596
2005-07-27,1.9552,2.0186,1.9512,1.9988,1.9988,2339927
2005-07-28,2.0148,2.0544,2.0108,2.0465,2.0465,2626916
2005-07-29,2.0505,2.0743,2.0425,2.0465,2.0465,1745071
2005-08-01,2.0463,2.1217,2.0463,2.1217,2.1217,2108004
2005-08-02,2.1181,2.1578,2.1181,2.1419,2.1419,3691515
2005-08-03,2.1417,2.1972,2.102,2.102,2.102,4189144
2005-08-04,2.082,2.1415,2.0741,2.0979,2.0979,3075313
2005-08-05,2.1258,2.1258,2.0504,2.0742,2.0742,1850054
2005-08-08,2.1101,2.1101,2.0744,2.0823,2.0823,4123881
2005-08-09,2.1019,2.1297,2.094,2.1059,2.1059,5796160
2005-08-10,2.1138,2.1892,2.1138,2.1614,2.1614,6717338
2005-08-11,2.1574,2.1971,2.1059,2.1495,2.1495,5244542
2005-08-12,2.0622,2.1336,2.0543,2.1217,2.1217,4753448
2005-08-15,2.1555,2.2154,2.1276,2.2154,2.2154,4729590
2005-08-16,2.1835,2.2354,2.1835,2.2114,2.2114,3304090
2005-08-17,2.2313,2.2313,2.1834,2.1914,2.1914,6938702
2005-08-18,2.1676,2.2195,2.1556,2.1716,2.1716,3867260
2005-08-19,2.1714,2.1954,2.0876,2.1355,2.1355,5090231
2005-08-22,2.1875,2.2035,2.1476,2.1795,2.1795,4159096
2005-08-23,2.1397,2.1836,2.1397,2.1676,2.1676,1969422
2005-08-24,2.1116,2.2274,2.1116,2.2074,2.2074,3204711
2005-08-25,2.2234,2.2633,2.1954,2.2513,2.2513,3574076
2005-08-26,2.2393,2.2633,2.2353,2.2513,2.2513,9194746
2005-08-29,2.2434,2.2993,2.2274,2.2953,2.2953,3632135
2005-08-30,2.3153,2.3273,2.2913,2.3033,2.3033,5353906
2005-08-31,2.3193,2.3592,2.3193,2.3472,2.3472,6504056
2005-09-01,2.3551,2.4189,2.3551,2.395,2.395,7692787
2005-09-02,2.3952,2.4191,2.3752,2.3872,2.3872,9268169
2005-09-05,2.4151,2.4191,2.3393,2.3872,2.3872,3803979
2005-09-06,2.3951,2.471,2.3951,2.467,2.467,4402141
2005-09-08,2.4549,2.5547,2.4509,2.4908,2.4908,6230739
2005-09-09,2.4948,2.5347,2.4868,2.5267,2.5267,10208833
2005-09-12,2.5268,2.5507,2.4948,2.5068,2.5068,6041516
2005-09-13,2.4988,2.5068,2.4469,2.4509,2.4509,12460741
