Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,5.9291,6.0702,5.9217,6.0554,6.0554,811730
2005-01-04,6.0554,6.0703,5.9812,5.9812,5.9812,3194230
2005-01-05,5.9069,5.9514,5.8623,5.9217,5.9217,6518330
2005-01-06,5.9219,5.9219,5.8045,5.8475,5.8475,2829670
2005-01-07,5.833,5.9069,5.8031,5.8401,5.8401,984700
2005-01-10,5.7882,5.877,5.7658,5.877,5.877,1679170
2005-01-11,5.8328,5.8549,5.7733,5.7985,5.7985,2157380
2005-01-12,5.7986,5.8029,5.6992,5.714,5.714,2212860
2005-01-13,5.788,5.892,5.7733,5.8772,5.8772,1036020
2005-01-14,5.8179,5.9071,5.7882,5.9071,5.9071,780640
2005-01-17,5.9054,5.9068,5.7896,5.8178,5.8178,362140
2005-01-18,5.7884,5.847,5.7302,5.8178,5.8178,1372420
2005-01-19,5.8178,5.9809,5.8119,5.9217,5.9217,1064190
2005-01-20,5.8326,5.8846,5.8148,5.8178,5.8178,1498000
2005-01-21,5.8208,5.8595,5.7589,5.7807,5.7807,2831250
2005-01-24,5.7436,5.8178,5.7436,5.803,5.803,1012410
2005-01-26,5.8032,5.8032,5.6843,5.699,5.699,3085570
2005-01-27,5.7013,5.7283,5.5882,5.6099,5.6099,2124610
2005-01-28,5.6099,5.6472,5.573,5.6249,5.6249,987100
2005-01-31,5.7065,5.8326,5.7065,5.7688,5.7688,1242440
2005-02-01,5.7718,5.9451,5.7684,5.9117,5.9117,1756760
2005-02-02,5.9391,6.1098,5.9049,6.0727,6.0727,1169160
2005-02-03,6.0727,6.3185,6.0727,6.2806,6.2806,1470990
2005-02-04,6.2509,6.533,6.2509,6.5033,6.5033,2064440
2005-02-09,6.3846,6.5034,6.3846,6.444,6.444,1913480
2005-02-10,6.444,6.4589,6.3698,6.4292,6.4292,1340370
2005-02-11,6.4292,6.4589,6.3401,6.4277,6.4277,2066150
2005-02-14,6.4438,6.6517,6.4291,6.6517,6.6517,1138090
2005-02-15,6.637,6.7409,6.6295,6.7259,6.7259,2247450
2005-02-16,6.698,6.7112,6.5783,6.5926,6.5926,1761870
2005-02-17,6.6222,6.7112,6.5628,6.637,6.637,1890140
2005-02-18,6.6374,6.6374,6.4143,6.4234,6.4234,876980
2005-02-21,6.4365,6.5396,6.355,6.3994,6.3994,993440
2005-02-22,6.4574,6.62,6.3995,6.5554,6.5554,2006860
