Date,Open,High,Low,Close,Adj Close,Volume
2007-03-29,6.7472,6.7472,5.9186,5.9186,5.9186,32562414
2007-03-30,6.0031,6.5865,5.5381,6.4259,6.4259,13410617
2007-04-02,6.3414,6.4682,6.2146,6.3414,6.3414,4242370
2007-04-03,6.3752,6.5105,6.2146,6.5105,6.5105,1599036
2007-04-04,6.3921,6.5104,6.3244,6.3836,6.3836,1680074
2007-04-05,6.3498,6.409,6.316,6.409,6.409,518161
2007-04-09,6.3499,6.5105,6.3499,6.5105,6.5105,919241
2007-04-10,6.409,6.4259,6.3583,6.409,6.409,656798
2007-04-11,6.2822,6.3921,6.1638,6.2991,6.2991,1918865
2007-04-12,6.2568,6.595,6.2399,6.595,6.595,2784133
2007-04-13,6.5104,6.6796,6.4428,6.595,6.595,2688676
2007-04-16,6.5105,6.6712,6.5105,6.5528,6.5528,3188410
2007-04-17,6.5866,6.5866,6.4513,6.5443,6.5443,1157395
2007-04-18,6.4344,6.5528,6.4344,6.5528,6.5528,2012510
2007-04-19,6.5104,6.595,6.3075,6.595,6.595,1161648
2007-04-20,6.5104,6.7641,6.4851,6.7641,6.7641,1388679
2007-04-23,6.6881,6.7642,6.6796,6.6796,6.6796,850922
2007-04-24,6.6289,6.7219,6.6289,6.7219,6.7219,1255605
2007-04-25,6.6795,6.7641,6.6373,6.7641,6.7641,1050060
2007-04-26,6.6796,6.7218,6.5358,6.595,6.595,1533309
2007-04-27,6.4935,6.7641,6.3583,6.7641,6.7641,3489780
2007-04-30,6.595,6.688,6.595,6.595,6.595,437000
2007-05-02,6.6035,6.7219,6.595,6.6373,6.6373,1099192
2007-05-03,6.6373,6.7304,6.5021,6.7219,6.7219,1280305
2007-05-04,6.7218,6.7641,6.595,6.7641,6.7641,699700
2007-05-07,6.7642,6.7727,6.7219,6.7473,6.7473,445155
2007-05-08,6.7472,6.8064,6.5527,6.6711,6.6711,1402612
2007-05-09,6.595,6.6626,6.4597,6.4597,6.4597,459003
2007-05-10,6.5528,6.5866,6.1638,6.2991,6.2991,938631
2007-05-11,6.3413,6.4259,6.3413,6.4174,6.4174,278521
2007-05-14,6.4597,6.5105,6.2568,6.4259,6.4259,969238
2007-05-15,6.3836,6.4935,6.3498,6.4259,6.4259,939982
2007-05-16,6.409,6.4682,6.2315,6.2991,6.2991,395890
2007-05-17,6.3329,6.3414,6.0962,6.3414,6.3414,1866276
2007-05-18,6.4006,6.4598,6.1385,6.1723,6.1723,2163503
2007-05-21,6.2146,6.2484,5.944,5.944,5.944,2508030
2007-05-22,5.9947,6.0708,5.9609,5.9609,5.9609,1036686
2007-05-23,6.037,6.037,5.8594,5.8848,5.8848,769811
2007-05-24,5.9017,6.0032,5.8933,6.0032,6.0032,380468
2007-05-25,6.0032,6.037,5.9271,5.9609,5.9609,674837
2007-05-28,6.0286,6.2484,5.9694,6.1808,6.1808,1208551
2007-05-29,6.5104,6.5104,6.2314,6.2483,6.2483,8900190
2007-05-30,6.2399,6.595,6.0623,6.595,6.595,10014294
2007-05-31,6.7641,6.9163,6.705,6.8487,6.8487,10624991
