Date,Open,High,Low,Close,Adj Close,Volume
2007-04-12,5.4414,5.6712,5.4144,5.6104,5.6104,5183797
2007-04-13,5.5428,5.5766,5.4144,5.5428,5.5428,462127
2007-04-16,5.4414,5.5158,5.4414,5.509,5.509,114651
2007-04-17,5.509,5.5428,5.5022,5.509,5.509,71486
2007-04-18,5.4482,5.482,5.4414,5.4752,5.4752,45912
2007-04-19,5.4752,5.536,5.4684,5.509,5.509,69000
2007-04-20,5.4752,5.5428,5.4752,5.509,5.509,222570
2007-04-23,5.5022,5.6172,5.4752,5.509,5.509,345356
2007-04-24,5.4211,5.6442,5.4211,5.6104,5.6104,199215
2007-04-25,5.5428,5.6104,5.509,5.5766,5.5766,802188
2007-04-26,5.4549,5.5766,5.4414,5.5766,5.5766,19945
2007-04-27,5.5766,5.6104,5.5766,5.6104,5.6104,23168
2007-04-30,5.5766,5.6104,5.5766,5.6104,5.6104,7100
2007-05-02,5.6104,5.7456,5.6104,5.7456,5.7456,160762
2007-05-03,5.7456,5.9484,5.678,5.9484,5.9484,393109
2007-05-04,5.9483,5.9483,5.8469,5.8537,5.8537,142426
2007-05-07,5.847,5.847,5.7794,5.7794,5.7794,1700
2007-05-08,5.7321,5.7794,5.678,5.678,5.678,3032
2007-05-09,5.5766,5.7794,5.5766,5.7456,5.7456,14162
2007-05-10,5.6104,5.7456,5.6104,5.6104,5.6104,12400
2007-05-11,5.6104,5.678,5.509,5.678,5.678,4600
2007-05-14,5.6442,5.6915,5.6442,5.6915,5.6915,3300
2007-05-15,5.5834,5.7456,5.5834,5.7456,5.7456,7359
2007-05-16,5.7456,5.7456,5.509,5.678,5.678,92075
2007-05-17,5.8064,5.8064,5.6442,5.6442,5.6442,45302
2007-05-18,5.7456,5.8132,5.7456,5.8132,5.8132,59418
2007-05-21,5.8808,6.212,5.8132,6.1512,6.1512,797238
2007-05-22,6.1646,6.6243,6.1646,6.5567,6.5567,757679
2007-05-23,6.5905,6.8271,6.5635,6.7595,6.7595,210830
2007-05-24,6.8271,7.4355,6.6243,7.3003,7.3003,1450213
2007-05-25,7.503,8.1114,7.4354,8.1114,8.1114,1038109
2007-05-28,8.1114,8.1114,7.5707,7.6991,7.6991,37854
2007-05-29,7.7735,7.7735,7.3679,7.3679,7.3679,34075
2007-05-30,7.3679,7.7194,7.1651,7.7194,7.7194,19014
2007-05-31,7.7058,7.7802,7.7058,7.7802,7.7802,1248370
2007-06-01,7.6383,7.7803,7.4355,7.6383,7.6383,396371
2007-06-04,7.5031,7.5707,7.4355,7.5707,7.5707,14409
2007-06-05,7.5707,7.8478,7.5707,7.7802,7.7802,52428
2007-06-06,7.5707,7.6315,7.4355,7.5707,7.5707,405245
2007-06-08,7.2733,7.5707,7.2665,7.5707,7.5707,8109
2007-06-11,7.5706,8.1046,7.5706,7.9762,7.9762,1311268
2007-06-12,8.0979,8.0979,7.7734,7.7734,7.7734,4300
2007-06-13,7.9762,8.1114,7.9762,8.0438,8.0438,56222
2007-06-14,8.0438,8.0438,8.01,8.0438,8.0438,35901
2007-06-15,7.5706,8.037,7.5706,7.7734,7.7734,172358
2007-06-18,7.7735,7.9087,7.7397,7.7397,7.7397,49445
2007-06-19,7.5707,7.8411,7.5707,7.6383,7.6383,20523
2007-06-20,7.4355,7.5707,7.4355,7.5707,7.5707,254800
2007-06-21,7.5707,7.5707,7.3341,7.3679,7.3679,305635
2007-06-22,7.4355,7.4355,7.2665,7.2665,7.2665,180490
2007-06-25,7.2664,7.28,7.2664,7.2732,7.2732,811
2007-06-26,7.3002,7.503,7.2664,7.3408,7.3408,42788
2007-06-27,7.307,7.307,7.1313,7.2462,7.2462,108700
2007-06-28,7.2665,7.7059,7.2665,7.7059,7.7059,158821
2007-06-29,7.5707,7.7059,7.5707,7.6045,7.6045,527391
2007-07-02,7.5706,8.037,7.5706,7.841,7.841,25277
2007-07-03,7.9762,8.1858,7.9762,8.1114,8.1114,234171
2007-07-04,7.9695,8.2128,7.9695,8.2128,8.2128,29269
2007-07-05,8.2128,8.2466,7.9762,7.983,7.983,1300
2007-07-06,8.2128,8.2128,8.1114,8.1114,8.1114,26900
2007-07-10,8.1114,8.2466,8.0776,8.2466,8.2466,2704894
2007-07-11,8.1114,8.1114,8.1114,8.1114,8.1114,4550
2007-07-12,8.179,8.179,8.1046,8.1114,8.1114,1505
2007-07-13,7.9086,7.9086,7.9086,7.9086,7.9086,26550
2007-07-16,7.5707,7.7802,7.5707,7.7802,7.7802,1175
2007-07-17,7.7734,8.0979,7.7734,8.0979,8.0979,530900
2007-07-18,7.7734,7.8072,7.7734,7.8072,7.8072,9001
2007-07-19,7.814,8.0641,7.7734,8.0641,8.0641,522425
2007-07-20,7.841,8.1046,7.841,8.0776,8.0776,84593
2007-07-23,8.0911,8.4494,8.0911,8.3142,8.3142,110163
2007-07-24,8.1858,8.517,8.1858,8.2196,8.2196,86732
2007-07-25,8.1114,8.2128,8.1114,8.1452,8.1452,155718
2007-07-26,8.0912,8.0912,7.9087,7.9695,7.9695,14900
2007-07-27,7.9086,7.9086,7.2664,7.841,7.841,335720
2007-07-30,7.7059,7.7059,7.7059,7.7059,7.7059,7100
2007-07-31,7.7735,7.8411,7.4355,7.7397,7.7397,21500
2007-08-01,7.7059,7.7059,7.4355,7.4355,7.4355,61400
2007-08-02,7.4355,7.4355,7.4287,7.4355,7.4355,99115
2007-08-03,7.2665,7.4355,7.2665,7.3003,7.3003,277000
2007-08-06,7.3003,8.0438,7.3003,8.0438,8.0438,10080
2007-08-07,7.9086,8.0438,7.9086,8.0438,8.0438,4327
2007-08-08,8.1114,8.179,8.1046,8.1114,8.1114,308868
2007-08-09,8.1114,8.1114,7.841,7.841,7.841,20408
2007-08-10,7.7735,8.4832,7.7735,8.4832,8.4832,136219
2007-08-13,8.4494,8.4494,8.1114,8.1114,8.1114,1026275
2007-08-14,7.9424,7.9424,7.9424,7.9424,7.9424,152800
2007-08-15,7.9356,8.1114,7.9356,8.0438,8.0438,37775
2007-08-17,7.9762,7.9762,7.4625,7.4625,7.4625,29675
2007-08-20,7.4625,7.4625,6.4553,6.6919,6.6919,54004
2007-08-21,6.5905,6.5905,6.3607,6.381,6.381,2907
2007-08-22,6.7933,6.7933,6.3539,6.3539,6.3539,174300
2007-08-23,6.4216,6.4216,6.1444,6.1512,6.1512,705266
2007-08-24,6.2188,6.4216,6.1174,6.2526,6.2526,1389175
2007-08-27,6.2525,6.5567,6.2525,6.5567,6.5567,60473
2007-08-28,6.523,6.523,6.2458,6.2526,6.2526,88796
2007-08-29,6.2526,6.2526,6.2188,6.2188,6.2188,166020
2007-08-30,6.212,6.2864,6.185,6.185,6.185,7616
2007-08-31,6.1646,6.4891,5.9348,6.4891,6.4891,625583
2007-09-03,6.4891,6.6108,6.4891,6.6108,6.6108,2300
2007-09-04,6.6581,6.7595,6.6581,6.6581,6.6581,85234
2007-09-05,6.6649,6.6649,6.5905,6.6243,6.6243,248801
2007-09-06,6.6581,6.6581,6.5905,6.5905,6.5905,112416
2007-09-10,6.5906,6.5906,6.1512,6.2188,6.2188,80300
2007-09-11,6.2526,6.2594,6.2526,6.2526,6.2526,62300
2007-09-12,6.2526,6.4216,6.2526,6.2526,6.2526,74829
2007-09-13,6.2864,6.354,6.1512,6.1512,6.1512,88515
2007-09-14,6.2526,6.2864,6.2526,6.2864,6.2864,1500
2007-09-17,6.2526,6.2526,6.1512,6.1512,6.1512,214700
2007-09-18,6.1512,6.2526,6.1174,6.2188,6.2188,160600
2007-09-19,6.2187,6.6243,6.2187,6.6243,6.6243,237727
2007-09-20,6.6244,6.6244,6.5365,6.5365,6.5365,110179
2007-09-21,6.7595,6.7933,6.6243,6.7595,6.7595,51400
2007-09-24,6.7595,6.7595,6.6311,6.7595,6.7595,56200
2007-09-25,6.6919,6.6919,6.6446,6.6446,6.6446,128400
2007-09-26,6.6581,6.8271,6.6311,6.7257,6.7257,36375
2007-09-27,6.7596,6.7596,6.4554,6.4689,6.4689,6350
2007-09-28,6.5568,6.719,6.4824,6.6041,6.6041,1600
2007-10-01,6.7595,6.7595,6.4215,6.6919,6.6919,1516
2007-10-02,6.4215,6.4215,6.4147,6.4215,6.4215,1421
2007-10-03,6.2863,6.4215,6.1173,6.3539,6.3539,402776
2007-10-04,6.4216,6.4216,6.354,6.4148,6.4148,17453
2007-10-05,6.4215,6.8947,6.4215,6.7257,6.7257,32825
2007-10-08,6.4553,6.7257,6.4283,6.4283,6.4283,2106
2007-10-09,6.4283,6.5229,6.3201,6.3877,6.3877,10700
2007-10-10,6.5229,6.5229,6.2525,6.3877,6.3877,186455
2007-10-11,6.3878,6.4216,6.0836,6.0836,6.0836,2150656
2007-10-15,6.4216,6.4216,6.0768,6.0836,6.0836,133600
2007-10-16,6.0836,6.0836,6.0836,6.0836,6.0836,21968
2007-10-17,6.2188,6.2188,6.0836,6.2188,6.2188,126203
2007-10-18,6.212,6.2188,6.0836,6.1512,6.1512,35950
2007-10-19,6.0836,6.0836,6.0836,6.0836,6.0836,5049
2007-10-22,6.0768,6.0836,6.0768,6.0836,6.0836,16700
2007-10-23,6.0836,6.1512,6.0768,6.0836,6.0836,668418
2007-10-24,5.9552,5.9552,5.678,5.8808,5.8808,14750
2007-10-25,5.8808,5.8808,5.5766,5.5766,5.5766,3162
2007-10-26,5.4819,5.7456,5.4819,5.5225,5.5225,3775
2007-10-29,5.5293,5.5428,5.4076,5.4076,5.4076,16258
2007-10-30,5.5428,5.7794,5.4076,5.4076,5.4076,216912
2007-10-31,5.7388,5.847,5.5428,5.5428,5.5428,21805
2007-11-01,5.4144,5.7118,5.4076,5.7118,5.7118,33200
2007-11-05,5.678,5.678,5.2792,5.2792,5.2792,68334
2007-11-06,5.4076,5.5969,5.4076,5.5969,5.5969,25600
2007-11-07,5.5901,5.5969,5.4144,5.4144,5.4144,14460
2007-11-08,5.4212,5.4212,5.4076,5.4144,5.4144,90751
2007-11-09,5.4211,5.4279,5.1372,5.2724,5.2724,505500
2007-11-12,5.2995,5.2995,5.0629,5.0629,5.0629,11037
2007-11-13,4.9682,4.9682,4.9682,4.9682,4.9682,11226993
