Date,Open,High,Low,Close,Adj Close,Volume
2014-01-23,9.212,9.212,9.212,9.212,9.212,3500
2014-01-24,9.6089,9.6089,9.6089,9.6089,9.6089,100
2014-01-27,9.8835,9.8835,9.8835,9.8835,9.8835,100
2014-01-28,9.9494,9.9494,9.7266,9.8725,9.8725,17300
2014-01-29,9.6168,9.6952,9.6137,9.6874,9.6874,13200
2014-01-30,9.6152,9.7752,9.5697,9.5697,9.5697,34800
2014-01-31,9.5697,9.7376,9.4913,9.7266,9.7266,36700
2014-02-03,9.4912,9.4912,9.2873,9.4128,9.4128,9300
2014-02-04,9.256,9.2575,8.9407,9.0991,9.0991,63900
2014-02-05,9.1775,9.1775,8.7068,8.8951,8.8951,255900
2014-02-06,9.1383,9.4129,8.8073,9.0991,9.0991,247600
2014-02-07,9.2559,9.303,8.6284,9.2559,9.2559,338400
2014-02-10,8.7931,9.4128,8.7931,9.3485,9.3485,174500
2014-02-11,9.4897,9.5697,9.2026,9.4128,9.4128,224300
2014-02-12,9.5681,9.5681,9.2826,9.5681,9.5681,383100
2014-02-13,9.2591,9.6168,9.1383,9.6168,9.6168,268000
2014-02-14,9.6152,9.8035,9.4144,9.8035,9.8035,166700
2014-02-17,9.7313,9.896,9.6042,9.8207,9.8207,162200
2014-02-18,9.656,9.7188,9.4521,9.6482,9.6482,232400
2014-02-19,9.4599,9.5023,9.3297,9.4913,9.4913,392100
2014-02-20,9.4819,9.5493,9.3156,9.5164,9.5164,347700
2014-02-21,9.5164,9.5697,9.405,9.4756,9.4756,292700
2014-02-24,9.5367,9.5367,9.259,9.3014,9.3014,200300
2014-02-25,9.2622,9.2873,8.9594,9.2073,9.2073,404900
2014-02-26,9.0991,9.2716,9.0551,9.1069,9.1069,257300
2014-02-27,9.1602,9.2512,8.9971,9.2512,9.2512,243700
2014-02-28,9.2512,9.2952,8.9375,9.0975,9.0975,382800
2014-03-05,9.0379,9.0379,8.8371,8.9657,8.9657,187500
2014-03-06,8.9657,8.9657,8.8042,8.8622,8.8622,263200
2014-03-07,8.8622,8.8732,8.6755,8.6755,8.6755,300100
2014-03-10,8.6755,8.6755,8.277,8.3774,8.3774,393800
2014-03-11,8.4308,8.4308,8.1578,8.3178,8.3178,352800
2014-03-12,8.252,8.5971,8.2269,8.572,8.572,418900
2014-03-13,8.608,8.6096,8.3225,8.4684,8.4684,399100
2014-03-14,8.3805,8.5499,8.277,8.4715,8.4715,475000
2014-03-17,8.4402,8.5249,8.3241,8.3774,8.3774,219900
2014-03-18,8.4167,8.7524,8.3006,8.7524,8.7524,785800
2014-03-20,9.2149,9.3592,9.0378,9.3264,9.3264,336700
2014-03-21,9.2068,9.2068,9.0444,9.0838,9.0838,251300
2014-03-24,9.0838,9.156,8.9838,9.1166,9.1166,217300
2014-03-25,9.3297,9.3297,8.9362,9.2805,9.2805,1148000
2014-03-26,9.2969,9.3297,8.9608,9.2149,9.2149,3306300
2014-03-27,9.3379,9.4527,8.9854,9.4199,9.4199,2173800
2014-03-28,9.5019,9.5757,9.2395,9.4199,9.4199,1292700
2014-03-31,9.4691,9.5511,9.2969,9.5429,9.5429,2020400
2014-04-01,9.5101,9.5921,9.3625,9.4937,9.4937,1176900
2014-04-02,9.4937,9.8134,9.4117,9.8134,9.8134,1952600
2014-04-03,9.5593,9.838,9.5593,9.838,9.838,972200
2014-04-04,9.92,9.961,9.7232,9.9118,9.9118,1513000
2014-04-07,9.8626,10.0348,9.7233,9.9856,9.9856,1768800
2014-04-08,10.1331,10.1577,9.715,9.8216,9.8216,3117200
2014-04-09,9.7561,9.7561,9.4773,9.6167,9.6167,5283100
2014-04-10,9.5429,9.5429,9.1821,9.4281,9.4281,3973800
2014-04-11,9.3625,9.4691,9.1411,9.2641,9.2641,3900800
2014-04-14,9.2067,9.4035,9.1001,9.3051,9.3051,2436300
2014-04-15,9.3051,9.3051,8.9526,9.2313,9.2313,2117000
2014-04-16,9.2887,9.4691,9.0182,9.3707,9.3707,2530000
2014-04-17,9.3216,9.6249,9.2232,9.6249,9.6249,2406500
2014-04-22,9.5101,9.6987,9.3051,9.5101,9.5101,2923800
2014-04-23,9.4445,9.5019,9.2067,9.2805,9.2805,3230500
2014-04-24,9.3133,9.3789,9.1084,9.3789,9.3789,1648400
2014-04-25,9.3133,9.4445,9.1739,9.3297,9.3297,2169500
2014-04-28,9.2641,9.5511,9.1904,9.4855,9.4855,2104900
2014-04-29,9.4527,9.7151,9.3462,9.6331,9.6331,3339900
2014-04-30,9.5757,9.7479,9.4363,9.5921,9.5921,2620000
2014-05-02,9.5593,9.9036,9.4691,9.8052,9.8052,4041800
2014-05-05,9.8544,10.043,9.7806,9.9856,9.9856,3066600
2014-05-06,9.92,10.084,9.8053,10.084,10.084,2558000
2014-05-07,9.9692,10.0922,9.9118,10.0922,10.0922,3995500
2014-05-08,10.0184,10.1004,9.8462,9.9528,9.9528,2274200
2014-05-09,9.8954,9.961,9.7888,9.8052,9.8052,1479800
2014-05-12,9.879,9.9364,9.8052,9.9364,9.9364,1015500
2014-05-13,9.9282,9.9938,9.8216,9.879,9.879,1146400
2014-05-14,9.8544,9.9774,9.7724,9.8872,9.8872,1471500
2014-05-15,9.8216,9.879,9.6412,9.7806,9.7806,1318600
2014-05-16,9.7888,9.92,9.6658,9.8462,9.8462,1830400
2014-05-19,9.8954,9.9527,9.6658,9.674,9.674,1547300
2014-05-20,9.6249,9.6986,9.3543,9.4199,9.4199,3116600
2014-05-21,9.4445,9.4445,9.2313,9.3379,9.3379,1795500
2014-05-22,9.3379,9.4527,9.2395,9.3461,9.3461,2144700
2014-05-23,9.3379,9.3789,9.1821,9.3461,9.3461,5899200
2014-05-26,9.4035,9.5347,9.3051,9.5183,9.5183,745000
2014-05-27,9.5429,9.5839,9.2887,9.3789,9.3789,1827400
2014-05-28,9.3789,9.5101,9.3133,9.4773,9.4773,2265900
2014-05-29,9.4773,9.5347,9.3953,9.4773,9.4773,1539700
2014-05-30,9.3789,9.4527,9.2313,9.3789,9.3789,5587100
2014-06-02,9.3215,9.4691,9.2887,9.4199,9.4199,2010300
2014-06-03,9.3707,9.5019,9.3051,9.4855,9.4855,1509700
2014-06-04,9.4855,9.4855,9.2477,9.3871,9.3871,1807500
2014-06-05,9.3297,9.4117,9.2969,9.3051,9.3051,1599400
