Date,Open,High,Low,Close,Adj Close,Volume
2012-04-23,2.024,2.024,1.9169,1.9374,1.9374,3096003
2012-04-24,1.9602,1.9921,1.9374,1.983,1.983,489601
2012-04-25,2.0195,2.0217,1.9602,1.983,1.983,451200
2012-04-26,1.9807,1.983,1.9625,1.983,1.983,742801
2012-04-27,1.983,2.0423,1.983,2.0377,2.0377,200400
2012-04-30,1.983,2.1015,1.9716,2.1015,2.1015,305400
2012-05-02,2.0696,2.0901,2.008,2.0878,2.0878,1010101
2012-05-03,2.0879,2.0879,2.04,2.0628,2.0628,284700
2012-05-04,2.0514,2.0514,2.0058,2.0058,2.0058,492001
2012-05-07,2.0126,2.0149,1.983,2.0058,2.0058,478201
2012-05-08,2.0377,2.0377,1.983,2.0286,2.0286,1070401
2012-05-09,1.983,2.0058,1.9739,1.9944,1.9944,584401
2012-05-10,2.0012,2.0514,1.9944,2.0058,2.0058,831601
2012-05-11,1.9853,2.0491,1.9556,2.0491,2.0491,458100
2012-05-14,2.0218,2.0491,1.9557,2.0058,2.0058,742501
2012-05-15,2.0445,2.0514,1.9511,1.9716,1.9716,543901
2012-05-16,1.967,1.983,1.9055,1.9602,1.9602,802801
2012-05-17,1.9602,2.0103,1.8941,1.9716,1.9716,1415701
2012-05-18,1.9716,1.9716,1.9602,1.9602,1.9602,318900
2012-05-21,1.9602,1.9602,1.9556,1.9602,1.9602,925801
2012-05-22,1.9328,1.9602,1.9169,1.9488,1.9488,1555502
2012-05-23,1.9191,1.9191,1.8143,1.8234,1.8234,739501
2012-05-24,1.8211,1.8234,1.7778,1.8234,1.8234,11700
2012-05-25,1.8189,1.8212,1.6799,1.7551,1.7551,354600
2012-05-28,1.7026,1.7779,1.689,1.7072,1.7072,184800
2012-05-29,1.7323,1.7323,1.7095,1.7095,1.7095,1500
2012-05-30,1.6593,1.673,1.5932,1.5932,1.5932,30300
2012-05-31,1.6388,1.6639,1.5066,1.6639,1.6639,651601
2012-06-01,1.616,1.616,1.5499,1.5841,1.5841,137400
2012-06-04,1.5408,1.5499,1.5089,1.5089,1.5089,14100
2012-06-05,1.5043,1.5043,1.4815,1.4815,1.4815,365400
2012-06-06,1.4838,1.5932,1.4815,1.5932,1.5932,33600
2012-06-08,1.5659,1.5955,1.5499,1.5499,1.5499,401700
2012-06-11,1.5613,1.5864,1.5499,1.5499,1.5499,830101
2012-06-12,1.5909,1.5955,1.5636,1.5955,1.5955,230700
2012-06-13,1.5932,1.6958,1.5932,1.5978,1.5978,856801
2012-06-14,1.616,1.6411,1.6069,1.6411,1.6411,40500
2012-06-15,1.6753,1.7323,1.6753,1.7209,1.7209,63300
