Date,Open,High,Low,Close,Adj Close,Volume
2005-04-01,263.3742,263.3742,263.3742,263.3742,263.3742,245
2005-06-27,351.2828,351.2828,351.2828,351.2828,351.2828,112
2005-07-01,0.8559,0.8906,0.8559,0.8906,0.8906,1436
2005-07-04,0.8976,0.9253,0.8906,0.914,0.914,49
2005-07-05,0.9162,0.9254,0.8791,0.8884,0.8884,170
2005-07-06,0.8791,0.8884,0.8791,0.8791,0.8791,86
2005-07-07,0.8744,0.8837,0.8744,0.8837,0.8837,32
2005-07-08,0.8906,0.9022,0.8837,0.8906,0.8906,41
2005-07-11,0.9045,0.9045,0.886,0.9022,0.9022,84
2005-07-12,0.9022,0.9208,0.9022,0.9115,0.9115,176
2005-07-13,0.9251,0.9251,0.9138,0.9138,0.9138,159
2005-07-14,0.923,0.9253,0.9184,0.9253,0.9253,89
2005-07-15,0.9253,0.9253,0.9253,0.9253,0.9253,68
2005-07-18,0.9253,0.9276,0.9253,0.9274,0.9274,94
2005-07-19,0.9288,0.9346,0.9253,0.9253,0.9253,29
2005-07-20,0.9265,0.9346,0.9253,0.9346,0.9346,302
2005-07-21,0.9392,0.9485,0.9392,0.9485,0.9485,3
2005-07-22,0.9717,0.9717,0.9486,0.9717,0.9717,24
2005-07-25,0.9484,0.9713,0.9392,0.9438,0.9438,304
2005-07-26,0.9485,0.9485,0.937,0.9416,0.9416,78
2005-07-27,0.9601,0.9716,0.9416,0.9485,0.9485,194
2005-07-28,0.96,0.96,0.9485,0.9531,0.9531,108
2005-07-29,0.9717,1.0642,0.9717,1.064,1.064,364
2005-08-01,1.0874,1.0874,1.0527,1.0647,1.0647,88
2005-08-02,1.0872,1.0872,1.0664,1.071,1.071,66
2005-08-03,1.0757,1.0757,1.0644,1.0757,1.0757,247
2005-08-04,1.0757,1.0757,1.0757,1.0757,1.0757,27
2005-08-05,1.0757,1.0873,1.0641,1.0757,1.0757,206
2005-08-08,1.0873,1.1104,1.0873,1.1046,1.1046,18
2005-08-09,1.1336,1.1336,1.0929,1.0989,1.0989,15
2005-08-10,1.1056,1.1056,1.0873,1.0873,1.0873,240
2005-08-11,1.1104,1.1104,1.0873,1.0873,1.0873,73
2005-08-12,1.0642,1.0989,1.0642,1.0873,1.0873,68
2005-08-15,1.0988,1.1335,1.0965,1.1335,1.1335,194
2005-08-16,1.0988,1.1335,1.0988,1.1335,1.1335,27
2005-08-17,1.1335,1.1983,1.122,1.1983,1.1983,102
2005-08-18,1.1983,1.1983,1.1796,1.1798,1.1798,10
2005-08-19,1.1983,1.1983,1.1335,1.1335,1.1335,56
2005-08-22,1.1798,1.1798,1.133,1.1335,1.1335,52
2005-08-23,1.1564,1.1564,1.1266,1.1335,1.1335,88
2005-08-24,1.1242,1.1335,1.1104,1.1335,1.1335,235
2005-08-25,1.1451,1.2029,1.1219,1.2029,1.2029,112
2005-08-26,1.1453,1.1566,1.1451,1.1564,1.1564,129
2005-08-29,1.1798,1.1798,1.1567,1.1775,1.1775,74
2005-08-30,1.1798,1.1798,1.1798,1.1798,1.1798,0
2005-08-31,1.2261,1.2261,1.1567,1.1567,1.1567,208
2005-09-01,1.1682,1.1682,1.1543,1.1543,1.1543,127
2005-09-02,1.1566,1.1566,1.1531,1.1543,1.1543,21
2005-09-05,1.145,1.1566,1.1097,1.1543,1.1543,44
2005-09-06,1.1544,1.1567,1.1336,1.1567,1.1567,66
2005-09-08,1.1567,1.1567,1.1562,1.1567,1.1567,144
2005-09-09,1.1567,1.2027,1.1451,1.1567,1.1567,273
2005-09-12,1.2027,1.2027,1.1544,1.1567,1.1567,21
2005-09-13,1.1451,1.1567,1.1451,1.1567,1.1567,29
2005-09-14,1.1567,1.1567,1.1451,1.1567,1.1567,4
2005-09-15,1.1451,1.1567,1.1451,1.1567,1.1567,101
2005-09-16,1.122,1.2724,1.122,1.2724,1.2724,265
2005-09-19,1.2955,1.2955,1.2354,1.2724,1.2724,50
2005-09-20,1.2608,1.2608,1.2261,1.249,1.249,40
2005-09-21,1.2606,1.2606,1.2481,1.2481,1.2481,37
2005-09-22,1.2492,1.2605,1.2492,1.2492,1.2492,22
2005-09-23,1.2584,1.2607,1.2376,1.2607,1.2607,21
2005-09-26,1.2724,1.2724,1.1916,1.2261,1.2261,35
2005-09-27,1.2492,1.2492,1.1821,1.2284,1.2284,42
2005-09-28,1.2261,1.2261,1.2259,1.2261,1.2261,196
2005-09-29,1.249,1.2492,1.2372,1.2492,1.2492,114
2005-09-30,1.2606,1.2837,1.2493,1.2724,1.2724,62
2005-10-03,1.3071,1.3661,1.2955,1.3649,1.3649,81
2005-10-04,1.3876,1.3881,1.3006,1.3418,1.3418,250
2005-10-05,1.2839,1.3325,1.2839,1.3177,1.3177,37
2005-10-06,1.3174,1.3174,1.2099,1.2492,1.2492,381
2005-10-07,1.2491,1.2718,1.2262,1.2607,1.2607,26
2005-10-10,1.2608,1.2956,1.2608,1.2782,1.2782,122
2005-10-11,1.3184,1.3184,1.2723,1.2816,1.2816,68
2005-10-13,1.2719,1.2719,1.2492,1.2492,1.2492,57
2005-10-14,1.2492,1.2492,1.2374,1.2492,1.2492,45
2005-10-17,1.2434,1.2492,1.2434,1.2492,1.2492,184
2005-10-18,1.2492,1.2492,1.2261,1.2365,1.2365,175
2005-10-19,1.2261,1.2492,1.2261,1.249,1.249,46
2005-10-20,1.2491,1.2954,1.2491,1.2607,1.2607,64
2005-10-21,1.2723,1.2955,1.2689,1.2839,1.2839,164
2005-10-24,1.3186,1.3648,1.3186,1.3232,1.3232,169
2005-10-25,1.3189,1.3302,1.2955,1.2955,1.2955,25
2005-10-26,1.2955,1.3002,1.2724,1.2724,1.2724,107
2005-10-27,1.2953,1.2953,1.2814,1.2814,1.2814,38
2005-10-28,1.3186,1.3186,1.2955,1.2955,1.2955,196
2005-10-31,1.3302,1.388,1.3302,1.388,1.388,118
2005-11-01,1.388,1.4109,1.3649,1.3954,1.3954,58
2005-11-03,1.3953,1.4458,1.3953,1.4342,1.4342,173
2005-11-04,1.4342,1.4574,1.4342,1.4458,1.4458,291
2005-11-07,1.4458,1.4875,1.4458,1.4782,1.4782,460
2005-11-08,1.469,1.4783,1.4574,1.469,1.469,384
2005-11-09,1.462,1.469,1.4574,1.4574,1.4574,320
2005-11-10,1.4575,1.4922,1.4575,1.4922,1.4922,4
2005-11-11,1.4921,1.5268,1.4692,1.4692,1.4692,238
2005-11-14,1.4692,1.4692,1.4632,1.4667,1.4667,57
2005-11-16,1.5037,1.5315,1.5037,1.5315,1.5315,80
2005-11-17,1.5483,1.6304,1.5483,1.6257,1.6257,327
2005-11-18,1.5858,1.6257,1.5858,1.614,1.614,187
2005-11-21,1.614,1.7008,1.614,1.7008,1.7008,112
2005-11-22,1.7008,1.7008,1.6996,1.7008,1.7008,104
2005-11-23,1.7125,1.8064,1.7125,1.7829,1.7829,32
2005-11-24,1.7946,1.933,1.7606,1.9002,1.9002,40
2005-11-25,1.9002,1.9002,1.8756,1.8979,1.8979,76
2005-11-28,1.8768,1.8768,1.7607,1.7919,1.7919,149
2005-11-29,1.8063,1.8415,1.6891,1.7477,1.7477,132
2005-11-30,1.7829,1.8533,1.7196,1.736,1.736,175
2005-12-01,1.7478,1.8064,1.7337,1.7595,1.7595,128
2005-12-02,1.8063,1.8401,1.7359,1.7418,1.7418,66
2005-12-05,1.7419,1.7663,1.7243,1.736,1.736,149
2005-12-06,1.6893,1.7782,1.6888,1.7665,1.7665,105
2005-12-07,1.7712,1.7712,1.7595,1.7595,1.7595,68
2005-12-08,1.7383,1.7595,1.6539,1.7177,1.7177,164
2005-12-09,1.6893,1.7231,1.645,1.6891,1.6891,56
2005-12-12,1.7126,1.7126,1.6422,1.6633,1.6633,64
2005-12-13,1.6586,1.6586,1.5955,1.6422,1.6422,439
2005-12-14,1.6422,1.6865,1.6363,1.6865,1.6865,440
2005-12-15,1.6891,1.7712,1.6889,1.7712,1.7712,268
2005-12-16,1.7829,1.8181,1.729,1.7712,1.7712,70
2005-12-19,1.7714,1.8063,1.7711,1.7993,1.7993,296
2005-12-20,1.7829,1.8064,1.7712,1.7935,1.7935,106
2005-12-21,1.7595,1.8744,1.7595,1.8228,1.8228,280
2005-12-22,1.7876,1.8299,1.7595,1.8017,1.8017,54
2005-12-23,1.8221,1.8221,1.7245,1.7829,1.7829,26
2005-12-26,1.7827,1.7829,1.7803,1.7829,1.7829,5
2005-12-27,1.7829,1.8089,1.7594,1.7829,1.7829,43
2005-12-28,1.783,1.783,1.7245,1.7595,1.7595,101
2005-12-29,1.7595,1.7903,1.7439,1.767,1.767,140
2006-01-02,1.7555,1.7673,1.7202,1.7673,1.7673,18
2006-01-03,1.767,1.8824,1.7667,1.8664,1.8664,329
2006-01-04,1.885,2.0382,1.885,1.9769,1.9769,336
2006-01-05,1.977,2.1076,1.9759,2.1031,2.1031,150
2006-01-06,2.1652,2.1676,2.0967,2.1207,2.1207,251
2006-01-09,2.1325,2.1537,2.1089,2.1384,2.1384,92
2006-01-10,2.1308,2.1372,2.1042,2.1183,2.1183,62
2006-01-11,2.1443,2.2551,2.1443,2.1912,2.1912,126
2006-01-12,2.1914,2.2621,2.1679,2.215,2.215,144
2006-01-13,2.2574,2.2574,2.2032,2.2173,2.2173,55
2006-01-16,2.182,2.215,2.182,2.2006,2.2006,11
2006-01-17,2.1678,2.1678,2.05,2.156,2.156,201
2006-01-18,2.1556,2.1556,2.0964,2.0995,2.0995,101
2006-01-19,2.1206,2.1324,2.1065,2.1324,2.1324,71
2006-01-20,2.2385,2.2385,2.1254,2.1419,2.1419,86
2006-01-23,2.1842,2.2106,2.1324,2.1324,2.1324,62
2006-01-24,2.1749,2.1749,2.1443,2.1558,2.1558,75
2006-01-26,2.1561,2.1679,2.1323,2.1679,2.1679,202
2006-01-27,2.2149,2.262,2.1682,2.262,2.262,96
2006-01-30,2.2856,2.2856,2.1914,2.2267,2.2267,199
2006-01-31,2.2032,2.2315,2.1716,2.215,2.215,176
2006-02-01,2.215,2.215,2.1917,2.215,2.215,126
2006-02-02,2.2142,2.2142,2.0971,2.1324,2.1324,60
2006-02-03,2.0972,2.1702,2.0032,2.0972,2.0972,140
2006-02-06,2.1065,2.2146,2.0735,2.2031,2.2031,101
2006-02-07,2.2148,2.2268,2.1679,2.215,2.215,106
2006-02-08,2.2125,2.3221,2.2125,2.3221,2.3221,110
2006-02-09,2.3798,2.4974,2.3091,2.3798,2.3798,333
2006-02-10,2.4506,2.5213,2.3446,2.3446,2.3446,184
2006-02-13,2.401,2.401,2.2384,2.262,2.262,75
2006-02-14,2.3092,2.3304,2.1442,2.2267,2.2267,156
2006-02-15,2.2595,2.4011,2.1584,2.3563,2.3563,82
2006-02-16,2.4031,2.4503,2.3091,2.3798,2.3798,170
2006-02-17,2.427,2.5683,2.4152,2.533,2.533,190
2006-02-20,2.5682,2.6438,2.5682,2.6391,2.6391,38
2006-02-21,2.6158,2.6787,2.592,2.6389,2.6389,72
2006-02-22,2.639,2.639,2.4859,2.6131,2.6131,130
2006-02-23,2.6036,2.7839,2.5919,2.7568,2.7568,139
2006-02-24,2.7745,2.7745,2.7333,2.7604,2.7604,9
2006-03-01,2.7604,2.8697,2.7451,2.7804,2.7804,141
2006-03-02,2.804,2.8273,2.639,2.6626,2.6626,118
