Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,4.9401,5.4316,4.9102,5.1397,5.1397,21739200
2020-02-07,5.1148,5.4891,5.0474,5.0649,5.0649,3117900
2020-02-10,5.1397,5.1397,4.8403,5.0399,5.0399,3036700
2020-02-11,5.0773,5.1123,4.8653,5.0399,5.0399,3299000
2020-02-12,5.0824,5.4691,5.0649,5.4691,5.4691,2389000
2020-02-13,5.3193,5.6512,5.2245,5.489,5.489,1099200
2020-02-14,5.4915,5.756,5.489,5.5888,5.5888,1215600
2020-02-17,5.6412,5.8932,5.6412,5.8134,5.8134,724500
2020-02-18,5.8134,6.0379,5.7634,5.8882,5.8882,821600
2020-02-19,5.9281,5.998,5.6636,5.988,5.988,1559300
2020-02-20,6.0754,6.3997,5.8359,6.3623,6.3623,458100
2020-02-21,6.2125,6.3198,6.0329,6.1377,6.1377,1682700
2020-02-26,5.7386,5.9107,5.252,5.4641,5.4641,1964300
2020-02-27,5.3717,5.3717,5.005,5.1946,5.1946,1581500
2020-02-28,5.1373,5.3568,4.9401,5.3144,5.3144,1257900
2020-03-02,5.237,5.988,5.2021,5.988,5.988,699500
2020-03-03,6.0055,6.2375,5.6537,6.1103,6.1103,819800
2020-03-04,6.2699,6.3498,5.6512,6.0354,6.0354,1871000
2020-03-05,5.9381,5.9381,5.4566,5.489,5.489,910700
2020-03-06,5.2021,5.2021,4.9002,4.9651,4.9651,2149200
2020-03-09,4.1417,4.7106,4.1417,4.3663,4.3663,1052800
2020-03-10,4.7405,4.9401,4.5209,4.7405,4.7405,587400
2020-03-11,4.7156,4.8029,4.3713,4.8029,4.8029,506900
2020-03-12,4.1393,4.6158,3.6677,4.0145,4.0145,290800
2020-03-13,4.9028,4.9028,3.9047,4.3763,4.3763,1636400
2020-03-16,3.7825,3.8299,3.4307,3.7675,3.7675,5484000
2020-03-17,3.977,3.977,3.6452,3.7425,3.7425,481700
2020-03-18,3.3732,3.493,2.7819,2.994,2.994,1238600
2020-03-19,2.9941,3.1937,2.7121,3.0215,3.0215,2193600
2020-03-20,3.1687,3.3558,2.8693,2.8967,2.8967,708800
2020-03-23,2.8992,2.8992,2.4251,2.5449,2.5449,1344500
2020-03-24,2.8243,3.2934,2.6447,3.2934,3.2934,869500
2020-03-25,3.1986,3.74,3.1986,3.6951,3.6951,1113600
2020-03-26,3.74,4.1367,3.6552,4.0793,4.0793,399400
2020-03-27,3.8423,4.4386,3.7126,4.3538,4.3538,514400
2020-03-30,4.3538,4.5858,4.1791,4.5783,4.5783,362500
2020-03-31,4.5758,4.5783,4.4186,4.491,4.491,328900
2020-04-01,4.2789,4.4411,3.6552,3.7425,3.7425,1129800
2020-04-02,3.8673,3.8673,3.4356,3.6078,3.6078,1659600
2020-04-03,3.5554,4.3064,3.3334,4.1717,4.1717,3887500
2020-04-06,4.2964,4.4411,4.0544,4.3787,4.3787,1836600
2020-04-07,4.6157,4.7405,4.3762,4.6357,4.6357,2516100
2020-04-08,4.7405,4.9226,4.4361,4.743,4.743,1618500
2020-04-09,4.7904,5.1272,4.7904,4.98,4.98,1476400
