Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,0.4555,0.4692,0.4555,0.4656,0.4656,280003200
2011-05-03,0.4671,0.4722,0.4584,0.4613,0.4613,33670400
2011-05-04,0.4621,0.4664,0.4621,0.4664,0.4664,39203200
2011-05-05,0.4643,0.4643,0.4622,0.4636,0.4636,35097600
2011-05-06,0.4631,0.4638,0.453,0.4602,0.4602,38672000
2011-05-09,0.46,0.4615,0.4528,0.4528,0.4528,13353600
2011-05-10,0.4521,0.4695,0.4499,0.4695,0.4695,21891200
2011-05-11,0.4599,0.4671,0.4599,0.4642,0.4642,6240000
2011-05-12,0.4596,0.4647,0.4589,0.4647,0.4647,7360000
2011-05-13,0.4641,0.4641,0.4591,0.4627,0.4627,7046400
2011-05-16,0.46,0.4607,0.4528,0.4571,0.4571,17212800
2011-05-17,0.4557,0.4571,0.4535,0.4557,0.4557,5532800
2011-05-18,0.4544,0.4566,0.4465,0.4472,0.4472,22262400
2011-05-19,0.4473,0.4523,0.4466,0.448,0.448,14163200
2011-05-20,0.4475,0.4525,0.4388,0.4511,0.4511,10518400
2011-05-23,0.4465,0.4494,0.44,0.4494,0.4494,8752000
2011-05-24,0.4515,0.4529,0.4392,0.4435,0.4435,33539200
2011-05-25,0.4425,0.4425,0.4295,0.4302,0.4302,18569600
2011-05-26,0.43,0.4459,0.43,0.4452,0.4452,11814400
2011-05-27,0.4414,0.4501,0.4392,0.4472,0.4472,16630400
2011-05-30,0.4413,0.4521,0.4413,0.4514,0.4514,4662400
2011-05-31,0.4528,0.4528,0.4427,0.4528,0.4528,35980800
2011-06-01,0.4491,0.4607,0.4462,0.4585,0.4585,14060800
2011-06-02,0.4526,0.4671,0.4526,0.4642,0.4642,13865600
2011-06-03,0.4589,0.4727,0.4589,0.4727,0.4727,12969600
2011-06-06,0.4691,0.4763,0.4662,0.4727,0.4727,10441600
2011-06-07,0.4695,0.4746,0.4644,0.4724,0.4724,18960000
2011-06-08,0.4715,0.4722,0.465,0.4693,0.4693,10473600
2011-06-09,0.4673,0.4891,0.4673,0.484,0.484,36128000
2011-06-10,0.4796,0.4854,0.4702,0.4854,0.4854,14844800
2011-06-13,0.4853,0.5026,0.4838,0.4896,0.4896,26368000
2011-06-14,0.4925,0.4968,0.4715,0.4845,0.4845,19737600
2011-06-15,0.4838,0.4838,0.4729,0.478,0.478,15379200
2011-06-16,0.4675,0.4777,0.453,0.4755,0.4755,19196800
2011-06-17,0.4721,0.4735,0.454,0.467,0.467,7590400
2011-06-20,0.4621,0.4643,0.4534,0.4585,0.4585,7673600
2011-06-21,0.456,0.4727,0.456,0.4698,0.4698,5961600
2011-06-22,0.4628,0.4722,0.4592,0.4599,0.4599,10425600
2011-06-24,0.4636,0.4708,0.4556,0.4585,0.4585,6016000
2011-06-27,0.4658,0.4658,0.4477,0.4528,0.4528,9404800
2011-06-28,0.4531,0.4596,0.4509,0.4596,0.4596,10067200
2011-06-29,0.4589,0.4647,0.4553,0.4647,0.4647,9449600
2011-06-30,0.4599,0.4628,0.4527,0.4599,0.4599,17027200
2011-07-01,0.4607,0.4614,0.4498,0.4585,0.4585,19334400
2011-07-04,0.4562,0.4642,0.4533,0.4642,0.4642,8060800
2011-07-05,0.4674,0.4775,0.4659,0.4746,0.4746,40854400
2011-07-06,0.4749,0.4749,0.4698,0.4727,0.4727,15392000
2011-07-07,0.4736,0.478,0.4642,0.4642,0.4642,10969600
2011-07-08,0.4635,0.4642,0.4526,0.4613,0.4613,17078400
2011-07-11,0.4561,0.4611,0.4394,0.4401,0.4401,18057600
2011-07-12,0.4405,0.4528,0.4318,0.4514,0.4514,13737600
2011-07-13,0.4523,0.4523,0.4349,0.4458,0.4458,15334400
2011-07-14,0.4397,0.4441,0.4245,0.4245,0.4245,12419200
2011-07-15,0.4278,0.4293,0.406,0.4104,0.4104,12384000
2011-07-18,0.4122,0.4129,0.3919,0.3926,0.3926,13177600
2011-07-19,0.3957,0.4211,0.3935,0.4189,0.4189,19712000
2011-07-20,0.4217,0.4253,0.405,0.405,0.405,9376000
2011-07-21,0.4102,0.4117,0.3987,0.4059,0.4059,8876800
2011-07-22,0.4065,0.4217,0.405,0.4217,0.4217,12595200
2011-07-25,0.4159,0.4347,0.4094,0.4217,0.4217,9827200
2011-07-26,0.4174,0.437,0.4131,0.437,0.437,12361600
2011-07-27,0.4329,0.4329,0.4119,0.4228,0.4228,11113600
2011-07-28,0.4237,0.4244,0.4005,0.4005,0.4005,22259200
2011-07-29,0.4007,0.4015,0.3848,0.3906,0.3906,16918400
2011-08-01,0.3967,0.404,0.3822,0.396,0.396,8393600
2011-08-02,0.3957,0.4,0.3892,0.3957,0.3957,9388800
2011-08-03,0.3923,0.3974,0.3589,0.3807,0.3807,16896000
2011-08-04,0.3684,0.3684,0.3466,0.3481,0.3481,14230400
2011-08-05,0.3394,0.3546,0.3141,0.3351,0.3351,21920000
2011-08-08,0.2997,0.32,0.2997,0.3113,0.3113,12880000
2011-08-09,0.3119,0.3228,0.2946,0.317,0.317,27123200
2011-08-10,0.3104,0.3184,0.3032,0.3184,0.3184,27260800
2011-08-11,0.318,0.3535,0.3144,0.3535,0.3535,16083200
2011-08-12,0.3537,0.3747,0.3421,0.3733,0.3733,15308800
2011-08-15,0.3649,0.3816,0.3649,0.3787,0.3787,7859200
2011-08-16,0.3697,0.377,0.3545,0.3719,0.3719,8409600
2011-08-17,0.372,0.3793,0.3684,0.3742,0.3742,9555200
2011-08-18,0.3676,0.3756,0.3415,0.3756,0.3756,9305600
2011-08-19,0.3656,0.3735,0.3591,0.3634,0.3634,16832000
2011-08-22,0.3639,0.3718,0.3559,0.3617,0.3617,7532800
2011-08-23,0.3593,0.3636,0.3557,0.36,0.36,8995200
2011-08-24,0.3618,0.3618,0.3494,0.3538,0.3538,9436800
2011-08-25,0.359,0.3677,0.3416,0.3481,0.3481,7017600
2011-08-26,0.3426,0.3491,0.3339,0.3368,0.3368,12739200
2011-08-29,0.3381,0.3439,0.3367,0.3439,0.3439,22272000
2011-08-30,0.3401,0.3539,0.3401,0.3495,0.3495,16329600
2011-08-31,0.3521,0.3651,0.3521,0.3637,0.3637,31302400
2011-09-01,0.3889,0.3961,0.3766,0.3954,0.3954,47180800
2011-09-02,0.3903,0.407,0.3787,0.4019,0.4019,33654400
2011-09-05,0.4024,0.4024,0.385,0.4002,0.4002,17324800
2011-09-06,0.3926,0.4158,0.3854,0.4158,0.4158,19475200
2011-09-08,0.4136,0.4296,0.4057,0.4129,0.4129,21238400
2011-09-09,0.4127,0.4141,0.3895,0.4076,0.4076,13401600
2011-09-12,0.3966,0.4118,0.3929,0.4118,0.4118,14668800
2011-09-13,0.4127,0.42,0.399,0.4033,0.4033,12812800
2011-09-14,0.41,0.4114,0.3853,0.3962,0.3962,26988800
2011-09-15,0.404,0.4091,0.3895,0.396,0.396,12057600
2011-09-16,0.3935,0.4044,0.3877,0.3906,0.3906,30208000
2011-09-19,0.3878,0.3957,0.3849,0.3914,0.3914,10259200
2011-09-20,0.3908,0.3937,0.3821,0.3821,0.3821,14361600
2011-09-21,0.3838,0.3875,0.3686,0.3708,0.3708,18006400
2011-09-22,0.3522,0.3624,0.3356,0.345,0.345,21353600
2011-09-23,0.3432,0.349,0.3309,0.3425,0.3425,24832000
2011-09-26,0.3505,0.3505,0.3396,0.3447,0.3447,15862400
2011-09-27,0.3521,0.3564,0.3441,0.3535,0.3535,13081600
2011-09-28,0.3539,0.3539,0.3445,0.3481,0.3481,11888000
2011-09-29,0.3468,0.3497,0.3439,0.3439,0.3439,15552000
2011-09-30,0.341,0.341,0.3251,0.3323,0.3323,30537600
2011-10-03,0.3299,0.3343,0.3176,0.3176,0.3176,17628800
2011-10-04,0.3145,0.3225,0.3131,0.3167,0.3167,14841600
2011-10-05,0.3226,0.3292,0.3132,0.3241,0.3241,9440000
2011-10-06,0.3312,0.3326,0.3167,0.3283,0.3283,11027200
2011-10-07,0.3279,0.3336,0.3134,0.317,0.317,12972800
2011-10-10,0.3196,0.3283,0.3196,0.3283,0.3283,14236800
2011-10-11,0.3261,0.3326,0.3196,0.3297,0.3297,18096000
2011-10-13,0.3261,0.3391,0.3232,0.3391,0.3391,23372800
2011-10-14,0.337,0.3464,0.3334,0.3464,0.3464,22451200
2011-10-17,0.3454,0.3454,0.3353,0.3382,0.3382,16764800
2011-10-18,0.3338,0.3439,0.3338,0.3396,0.3396,19401600
2011-10-19,0.3459,0.3597,0.343,0.3524,0.3524,29472000
2011-10-20,0.3507,0.3536,0.3464,0.3529,0.3529,18412800
2011-10-21,0.3529,0.3572,0.35,0.3529,0.3529,17545600
2011-10-24,0.3542,0.3585,0.3527,0.3549,0.3549,15728000
2011-10-25,0.3544,0.3573,0.3428,0.3515,0.3515,13856000
2011-10-26,0.3552,0.3566,0.3479,0.3566,0.3566,20105600
2011-10-27,0.3694,0.373,0.3622,0.3665,0.3665,33849600
2011-10-28,0.3677,0.3808,0.3655,0.3793,0.3793,18134400
