Date,Open,High,Low,Close,Adj Close,Volume
2007-07-23,6.4071,6.4505,6.2314,6.4071,6.4071,12174462
2007-07-24,6.3658,6.8412,6.2211,6.6965,6.6965,2582608
2007-07-25,6.6985,6.9238,6.5001,6.5931,6.5931,1908389
2007-07-26,6.4113,6.6655,6.2004,6.6138,6.6138,1670048
2007-07-27,6.5104,6.5931,6.3265,6.5311,6.5311,497593
2007-07-30,6.5104,6.5104,6.2004,6.3864,6.3864,823667
2007-07-31,6.4091,6.4091,6.2211,6.3864,6.3864,1554830
2007-08-01,6.2831,6.3554,6.2025,6.3554,6.3554,930380
2007-08-02,6.3658,6.5518,6.2831,6.5518,6.5518,424829
2007-08-03,6.4484,6.5311,6.4071,6.4071,6.4071,127773
2007-08-06,6.3038,6.3265,6.2232,6.2831,6.2831,544449
2007-08-07,6.2934,6.3038,6.1798,6.2831,6.2831,298011
2007-08-08,6.3348,6.4051,6.3038,6.3348,6.3348,343686
2007-08-09,6.2624,6.2831,6.1281,6.1901,6.1901,985931
2007-08-10,6.0165,6.1488,5.9938,5.9938,5.9938,939582
2007-08-13,6.0144,6.434,6.0144,6.2852,6.2852,492398
2007-08-14,6.2211,6.3926,6.2004,6.2004,6.2004,1263148
2007-08-15,6.0248,6.3142,5.9938,5.9938,5.9938,1916211
2007-08-16,5.6237,5.787,5.2703,5.477,5.477,699038
2007-08-17,5.7643,6.095,5.1712,5.8904,5.8904,445062
2007-08-20,5.9937,6.4071,5.6444,6.4071,6.4071,657008
2007-08-21,6.3037,6.312,6.1797,6.312,6.312,200844
2007-08-22,6.2831,6.5932,6.2418,6.3658,6.3658,710720
2007-08-23,6.2831,6.4071,6.2108,6.3038,6.3038,165546
2007-08-24,6.3038,6.4071,6.3038,6.3658,6.3658,205347
2007-08-27,6.3451,6.5518,6.343,6.4071,6.4071,228530
2007-08-28,6.3658,6.3658,5.9649,6.0558,6.0558,277267
2007-08-29,6.0764,6.1984,5.9318,6.0971,6.0971,236722
2007-08-30,6.1984,6.3824,6.0682,6.1178,6.1178,743781
2007-08-31,6.3554,6.6138,6.2955,6.6138,6.6138,169791
2007-09-03,6.5104,6.6137,6.4071,6.5104,6.5104,42797
2007-09-04,6.5084,6.6138,6.4071,6.4071,6.4071,480438
2007-09-05,6.3658,6.5932,6.2315,6.3038,6.3038,377986
2007-09-06,6.4898,6.4898,6.2521,6.3038,6.3038,34365
2007-09-10,6.1983,6.1983,5.9751,5.9834,5.9834,103293
2007-09-11,5.9958,6.0061,5.6258,5.6837,5.6837,771518
2007-09-12,5.7477,5.8862,5.4997,5.663,5.663,476760
2007-09-13,5.6837,5.8904,5.6217,5.7664,5.7664,540426
2007-09-14,5.787,5.8242,5.6217,5.6837,5.6837,513155
2007-09-17,5.6837,5.6837,5.539,5.663,5.663,102801
2007-09-18,5.663,6.097,5.57,5.787,5.787,472181
2007-09-19,5.8077,6.0143,5.7891,5.9916,5.9916,1238469
2007-09-20,5.9938,6.2625,5.969,6.0992,6.0992,591667
2007-09-21,6.0785,6.3038,6.0475,6.3038,6.3038,1230069
2007-09-24,6.3038,6.3658,6.2211,6.2831,6.2831,90828
2007-09-25,6.2005,6.3451,6.1984,6.3224,6.3224,109068
2007-09-26,6.1984,6.5601,6.1984,6.5518,6.5518,375551
2007-09-27,6.5497,6.9238,6.5146,6.8618,6.8618,568712
2007-09-28,6.7337,6.8825,6.6365,6.8618,6.8618,621143
2007-10-01,6.7191,7.1284,6.7191,7.0271,7.0271,377220
2007-10-02,7.0271,7.0271,6.4608,6.7171,6.7171,449705
2007-10-03,6.7874,6.7874,6.3182,6.3182,6.3182,280132
2007-10-04,6.4278,6.4319,6.0682,6.1591,6.1591,551218
2007-10-05,6.281,6.7171,6.2748,6.7068,6.7068,765638
2007-10-08,6.6469,6.8722,6.4257,6.5828,6.5828,338961
2007-10-09,6.7316,6.8101,6.6324,6.8101,6.8101,248658
2007-10-10,6.8163,6.959,6.6758,6.6758,6.6758,454975
2007-10-11,6.7956,6.7956,6.3058,6.5621,6.5621,912017
2007-10-15,6.5311,6.7171,6.4588,6.6138,6.6138,236700
2007-10-16,6.6923,7.0685,6.6138,7.0685,7.0685,879084
2007-10-17,7.0685,7.6472,7.0685,7.4405,7.4405,942737
2007-10-18,7.2318,7.3992,7.1305,7.1305,7.1305,204831
2007-10-19,7.2338,7.4198,6.9238,7.0891,7.0891,86259
2007-10-22,7.0271,7.2338,6.8556,7.2338,7.2338,140827
2007-10-23,7.2854,7.5438,7.2338,7.2565,7.2565,367583
2007-10-24,7.1718,7.2338,6.9341,6.9651,6.9651,252417
2007-10-25,7.0891,7.2111,6.7378,7.0478,7.0478,235611
2007-10-26,7.0685,7.2338,6.9342,7.1305,7.1305,92935
2007-10-29,7.2131,7.2338,6.8825,7.1098,7.1098,168443
2007-10-30,7.0891,7.2338,7.0643,7.2131,7.2131,285125
2007-10-31,7.2132,7.5335,7.147,7.4405,7.4405,324474
2007-11-01,7.3475,7.6472,7.0581,7.2338,7.2338,175746
2007-11-05,7.1305,7.7485,7.0395,7.4405,7.4405,423537
2007-11-06,7.5645,7.9572,7.4509,7.9469,7.9469,458107
2007-11-07,7.8539,7.9572,7.7919,7.8022,7.8022,305605
2007-11-08,7.8022,7.8332,7.3889,7.6369,7.6369,369649
2007-11-09,7.6472,7.6886,7.2339,7.6059,7.6059,373521
2007-11-12,7.6059,7.7299,7.2339,7.7299,7.7299,463277
2007-11-13,7.6472,8.2032,7.5046,8.0213,8.0213,538519
2007-11-14,8.0606,8.5773,7.9862,8.0399,8.0399,466748
2007-11-16,8.0399,8.3602,7.8539,8.2693,8.2693,538960
2007-11-19,8.2672,8.5256,8.0626,8.1639,8.1639,691274
2007-11-21,8.166,8.2466,7.4819,8.2466,8.2466,232316
2007-11-22,8.1019,8.1019,7.8539,7.9572,7.9572,110282
2007-11-23,8.0192,8.0296,7.5645,7.6472,7.6472,221967
2007-11-26,7.7506,7.8953,7.3476,7.3889,7.3889,280243
2007-11-27,7.2958,7.5128,7.1325,7.4405,7.4405,439791
2007-11-28,7.6513,8.2569,7.6472,8.1432,8.1432,910691
2007-11-29,8.1846,8.8129,8.1226,8.3685,8.3685,1043773
2007-11-30,8.5339,9.1973,8.3872,9.032,9.032,1980093
2007-12-03,8.8873,9.3006,8.8459,8.9906,8.9906,647067
2007-12-04,8.8873,8.9493,8.3499,8.3706,8.3706,600721
2007-12-05,8.5359,8.7632,8.077,8.6392,8.6392,387547
2007-12-06,8.5772,8.7839,8.2672,8.4739,8.4739,390407
2007-12-07,8.6393,8.6393,8.2879,8.3706,8.3706,206167
2007-12-10,8.4739,8.5773,8.0606,8.3706,8.3706,1880376
2007-12-11,8.4099,8.4099,8.1061,8.3086,8.3086,537399
2007-12-12,8.3499,8.3499,7.856,7.8849,7.8849,264898
2007-12-13,7.856,8.0234,7.4529,7.7547,7.7547,440718
2007-12-14,7.8559,8.4098,7.7298,8.2672,8.2672,621013
2007-12-17,8.2631,8.2673,7.734,7.8539,7.8539,411133
2007-12-18,8.1639,8.2052,7.4736,7.6472,7.6472,237199
2007-12-19,7.8022,7.8022,7.2958,7.6451,7.6451,450966
2007-12-20,7.7091,7.829,7.1428,7.3371,7.3371,383571
2007-12-21,7.4406,7.4798,7.238,7.4199,7.4199,330792
2007-12-26,7.4199,7.6865,7.3372,7.5005,7.5005,281030
2007-12-27,7.4219,7.7609,7.3186,7.6472,7.6472,252390
2007-12-28,7.6782,7.8642,7.6472,7.8642,7.8642,286783
2008-01-02,7.8539,8.2156,7.8539,7.9572,7.9572,266259
2008-01-03,7.9572,8.1638,7.8538,7.9365,7.9365,338808
2008-01-04,7.9469,7.9469,7.6059,7.7092,7.7092,273444
2008-01-07,7.7092,7.8229,7.3992,7.4405,7.4405,547801
2008-01-08,7.6679,7.7154,7.4302,7.5005,7.5005,977685
2008-01-09,7.5026,7.5026,7.1305,7.4199,7.4199,426010
2008-01-10,7.5335,7.5335,7.1925,7.1925,7.1925,541413
2008-01-11,7.1925,7.333,7.052,7.1305,7.1305,519575
