Date,Open,High,Low,Close,Adj Close,Volume
2007-07-27,6.436,6.6611,6.1921,6.4333,6.4333,4372471
2007-07-30,6.4923,6.5647,6.3288,6.4065,6.4065,669713
2007-07-31,6.4467,6.6611,6.4091,6.5673,6.5673,2241685
2007-08-01,6.4333,6.5673,6.3931,6.5673,6.5673,888625
2007-08-02,6.5673,6.5673,6.4386,6.5673,6.5673,660257
2007-08-03,6.4868,6.5485,6.2536,6.46,6.46,298517
2007-08-06,6.4038,6.5673,6.2537,6.5673,6.5673,618456
2007-08-07,6.5298,6.8086,6.4896,6.8086,6.8086,823185
2007-08-08,6.7549,7.0471,6.7281,6.9935,6.9935,872593
2007-08-09,6.8192,6.9184,6.7013,6.7817,6.7817,388063
2007-08-10,6.5539,6.9694,6.5539,6.9694,6.9694,181718
2007-08-13,6.9131,6.9157,6.5941,6.7415,6.7415,601713
2007-08-14,6.7013,6.9157,6.3796,6.393,6.393,323311
2007-08-15,6.326,6.4064,5.8971,6.3796,6.3796,2274356
2007-08-16,6.0822,6.0822,5.0984,5.7632,5.7632,1820772
2007-08-17,5.9025,6.1652,5.3691,5.7497,5.7497,1851979
2007-08-20,5.8999,6.0714,5.6827,5.8945,5.8945,90086
2007-08-21,5.9507,5.9856,5.8569,5.8971,5.8971,576385
2007-08-22,5.9776,6.1652,5.9508,6.058,6.058,433363
2007-08-23,6.1251,6.3663,6.1251,6.3663,6.3663,243590
2007-08-24,6.1919,6.5404,6.1651,6.5404,6.5404,382381
2007-08-27,6.5405,6.7013,6.3046,6.7013,6.7013,261798
2007-08-28,6.4681,6.5404,6.3689,6.3796,6.3796,41403
2007-08-29,6.3769,6.46,6.3528,6.3528,6.3528,191965
2007-08-30,6.2992,6.3796,6.192,6.2724,6.2724,151586
2007-08-31,6.3475,6.4306,6.2751,6.3582,6.3582,107467
2007-09-03,6.3153,6.4841,6.2617,6.4359,6.4359,27298
2007-09-04,6.3851,6.5593,6.3851,6.4333,6.4333,112664
2007-09-05,6.4305,6.4305,6.3072,6.3528,6.3528,39250
2007-09-06,6.3529,6.5137,6.3529,6.5137,6.5137,135779
2007-09-10,6.3609,6.4333,6.3395,6.4333,6.4333,94945
2007-09-11,6.326,6.4868,6.326,6.46,6.46,640876
2007-09-12,6.4333,6.5673,6.3663,6.4333,6.4333,244974
2007-09-13,6.4332,6.4332,6.3796,6.393,6.393,15755
2007-09-14,6.326,6.326,6.1786,6.2992,6.2992,138039
2007-09-17,6.2992,6.2992,6.0874,6.0901,6.0901,27897
2007-09-18,6.1116,6.1652,5.924,6.0044,6.0044,171449
2007-09-19,6.1384,6.1384,5.983,6.0312,6.0312,87740
2007-09-20,6.0366,6.0848,5.8168,6.0312,6.0312,184528
2007-09-21,6.0097,6.0311,5.956,6.0177,6.0177,30039
2007-09-24,5.9401,6.0044,5.8757,6.0044,6.0044,53716
2007-09-25,5.9454,5.9481,5.7926,5.7926,5.7926,71759
2007-09-26,5.8462,5.8971,5.7952,5.8703,5.8703,215306
2007-09-27,5.865,5.8972,5.8195,5.8436,5.8436,126316
2007-09-28,5.814,6.1625,5.7685,6.1357,6.1357,379040
2007-10-01,6.1383,6.4332,6.1357,6.4198,6.4198,103530
2007-10-02,6.2644,6.5673,6.259,6.5673,6.5673,164666
2007-10-03,6.4735,6.6477,6.3797,6.4869,6.4869,217174
2007-10-04,6.4868,6.4868,6.2724,6.2992,6.2992,66501
2007-10-05,6.2724,6.5378,6.1196,6.5378,6.5378,260553
2007-10-08,6.4841,6.6745,6.3394,6.6691,6.6691,122492
2007-10-09,6.6691,6.7951,6.4922,6.7951,6.7951,220438
2007-10-10,6.6986,6.7147,6.6075,6.6745,6.6745,35766
2007-10-11,6.5673,6.7013,6.5673,6.6504,6.6504,244353
2007-10-15,6.6477,6.6611,6.4601,6.4681,6.4681,187900
2007-10-16,6.4332,6.4332,6.2778,6.4252,6.4252,69118
2007-10-17,6.4038,6.4279,6.3207,6.4065,6.4065,59564
2007-10-18,6.3126,6.5673,6.3019,6.5673,6.5673,538344
2007-10-19,6.6128,6.645,6.4064,6.645,6.645,237527
2007-10-22,6.6343,6.6343,6.3528,6.5619,6.5619,278641
2007-10-23,6.6718,6.7951,6.4627,6.7951,6.7951,219687
2007-10-24,6.779,6.7817,6.5673,6.7549,6.7549,69879
2007-10-25,6.6236,6.7683,6.5029,6.7683,6.7683,122197
2007-10-26,6.5861,6.8327,6.5861,6.8327,6.8327,170980
2007-10-29,6.7014,6.9158,6.6076,6.8086,6.8086,97782
2007-10-30,6.7281,6.8085,6.5673,6.5673,6.5673,69904
2007-10-31,6.5672,6.8862,6.5672,6.8862,6.8862,114433
2007-11-01,6.7013,6.9694,6.6611,6.9694,6.9694,70864
2007-11-05,6.7818,7.0632,6.7684,6.9694,6.9694,229118
2007-11-06,6.9452,7.4197,6.9425,7.3044,7.3044,301519
2007-11-07,7.2374,7.4974,7.2133,7.4974,7.4974,192931
2007-11-08,7.4251,7.4519,6.9774,7.157,7.157,289759
2007-11-09,7.1034,7.1034,6.7818,6.9694,6.9694,128469
2007-11-12,6.9667,7.157,6.7094,7.157,7.157,163590
2007-11-13,7.1007,7.2107,6.889,6.956,6.956,161770
2007-11-14,7.0203,7.0364,6.6048,6.6048,6.6048,101127
2007-11-16,6.6048,6.7173,6.3528,6.3528,6.3528,415876
2007-11-19,6.4842,6.4842,5.9776,6.0848,6.0848,130941
2007-11-21,6.0902,6.0902,5.3611,5.3611,5.3611,195965
2007-11-22,5.4415,5.7631,5.4415,5.6827,5.6827,336033
2007-11-23,5.6827,5.7631,5.6291,5.6961,5.6961,295718
2007-11-26,5.8114,5.8998,5.7095,5.7095,5.7095,371158
2007-11-27,5.7068,5.9266,5.7068,5.8703,5.8703,270457
2007-11-28,5.9293,6.2992,5.9293,6.1652,6.1652,140450
2007-11-29,6.1921,6.3529,6.0607,6.3261,6.3261,52715
2007-11-30,6.3261,6.5405,6.3261,6.5298,6.5298,34264
2007-12-03,6.4601,6.5137,6.4333,6.4333,6.4333,37954
2007-12-04,6.3824,6.4333,6.3046,6.4333,6.4333,26225
