Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,6.1105,6.2672,6.1105,6.1489,6.1489,89942
2005-01-04,6.1498,6.1576,5.7189,5.7189,5.7189,254453
2005-01-05,5.7196,5.758,5.6013,5.7384,5.7384,1106772
2005-01-06,5.8755,5.8755,5.7384,5.8199,5.8199,599831
2005-01-07,5.8192,5.8756,5.6413,5.7189,5.7189,315316
2005-01-10,5.7306,5.7306,5.5778,5.6013,5.6013,413489
2005-01-11,5.6797,5.6797,5.4055,5.4055,5.4055,318991
2005-01-12,5.4525,5.4838,5.3428,5.4055,5.4055,1517952
2005-01-13,5.523,5.523,5.4055,5.4094,5.4094,673480
2005-01-14,5.4094,5.4439,5.3859,5.4055,5.4055,1261024
2005-01-17,5.4055,5.4486,5.3506,5.4133,5.4133,78854
2005-01-18,5.4446,5.4446,5.2292,5.3271,5.3271,955711
2005-01-19,5.3271,5.382,5.2292,5.248,5.248,2930127
2005-01-20,5.2097,5.2097,5.006,5.006,5.006,2008459
2005-01-21,5.0138,5.1156,4.9746,5.0827,5.0827,882623
2005-01-24,5.0921,5.0929,4.9824,5.0921,5.0921,678979
2005-01-26,5.0921,5.0921,5.0145,5.0216,5.0216,937924
2005-01-27,5.0529,5.0843,5.0216,5.0216,5.0216,528364
2005-01-28,5.0294,5.0294,4.8806,4.8978,4.8978,2231919
2005-01-31,4.8571,5.0921,4.8179,5.013,5.013,6507361
2005-02-01,5.0137,5.3271,5.0137,5.1712,5.1712,4125286
2005-02-02,5.2488,5.4447,5.2488,5.4055,5.4055,1559115
2005-02-03,5.4063,5.4447,5.3741,5.3859,5.3859,473957
2005-02-04,5.3662,5.4054,5.3427,5.3584,5.3584,101885
2005-02-09,5.3843,5.476,5.335,5.3624,5.3624,203427
2005-02-10,5.382,5.4055,5.3742,5.4055,5.4055,103774
2005-02-11,5.3272,5.4055,5.3037,5.4055,5.4055,678379
2005-02-14,5.4055,5.4055,5.3663,5.3671,5.3671,380914
2005-02-15,5.4368,5.4368,5.3663,5.4055,5.4055,555019
2005-02-16,5.4212,5.4212,5.2496,5.2496,5.2496,581266
2005-02-17,5.288,5.2888,5.1862,5.2332,5.2332,924845
2005-02-18,5.2488,5.2919,5.1861,5.2253,5.2253,878145
2005-02-21,5.2096,5.2096,5.1626,5.1869,5.1869,411141
2005-02-22,5.1939,5.483,5.1939,5.3349,5.3349,880518
2005-02-23,5.4055,5.7228,5.4055,5.7189,5.7189,1201679
2005-02-24,5.6577,6.0165,5.6577,5.9147,5.9147,1037602
2005-02-25,5.9539,5.9562,5.8207,5.939,5.939,682590
2005-02-28,5.939,5.9774,5.8756,5.9735,5.9735,1171311
2005-03-01,5.9382,6.2672,5.9382,6.1654,6.1654,695873
2005-03-02,6.1497,6.2046,6.109,6.1889,6.1889,856785
2005-03-03,6.0721,6.1497,6.0721,6.1497,6.1497,400232
2005-03-04,6.1888,6.4238,6.181,6.3455,6.3455,630646
2005-03-07,6.3573,6.5336,6.2476,6.2594,6.2594,563900
2005-03-08,6.2476,6.2476,6.0995,6.0995,6.0995,112782
2005-03-09,6.0878,6.0878,6.0486,6.087,6.087,213800
2005-03-10,6.0713,6.0713,5.6404,5.7971,5.7971,600992
2005-03-11,5.7972,5.9931,5.7972,5.9539,5.9539,189366
2005-03-14,5.9147,5.9147,5.852,5.8677,5.8677,152273
2005-03-15,5.8049,5.8754,5.6647,5.801,5.801,652477
2005-03-16,5.8128,5.8363,5.7971,5.7971,5.7971,1331916
2005-03-17,5.7972,5.7972,5.7188,5.7204,5.7204,475731
2005-03-18,5.7972,5.7972,5.5629,5.5645,5.5645,121050
2005-03-21,5.6405,5.6452,5.2488,5.3271,5.3271,815508
2005-03-22,5.3428,5.6421,5.3271,5.523,5.523,1668223
2005-03-23,5.4917,5.5638,5.4251,5.4251,5.4251,914599
2005-03-24,5.4839,5.5935,5.4682,5.5152,5.5152,1044709
2005-03-28,5.519,5.519,5.3898,5.4211,5.4211,233552
2005-03-29,5.4219,5.5997,5.3976,5.4133,5.4133,216812
2005-03-30,5.4838,5.5622,5.4713,5.4713,5.4713,99410
2005-03-31,5.4846,5.6875,5.4846,5.6875,5.6875,637204
2005-04-01,5.7345,5.8011,5.7031,5.7987,5.7987,1556971
2005-04-04,5.7979,5.8074,5.7972,5.805,5.805,114671
2005-04-05,5.805,6.1889,5.805,5.9523,5.9523,465893
2005-04-06,5.9538,5.9538,5.805,5.8755,5.8755,208339
2005-04-07,5.8755,5.8755,5.6405,5.711,5.711,481396
2005-04-08,5.6013,5.6405,5.6013,5.6013,5.6013,736423
2005-04-11,5.4838,5.6796,5.4838,5.6013,5.6013,1540052
2005-04-12,5.6405,6.0322,5.5935,5.9382,5.9382,797057
2005-04-13,5.993,6.0321,5.7266,5.7979,5.7979,499476
2005-04-14,5.801,5.801,5.4845,5.5613,5.5613,194520
2005-04-15,5.4916,5.5621,5.1704,5.5621,5.5621,597113
2005-04-18,5.5543,5.6013,5.4838,5.5386,5.5386,162213
2005-04-19,5.5386,5.8355,5.5229,5.7971,5.7971,437783
2005-04-20,5.8364,5.9539,5.6554,5.6554,5.6554,94804
2005-04-22,5.6796,5.6796,5.5621,5.5778,5.5778,363267
2005-04-25,5.566,5.6404,5.5621,5.5621,5.5621,1101388
2005-04-26,5.5622,5.5622,5.4838,5.4862,5.4862,127749
2005-04-27,5.4071,5.7189,5.4055,5.7189,5.7189,30112
2005-04-28,5.6405,5.8802,5.6405,5.8755,5.8755,446715
2005-04-29,5.8755,6.0401,5.7267,5.9531,5.9531,1467041
2005-05-02,5.9539,5.9758,5.8755,5.9249,5.9249,402630
2005-05-03,5.9303,5.9993,5.8755,5.9656,5.9656,330066
2005-05-04,5.9538,5.9538,5.8755,5.8755,5.8755,278734
2005-05-05,5.9225,5.9539,5.6851,5.758,5.758,326596
2005-05-06,5.7971,5.8128,5.6874,5.7971,5.7971,1281056
2005-05-09,5.7188,5.8355,5.7188,5.8128,5.8128,3012185
2005-05-10,5.7972,5.8129,5.7267,5.7267,5.7267,386311
2005-05-11,5.758,5.8003,5.758,5.8003,5.8003,271716
2005-05-12,5.8003,5.957,5.8003,5.9233,5.9233,350711
2005-05-13,6.0291,6.1028,5.9586,6.0166,6.0166,323648
2005-05-16,5.993,5.993,5.7423,5.8755,5.8755,156535
2005-05-17,5.7658,5.7972,5.7188,5.758,5.758,462269
2005-05-18,5.8363,5.8363,5.7893,5.7893,5.7893,300987
2005-05-19,5.7345,5.7972,5.7188,5.7196,5.7196,174105
2005-05-20,5.7188,5.7188,5.5073,5.5621,5.5621,515962
2005-05-23,5.5621,5.5621,5.4838,5.4838,5.4838,155757
2005-05-24,5.4838,5.5653,5.3592,5.4838,5.4838,1470601
2005-05-25,5.5778,5.718,5.4877,5.5621,5.5621,610141
2005-05-27,5.5622,5.6797,5.5309,5.6797,5.6797,140279
2005-05-30,5.7462,6.0948,5.718,6.0321,6.0321,364645
2005-05-31,5.9538,6.4317,5.9538,6.4317,6.4317,2743339
2005-06-01,6.3455,6.6581,6.228,6.5414,6.5414,2585476
2005-06-02,6.5657,6.5806,6.3463,6.3612,6.3612,1359184
2005-06-03,6.4239,6.4239,6.1505,6.2672,6.2672,299009
2005-06-06,6.2672,6.2672,6.1106,6.1889,6.1889,856185
2005-06-07,6.0087,6.2665,5.9531,5.9531,5.9531,915990
2005-06-08,6.0322,6.2672,6.0322,6.2672,6.2672,783085
2005-06-09,6.2656,6.4239,6.1497,6.2202,6.2202,682794
2005-06-10,6.2673,6.384,6.1505,6.2657,6.2657,886630
2005-06-13,6.1967,6.2664,6.0321,6.0674,6.0674,227555
2005-06-14,6.1105,6.228,5.8755,6.0298,6.0298,2205251
2005-06-15,6.0321,6.1104,5.9929,6.0321,6.0321,1957573
2005-06-16,6.1105,6.2672,5.993,6.0557,6.0557,423288
2005-06-17,6.0557,6.2672,6.0557,6.2594,6.2594,831087
2005-06-20,6.1889,6.3448,6.0847,6.2672,6.2672,257107
2005-06-21,6.3064,6.3064,6.0714,6.1889,6.1889,294059
2005-06-22,6.1888,6.1888,6.0588,6.0909,6.0909,430217
2005-06-23,6.0925,6.0949,5.7972,5.8755,5.8755,390994
2005-06-24,5.9531,5.9539,5.7204,5.7204,5.7204,606453
2005-06-27,5.7972,5.8786,5.7227,5.852,5.852,417062
2005-06-28,5.8755,6.1105,5.8755,5.9382,5.9382,449994
2005-06-29,5.9538,6.0322,5.8363,5.8371,5.8371,498864
2005-06-30,5.8755,6.0322,5.7345,5.8669,5.8669,460942
2005-07-01,5.7972,5.9523,5.758,5.9147,5.9147,1747384
2005-07-04,5.9531,5.9852,5.9147,5.9852,5.9852,14979
2005-07-05,5.9539,6.0322,5.7228,5.7228,5.7228,660363
2005-07-06,5.7972,5.7972,5.6405,5.6797,5.6797,1304088
2005-07-07,5.664,5.7188,5.4838,5.6405,5.6405,818442
2005-07-08,5.7188,5.7971,5.6013,5.7971,5.7971,3385711
2005-07-11,5.8748,5.9907,5.8207,5.9539,5.9539,2343744
2005-07-12,6.0323,6.0362,5.9884,5.9931,5.9931,1096667
2005-07-13,6.0321,6.0399,5.9929,6.0321,6.0321,701653
2005-07-14,6.0322,6.0322,5.798,5.9531,5.9531,1010654
2005-07-15,5.7979,5.9538,5.7971,5.7995,5.7995,403600
2005-07-18,5.9147,6.1027,5.9068,6.0314,6.0314,610600
2005-07-19,6.0307,6.1012,5.9147,5.9539,5.9539,634052
2005-07-20,5.9538,6.188,5.9538,6.1379,6.1379,686341
2005-07-21,6.1261,6.5014,6.1261,6.3455,6.3455,2672293
2005-07-22,6.2673,6.5015,6.1889,6.5015,6.5015,1446638
2005-07-25,6.4239,6.4239,5.9946,6.1497,6.1497,1645217
2005-07-26,6.1497,6.3393,6.1262,6.2672,6.2672,307214
2005-07-27,6.2672,6.814,6.2664,6.814,6.814,2212333
2005-07-28,6.6596,6.7364,6.2476,6.322,6.322,3237201
2005-07-29,6.4215,6.5806,6.2672,6.2672,6.2672,1677665
2005-08-01,6.2673,6.3072,6.1153,6.2085,6.2085,1619532
2005-08-02,6.2085,6.3221,6.0126,6.1889,6.1889,1029793
2005-08-03,6.3064,6.3181,5.993,6.0557,6.0557,1240187
2005-08-04,6.0564,6.1731,5.9554,6.0713,6.0713,951053
2005-08-05,6.181,6.1889,6.0322,6.1027,6.1027,766944
2005-08-08,6.1889,6.1889,6.1129,6.1497,6.1497,361570
