Date,Open,High,Low,Close,Adj Close,Volume
2005-06-15,28081.3903,33402.3296,28081.3903,33402.3296,33402.3296,100
2006-02-17,32923.0094,32923.0094,32923.0094,32923.0094,32923.0094,19
2006-04-28,33901.0495,33901.0495,33901.0495,33901.0495,33901.0495,18000
2006-05-24,33891.3663,33891.3663,33891.3663,33891.3663,33891.3663,10000
2006-06-28,33891.3662,33891.3662,32923.0415,32923.0415,32923.0415,114013
2006-07-07,33891.3663,33891.3663,33891.3663,33891.3663,33891.3663,10000
2006-07-24,43090.4514,43090.4514,43090.4514,43090.4514,43090.4514,33000
2006-11-21,43090.4514,43090.4514,43090.4514,43090.4514,43090.4514,10123
2006-11-27,43090.4514,43090.4514,43090.4514,43090.4514,43090.4514,50000
2006-12-06,37285.3445,37285.3445,37285.3445,37285.3445,37285.3445,30000
2006-12-19,37280.5029,37280.5029,37280.5029,37280.5029,37280.5029,28000
2007-01-16,36312.1781,48411.3959,36312.1781,48411.3959,48411.3959,31870
2007-03-22,43574.6138,43574.6138,43574.6138,43574.6138,43574.6138,13802
2007-04-17,43090.4514,43090.4514,43090.4514,43090.4514,43090.4514,11000
2007-04-19,38732.9901,38732.9901,38732.9901,38732.9901,38732.9901,33000
2007-04-24,38732.9901,38732.9901,38732.9901,38732.9901,38732.9901,10010
2007-05-30,39217.1633,39217.1633,39217.1633,39217.1633,39217.1633,12345
2007-06-04,39701.3258,39701.3258,39701.3258,39701.3258,39701.3258,10000
2007-08-07,38733.0008,38733.0008,38733.0008,38733.0008,38733.0008,10150
2007-08-16,38733.0008,38733.0008,38733.0008,38733.0008,38733.0008,20000
2007-09-11,38.733,38.733,38.733,38.733,38.733,101
2007-09-25,38.2392,38.2392,38.2392,38.2392,38.2392,101
2007-11-07,37.7647,37.7647,37.7647,37.7647,37.7647,100
2007-11-16,41.5315,41.5315,41.5315,41.5315,41.5315,1
2007-11-19,43.5746,43.5746,43.5746,43.5746,43.5746,4
2007-11-21,38.4328,38.4328,38.4328,38.4328,38.4328,2
2007-12-28,43.5746,43.5746,43.5746,43.5746,43.5746,1
2008-01-21,37.7647,37.7647,37.7647,37.7647,37.7647,1
2008-02-13,37.7647,37.7647,37.7647,37.7647,37.7647,1
2008-02-14,37.7744,37.7744,37.7744,37.7744,37.7744,1
2008-03-27,30.2214,30.2214,30.2214,30.2214,30.2214,2
2008-03-28,30.2215,30.2215,29.0498,29.0498,29.0498,2
2008-03-31,30.2214,30.2214,30.2214,30.2214,30.2214,8
2008-05-06,36.823,36.823,36.823,36.823,36.823,1
2008-05-07,36.823,36.823,36.823,36.823,36.823,11
2008-05-08,30.3596,30.3596,30.3596,30.3596,30.3596,3
2008-08-01,32.9469,32.9469,32.9469,32.9469,32.9469,201
2009-03-26,30.1368,30.1368,30.1368,30.1368,30.1368,100
2009-04-02,31.5031,31.5031,31.5031,31.5031,31.5031,100
2009-04-03,31.5031,31.5031,31.5031,31.5031,31.5031,100
2009-11-10,58.1894,58.1894,58.1894,58.1894,58.1894,100
2010-03-08,72.7348,72.7348,72.7348,72.7348,72.7348,100
2015-06-30,72.2509,72.2509,72.2509,72.2509,72.2509,100
2015-07-29,71.8362,71.8362,71.8362,71.8362,71.8362,100
2015-10-08,54.3588,54.3588,54.3588,54.3588,54.3588,100
2016-02-17,54.239,54.239,54.239,54.239,54.239,100
2016-03-17,54.239,54.239,54.239,54.239,54.239,100
2016-03-24,39.6566,39.6566,39.6566,39.6566,39.6566,100
2016-05-10,46.2268,46.2268,46.2268,46.2268,46.2268,200
2017-01-03,45.2337,45.2337,45.2337,45.2337,45.2337,300
2017-01-31,45.2337,45.2337,45.2337,45.2337,45.2337,100
2017-02-01,108.1674,108.1674,108.1674,108.1674,108.1674,100
2017-03-29,83.5839,83.5839,83.5839,83.5839,83.5839,100
2017-04-28,71.2922,71.2922,71.2922,71.2922,71.2922,100
2017-05-05,126.5559,126.5559,126.5559,126.5559,126.5559,100
2017-05-09,127.8342,127.8342,127.8342,127.8342,127.8342,100
2017-05-19,83.5938,83.5938,83.5938,83.5938,83.5938,100
2017-07-27,83.5741,83.5741,83.5741,83.5741,83.5741,100
2018-02-06,74.7613,74.7613,74.7613,74.7613,74.7613,500
2018-02-07,88.5448,88.5448,88.5448,88.5448,88.5448,300
2018-10-23,83.7649,83.7649,83.7649,83.7649,83.7649,500
2019-01-28,92.666,92.666,92.666,92.666,92.666,100
2019-02-11,80.8474,80.8474,80.8474,80.8474,80.8474,300
2019-02-12,92.1633,92.1633,92.1633,92.1633,92.1633,100
2019-07-10,89.8047,89.8047,89.8047,89.8047,89.8047,300
2019-07-12,90.7916,93.2588,90.7916,93.2588,93.2588,400
2019-08-01,93.7522,93.7522,93.7522,93.7522,93.7522,600
2019-08-05,94.7391,94.7391,94.7391,94.7391,94.7391,200
2019-08-06,94.7391,94.7391,94.7391,94.7391,94.7391,100
2019-08-07,98.6865,98.6865,98.6865,98.6865,98.6865,100
2019-09-30,88.8179,88.8179,88.8179,88.8179,88.8179,100
2019-10-03,88.808,88.808,88.808,88.808,88.808,100
