Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,8.0122,8.0657,7.7601,7.7609,7.7609,3781800
2005-01-04,7.8261,7.8763,7.6621,7.6687,7.6687,4741740
2005-01-05,7.6868,7.7593,7.5632,7.639,7.639,3891044
2005-01-06,7.6802,7.7033,7.5715,7.6621,7.6621,3562220
2005-01-07,7.6778,7.7692,7.6218,7.6959,7.6959,3287780
2005-01-10,7.7445,7.7816,7.5599,7.5962,7.5962,4371772
2005-01-11,7.6208,7.7428,7.5632,7.6785,7.6785,3505560
2005-01-12,7.6876,7.7428,7.4865,7.6373,7.6373,4316344
2005-01-13,7.686,7.7281,7.6127,7.7124,7.7124,6828472
2005-01-14,7.7115,7.7692,7.6374,7.7527,7.7527,5579620
2005-01-17,7.7445,7.8063,7.7025,7.7033,7.7033,4478376
2005-01-18,7.6267,7.667,7.5641,7.6209,7.6209,3450812
2005-01-19,7.6415,7.6827,7.597,7.6662,7.6662,5545300
2005-01-20,7.6209,7.6209,7.4685,7.4932,7.4932,3721256
2005-01-21,7.522,7.5879,7.4404,7.5055,7.5055,3261032
2005-01-24,7.4981,7.6563,7.4973,7.6036,7.6036,1813824
2005-01-26,7.6868,7.7848,7.6868,7.7609,7.7609,4390140
2005-01-27,7.7346,7.8186,7.6662,7.7445,7.7445,4934652
2005-01-28,7.728,7.7362,7.6044,7.6456,7.6456,3492244
2005-01-31,7.7074,7.7692,7.6539,7.7692,7.7692,2548972
2005-02-01,7.728,7.7585,7.6868,7.728,7.728,4989100
2005-02-02,7.7444,7.868,7.728,7.8433,7.8433,3972756
2005-02-03,7.8516,7.9257,7.7898,7.9257,7.9257,3994852
2005-02-04,7.6538,8.0657,7.6093,8.0163,8.0163,10927664
2005-02-09,8.4036,8.5272,8.2397,8.3715,8.3715,8740416
2005-02-10,8.2553,8.346,8.2018,8.3336,8.3336,3950924
2005-02-11,8.3212,8.5577,8.3212,8.4687,8.4687,6408996
2005-02-14,8.4126,8.4448,8.364,8.3912,8.3912,3779508
2005-02-15,8.2742,8.3789,8.247,8.3253,8.3253,5546488
2005-02-16,8.35,8.4496,8.2676,8.4447,8.4447,11416556
2005-02-17,8.4909,8.6037,8.4612,8.4612,8.4612,7082732
2005-02-18,8.4859,8.4942,8.3714,8.4612,8.4612,3596072
2005-02-21,8.4818,8.5848,8.4694,8.5683,8.5683,5215764
2005-02-22,8.6012,8.799,8.5436,8.6342,8.6342,5743244
2005-02-23,8.7331,8.8229,8.6919,8.8155,8.8155,5972288
2005-02-24,8.9383,9.1269,8.9383,9.1121,9.1121,6277608
2005-02-25,9.0866,9.3593,9.0462,9.314,9.314,6528796
2005-02-28,9.2274,9.3469,8.9078,9.164,9.164,6528848
2005-03-01,9.0149,9.0157,8.7257,8.7875,8.7875,7288212
2005-03-02,8.7792,9.0709,8.7075,9.0379,9.0379,6036888
2005-03-03,9.1772,9.3592,9.1615,9.351,9.351,7308900
2005-03-04,9.4021,9.5487,9.4021,9.4993,9.4993,4266304
2005-03-07,9.6147,9.6311,9.3675,9.5364,9.5364,3331216
2005-03-08,9.454,9.454,9.3675,9.4252,9.4252,3937196
2005-03-09,9.3444,9.5446,9.2274,9.2604,9.2604,3632740
2005-03-10,9.2686,9.3263,8.9555,9.0132,9.0132,4910816
2005-03-11,9.0948,9.145,8.8319,8.8649,8.8649,4349440
2005-03-14,8.8814,8.9259,8.6507,8.799,8.799,5326352
2005-03-15,8.8402,8.8896,8.5601,8.5683,8.5683,5967448
2005-03-16,8.4654,8.7661,8.4036,8.7496,8.7496,6295636
2005-03-17,8.6013,8.8724,8.6013,8.8394,8.8394,4338832
2005-03-18,8.8394,8.8633,8.6178,8.7331,8.7331,3865132
2005-03-21,8.7364,8.7578,8.6466,8.7084,8.7084,6147872
2005-03-22,8.7339,8.7743,8.4036,8.4703,8.4703,6325460
2005-03-23,8.5024,8.5107,8.3212,8.3459,8.3459,6216316
2005-03-24,8.4868,8.5354,8.355,8.453,8.453,2807416
2005-03-28,8.4201,8.4522,8.3006,8.3006,8.3006,2527508
2005-03-29,8.3542,8.4654,8.1235,8.1729,8.1729,3977068
2005-03-30,8.214,8.3788,8.1415,8.3541,8.3541,4329448
2005-03-31,8.4357,8.5519,8.3624,8.4983,8.4983,4164256
2005-04-01,8.6537,8.7244,8.533,8.6495,8.6495,5093352
2005-04-04,8.6578,8.8043,8.5746,8.6495,8.6495,3855912
2005-04-05,8.6578,8.7577,8.4081,8.4339,8.4339,3670264
2005-04-06,8.4913,8.5737,8.3248,8.4247,8.4247,4477544
2005-04-07,8.5488,8.5488,8.2915,8.4447,8.4447,4209356
2005-04-08,8.4913,8.4913,8.2998,8.3248,8.3248,2548228
2005-04-11,8.324,8.4289,8.2857,8.3665,8.3665,2802960
2005-04-12,8.3664,8.3781,8.2008,8.3248,8.3248,4467484
2005-04-13,8.408,8.4247,8.1583,8.1583,8.1583,6805100
2005-04-14,8.1575,8.3415,7.8919,7.9394,7.9394,4701748
2005-04-15,7.827,7.9927,7.7837,7.8087,7.8087,3697820
2005-04-18,7.9087,7.9087,7.6756,7.733,7.733,4867352
2005-04-19,7.8253,7.991,7.7762,7.991,7.991,4507012
2005-04-20,7.9919,8.0593,7.8878,7.8878,7.8878,2790536
2005-04-22,7.9335,8.0659,7.7454,7.7504,7.7504,1989000
2005-04-25,7.7588,8.041,7.7588,7.9827,7.9827,2826208
2005-04-26,7.9544,8.1084,7.9253,8.0668,8.0668,3663096
2005-04-27,8.0085,8.0668,7.842,7.842,7.842,3712372
2005-04-28,7.8153,7.8153,7.6006,7.6505,7.6505,4095596
2005-04-29,7.7921,7.867,7.6422,7.867,7.867,3549892
2005-05-02,7.8661,7.8661,7.6422,7.842,7.842,2397144
2005-05-03,7.842,7.8753,7.7047,7.8104,7.8104,2864128
2005-05-04,7.8254,7.9728,7.8254,7.9278,7.9278,3430996
2005-05-05,7.9919,8.0751,7.9419,8.0751,8.0751,3976808
2005-05-06,8.1175,8.3082,8.1167,8.2191,8.2191,3663520
2005-05-09,8.2416,8.2608,8.1584,8.2333,8.2333,2043968
2005-05-10,8.2416,8.2424,8.0501,8.0501,8.0501,3159800
2005-05-11,8.0843,8.1359,7.9677,8.0668,8.0668,3568940
2005-05-12,8.0917,8.1583,7.8587,7.9086,7.9086,4970708
2005-05-13,7.907,7.9169,7.6597,7.7005,7.7005,5213056
2005-05-16,7.7671,7.8087,7.6839,7.8054,7.8054,5110308
2005-05-17,7.8054,8.0335,7.7438,8.0044,8.0044,3150972
2005-05-18,8.0709,8.1583,8.0085,8.0834,8.0834,4296916
2005-05-19,8.0335,8.1592,7.9877,8.1592,8.1592,2514448
2005-05-20,8.1584,8.2333,8.1251,8.175,8.175,2028480
2005-05-23,8.1751,8.1751,8.0044,8.0044,8.0044,1746060
2005-05-24,7.9669,8.1583,7.9261,8.15,8.15,2082744
2005-05-25,8.1626,8.2541,8.1417,8.2125,8.2125,2958420
2005-05-27,8.2724,8.4064,8.2665,8.3914,8.3914,2559464
2005-05-30,8.329,8.483,8.329,8.4331,8.4331,1853444
2005-05-31,8.4415,8.4614,8.3507,8.3707,8.3707,5253448
2005-06-01,8.3914,8.6328,8.3914,8.6245,8.6245,4406248
2005-06-02,8.6237,8.7161,8.5954,8.6662,8.6662,4582932
2005-06-03,8.6662,8.6745,8.5163,8.6562,8.6562,2833676
2005-06-06,8.5122,8.5996,8.4181,8.5621,8.5621,4760456
2005-06-07,8.483,8.483,8.334,8.3415,8.3415,5462144
2005-06-08,8.4497,8.4747,8.3173,8.3498,8.3498,5200152
2005-06-09,8.3165,8.4638,8.2332,8.4247,8.4247,4123492
2005-06-10,8.4248,8.5496,8.4248,8.4664,8.4664,2477236
2005-06-13,8.4913,8.5504,8.4089,8.4214,8.4214,2462336
2005-06-14,8.4081,8.5896,8.4031,8.5746,8.5746,6101332
2005-06-15,8.548,8.6579,8.4506,8.6537,8.6537,4796704
2005-06-16,8.6995,8.8102,8.617,8.7827,8.7827,4944440
2005-06-17,8.9075,8.9658,8.8284,8.9658,8.9658,6190748
2005-06-20,8.9825,9.1406,8.9575,9.099,9.099,8700864
2005-06-21,9.1157,9.124,9.0241,9.0649,9.0649,4935868
2005-06-22,9.0865,9.1573,8.9742,9.1573,9.1573,4309560
2005-06-23,9.1241,9.199,8.9901,9.0067,9.0067,6429968
2005-06-24,8.9909,9.0824,8.8069,8.866,8.866,5240208
2005-06-27,8.7685,9.2381,8.7685,9.2239,9.2239,5256028
2005-06-28,9.2239,9.2322,9.0824,9.1157,9.1157,4455368
2005-06-29,9.1149,9.1781,9.0075,9.0416,9.0416,2766232
2005-06-30,9.074,9.1281,8.9325,8.9325,8.9325,3006944
2005-07-01,9.0688,9.2104,8.9593,9.1782,9.1782,2908972
2005-07-04,9.1026,9.1781,9.0534,9.1705,9.1705,1183208
2005-07-05,9.162,9.3911,9.1196,9.2723,9.2723,5514612
2005-07-06,9.213,9.3657,9.213,9.2393,9.2393,5061920
2005-07-07,9.0772,9.2045,9.0102,9.0433,9.0433,6111588
2005-07-08,9.0814,9.2723,9.0814,9.2053,9.2053,4890356
2005-07-11,9.179,9.2316,9.1281,9.1612,9.1612,5678192
2005-07-12,9.2044,9.347,9.1697,9.3317,9.3317,5373496
2005-07-13,9.3164,9.408,9.2808,9.3164,9.3164,3739908
2005-07-14,9.3732,9.3732,9.0475,9.162,9.162,5298812
2005-07-15,9.1112,9.1112,8.8906,8.8906,8.8906,3600532
2005-07-18,8.8609,8.9245,8.7888,8.8312,8.8312,4764404
2005-07-19,8.8244,8.8821,8.7548,8.8651,8.8651,3646696
2005-07-20,8.8057,8.9754,8.7887,8.9075,8.9075,3968296
2005-07-21,8.95,9.056,8.8694,9.0221,9.0221,2588048
2005-07-22,9.0221,9.1663,8.9271,9.1536,9.1536,5194880
2005-07-25,8.9923,9.0348,8.882,8.9584,8.9584,9940360
2005-07-26,8.8652,9.0349,8.8397,8.9882,8.9882,2991748
2005-07-27,8.9923,9.218,8.9923,9.218,9.218,3899100
2005-07-28,9.2468,9.4326,9.1959,9.3656,9.3656,4836228
2005-07-29,9.3402,9.4149,9.213,9.2452,9.2452,3021832
2005-08-01,9.2384,9.4929,9.1875,9.4369,9.4369,5199408
2005-08-02,9.4632,9.6541,9.4632,9.6473,9.6473,4115736
2005-08-03,9.6812,9.8399,9.6795,9.705,9.705,5115432
2005-08-04,9.6287,9.7211,9.5786,9.6032,9.6032,3221908
2005-08-05,9.671,9.7381,9.6218,9.688,9.688,3126136
2005-08-08,9.6999,9.9043,9.6999,9.8704,9.8704,3313976
2005-08-09,9.9179,10.0316,9.8831,10.0282,10.0282,4506032
2005-08-10,10.0953,10.1716,10.0104,10.0783,10.0783,5078456
2005-08-11,10.1622,10.3489,10.0689,10.197,10.197,5828724
2005-08-12,9.968,10.3837,9.8917,10.3837,10.3837,6834220
2005-08-15,10.5058,10.5194,10.1936,10.4337,10.4337,8595072
2005-08-16,10.3913,10.477,10.2292,10.2479,10.2479,3946232
2005-08-17,10.2641,10.3328,10.0189,10.0189,10.0189,7492212
2005-08-18,10.0316,10.208,9.9764,10.0231,10.0231,4412812
2005-08-19,10.0443,10.1996,9.8407,10.1631,10.1631,7722464
2005-08-22,10.2479,10.4464,10.1979,10.3667,10.3667,4443872
2005-08-23,10.3413,10.4261,10.1911,10.2064,10.2064,2850228
2005-08-24,10.1715,10.4939,10.1121,10.4939,10.4939,4895348
2005-08-25,10.5491,10.6212,10.4524,10.5364,10.5364,4792072
2005-08-26,10.5194,10.5533,10.2819,10.3336,10.3336,3278256
2005-08-29,10.5279,10.5873,10.4515,10.5618,10.5618,3108632
2005-08-30,10.5805,10.7697,10.5788,10.7697,10.7697,4613072
2005-08-31,10.7697,11.0284,10.7697,11.0284,11.0284,7125144
2005-09-01,11.0318,11.1675,10.93,10.9605,10.9605,5044081
2005-09-02,11.0352,11.0624,10.8011,10.8927,10.8927,5953426
2005-09-05,10.93,11.0963,10.8485,11.025,11.025,2386109
2005-09-06,11.0419,11.1403,10.9775,11.1064,11.1064,5317228
2005-09-08,11.0793,11.1472,11.0284,11.0997,11.0997,2960422
2005-09-09,11.1472,11.5272,11.1404,11.4865,11.4865,4819710
2005-09-12,11.6731,11.7071,11.5035,11.5374,11.5374,5071403
2005-09-13,11.5713,11.6392,11.4186,11.4186,11.4186,2661765
2005-09-14,11.422,11.6053,11.422,11.5985,11.5985,3221656
2005-09-15,11.7037,11.7749,11.6358,11.646,11.646,4421978
2005-09-16,11.6833,11.8394,11.5713,11.7987,11.7987,3799937
2005-09-19,11.7444,12.1007,11.6731,12.0973,12.0973,5475880
2005-09-20,12.1007,12.1482,11.9955,12.1041,12.1041,3875205
2005-09-21,12.0769,12.5588,12.0159,12.5588,12.5588,5733550
