Date,Open,High,Low,Close,Adj Close,Volume
2010-10-25,24.1,24.4,22.1008,23.34,23.34,596700
2010-10-26,22.8002,23.4,22.5,22.5,22.5,144000
2010-10-27,22.5,23.2,22.2024,22.7,22.7,73700
2010-10-28,22.71,22.71,22.1,22.5,22.5,58000
2010-10-29,22.6,22.9,22.4,22.74,22.74,16500
2010-11-01,22.84,23.7798,22.84,23.5,23.5,18200
2010-11-03,23.76,24.2,23.4034,23.9,23.9,40200
2010-11-04,23.9,24.1998,23.8004,23.96,23.96,27700
2010-11-05,23.9596,24.44,23.9596,24.4,24.4,110200
2010-11-08,24.4,24.4,24.0,24.0,24.0,19200
2010-11-09,24.0002,24.6,23.6,23.6,23.6,30000
2010-11-10,24.2,24.2,23.2204,23.7,23.7,9300
2010-11-11,23.2,23.84,23.2,23.6,23.6,21700
2010-11-12,23.5998,23.6998,23.3122,23.4,23.4,6900
2010-11-16,23.0,23.2,22.2,22.241,22.241,24900
2010-11-17,22.241,22.7398,22.2402,22.6,22.6,20500
2010-11-18,22.9,24.08,22.9,24.0002,24.0002,26000
2010-11-19,23.5,24.1,23.5,24.0,24.0,29100
2010-11-22,24.0402,24.0402,23.8,24.02,24.02,16300
2010-11-23,24.0,24.4,23.9,24.2,24.2,20800
2010-11-24,24.6,27.0,24.6,27.0,27.0,21100
2010-11-25,27.6,27.6,26.6,27.0,27.0,11700
2010-11-26,26.62,28.7,26.62,27.8,27.8,29000
2010-11-29,27.8,28.36,27.42,27.7,27.7,21300
2010-11-30,27.2,28.0,26.6504,27.08,27.08,10200
2010-12-01,27.0802,27.9998,27.0002,27.9998,27.9998,19800
2010-12-02,28.0,29.946,27.8,29.6,29.6,31600
2010-12-03,29.98,31.7998,29.302,31.232,31.232,52900
2010-12-06,31.1002,32.6,31.1002,32.4996,32.4996,110700
2010-12-07,32.5,33.9798,32.0,32.0,32.0,29700
2010-12-08,32.5,33.3598,32.2002,32.8,32.8,40200
2010-12-09,33.1,33.1,31.6,32.0,32.0,60600
2010-12-10,32.3,32.3,30.42,30.6,30.6,41800
2010-12-13,30.7002,31.2,30.6408,31.2,31.2,22000
2010-12-14,31.0996,31.0996,30.64,30.8,30.8,29800
2010-12-15,30.6,31.0,30.4044,30.935,30.935,31400
2010-12-16,31.0002,31.14,30.92,31.1,31.1,14600
2010-12-17,31.1,33.0,31.1,33.0,33.0,24300
2010-12-20,33.0002,33.0002,32.2,32.2,32.2,16400
2010-12-21,32.1,32.4,31.6002,31.9996,31.9996,6200
2010-12-22,32.0,32.4,31.4,31.501,31.501,16500
2010-12-23,32.2,32.2,31.8,31.8,31.8,1600
2010-12-27,31.6002,32.6,31.6,32.2,32.2,4300
2010-12-28,32.7,32.7,32.2,32.2,32.2,800
2010-12-29,32.59,32.6,31.7402,31.7402,31.7402,1700
2010-12-30,32.0,32.2,31.6,31.8,31.8,2000
2011-01-03,31.8002,33.1,31.6,32.8,32.8,15600
2011-01-04,33.0,33.8,32.9,33.6,33.6,5600
2011-01-05,33.5994,33.6,32.42,32.42,32.42,8600
2011-01-06,32.4,32.4,30.9,31.5,31.5,13000
2011-01-07,32.0,32.0,31.0,31.6,31.6,12700
2011-01-10,31.8792,32.7,31.6,32.7,32.7,22000
2011-01-11,33.1958,33.3998,32.4,33.1,33.1,33100
2011-01-12,33.1004,34.74,33.1004,34.0,34.0,49300
2011-01-13,34.2,36.0,34.2,35.62,35.62,58200
2011-01-14,36.0,36.5456,35.1048,35.7,35.7,19000
2011-01-17,36.2,36.4,35.4,36.26,36.26,7200
2011-01-18,36.3,36.4,35.8,36.0,36.0,16200
2011-01-19,35.8202,35.8202,34.601,35.3,35.3,9900
2011-01-20,35.4,35.4,34.6,34.6,34.6,28300
2011-01-21,34.6,34.6,34.2,34.2,34.2,8300
2011-01-24,34.0,36.0,34.0,35.6,35.6,11600
2011-01-26,36.0,36.4998,35.3008,35.8998,35.8998,24800
2011-01-27,35.9998,36.4,35.7002,36.2,36.2,21800
2011-01-28,36.3998,36.6826,35.6004,36.5,36.5,60900
2011-01-31,36.5,36.6002,36.04,36.36,36.36,49700
2011-02-01,36.4002,37.2,36.3004,36.9,36.9,36500
2011-02-02,36.9,37.5998,36.8002,37.0,37.0,15300
2011-02-03,36.9998,37.0002,36.1,36.6,36.6,15800
2011-02-04,36.5598,37.4,36.5598,36.8198,36.8198,21900
2011-02-07,36.8002,37.3998,35.68,36.5,36.5,10900
2011-02-08,36.8,36.8,34.4998,34.4998,34.4998,39100
2011-02-09,34.8,35.5998,33.0002,33.3,33.3,29700
2011-02-10,34.0,34.0,32.4002,33.3,33.3,26700
2011-02-11,34.0,35.5,34.0,34.6,34.6,70000
2011-02-14,34.6,36.1998,34.6,35.88,35.88,48000
2011-02-15,35.8002,35.9602,35.055,35.6,35.6,56500
2011-02-16,36.0,36.0,35.2,35.8,35.8,33300
2011-02-17,35.8998,37.3998,35.8798,36.6,36.6,36300
2011-02-18,37.6,38.8576,36.8004,38.3,38.3,41300
2011-02-21,38.1002,39.3998,38.1,39.1988,39.1988,16500
2011-02-22,39.2,39.7996,38.6004,38.8998,38.8998,28000
2011-02-23,39.2,39.2,36.7202,38.0,38.0,24100
2011-02-24,38.0,38.0,36.0,36.7998,36.7998,81100
2011-02-25,35.0,36.0,34.1002,36.0,36.0,150900
2011-02-28,35.9992,37.4998,35.82,37.4998,37.4998,465300
2011-03-01,36.9996,37.7498,36.6,37.0996,37.0996,47800
2011-03-02,37.0996,38.3722,36.6,38.04,38.04,83200
2011-03-03,38.4,38.4994,37.4,37.8,37.8,53400
2011-03-04,38.0,39.9998,38.0,39.5602,39.5602,36300
2011-03-09,39.5,41.3998,39.5,40.54,40.54,17500
2011-03-10,40.54,41.0,39.6,40.5994,40.5994,17800
2011-03-11,39.6,40.5798,39.0,40.5598,40.5598,21600
2011-03-14,40.74,41.9,40.6002,41.5,41.5,12100
2011-03-15,40.68,41.2002,39.76,40.9998,40.9998,24700
2011-03-16,41.0998,42.8,40.7,42.44,42.44,28600
2011-03-17,42.6,44.0,41.7002,43.4,43.4,54000
2011-03-18,43.4,44.4,41.0002,42.0,42.0,29000
2011-03-21,42.8002,42.8002,39.72,39.72,39.72,32200
2011-03-22,40.1002,41.9978,39.0002,41.2,41.2,31300
2011-03-23,41.6,42.3198,41.0,41.2,41.2,23200
2011-03-24,41.16,41.16,40.1598,40.1598,40.1598,20500
2011-03-25,40.16,40.7,39.8,39.8,39.8,12200
2011-03-28,39.9998,40.1,38.8,38.9002,38.9002,11000
2011-03-29,40.06,40.06,35.7012,36.3,36.3,62400
2011-03-30,36.4,36.4,33.22,33.8,33.8,104800
2011-03-31,33.8,34.3998,33.8,34.02,34.02,31900
2011-04-01,34.0002,34.9394,34.0,34.8,34.8,30700
2011-04-04,34.6,35.2856,34.26,34.6,34.6,54200
2011-04-05,34.0002,34.9998,33.7,34.2,34.2,40100
2011-04-06,34.4,35.9796,34.3202,35.8,35.8,52300
2011-04-07,36.0,36.4804,35.5002,36.0,36.0,39300
2011-04-08,35.98,36.4998,35.98,36.2,36.2,22800
2011-04-11,36.1,36.6,35.9958,36.0,36.0,20200
2011-04-12,36.0002,36.3996,34.9998,35.2,35.2,33100
2011-04-13,35.4,35.7,35.0,35.0,35.0,26300
