Date,Open,High,Low,Close,Adj Close,Volume
2011-06-29,7.5133,8.656,7.439,8.5989,8.5989,10092400
2011-06-30,8.6732,8.6732,8.3418,8.5132,8.5132,807400
2011-07-01,8.2846,8.6846,8.2389,8.5703,8.5703,351100
2011-07-04,8.4618,8.5075,8.3418,8.4275,8.4275,358600
2011-07-05,8.3132,8.5703,8.3132,8.5075,8.5075,206200
2011-07-06,8.5818,8.5818,8.3132,8.3418,8.3418,473300
2011-07-07,8.3132,8.5075,8.2846,8.4789,8.4789,4600
2011-07-08,8.3475,8.4275,8.2275,8.4275,8.4275,72500
2011-07-11,8.3361,8.3418,8.1419,8.279,8.279,967900
2011-07-12,8.0561,8.1875,7.8847,7.8847,7.8847,491600
2011-07-13,7.999,8.0676,7.9533,7.959,7.959,57300
2011-07-14,7.9418,7.9704,7.8847,7.9704,7.9704,607800
2011-07-15,7.9418,8.0561,7.8676,8.0561,8.0561,63400
2011-07-18,7.999,7.999,7.8105,7.9876,7.9876,49200
2011-07-19,7.719,7.9933,7.719,7.9704,7.9704,125100
2011-07-20,7.8276,7.9876,7.7076,7.8562,7.8562,638700
2011-07-21,7.8504,8.2275,7.8504,8.2275,8.2275,17100
2011-07-22,8.2275,8.4275,8.2275,8.4275,8.4275,313600
2011-07-25,8.4218,8.4218,8.2218,8.3989,8.3989,471100
2011-07-26,8.3418,8.4275,8.1075,8.4275,8.4275,11900
2011-07-27,8.4161,8.4847,8.3818,8.4561,8.4561,1200500
2011-07-28,8.3361,8.4275,8.1247,8.3989,8.3989,997800
2011-07-29,8.5361,8.5704,8.2847,8.2847,8.2847,326000
2011-08-01,8.2904,8.2961,8.039,8.2847,8.2847,14900
2011-08-02,8.0447,8.5475,8.0047,8.4218,8.4218,985800
2011-08-03,8.2275,8.2275,7.999,8.2275,8.2275,22100
2011-08-04,8.2847,8.3075,7.9933,7.999,7.999,737500
2011-08-05,8.0047,8.0047,7.4333,7.4333,7.4333,977200
2011-08-08,7.3134,7.4277,6.742,6.8563,6.8563,365100
2011-08-09,6.8563,7.9419,6.742,7.9419,7.9419,865900
2011-08-10,8.1075,8.1075,7.2562,7.6276,7.6276,2200
2011-08-11,7.9933,7.9933,7.799,7.799,7.799,36600
2011-08-12,7.7133,7.799,7.5133,7.799,7.799,44200
2011-08-15,7.8276,7.9418,7.719,7.719,7.719,50900
2011-08-16,7.9533,7.9647,7.8276,7.8276,7.8276,960900
2011-08-17,7.8276,7.9418,7.7133,7.7133,7.7133,85300
2011-08-18,7.4505,7.5133,7.3705,7.3762,7.3762,5600
2011-08-19,7.422,7.422,7.062,7.062,7.062,209300
2011-08-22,7.0677,7.1991,7.0334,7.142,7.142,94900
2011-08-23,7.142,7.1991,7.142,7.142,7.142,34200
2011-08-24,7.1419,7.1819,7.1419,7.1819,7.1819,127300
2011-08-25,7.1991,7.1991,6.9706,7.1991,7.1991,9500
2011-08-26,7.142,7.2848,7.142,7.2848,7.2848,24600
2011-08-29,7.3362,7.599,7.3362,7.599,7.599,55300
2011-08-30,7.7819,7.999,7.7705,7.999,7.999,23100
2011-08-31,8.2275,8.3932,7.999,8.2275,8.2275,185100
2011-09-01,8.3418,8.5703,8.2846,8.5703,8.5703,223200
2011-09-02,8.5132,8.5132,8.4561,8.4561,8.4561,13700
2011-09-05,8.5704,8.5704,8.0047,8.2847,8.2847,117100
2011-09-06,8.2847,8.2847,8.1704,8.1704,8.1704,278600
2011-09-08,8.1076,8.6561,8.1076,8.6275,8.6275,203700
2011-09-09,8.5703,9.1417,8.496,8.5703,8.5703,231200
2011-09-12,8.5532,8.6274,8.3418,8.5703,8.5703,161700
2011-09-13,8.6789,9.0217,8.6275,9.0217,9.0217,125500
2011-09-14,8.9931,9.0217,8.7703,8.9417,8.9417,580100
2011-09-15,9.1302,9.136,8.7989,9.0274,9.0274,187400
2011-09-16,9.2846,9.7131,9.0389,9.7131,9.7131,1101200
2011-09-19,9.456,9.5988,9.1703,9.256,9.256,418100
2011-09-20,9.2845,9.2845,9.0389,9.1417,9.1417,126500
2011-09-21,9.1417,9.2788,8.9703,8.9703,8.9703,86100
2011-09-22,8.9132,9.0274,8.1133,8.3418,8.3418,141700
2011-09-23,8.336,8.7588,8.0789,8.5703,8.5703,210900
2011-09-26,8.5703,8.856,8.4217,8.5703,8.5703,88500
2011-09-27,9.1417,9.1417,8.3018,8.3418,8.3418,213800
2011-09-28,8.5646,8.5646,8.2047,8.3875,8.3875,13300
2011-09-29,8.4504,8.4504,7.9933,7.999,7.999,372100
2011-09-30,8.2275,8.2561,7.999,7.999,7.999,25900
2011-10-03,8.0104,8.3989,7.999,7.999,7.999,159300
2011-10-04,7.999,8.2275,7.999,8.2275,8.2275,134300
2011-10-05,8.199,8.2847,7.999,7.999,7.999,217200
2011-10-06,8.0904,8.1418,7.7133,7.7133,7.7133,151600
2011-10-07,7.7133,7.999,7.6048,7.999,7.999,43500
2011-10-10,7.8333,8.1818,7.8333,8.0504,8.0504,7500
2011-10-11,8.0561,8.2675,7.8847,7.8847,7.8847,53100
2011-10-13,7.8275,7.9704,7.7704,7.7704,7.7704,32300
2011-10-14,7.8504,7.8504,7.719,7.719,7.719,49800
2011-10-17,7.519,7.8275,7.519,7.7704,7.7704,100700
2011-10-18,7.8333,7.879,7.7133,7.8276,7.8276,60000
2011-10-19,7.8276,8.0561,7.8048,7.9933,7.9933,143100
2011-10-20,7.999,8.1418,7.9418,7.9704,7.9704,76100
2011-10-21,8.1246,8.5703,7.9989,8.5703,8.5703,189700
2011-10-24,8.3475,8.4275,8.2275,8.2275,8.2275,60300
2011-10-25,8.3875,8.3875,8.119,8.2847,8.2847,21900
2011-10-26,8.3933,8.3933,8.0047,8.159,8.159,24500
2011-10-27,8.3132,8.3989,8.0675,8.3989,8.3989,206500
2011-10-28,8.4503,9.0274,8.3703,9.0274,9.0274,118800
2011-10-31,8.5761,8.976,8.5761,8.9703,8.9703,163300
2011-11-01,8.9703,8.9703,8.7474,8.7703,8.7703,180800
2011-11-03,8.9703,9.0046,8.7246,8.7246,8.7246,223500
2011-11-04,8.7931,8.8388,8.3246,8.3989,8.3989,158100
2011-11-07,8.2675,8.4275,8.1418,8.1647,8.1647,55200
2011-11-08,8.3989,8.4218,8.239,8.4218,8.4218,34900
2011-11-09,8.5075,8.5075,8.3989,8.4789,8.4789,2400
2011-11-10,8.6961,8.6961,8.4561,8.5304,8.5304,1100
2011-11-11,8.7703,8.8275,8.4561,8.7132,8.7132,10900
2011-11-14,8.8503,8.8503,8.3989,8.3989,8.3989,16200
