Date,Open,High,Low,Close,Adj Close,Volume
2005-02-11,0.0233,0.0233,0.0233,0.0233,0.0233,0
2005-03-08,0.0234,0.0234,0.0234,0.0234,0.0234,0
2005-03-23,0.0211,0.0211,0.0211,0.0211,0.0211,1
2005-03-24,0.021,0.021,0.021,0.021,0.021,2
2005-04-15,0.0199,0.0199,0.0199,0.0199,0.0199,0
2005-06-16,0.0182,0.0182,0.0182,0.0182,0.0182,7
2005-06-23,0.0175,0.0175,0.0175,0.0175,0.0175,0
2005-07-08,0.0206,0.0206,0.0206,0.0206,0.0206,0
2005-08-23,0.0226,0.0226,0.0226,0.0226,0.0226,0
2005-09-06,0.0227,0.0227,0.0227,0.0227,0.0227,0
2005-09-30,0.0226,0.0226,0.0226,0.0226,0.0226,0
2005-10-04,0.0241,0.0241,0.0241,0.0241,0.0241,0
2005-12-06,0.0277,0.0277,0.0277,0.0277,0.0277,0
2006-03-29,0.0325,0.0325,0.0325,0.0325,0.0325,958
2006-11-06,0.0809,0.0809,0.0809,0.0809,0.0809,100
2006-11-08,0.0958,0.0958,0.0958,0.0958,0.0958,300
2006-11-09,0.1106,0.1106,0.1106,0.1106,0.1106,1400
2006-11-13,0.1347,0.1347,0.1347,0.1347,0.1347,100
2006-11-14,0.1483,0.1618,0.1483,0.1618,0.1618,200
2006-11-16,0.1752,0.1887,0.1752,0.1887,0.1887,228
2006-11-17,0.1941,0.1941,0.1941,0.1941,0.1941,100
2006-11-24,0.2022,0.2022,0.2022,0.2022,0.2022,125
2006-12-01,0.2156,0.2426,0.2156,0.2426,0.2426,600
2006-12-28,0.2696,0.2696,0.2696,0.2696,0.2696,350
2007-01-03,0.2775,0.2775,0.2775,0.2775,0.2775,100
2007-01-23,0.3053,0.3053,0.3053,0.3053,0.3053,366
2007-02-06,0.3607,0.3607,0.3607,0.3607,0.3607,100
2007-02-12,0.4163,0.4163,0.4163,0.4163,0.4163,320
2007-02-14,0.5411,0.5411,0.5411,0.5411,0.5411,330
2007-02-23,0.555,0.555,0.555,0.555,0.555,206
2007-02-28,0.555,0.555,0.555,0.555,0.555,100
2007-03-05,0.6105,0.6105,0.6105,0.6105,0.6105,100
2007-03-22,0.6105,0.6105,0.6105,0.6105,0.6105,100
2007-04-10,0.4873,0.4873,0.4873,0.4873,0.4873,806
2007-04-13,0.4734,0.4734,0.4734,0.4734,0.4734,100
2007-04-17,0.5012,0.5012,0.5012,0.5012,0.5012,128
2007-05-04,0.5012,0.529,0.5012,0.529,0.529,449
2007-05-11,0.529,0.529,0.529,0.529,0.529,230
2007-05-17,0.6961,0.6961,0.6961,0.6961,0.6961,107
2007-06-01,0.8354,0.9746,0.8354,0.9746,0.9746,765
2007-06-04,1.1138,1.1138,1.1138,1.1138,1.1138,123
2007-06-11,1.1138,1.1138,1.1138,1.1138,1.1138,112
2007-06-13,1.1138,1.1138,1.1138,1.1138,1.1138,105
2007-06-14,1.2808,1.2864,0.9751,0.9751,0.9751,33212
2007-06-15,0.9913,0.9918,0.7797,0.8515,0.8515,21719
2007-06-18,0.891,0.9467,0.891,0.9467,0.9467,572
2007-06-19,0.9407,0.9407,0.8911,0.8911,0.8911,1300
2007-06-20,0.8632,0.8632,0.8632,0.8632,0.8632,100
2007-06-21,0.8905,0.8905,0.8243,0.8354,0.8354,1036
2007-06-22,0.8911,0.8911,0.8465,0.8465,0.8465,1980
2007-06-27,0.891,0.9077,0.8743,0.9066,0.9066,2500
2007-06-28,0.9078,0.9356,0.8855,0.8855,0.8855,9271
2007-06-29,0.891,0.9373,0.8883,0.9356,0.9356,305418
2007-07-02,0.9357,1.0666,0.9184,1.0415,1.0415,1915595
2007-07-03,1.0025,1.008,0.9752,0.9802,0.9802,4498925
2007-07-04,0.9785,0.9835,0.9278,0.9718,0.9718,591041
2007-07-05,0.9729,0.9802,0.9468,0.9774,0.9774,1349968
2007-07-06,0.9635,1.0303,0.9635,0.9969,0.9969,1161941
2007-07-10,0.9941,1.012,0.9747,1.0025,1.0025,397425
2007-07-11,0.9997,1.008,0.9885,0.9969,0.9969,550220
2007-07-12,0.997,1.002,0.9886,0.9964,0.9964,460010
2007-07-13,0.9886,1.0109,0.9886,1.0025,1.0025,342741
2007-07-16,1.0025,1.0025,0.9913,0.9969,0.9969,310687
2007-07-17,0.9774,1.008,0.9723,1.0052,1.0052,241245
2007-07-18,0.9802,1.0053,0.9802,1.0025,1.0025,169904
2007-07-19,1.0025,1.0247,0.9807,1.0225,1.0225,76891
2007-07-20,1.0024,1.003,0.9723,0.9857,0.9857,274961
2007-07-23,0.9746,0.9969,0.9746,0.9913,0.9913,367962
2007-07-24,0.9886,1.0025,0.9468,0.9802,0.9802,303361
2007-07-25,0.9907,0.9913,0.9022,0.9857,0.9857,215484
2007-07-26,0.9189,0.9857,0.9133,0.9857,0.9857,262466
2007-07-27,0.9362,0.9913,0.9362,0.9852,0.9852,178579
2007-07-30,0.9852,0.9852,0.9473,0.969,0.969,23752
2007-07-31,0.9479,0.9802,0.9479,0.9551,0.9551,33110
