Date,Open,High,Low,Close,Adj Close,Volume
2005-05-23,0.7557,0.7676,0.7361,0.7551,0.7551,29450409
2005-05-24,0.7486,0.7585,0.7355,0.7545,0.7545,5771934
2005-05-25,0.7551,0.7551,0.7485,0.7551,0.7551,766813
2005-05-27,0.7551,0.7551,0.7518,0.7551,0.7551,3262081
2005-05-30,0.7485,0.7551,0.7452,0.7551,0.7551,197954
2005-05-31,0.7538,0.7538,0.7256,0.7256,0.7256,3788223
2005-06-01,0.7223,0.7551,0.7216,0.7551,0.7551,2531733
2005-06-02,0.7551,0.761,0.7551,0.7551,0.7551,2303564
2005-06-03,0.7552,0.7604,0.7552,0.7604,0.7604,947056
2005-06-06,0.742,0.7551,0.7387,0.7538,0.7538,217750
2005-06-07,0.7426,0.7531,0.7394,0.7479,0.7479,161489
2005-06-08,0.7512,0.7715,0.7512,0.7617,0.7617,792860
2005-06-09,0.767,0.767,0.746,0.7486,0.7486,610533
2005-06-10,0.765,0.765,0.7552,0.765,0.765,886627
2005-06-13,0.7649,0.7649,0.7584,0.7643,0.7643,113563
2005-06-14,0.765,0.7683,0.7565,0.7683,0.7683,5075968
2005-06-15,0.7617,0.767,0.7558,0.7617,0.7617,287555
2005-06-16,0.7683,0.7683,0.7618,0.7624,0.7624,106270
2005-06-17,0.7696,0.7729,0.7617,0.7663,0.7663,2744273
2005-06-20,0.7649,0.7649,0.7643,0.7643,0.7643,1114796
2005-06-21,0.7617,0.7683,0.7617,0.7683,0.7683,433416
2005-06-22,0.7715,0.784,0.7715,0.784,0.784,441751
2005-06-23,0.7828,0.7887,0.7749,0.7847,0.7847,790776
2005-06-24,0.7749,0.788,0.7689,0.7814,0.7814,713678
2005-06-27,0.7814,0.788,0.7814,0.788,0.788,1531542
2005-06-28,0.7932,0.8011,0.788,0.7972,0.7972,3842400
2005-06-29,0.8076,0.8076,0.7932,0.7945,0.7945,1764920
2005-06-30,0.7749,0.8274,0.7749,0.8274,0.8274,758478
2005-07-01,0.8269,0.8636,0.8135,0.8569,0.8569,2313983
2005-07-04,0.8535,0.8602,0.8528,0.8602,0.8602,229210
2005-07-05,0.8602,0.8602,0.8322,0.8602,0.8602,823074
2005-07-06,0.8402,0.8568,0.8402,0.8535,0.8535,120856
2005-07-07,0.8468,0.8562,0.8455,0.8455,0.8455,1359634
2005-07-08,0.8569,0.8569,0.8476,0.8529,0.8529,4127871
2005-07-11,0.8616,0.8869,0.8616,0.8836,0.8836,5149941
2005-07-12,0.8869,0.9329,0.8843,0.9236,0.9236,6661687
2005-07-13,0.9263,0.9336,0.907,0.9136,0.9136,3143308
2005-07-14,0.9268,0.9268,0.9102,0.9182,0.9182,675129
2005-07-15,0.917,0.917,0.9049,0.9136,0.9136,1110629
2005-07-18,0.9143,0.9536,0.9129,0.9396,0.9396,3125596
2005-07-19,0.9415,0.9735,0.9342,0.9702,0.9702,2935977
2005-07-20,0.9802,0.9802,0.9602,0.9662,0.9662,1966000
2005-07-21,0.9829,0.9829,0.9422,0.9669,0.9669,3758008
2005-07-22,0.9602,0.9602,0.9436,0.9469,0.9469,131275
2005-07-25,0.9202,0.9403,0.9103,0.9269,0.9269,1722203
2005-07-26,0.9069,0.9269,0.9069,0.9202,0.9202,1760753
2005-07-27,0.9269,0.9269,0.9135,0.9169,0.9169,1158554
2005-07-28,0.9282,0.9282,0.9142,0.9202,0.9202,636580
2005-07-29,0.9135,0.9202,0.9102,0.9202,0.9202,2301481
2005-08-01,0.9102,0.9202,0.9069,0.9202,0.9202,1271076
2005-08-02,0.9322,0.9669,0.9322,0.9669,0.9669,1932660
2005-08-03,0.9835,1.0002,0.9669,0.9682,0.9682,1793050
2005-08-04,0.9769,0.9769,0.9602,0.9669,0.9669,2484849
2005-08-05,0.9802,0.9869,0.9736,0.9869,0.9869,1550296
2005-08-08,0.9996,1.007,0.9936,1.0003,1.0003,1354425
2005-08-09,1.0335,1.0335,0.9802,0.9902,0.9902,2152494
2005-08-10,0.9936,1.0003,0.9736,0.9736,0.9736,2402542
2005-08-11,0.9602,0.9809,0.9602,0.9776,0.9776,933511
2005-08-12,0.9435,0.9802,0.9402,0.9669,0.9669,2128531
2005-08-15,0.9776,0.9943,0.9703,0.9736,0.9736,331313
2005-08-16,0.9836,1.0009,0.9735,0.9802,0.9802,1939953
2005-08-17,0.9902,1.0236,0.9869,1.0236,1.0236,1720120
2005-08-18,1.0003,1.0536,1.0003,1.0303,1.0303,720971
2005-08-19,1.0336,1.0422,0.9922,1.0329,1.0329,3343346
2005-08-22,1.0503,1.0503,1.0336,1.0463,1.0463,363611
2005-08-23,1.0403,1.0403,1.0277,1.0403,1.0403,278178
2005-08-24,1.0402,1.0402,1.0342,1.0369,1.0369,5633366
2005-08-25,1.0649,1.0649,1.0463,1.0636,1.0636,1533626
2005-08-26,1.0643,1.0643,1.0503,1.0636,1.0636,2080605
2005-08-29,1.0603,1.077,1.0603,1.0703,1.0703,803278
2005-08-30,1.0829,1.0829,1.0569,1.0669,1.0669,1012693
2005-08-31,1.1003,1.1003,1.0803,1.0803,1.0803,6725241
2005-09-01,1.0936,1.0936,1.0869,1.0936,1.0936,754311
2005-09-02,1.1003,1.107,1.0803,1.1003,1.1003,529268
2005-09-05,1.1003,1.1136,1.1003,1.1103,1.1103,19795
2005-09-06,1.1136,1.1136,1.1003,1.1003,1.1003,626161
2005-09-08,1.107,1.107,1.0803,1.0803,1.0803,494886
2005-09-09,1.0896,1.0936,1.0802,1.0869,1.0869,4541491
2005-09-12,1.061,1.087,1.061,1.0803,1.0803,1158554
2005-09-13,1.0802,1.0802,1.0669,1.0769,1.0769,325062
2005-09-14,1.0735,1.0802,1.0729,1.0789,1.0789,832450
2005-09-15,1.0862,1.0936,1.0836,1.0869,1.0869,2917223
2005-09-16,1.0676,1.0836,1.0676,1.0756,1.0756,232336
2005-09-19,1.0602,1.0836,1.0602,1.0836,1.0836,1438816
2005-09-20,1.0803,1.0936,1.0803,1.0936,1.0936,6015731
2005-09-21,1.0936,1.1102,1.0936,1.1069,1.1069,2060810
2005-09-22,1.1136,1.1336,1.0969,1.1336,1.1336,3985135
2005-09-23,1.147,1.147,1.1336,1.1403,1.1403,456337
2005-09-26,1.1503,1.1503,1.1203,1.1289,1.1289,73972
2005-09-27,1.1336,1.1536,1.1336,1.1536,1.1536,1579468
2005-09-28,1.167,1.1803,1.1536,1.1803,1.1803,7277430
2005-09-29,1.1936,1.2529,1.1802,1.2336,1.2336,3448574
2005-09-30,1.2369,1.2369,1.2269,1.2336,1.2336,2373369
2005-10-03,1.2404,1.2837,1.2404,1.2737,1.2737,1546128
2005-10-04,1.2802,1.2836,1.2536,1.2536,1.2536,1957665
2005-10-05,1.247,1.2603,1.233,1.2403,1.2403,598031
2005-10-06,1.2269,1.2396,1.2196,1.2336,1.2336,5822986
2005-10-07,1.2403,1.2836,1.2403,1.2803,1.2803,2257722
2005-10-10,1.2936,1.2936,1.2276,1.2276,1.2276,1678445
2005-10-11,1.247,1.2537,1.217,1.217,1.217,592821
2005-10-13,1.2136,1.2136,1.1936,1.1936,1.1936,255257
2005-10-14,1.2163,1.2163,1.1803,1.2136,1.2136,7145113
2005-10-17,1.2303,1.2703,1.2303,1.2663,1.2663,1985795
2005-10-18,1.267,1.2737,1.247,1.247,1.247,1837851
2005-10-19,1.247,1.2737,1.2404,1.2737,1.2737,3557970
2005-10-20,1.2903,1.2937,1.257,1.267,1.267,7270137
2005-10-21,1.2663,1.2936,1.2663,1.2843,1.2843,141694
2005-10-24,1.287,1.293,1.277,1.277,1.277,6322039
2005-10-25,1.277,1.2937,1.2703,1.2803,1.2803,831409
2005-10-26,1.267,1.2836,1.2597,1.267,1.267,1750334
2005-10-27,1.267,1.267,1.2663,1.267,1.267,3040163
2005-10-28,1.2836,1.2836,1.267,1.267,1.267,2207713
2005-10-31,1.267,1.2937,1.267,1.287,1.287,6609594
2005-11-01,1.2937,1.2937,1.267,1.267,1.267,1949330
2005-11-03,1.287,1.3037,1.2863,1.287,1.287,4831130
2005-11-04,1.287,1.3371,1.287,1.3337,1.3337,1887860
2005-11-07,1.3404,1.3937,1.333,1.3537,1.3537,1573217
2005-11-08,1.3537,1.4337,1.3537,1.4004,1.4004,2692180
2005-11-09,1.4003,1.4337,1.4003,1.415,1.415,2503603
2005-11-10,1.4137,1.497,1.4137,1.4937,1.4937,126066
2005-11-11,1.4937,1.5704,1.4937,1.5204,1.5204,3637152
2005-11-14,1.5004,1.5504,1.5004,1.5004,1.5004,545937
2005-11-16,1.501,1.5336,1.497,1.523,1.523,11661599
2005-11-17,1.5337,1.6004,1.5337,1.5837,1.5837,5147857
2005-11-18,1.5837,1.6004,1.5603,1.5737,1.5737,4724860
2005-11-21,1.5677,1.6337,1.5677,1.6337,1.6337,5254127
2005-11-22,1.6304,1.6304,1.6171,1.6271,1.6271,2024344
