Date,Open,High,Low,Close,Adj Close,Volume
2009-10-07,887.0662,892.3508,853.8484,853.8484,853.8484,84310880
2009-10-08,856.8682,874.232,830.4449,854.9808,854.9808,29871668
2009-10-09,854.2259,868.1925,851.9611,863.2853,863.2853,6285899
2009-10-13,860.643,866.3051,845.1665,860.2655,860.2655,7100574
2009-10-14,864.0402,867.8149,851.5835,854.6033,854.6033,7622228
2009-10-15,851.5835,883.2914,849.3187,883.2914,883.2914,8448587
2009-10-16,876.1194,894.6157,873.4771,885.5563,885.5563,9121143
2009-10-19,885.5563,892.3508,881.4041,886.6887,886.6887,5202844
2009-10-20,861.0204,871.9672,849.3187,860.2655,860.2655,5591447
2009-10-21,855.7357,882.5364,855.7357,875.3644,875.3644,18597292
2009-10-22,865.9275,870.0798,852.3385,862.1528,862.1528,7892147
2009-10-23,867.815,869.3249,848.1863,852.716,852.716,2806329
2009-10-26,862.5303,866.6825,853.4709,863.6627,863.6627,3912420
2009-10-27,861.0204,874.6095,845.9214,849.3187,849.3187,2861187
2009-10-28,850.8286,854.2259,793.075,811.9487,811.9487,7049416
2009-10-29,823.2729,826.6702,797.9821,806.664,806.664,5925322
2009-10-30,812.7036,816.1008,773.8237,792.6974,792.6974,4183810
2009-11-03,774.5787,821.3856,760.6121,821.0081,821.0081,7320487
2009-11-04,817.6108,821.763,804.7767,814.9685,814.9685,5037060
2009-11-05,805.9091,811.9487,795.3398,798.3596,798.3596,3492364
2009-11-06,804.0217,807.419,780.9958,798.3596,798.3596,2494693
2009-11-09,805.909,806.664,785.1479,794.5848,794.5848,2265473
2009-11-10,793.4524,799.8695,784.7705,799.8695,799.8695,1831009
2009-11-11,810.0613,833.4647,809.6838,833.4647,833.4647,3995823
2009-11-12,827.0477,831.9549,812.7037,814.9685,814.9685,2072705
2009-11-13,818.7432,831.5773,804.0217,818.3657,818.3657,1252042
2009-11-16,824.7828,836.862,822.8954,830.4449,830.4449,1164814
2009-11-17,828.935,842.9016,825.1603,842.5241,842.5241,1261130
2009-11-18,836.1071,868.5699,834.2197,856.8682,856.8682,4733183
2009-11-19,849.6961,862.5303,832.7098,838.3719,838.3719,2359152
2009-11-23,838.3719,864.4177,838.3719,854.9808,854.9808,1862520
2009-11-24,849.3187,868.1924,840.2593,868.1924,868.1924,2247843
2009-11-25,864.0402,867.4375,852.716,857.2457,857.2457,1201983
2009-11-26,845.5439,845.9214,827.0476,830.4449,830.4449,585315
2009-11-27,822.8954,865.9276,819.8756,865.5501,865.5501,2656995
2009-11-30,862.1528,883.6688,858.7555,881.404,881.404,5136124
