Date,Open,High,Low,Close,Adj Close,Volume
2007-10-05,3.0664,3.1435,2.9922,3.0268,3.0268,1894549
2007-10-08,2.9862,3.0712,2.9723,3.0297,3.0297,309291
2007-10-09,3.0367,3.0872,3.0347,3.0664,3.0664,491398
2007-10-10,3.0318,3.0664,3.0278,3.0654,3.0654,168962
2007-10-11,3.0377,3.0664,3.0268,3.0644,3.0644,274729
2007-10-15,3.0644,3.0654,3.0288,3.0654,3.0654,133700
2007-10-16,3.0189,3.0447,2.9982,3.0318,3.0318,75231
2007-10-17,3.0278,3.0615,2.9982,3.0219,3.0219,316815
2007-10-18,2.9971,3.0308,2.9744,3.0268,3.0268,232471
2007-10-19,2.9824,3.0318,2.9675,3.0259,3.0259,53037
2007-10-22,2.9674,3.0268,2.9664,3.0159,3.0159,78903
2007-10-23,3.007,3.0169,2.918,3.0159,3.0159,193095
2007-10-24,2.9873,3.0259,2.9675,3.0259,3.0259,101154
2007-10-25,3.0259,3.0259,2.9685,3.0259,3.0259,136667
2007-10-26,2.9931,3.0466,2.9279,2.9971,2.9971,674475
2007-10-29,2.9873,3.0763,2.9596,3.0763,3.0763,441213
2007-10-30,3.0169,3.0664,2.9873,3.0664,3.0664,304946
2007-10-31,3.0565,3.106,3.0367,3.0931,3.0931,270492
2007-11-01,3.0545,3.098,3.0426,3.0822,3.0822,1187909
2007-11-05,3.0653,3.1148,3.0297,3.1148,3.1148,343035
2007-11-06,3.0911,3.1653,3.0911,3.1653,3.1653,79689
2007-11-07,3.1425,3.1652,3.0871,3.1237,3.1237,72062
2007-11-08,3.1604,3.1653,3.0367,3.0763,3.0763,86068
2007-11-09,3.0664,3.098,3.0436,3.0456,3.0456,68868
2007-11-12,2.9921,3.006,2.9704,2.9872,2.9872,60719
2007-11-13,2.9922,3.0466,2.9467,2.9665,2.9665,181180
2007-11-14,2.9674,2.9872,2.9486,2.9674,2.9674,30275
2007-11-16,3.0663,3.1454,3.0436,3.0851,3.0851,141964
2007-11-19,3.0663,3.0663,2.8695,2.9773,2.9773,45290
2007-11-21,2.8596,2.8685,2.7706,2.8576,2.8576,48832
2007-11-22,2.8982,3.0061,2.8666,2.9477,2.9477,42978
2007-11-23,2.9773,3.0119,2.8893,2.9071,2.9071,34203
2007-11-26,2.9071,2.9665,2.7795,2.7894,2.7894,71567
2007-11-27,2.731,2.8171,2.731,2.7696,2.7696,58671
2007-11-28,2.8081,2.8487,2.7992,2.7992,2.7992,89832
2007-11-29,2.8092,2.8576,2.7696,2.7795,2.7795,34938
2007-11-30,2.7795,2.8686,2.5718,2.7637,2.7637,137600
2007-12-03,2.82,2.8883,2.819,2.8487,2.8487,29815
2007-12-04,2.8448,2.9675,2.8448,2.918,2.918,30338
2007-12-05,2.8685,2.9912,2.8685,2.9625,2.9625,391249
2007-12-06,2.9872,2.9971,2.9526,2.9674,2.9674,454582
2007-12-07,2.9675,3.0644,2.919,3.0644,3.0644,40705
2007-12-10,3.0633,3.0673,2.9674,2.9674,2.9674,84271
2007-12-11,2.9675,3.0664,2.9675,3.0466,3.0466,154193
2007-12-12,2.9773,3.0505,2.9684,2.9981,2.9981,183624
2007-12-13,2.9338,3.0169,2.8566,2.9773,2.9773,82434
2007-12-14,2.9783,3.0446,2.9773,3.0436,3.0436,68574
2007-12-17,3.0268,3.0347,2.9873,2.9922,2.9922,134779
2007-12-18,2.9922,3.0664,2.9576,3.0367,3.0367,34765
2007-12-19,2.9526,3.007,2.9526,3.007,3.007,116817
2007-12-20,3.0149,3.0654,2.9971,2.9971,2.9971,122124
2007-12-21,3.0466,3.0466,2.9773,3.0159,3.0159,134487
2007-12-26,2.9684,3.0129,2.9674,3.005,3.005,5282
2007-12-27,3.007,3.011,2.9388,2.9823,2.9823,31096
2007-12-28,3.0159,3.0159,2.9724,2.9912,2.9912,9746
2008-01-02,2.9675,2.9774,2.9279,2.9279,2.9279,109169
2008-01-03,2.928,2.928,2.8538,2.8686,2.8686,233823
2008-01-04,2.8686,2.9576,2.7697,2.83,2.83,111998
2008-01-07,2.8191,2.8883,2.7953,2.8171,2.8171,153411
2008-01-08,2.8191,2.8439,2.7311,2.74,2.74,109395
2008-01-09,2.74,2.8043,2.5234,2.5837,2.5837,100670
2008-01-10,2.5916,2.6678,2.5619,2.6668,2.6668,53276
2008-01-11,2.6559,2.6707,2.6114,2.6707,2.6707,17793
2008-01-14,2.6895,2.6954,2.6064,2.6262,2.6262,19205
2008-01-15,2.5224,2.651,2.3345,2.4235,2.4235,315137
2008-01-16,2.374,2.5016,2.3542,2.374,2.374,136537
2008-01-17,2.3691,2.4334,2.3245,2.374,2.374,356085
2008-01-18,2.4333,2.4729,2.4234,2.4432,2.4432,81846
2008-01-21,2.3444,2.4927,2.3434,2.4235,2.4235,26243
2008-01-22,2.3839,2.6589,2.3839,2.4235,2.4235,331865
2008-01-23,2.3799,2.5214,2.3799,2.5214,2.5214,64220
2008-01-24,2.5717,2.7597,2.5717,2.7102,2.7102,73184
2008-01-28,2.6687,2.7004,2.5916,2.6509,2.6509,9391
2008-01-29,2.6856,2.7499,2.6609,2.6945,2.6945,18145
2008-01-30,2.6904,2.819,2.6024,2.7577,2.7577,24976
2008-01-31,2.7498,2.7686,2.4976,2.7686,2.7686,74660
2008-02-01,2.8448,2.8448,2.6015,2.6015,2.6015,3704
2008-02-06,2.6213,2.6609,2.5788,2.6213,2.6213,23656
2008-02-07,2.6509,2.6509,2.5718,2.5856,2.5856,2385
2008-02-08,2.554,2.554,2.5174,2.5362,2.5362,349541
2008-02-11,2.5361,2.5411,2.4976,2.5223,2.5223,271523
2008-02-12,2.5223,2.6687,2.4729,2.645,2.645,169440
2008-02-13,2.6509,2.7597,2.6509,2.7004,2.7004,46425
2008-02-14,2.7686,2.8487,2.6726,2.7191,2.7191,11477
2008-02-15,2.7182,2.7202,2.6519,2.6905,2.6905,5314
2008-02-18,2.7004,2.7687,2.6955,2.74,2.74,15096
2008-02-19,2.7686,2.7894,2.6024,2.6707,2.6707,84263
2008-02-20,2.6608,2.7201,2.646,2.6697,2.6697,11111
2008-02-21,2.6688,2.6688,2.5718,2.6213,2.6213,122083
2008-02-22,2.6954,2.7973,2.6024,2.7686,2.7686,66637
2008-02-25,2.7597,2.7894,2.6806,2.7696,2.7696,43045
2008-02-26,2.7993,2.8171,2.7152,2.7498,2.7498,147770
2008-02-27,2.7676,2.7676,2.7023,2.7191,2.7191,10279
2008-02-28,2.7795,2.918,2.7676,2.7696,2.7696,114737
2008-02-29,2.7201,2.7587,2.6697,2.6697,2.6697,14703
2008-03-03,2.6707,2.6717,2.642,2.6707,2.6707,13044
2008-03-04,2.6707,2.7548,2.6212,2.6707,2.6707,70041
2008-03-05,2.6687,2.7033,2.6519,2.6707,2.6707,212050
2008-03-06,2.6707,2.6707,2.6489,2.6707,2.6707,5199
2008-03-07,2.6708,2.6708,2.6213,2.6213,2.6213,42309
2008-03-10,2.6213,2.6707,2.6015,2.6203,2.6203,86353
2008-03-11,2.6924,2.6924,2.6123,2.6687,2.6687,37030
2008-03-12,2.6608,2.6667,2.6212,2.6499,2.6499,12404
2008-03-13,2.6202,2.6588,2.5915,2.6588,2.6588,44632
2008-03-14,2.6687,2.6687,2.6411,2.6549,2.6549,23741
2008-03-17,2.6301,2.64,2.5628,2.5915,2.5915,28989
2008-03-18,2.6311,2.6509,2.5569,2.5698,2.5698,123875
2008-03-19,2.5887,2.6015,2.5026,2.5125,2.5125,256087
2008-03-20,2.4719,2.5224,2.4541,2.4729,2.4729,57706
2008-03-24,2.5213,2.5619,2.3848,2.552,2.552,27784
2008-03-25,2.5619,2.5718,2.4491,2.5223,2.5223,24755
2008-03-26,2.4729,2.5718,2.4729,2.4877,2.4877,120931
2008-03-27,2.5213,2.5213,2.4877,2.4966,2.4966,8812
2008-03-28,2.4966,2.5223,2.4442,2.5223,2.5223,16991
2008-03-31,2.8002,2.8002,2.731,2.7914,2.7914,62807
