Date,Open,High,Low,Close,Adj Close,Volume
2006-10-27,2.0004,2.0792,1.9934,2.027,2.027,10430574
2006-10-30,2.005,2.0519,2.005,2.0094,2.0094,1090767
2006-10-31,2.0137,2.0217,1.9916,1.9987,1.9987,1433901
2006-11-01,1.9917,2.0227,1.9917,1.9961,1.9961,341637
2006-11-03,2.0005,2.035,1.9916,2.0279,2.0279,574745
2006-11-06,2.0022,2.0801,2.0013,2.0509,2.0509,569211
2006-11-07,2.0359,2.0615,2.0208,2.0518,2.0518,385461
2006-11-08,2.0058,2.0802,1.9925,2.0359,2.0359,359706
2006-11-09,2.019,2.0359,2.0093,2.027,2.027,426674
2006-11-10,2.0164,2.0315,2.0138,2.0182,2.0182,492395
2006-11-13,2.0138,2.0448,2.0014,2.0359,2.0359,430208
2006-11-14,2.0359,2.0527,2.0129,2.0129,2.0129,87010
2006-11-16,2.0182,2.0448,2.0182,2.0448,2.0448,51268
2006-11-17,2.0227,2.0439,2.0182,2.0439,2.0439,47899
2006-11-21,2.0182,2.0624,2.0182,2.058,2.058,336169
2006-11-22,2.0279,2.0748,2.0279,2.0713,2.0713,138906
2006-11-23,2.0714,2.0979,2.0714,2.0811,2.0811,23646
2006-11-24,2.0802,2.1289,2.0802,2.1289,2.1289,175196
2006-11-27,2.1156,2.1687,2.1156,2.1687,2.1687,866647
2006-11-28,2.1253,2.143,2.12,2.1253,2.1253,379734
2006-11-29,2.1253,2.1421,2.1235,2.1421,2.1421,32842
2006-11-30,2.1422,2.1422,2.1244,2.1333,2.1333,38149
2006-12-01,2.1333,2.1953,2.1333,2.1687,2.1687,97554
2006-12-04,2.1686,2.2129,2.1518,2.1775,2.1775,239280
2006-12-05,2.2218,2.2572,2.1598,2.1952,2.1952,402825
2006-12-06,2.1599,2.1891,2.1599,2.182,2.182,73535
2006-12-07,2.1731,2.1731,2.158,2.1589,2.1589,393267
2006-12-08,2.159,2.1599,2.1554,2.1581,2.1581,44558
2006-12-11,2.1855,2.1864,2.1421,2.1598,2.1598,80916
2006-12-12,2.1554,2.1554,2.1244,2.1244,2.1244,41008
2006-12-13,2.1244,2.1244,2.0801,2.1244,2.1244,176932
2006-12-14,2.1333,2.1687,2.1121,2.1333,2.1333,64562
2006-12-15,2.1687,2.1731,2.1023,2.1253,2.1253,238536
2006-12-18,2.1244,2.1713,2.12,2.1713,2.1713,115769
2006-12-19,2.1253,2.1333,2.0713,2.1244,2.1244,53322
2006-12-20,2.1244,2.1589,2.12,2.1244,2.1244,327549
2006-12-21,2.1245,2.1245,2.1067,2.1156,2.1156,413922
2006-12-22,2.0802,2.1333,2.0625,2.1156,2.1156,8140
2006-12-26,2.1155,2.1288,2.1067,2.1244,2.1244,42727
2006-12-27,2.1244,2.1288,2.1235,2.1244,2.1244,197749
2006-12-28,2.1422,2.1687,2.1244,2.1333,2.1333,147108
2007-01-02,2.1244,2.1333,2.1244,2.1244,2.1244,19290
2007-01-03,2.1244,2.212,2.1244,2.1952,2.1952,512800
2007-01-04,2.1333,2.1696,2.1244,2.1687,2.1687,158903
2007-01-05,2.1687,2.1687,2.1244,2.1244,2.1244,432071
2007-01-08,2.1244,2.1465,2.1244,2.1465,2.1465,20807
2007-01-09,2.1465,2.1687,2.1244,2.1253,2.1253,59305
2007-01-10,2.1244,2.1244,2.1244,2.1244,2.1244,973553
2007-01-11,2.12,2.1687,2.081,2.1598,2.1598,47673
2007-01-12,2.1598,2.1996,2.0934,2.1244,2.1244,55401
2007-01-15,2.1155,2.143,2.1155,2.1244,2.1244,37312
2007-01-16,2.1598,2.1634,2.0802,2.1023,2.1023,437144
2007-01-17,2.1634,2.1634,2.1067,2.1067,2.1067,398009
2007-01-18,2.081,2.081,2.0624,2.0713,2.0713,23707
2007-01-19,2.0864,2.0979,2.0855,2.0979,2.0979,103986
2007-01-22,2.0368,2.1041,2.0324,2.0536,2.0536,205268
2007-01-23,2.0536,2.0882,2.0368,2.0802,2.0802,99395
2007-01-24,2.0801,2.1244,2.0801,2.1244,2.1244,135094
2007-01-26,2.0457,2.1236,2.0457,2.0979,2.0979,29302
2007-01-29,2.0802,2.0811,2.0315,2.0802,2.0802,534443
2007-01-30,2.0802,2.0891,2.0802,2.0802,2.0802,296558
2007-01-31,2.0802,2.1244,2.0359,2.0359,2.0359,59450
2007-02-01,2.0359,2.1244,2.0359,2.1244,2.1244,19114
2007-02-02,2.0713,2.1245,2.0713,2.1156,2.1156,72758
2007-02-05,2.1156,2.1421,2.0801,2.1067,2.1067,42565
2007-02-06,2.0801,2.1244,2.0801,2.1244,2.1244,114574
2007-02-07,2.0545,2.1068,2.0536,2.0979,2.0979,63448
2007-02-08,2.0978,2.1492,2.0978,2.1244,2.1244,153000
2007-02-09,2.1245,2.1422,2.1245,2.1289,2.1289,163547
2007-02-12,2.1155,2.2297,2.1155,2.2129,2.2129,127521
2007-02-13,2.1475,2.1643,2.1244,2.1271,2.1271,343000
2007-02-14,2.1279,2.1518,2.1111,2.1421,2.1421,228653
2007-02-15,2.1422,2.2121,2.1422,2.1696,2.1696,45377
2007-02-16,2.1687,2.2121,2.1687,2.2041,2.2041,33862
2007-02-21,2.2129,2.2483,2.1262,2.2129,2.2129,265483
2007-02-22,2.2041,2.2041,2.1686,2.1775,2.1775,76609
2007-02-23,2.1687,2.1687,2.1509,2.1598,2.1598,45003
2007-02-26,2.151,2.1598,2.1155,2.1421,2.1421,545750
2007-02-27,2.1235,2.1244,2.0359,2.0368,2.0368,78766
2007-02-28,2.0704,2.0713,2.035,2.0713,2.0713,199094
2007-03-01,2.0359,2.0536,1.9456,2.0359,2.0359,467912
2007-03-02,2.0359,2.0359,1.9465,1.9474,1.9474,196548
2007-03-05,1.9474,1.9474,1.8633,1.912,1.912,527001
2007-03-06,1.9474,2.0093,1.9208,1.9509,1.9509,1133421
2007-03-07,1.912,1.9518,1.912,1.9474,1.9474,10740
2007-03-08,1.9837,2.0625,1.9837,2.0182,2.0182,48800
2007-03-09,2.0359,2.1235,2.0359,2.058,2.058,262400
2007-03-12,2.1067,2.1528,2.1067,2.151,2.151,32805
2007-03-13,2.1289,2.213,2.1244,2.1687,2.1687,61948
2007-03-14,2.1687,2.1687,2.0899,2.0899,2.0899,19528
2007-03-15,2.1236,2.1236,2.0802,2.0802,2.0802,7700
2007-03-16,2.1156,2.1253,2.0359,2.0359,2.0359,102700
2007-03-19,2.0359,2.1244,2.0359,2.1244,2.1244,38148
2007-03-20,2.1023,2.1236,2.0802,2.0802,2.0802,509400
2007-03-21,2.1217,2.1244,2.0907,2.0987,2.0987,268507
2007-03-22,2.1693,2.1786,2.0868,2.1684,2.1684,497127
2007-03-23,2.1684,2.1684,2.1183,2.1554,2.1554,89138
2007-03-26,2.1684,2.1684,2.0998,2.1582,2.1582,85194
2007-03-27,2.1508,2.1554,2.1508,2.1508,2.1508,173694
2007-03-28,2.1508,2.1647,2.1499,2.1647,2.1647,65851
2007-03-29,2.1684,2.1693,2.1554,2.1684,2.1684,36752
2007-03-30,2.1554,2.1693,2.1554,2.1693,2.1693,39395
2007-04-02,2.1785,2.2249,2.1785,2.2249,2.2249,120212
2007-04-03,2.2249,2.2342,2.2073,2.2073,2.2073,418027
2007-04-04,2.2073,2.2249,2.2008,2.2147,2.2147,101284
2007-04-05,2.1879,2.2064,2.1777,2.1981,2.1981,101818
2007-04-09,2.225,2.2324,2.2166,2.2324,2.2324,112100
2007-04-10,2.2249,2.2527,2.2018,2.2203,2.2203,311739
2007-04-11,2.2157,2.2806,2.2157,2.2704,2.2704,745479
2007-04-12,2.3083,2.3222,2.2249,2.2249,2.2249,84855
2007-04-13,2.2806,2.2806,2.2249,2.2713,2.2713,23519
2007-04-16,2.262,2.3185,2.2156,2.2898,2.2898,182927
2007-04-17,2.2481,2.2907,2.2157,2.2481,2.2481,245565
2007-04-18,2.2481,2.2592,2.2017,2.2592,2.2592,257546
2007-04-19,2.2593,2.2806,2.2444,2.2806,2.2806,17000
2007-04-20,2.3176,2.3825,2.3176,2.364,2.364,76807
2007-04-23,2.364,2.4567,2.3362,2.415,2.415,171071
2007-04-24,2.4103,2.503,2.4103,2.4576,2.4576,39890
2007-04-25,2.4567,2.5958,2.4567,2.5865,2.5865,63900
2007-04-26,2.5726,2.5726,2.4335,2.4335,2.4335,180947
2007-04-27,2.4197,2.5031,2.3752,2.4382,2.4382,233846
2007-04-30,2.4382,2.4382,2.4104,2.4104,2.4104,1400
2007-05-02,2.5022,2.5031,2.4577,2.5031,2.5031,38848
2007-05-03,2.5031,2.5031,2.4679,2.5031,2.5031,482000
2007-05-04,2.5216,2.5495,2.4104,2.4104,2.4104,50661
2007-05-07,2.365,2.3826,2.3641,2.3826,2.3826,14066
2007-05-08,2.3816,2.3927,2.3779,2.3918,2.3918,25795
2007-05-09,2.364,2.4567,2.364,2.4558,2.4558,11726
2007-05-10,2.4752,2.503,2.4094,2.5021,2.5021,601434
2007-05-11,2.5031,2.5031,2.4818,2.5031,2.5031,18350
2007-05-14,2.503,2.503,2.4938,2.5021,2.5021,53187
2007-05-15,2.5021,2.503,2.4984,2.5021,2.5021,17795
2007-05-16,2.5021,2.5021,2.4752,2.4845,2.4845,26427
2007-05-17,2.5012,2.503,2.4391,2.4845,2.4845,40950
2007-05-18,2.4845,2.4938,2.4799,2.4938,2.4938,20300
2007-05-21,2.5021,2.503,2.4975,2.5021,2.5021,27538
2007-05-22,2.503,2.503,2.4836,2.4845,2.4845,21211
2007-05-23,2.503,2.504,2.4845,2.4845,2.4845,186881
2007-05-24,2.4836,2.4836,2.4827,2.4827,2.4827,4573
2007-05-25,2.4826,2.4826,2.4798,2.4817,2.4817,252354
2007-05-28,2.5031,2.5031,2.5031,2.5031,2.5031,7000
2007-05-29,2.5031,2.5031,2.5031,2.5031,2.5031,7000
2007-05-30,2.5123,2.5123,2.5123,2.5123,2.5123,45175
2007-05-31,2.5132,2.5726,2.5123,2.5123,2.5123,18508
2007-06-01,2.5123,2.6876,2.4567,2.5587,2.5587,86550
