Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,3.94,3.94,3.72,3.76,2886.5585,295189288.0
2005-01-04,3.76,3.85,3.6,3.61,2771.4032,615056086.0
2005-01-05,3.62,3.63,3.47,3.55,2725.3411,390337318.0
2005-01-06,3.52,3.54,3.42,3.44,2640.8939,513615453.0
2005-01-07,3.46,3.58,3.41,3.48,2671.602,187491527.0
2005-01-10,3.49,3.5,3.23,3.46,2656.2479,599794794.0
2005-01-11,3.38,3.49,3.35,3.49,2679.279,334257561.0
2005-01-12,3.57,3.57,3.41,3.5,2686.956,287175263.0
2005-01-13,3.55,3.6,3.33,3.4,2610.1858,311934239.0
2005-01-14,3.34,3.39,3.23,3.28,2518.0616,1185182288.0
2005-01-17,3.28,3.32,3.18,3.21,2464.3225,121409509.0
2005-01-18,3.3,3.3,3.05,3.11,2387.5523,802040515.0
2005-01-19,3.14,3.27,3.13,3.17,2433.6145,590346230.0
2005-01-20,3.13,3.15,3.05,3.08,2364.5213,1040025998.0
2005-01-21,3.13,3.22,3.12,3.15,2418.2604,295570733.0
2005-01-24,3.16,3.3,3.15,3.21,2464.3225,239303236.0
2005-01-26,3.26,3.43,3.24,3.39,2602.5088,397035835.0
2005-01-27,3.38,3.38,3.25,3.32,2548.7697,679879838.0
2005-01-28,3.27,3.39,3.22,3.34,2564.1237,498600981.0
2005-01-31,3.4,3.53,3.37,3.53,2709.9871,397730984.0
2005-02-01,3.5,3.6,3.47,3.5,2686.956,830006163.0
2005-02-02,3.54,3.65,3.51,3.6,2763.7262,308956272.0
2005-02-03,3.64,3.72,3.6,3.72,2855.8504,563732466.0
2005-02-04,3.75,3.81,3.73,3.76,2886.5585,318236484.0
2005-02-09,3.9,3.9,3.66,3.72,2855.8504,164223849.0
2005-02-10,3.75,3.93,3.71,3.89,2986.3597,367647620.0
2005-02-11,3.89,4.0,3.75,3.89,2986.3597,330666140.0
2005-02-14,3.82,3.92,3.82,3.92,3009.3907,361283815.0
2005-02-15,3.88,4.01,3.8,3.95,3032.4218,392072835.0
2005-02-16,3.99,4.01,3.76,3.77,2894.2355,819036713.0
2005-02-17,3.87,4.06,3.85,4.0,3070.8069,495573276.0
2005-02-18,3.95,4.05,3.84,3.88,2978.6827,656930211.0
2005-02-21,3.94,3.94,3.83,3.92,3009.3907,116533958.0
2005-02-22,3.81,3.99,3.81,3.83,2940.2976,979595828.0
2005-02-23,3.9,4.0,3.83,4.0,3070.8069,537586565.0
2005-02-24,4.0,4.22,4.0,4.19,3216.6702,534219050.0
2005-02-25,4.1,4.24,4.02,4.08,3132.223,260853146.0
2005-02-28,4.08,4.1,3.94,4.0,3070.8069,210454413.0
2005-03-01,3.94,4.03,3.94,3.99,3063.1299,250050748.0
2005-03-02,3.95,4.22,3.95,4.19,3216.6702,155411292.0
2005-03-03,4.23,4.32,4.06,4.13,3170.6081,474381037.0
2005-03-04,4.2,4.38,4.2,4.38,3362.5335,359380191.0
2005-03-07,4.38,4.5,4.33,4.5,3454.6577,409190419.0
2005-03-08,4.5,4.53,4.37,4.5,3454.6577,291396311.0
2005-03-09,4.4,4.59,4.35,4.5,3454.6577,759500730.0
2005-03-10,4.35,4.53,4.18,4.53,3477.6888,449454874.0
2005-03-11,4.63,4.7,4.4,4.55,3493.0428,852191393.0
2005-03-14,4.42,4.75,4.42,4.74,3638.9061,469095767.0
2005-03-15,4.66,4.75,4.41,4.5,3454.6577,502787272.0
2005-03-16,4.44,4.57,4.3,4.47,3431.6267,311169525.0
2005-03-17,4.3,4.49,4.25,4.25,3262.7323,436849128.0
2005-03-18,4.33,4.33,4.03,4.03,3093.8379,468865858.0
2005-03-21,4.07,4.1,3.99,4.05,3109.192,481293352.0
2005-03-22,4.07,4.24,3.92,3.92,3009.3907,466954344.0
2005-03-23,3.9,3.99,3.7,3.94,3024.7448,206518294.0
2005-03-24,4.2,4.2,3.9,3.9,2994.0367,126393151.0
2005-03-28,3.9,3.98,3.85,3.95,3032.4218,162932788.0
2005-03-29,3.92,4.05,3.81,3.89,2986.3597,332046159.0
2005-03-30,3.92,4.09,3.86,3.87,2971.0057,283177044.0
2005-03-31,3.97,4.03,3.81,3.85,2955.6516,258680844.0
2005-04-01,3.95,3.98,3.7,3.84,2947.9746,521081209.0
2005-04-04,3.81,3.85,3.65,3.85,2955.6516,777651322.0
