Date,Open,High,Low,Close,Adj Close,Volume
2006-03-09,1.6023,1.6509,1.5805,1.6509,1.6509,38292036
2006-03-10,1.644,1.7965,1.6411,1.6994,1.6994,12025511
2006-03-13,1.7238,1.7602,1.6995,1.7189,1.7189,3435003
2006-03-14,1.7091,1.7592,1.7043,1.7237,1.7237,4510504
2006-03-15,1.7232,1.7529,1.6999,1.748,1.748,3966004
2006-03-16,1.7238,1.7383,1.6825,1.6825,1.6825,1911002
2006-03-17,1.6829,1.747,1.6411,1.7431,1.7431,4206004
2006-03-20,1.7232,1.7728,1.6805,1.7582,1.7582,2665503
2006-03-21,1.748,1.8062,1.7334,1.7868,1.7868,6433506
2006-03-22,1.7626,1.7966,1.7626,1.7917,1.7917,1806002
2006-03-23,1.7868,1.7946,1.7237,1.7868,1.7868,762001
2006-03-24,1.7733,1.7878,1.7237,1.7723,1.7723,2862003
2006-03-27,1.7718,1.7723,1.7237,1.7237,1.7237,3051003
2006-03-28,1.7232,1.7232,1.6023,1.6994,1.6994,10804510
2006-03-29,1.6995,1.7432,1.68,1.7189,1.7189,5043005
2006-03-30,1.7188,1.7475,1.6994,1.7475,1.7475,1743002
2006-03-31,1.7043,1.7577,1.7043,1.748,1.748,4242004
2006-04-03,1.748,1.8194,1.7359,1.7966,1.7966,3205503
2006-04-04,1.7966,1.7966,1.748,1.782,1.782,1096501
2006-04-05,1.7558,1.7912,1.748,1.782,1.782,3228003
2006-04-06,1.7815,1.7897,1.7625,1.7868,1.7868,195000
2006-04-07,1.7864,1.7869,1.7679,1.782,1.782,279000
2006-04-10,1.7625,1.8067,1.7601,1.8038,1.8038,1813502
2006-04-11,1.7966,1.8082,1.7869,1.799,1.799,2458502
2006-04-12,1.7777,1.816,1.7578,1.7966,1.7966,5104505
2006-04-13,1.8937,2.0418,1.8694,1.9908,1.9908,4138504
2006-04-17,1.9912,2.0393,1.9898,2.0393,2.0393,2806503
2006-04-18,2.0398,2.0636,2.0199,2.0393,2.0393,1221001
2006-04-19,2.0156,2.0369,1.9908,1.9908,1.9908,1756502
2006-04-20,1.9529,1.9908,1.9204,1.9665,1.9665,813001
2006-04-24,1.9665,1.9665,1.8937,1.9398,1.9398,1405501
2006-04-25,1.9082,1.9442,1.9082,1.9398,1.9398,271500
2006-04-26,1.9369,1.9519,1.8941,1.9519,1.9519,3267003
