Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,46.7136,47.0583,44.3865,44.6451,44.6451,1085736
2005-01-04,44.8261,45.2484,42.68,42.8438,42.8438,1397722
2005-01-05,43.1712,43.266,42.249,42.9213,42.9213,1209876
2005-01-06,43.1023,43.1023,41.5596,41.8009,41.8009,989906
2005-01-07,42.1456,42.8351,41.0251,41.6285,41.6285,1071579
2005-01-10,42.1456,42.318,40.8097,41.7147,41.7147,1423125
2005-01-11,41.8613,42.8266,41.5854,42.4818,42.4818,781275
2005-01-12,42.7662,43.6108,41.8095,43.6108,43.6108,835922
2005-01-13,43.8781,46.2396,43.8781,46.1534,46.1534,1780142
2005-01-14,45.5845,46.7998,45.1795,46.7998,46.7998,1166515
2005-01-17,46.5412,46.886,46.1965,46.5412,46.5412,429226
2005-01-18,46.0242,46.3776,45.2571,45.5932,45.5932,878875
2005-01-19,45.688,46.1965,45.5069,45.9379,45.9379,429813
2005-01-20,45.2312,45.2312,44.3865,44.8175,44.8175,725570
2005-01-21,45.2398,45.4294,44.059,44.602,44.602,700849
2005-01-24,44.5589,45.0761,44.2142,44.6537,44.6537,649774
2005-01-26,45.3259,46.5411,44.9381,45.076,45.076,958345
2005-01-27,44.7313,44.895,43.6367,44.2572,44.2572,1469010
2005-01-28,44.4727,45.2484,43.697,45.2484,45.2484,881460
2005-01-31,45.6276,46.1965,45.5931,46.0241,46.0241,425557
2005-02-01,45.981,46.8429,45.869,46.1103,46.1103,1221290
2005-02-02,46.1103,47.7909,46.1103,47.7909,47.7909,1305670
2005-02-03,47.8167,48.5235,47.2307,48.3511,48.3511,943586
2005-02-04,48.3511,49.1268,48.2649,49.1268,49.1268,588611
2005-02-09,48.696,49.9801,48.5667,49.9801,49.9801,470228
2005-02-10,49.2733,49.9715,48.3511,49.9715,49.9715,824615
2005-02-11,49.7733,51.7125,49.6526,51.3677,51.3677,1696520
2005-02-14,50.842,52.1434,50.1438,50.8506,50.8506,641477
2005-02-15,49.9886,51.6262,49.5836,51.1091,51.1091,491964
2005-02-16,51.023,53.2812,50.5921,52.3158,52.3158,1720015
2005-02-17,53.2811,54.2119,51.8935,54.2119,54.2119,1414812
2005-02-18,54.2033,55.0221,53.6086,54.5136,54.5136,1158700
2005-02-21,54.1171,56.3666,53.6172,55.4961,55.4961,857510
2005-02-22,53.9533,56.0046,53.0052,54.9703,54.9703,2336198
2005-02-23,55.6254,57.125,55.2461,56.4528,56.4528,895776
2005-02-24,58.0041,59.6417,57.3577,59.34,59.34,1382346
2005-02-25,59.5986,61.1931,58.6074,58.866,58.866,1794064
2005-02-28,59.1676,60.0726,57.487,59.3831,59.3831,705927
2005-03-01,58.6678,60.7622,58.2196,58.392,58.392,1205364
2005-03-02,56.1753,58.788,55.4872,58.2655,58.2655,1009151
2005-03-03,58.8838,59.7025,56.9591,57.4381,57.4381,1079034
2005-03-04,57.0027,59.0668,56.3494,58.0042,58.0042,1244300
2005-03-07,58.8316,59.9202,58.8316,59.659,59.659,869274
2005-03-08,59.2235,59.4848,58.3525,58.7009,58.7009,845739
2005-03-09,58.0041,58.0041,56.1752,56.7413,56.7413,1297883
2005-03-10,56.0011,56.245,53.7802,55.374,55.374,2067603
2005-03-11,55.8704,56.5236,53.9979,53.9979,53.9979,1158863
2005-03-14,54.4334,54.4334,51.9599,53.1705,53.1705,1097695
2005-03-15,53.2227,54.085,52.0818,53.4753,53.4753,1022038
2005-03-16,52.9528,53.5625,52.0993,53.2141,53.2141,1450280
2005-03-17,52.2561,53.3796,51.481,53.127,53.127,1654100
2005-03-18,53.1182,53.9457,50.7493,51.3851,51.3851,1234384
2005-03-21,51.3851,51.7335,50.0788,50.7232,50.7232,806975
2005-03-22,51.1238,53.0398,48.868,49.6606,49.6606,1544376
2005-03-23,49.8522,51.385,49.0597,50.3835,50.3835,1127684
2005-03-24,51.7335,52.5173,49.0771,52.3867,52.3867,855172
2005-03-28,52.3867,52.5173,49.8174,50.1658,50.1658,602189
2005-03-29,51.0367,51.4286,47.7795,48.3368,48.3368,1513960
2005-03-30,48.8594,49.5126,47.6401,49.3384,49.3384,941333
2005-03-31,49.739,50.3835,48.9465,50.0787,50.0787,1007727
2005-04-01,50.7319,51.6551,49.2252,50.3313,50.3313,1181585
2005-04-04,50.07,50.07,48.4239,49.6432,49.6432,758970
2005-04-05,49.9045,50.4184,47.2221,47.7185,47.7185,1283514
2005-04-06,48.1626,48.3367,45.5498,45.5498,45.5498,1582477
2005-04-07,46.3336,46.9433,44.5569,46.9433,46.9433,2371035
2005-04-08,46.9084,46.9433,45.4366,45.8111,45.8111,1091688
2005-04-11,45.9852,45.9852,44.1563,44.8095,44.8095,1282796
2005-04-12,44.7572,45.2885,43.1635,44.6789,44.6789,1585511
2005-04-13,45.2885,45.5672,43.6511,44.4176,44.4176,1885806
2005-04-14,44.0257,44.5918,41.4738,41.8048,41.8048,2045111
2005-04-15,41.4652,42.6758,40.934,42.5887,42.5887,1271141
2005-04-18,41.9181,43.5294,40.1501,42.6758,42.6758,1156207
2005-04-19,43.1286,45.454,43.1199,45.454,45.454,1183047
2005-04-20,45.724,46.0723,44.6092,45.0621,45.0621,1144320
2005-04-22,45.7153,46.2901,44.4176,45.4192,45.4192,699496
2005-04-25,45.7241,46.4208,44.5047,46.2466,46.2466,606107
2005-04-26,45.7241,47.8927,45.4628,46.3337,46.3337,1065464
2005-04-27,46.0289,46.6821,45.1144,46.2466,46.2466,835528
2005-04-28,45.724,45.8111,43.1199,43.3725,43.3725,1111069
2005-04-29,44.3219,44.766,41.9791,43.5467,43.5467,903879
2005-05-02,43.7209,45.2451,42.6845,43.5467,43.5467,769769
2005-05-03,43.5553,45.245,43.0676,44.5221,44.5221,706586
2005-05-04,45.0795,46.5949,44.9053,46.2901,46.2901,727680
2005-05-05,46.595,47.2917,45.8547,46.5514,46.5514,1607977
2005-05-06,47.0304,47.1175,45.5934,46.2466,46.2466,771440
2005-05-09,46.4208,46.4208,44.0867,44.0867,44.0867,955111
2005-05-10,44.4612,44.5483,41.8048,42.0487,42.0487,1587151
2005-05-11,42.3274,42.7541,40.6726,41.1952,41.1952,1820028
2005-05-12,41.5522,42.0661,38.4953,39.192,39.192,1885316
2005-05-13,39.5404,39.5404,37.0669,37.485,37.485,2645006
2005-05-16,37.5373,38.0599,36.5879,37.4502,37.4502,1585342
2005-05-17,37.1366,37.6679,36.196,37.2498,37.2498,1318296
2005-05-18,37.4938,38.8612,37.2847,38.1034,38.1034,3687075
2005-05-19,37.7898,38.0424,36.6401,37.2411,37.2411,1343760
2005-05-20,37.276,37.4502,36.6315,36.8405,36.8405,991223
2005-05-23,37.1888,37.1888,35.1944,35.1944,35.1944,1526105
2005-05-24,34.7416,36.8405,33.9665,36.7099,36.7099,2307695
2005-05-25,36.8492,37.0147,35.36,35.5341,35.5341,2316517
2005-05-27,35.9696,37.8856,35.717,37.5808,37.5808,1646653
2005-05-30,37.8856,39.5404,37.6244,38.9743,38.9743,810785
2005-05-31,38.9133,40.2807,38.7566,39.2791,39.2791,1589209
2005-06-01,39.6362,39.8017,38.4082,39.2791,39.2791,1889589
2005-06-02,39.4446,40.5246,38.9395,40.063,40.063,1881371
2005-06-03,39.5404,40.0194,38.234,38.3211,38.3211,1361367
2005-06-06,37.3457,37.3457,35.5777,35.7954,35.7954,1900972
2005-06-07,35.5254,36.1003,34.5761,34.8374,34.8374,2035668
2005-06-08,35.7867,35.7867,33.4439,33.531,33.531,1851982
2005-06-09,33.0954,33.4786,32.2332,32.9648,32.9648,1835387
2005-06-10,33.5396,34.1841,33.2261,33.7922,33.7922,853351
2005-06-13,34.158,34.7502,33.9664,34.2277,34.2277,703474
2005-06-14,34.3148,36.2309,32.6165,35.6212,35.6212,1702017
