Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,10.8452,10.987,10.5347,10.6113,10.6113,256752
2005-01-04,10.6127,10.6326,10.1392,10.1789,10.1789,281421
2005-01-05,10.2144,10.2683,9.9805,10.1081,10.1081,434660
2005-01-06,10.1151,10.1647,9.782,10.0655,10.0655,208191
2005-01-07,10.1889,10.4908,10.1364,10.3349,10.3349,328767
2005-01-10,10.2782,10.4469,10.1662,10.2498,10.2498,218133
2005-01-11,10.349,10.349,10.0386,10.1931,10.1931,148434
2005-01-12,10.3491,10.4058,9.894,10.1336,10.1336,359768
2005-01-13,10.3349,10.6922,10.2498,10.6312,10.6312,538932
2005-01-14,10.5731,11.2422,10.505,11.1288,11.1288,459600
2005-01-17,11.1429,11.1997,10.987,10.987,10.987,71797
2005-01-18,10.9855,11.1982,10.8168,11.0862,11.0862,528516
2005-01-19,11.1288,11.1813,10.9233,11.0154,11.0154,243854
2005-01-20,10.7886,11.1147,10.5844,10.902,10.902,403952
2005-01-21,10.9161,11.625,10.9161,11.3556,11.3556,485880
2005-01-24,11.3428,11.7752,11.3428,11.5895,11.5895,225155
2005-01-26,11.5116,11.6221,11.3429,11.5541,11.5541,246299
2005-01-27,11.4123,11.4421,11.2068,11.4421,11.4421,256727
2005-01-28,11.3996,11.4407,11.1713,11.2422,11.2422,165695
2005-01-31,11.3414,11.3414,11.143,11.2337,11.2337,134284
2005-02-01,11.2563,11.4052,11.2011,11.2847,11.2847,373658
2005-02-02,11.3414,11.4378,11.1713,11.1713,11.1713,170314
2005-02-03,11.1713,11.1854,10.9586,11.0295,11.0295,87282
2005-02-04,11.0295,11.1854,10.7743,11.0139,11.0139,137217
2005-02-09,11.0451,11.0451,10.8452,10.8452,10.8452,193929
2005-02-10,10.8595,10.9941,10.6752,10.79,10.79,243153
2005-02-11,10.8381,10.9374,10.6751,10.746,10.746,255620
2005-02-14,10.746,10.9813,10.7034,10.9175,10.9175,284982
2005-02-15,10.8878,11.1855,10.8878,11.1288,11.1288,264812
2005-02-16,11.1997,11.228,11.0154,11.0579,11.0579,540286
2005-02-17,11.2706,11.4407,11.0593,11.3131,11.3131,425794
2005-02-18,11.3414,11.6675,11.2705,11.5257,11.5257,144858
2005-02-21,11.6108,11.8376,11.5144,11.8376,11.8376,108858
2005-02-22,12.5465,12.8116,12.2346,12.2771,12.2771,1383167
2005-02-23,12.4543,12.7875,12.3622,12.7747,12.7747,1108477
2005-02-24,12.9009,13.5927,12.9009,13.5743,13.5743,628102
