Date,Open,High,Low,Close,Adj Close,Volume
2006-04-12,3.8321,3.8321,3.8321,3.8321,3.8321,100
2006-04-20,3.7193,3.7216,3.7193,3.7216,3.7216,380
2006-04-25,3.8795,4.7366,3.8795,4.7366,4.7366,200
2006-12-08,4.433,4.433,4.433,4.433,4.433,1100
2006-12-19,4.0921,4.2171,4.0921,4.2171,4.2171,2100
2006-12-27,4.092,4.092,4.092,4.092,4.092,100
2007-01-09,4.2648,4.2648,4.2625,4.2625,4.2625,300
2007-01-12,4.092,4.2875,4.092,4.2875,4.2875,400
2007-01-15,4.2171,4.2171,4.2171,4.2171,4.2171,300
2007-01-16,4.2511,4.2511,4.1102,4.1102,4.1102,300
2007-01-23,3.8852,3.8852,3.8829,3.8829,3.8829,360
2007-01-30,4.2102,4.2102,4.2057,4.2057,4.2057,600
2007-02-13,4.2512,4.2512,4.2512,4.2512,4.2512,1000
2007-04-10,5.0264,5.0264,5.0082,5.0082,5.0082,1400
2007-04-16,5.6834,5.6834,5.6834,5.6834,5.6834,100
2007-04-20,6.198,6.198,6.198,6.198,6.198,100
2007-04-23,6.198,6.198,6.198,6.198,6.198,200
2007-05-02,8.2639,8.2662,8.2639,8.2662,8.2662,2700
2007-05-16,8.4935,8.4935,8.4935,8.4935,8.4935,3010
2007-05-17,8.4935,8.7231,8.4935,8.7231,8.7231,1379
2007-05-22,9.1822,9.1822,9.1822,9.1822,9.1822,200
2007-05-30,9.1822,9.1822,9.1822,9.1822,9.1822,1000
2007-06-05,9.1822,9.1822,9.1822,9.1822,9.1822,1000
2007-06-18,8.9526,8.9526,8.9526,8.9526,8.9526,1000
2007-06-21,9.0674,9.0674,9.0674,9.0674,9.0674,100
2007-07-11,10.3713,10.3736,10.3713,10.3736,10.3736,2100
2007-07-23,11.4777,11.4777,11.4777,11.4777,11.4777,200
2007-08-01,11.4754,11.4754,11.4754,11.4754,11.4754,100
2007-08-16,10.3299,10.3299,10.3299,10.3299,10.3299,100
2007-09-05,9.437,9.437,9.437,9.437,9.437,266
2007-09-20,9.6413,9.6413,9.6413,9.6413,9.6413,100
2007-10-26,10.3299,10.3299,10.3299,10.3299,10.3299,100
2007-11-16,10.3299,10.3299,10.3299,10.3299,10.3299,300
2007-12-07,10.3299,10.3299,9.8708,9.8708,9.8708,300
2007-12-11,9.8708,9.8708,9.8708,9.8708,9.8708,24
2008-01-08,8.9526,8.9526,8.9434,8.9434,8.9434,1200
2008-01-09,8.9526,8.9526,8.9526,8.9526,8.9526,400
2008-01-10,8.723,8.9526,8.723,8.9526,8.9526,234
2008-01-11,8.7231,8.7231,8.7231,8.7231,8.7231,143
2008-01-16,8.6083,8.6083,8.6083,8.6083,8.6083,34
2008-01-17,7.5753,7.5753,7.5753,7.5753,7.5753,17
2008-01-18,7.5753,8.7208,7.5753,8.7208,8.7208,498
2008-01-21,8.0321,8.0321,8.0321,8.0321,8.0321,200
2008-01-22,8.0344,8.0344,8.0344,8.0344,8.0344,6
2008-01-24,7.1391,7.1414,7.1391,7.1414,7.1414,2889
2008-01-28,6.6686,6.6686,6.6686,6.6686,6.6686,40
2008-01-29,7.3457,7.3457,7.1161,7.185,7.185,818
2008-01-30,7.1851,7.573,7.1851,7.573,7.573,16
2008-01-31,7.3458,7.3458,7.1162,7.1162,7.1162,800
2008-02-01,7.3457,7.3457,7.3457,7.3457,7.3457,38
2008-02-06,7.1162,7.1162,7.1162,7.1162,7.1162,400
2008-02-08,7.1162,7.1162,7.1139,7.1139,7.1139,2800
2008-02-11,7.3457,7.3457,7.3457,7.3457,7.3457,7
2008-02-12,7.1116,7.1116,7.1116,7.1116,7.1116,500
2008-02-13,7.1116,7.1116,7.1116,7.1116,7.1116,418
2008-02-14,6.8866,6.8866,6.8866,6.8866,6.8866,69
2008-02-15,6.3013,7.1139,6.3013,7.1116,7.1116,1291
2008-02-18,7.1139,7.1139,7.1116,7.1116,7.1116,1466
2008-02-19,6.9991,6.9991,6.9991,6.9991,6.9991,2405
2008-02-20,6.9968,7.1162,6.9968,7.1139,7.1139,6200
2008-02-21,7.1161,7.8048,7.0702,7.3457,7.3457,6884
2008-02-22,7.8048,7.8048,7.1185,7.6671,7.6671,2986
2008-02-25,7.7957,7.7957,7.4605,7.7819,7.7819,1400
2008-02-26,7.5752,7.5752,7.0748,7.2883,7.2883,5379
2008-02-27,7.1162,7.2746,7.1162,7.231,7.231,583
2008-02-28,7.231,7.3458,7.0244,7.2195,7.2195,1301
2008-02-29,7.0037,7.231,5.7412,7.231,7.231,14706
2008-03-03,7.2309,7.2309,6.5423,6.8866,6.8866,2201
2008-03-04,6.8866,7.3434,6.8866,7.3434,7.3434,19800
2008-03-05,7.3435,7.3435,6.8178,7.1162,7.1162,12999
2008-03-06,7.1162,7.1391,6.7719,7.1116,7.1116,3548
2008-03-07,7.2011,7.2011,6.8866,7.185,7.185,561
2008-03-10,7.3457,7.3457,7.3457,7.3457,7.3457,232
2008-03-11,7.3457,7.5753,7.3434,7.5753,7.5753,717
2008-03-12,7.4605,7.573,7.4605,7.5615,7.5615,2300
2008-03-13,7.4123,7.55,7.4123,7.55,7.55,699
2008-03-14,7.5271,7.5271,7.4605,7.5064,7.5064,1926
2008-03-17,7.1162,7.1162,7.1162,7.1162,7.1162,70
2008-03-18,7.5041,7.5064,7.3457,7.4605,7.4605,5420
2008-03-19,7.4605,7.4605,6.8981,7.3457,7.3457,300
