Date,Open,High,Low,Close,Adj Close,Volume
2005-02-04,0.7845,0.7845,0.7845,0.7845,0.7845,0
2005-02-16,0.7904,0.7904,0.7904,0.7904,0.7904,0
2005-02-24,0.7592,0.7592,0.7592,0.7592,0.7592,3
2005-02-28,0.7592,0.7592,0.7592,0.7592,0.7592,0
2005-06-10,0.8273,0.8273,0.73,0.73,0.73,8
2005-06-17,0.7787,0.7787,0.7787,0.7787,0.7787,0
2005-06-22,0.7331,0.7331,0.7331,0.7331,0.7331,223
2006-03-29,0.8198,0.8198,0.8198,0.8198,0.8198,1200
2006-04-25,0.8208,0.8208,0.8208,0.8208,0.8208,2435
2006-05-29,0.8047,0.8047,0.8047,0.8047,0.8047,800
2006-06-16,0.8057,0.8057,0.8057,0.8057,0.8057,956
2006-07-19,0.9182,0.9182,0.9182,0.9182,0.9182,116
2006-07-24,0.9171,0.9171,0.9171,0.9171,0.9171,124
2006-07-25,0.9181,1.0089,0.9181,1.0089,1.0089,300
2006-08-03,0.9263,0.9263,0.9263,0.9263,0.9263,25100
2006-08-09,0.9575,0.9575,0.9575,0.9575,0.9575,321
2006-08-10,0.9159,0.9159,0.9159,0.9159,0.9159,301
2006-08-18,0.9367,0.9367,0.9367,0.9367,0.9367,310
2006-08-24,0.9367,0.9367,0.9263,0.9263,0.9263,200
2006-08-25,0.9378,0.9378,0.9378,0.9378,0.9378,800
2006-08-31,0.9378,0.9378,0.9378,0.9378,0.9378,170
2006-09-06,0.9388,0.9388,0.9388,0.9388,0.9388,2200
2006-09-11,0.9377,0.9377,0.9367,0.9367,0.9367,232
2006-10-13,1.099,1.099,1.099,1.099,1.099,100
2006-10-24,1.1513,1.1513,1.1513,1.1513,1.1513,2000
2006-10-30,1.1513,1.1513,1.1513,1.1513,1.1513,100
2006-11-07,1.2036,1.2036,1.2036,1.2036,1.2036,100
2006-11-08,1.1732,1.1732,1.1722,1.1722,1.1722,1700
2006-11-09,1.1827,1.2141,1.1827,1.2141,1.2141,300
2006-12-06,1.2559,1.3606,1.2559,1.3606,1.3606,9007
2007-01-12,1.4677,1.4677,1.4677,1.4677,1.4677,1400
2007-01-15,1.8871,1.8871,1.8871,1.8871,1.8871,280
2007-01-16,2.621,2.621,2.621,2.621,2.621,205
2007-02-02,1.8871,1.8871,1.8871,1.8871,1.8871,1100
2007-02-15,1.9224,1.9224,1.9224,1.9224,1.9224,1111
2007-02-23,1.8155,1.8166,1.8155,1.8166,1.8166,1000
2007-02-26,1.8155,1.8155,1.8155,1.8155,1.8155,1175
2007-03-06,2.1327,2.1327,2.1327,2.1327,2.1327,110
2007-03-12,2.0291,2.0291,2.0291,2.0291,2.0291,860
2007-03-13,2.0078,2.0078,2.0078,2.0078,2.0078,100
2007-03-27,1.9254,1.9254,1.9254,1.9254,1.9254,180
2007-04-12,1.9243,1.9243,1.551,1.797,1.797,813
2007-04-13,1.658,1.658,1.6045,1.6045,1.6045,200
2007-04-16,1.6045,1.6045,1.6045,1.6045,1.6045,100
2007-04-20,1.7104,1.7104,1.7104,1.7104,1.7104,240
2007-04-23,1.7103,1.7103,1.7007,1.7007,1.7007,300
2007-04-24,1.7104,1.7104,1.7104,1.7104,1.7104,167
2007-04-25,1.7115,1.9254,1.7115,1.9254,1.9254,1200
2007-04-26,1.9254,1.9254,1.9254,1.9254,1.9254,128
2007-04-27,1.8719,1.8719,1.8719,1.8719,1.8719,300
2007-04-30,1.8719,1.8719,1.8719,1.8719,1.8719,400
2007-05-02,1.8719,1.8719,1.8719,1.8719,1.8719,410
2007-05-03,1.9254,1.9254,1.9254,1.9254,1.9254,125
