Date,Open,High,Low,Close,Adj Close,Volume
2008-07-11,5.5939,5.5939,5.5402,5.5402,5.5402,5900
2008-07-14,5.5588,5.6079,5.5495,5.5962,5.5962,22300
2008-07-15,5.4397,5.5963,5.3743,5.3743,5.3743,1104726
2008-07-16,5.5823,5.5823,5.2131,5.3743,5.3743,44333
2008-07-17,5.3626,5.3649,5.2341,5.3252,5.3252,91616
2008-07-18,5.3275,5.3509,5.2691,5.3275,5.3275,50666
2008-07-21,5.428,5.428,5.3696,5.3696,5.3696,500
2008-07-22,5.2575,5.3042,5.2575,5.3042,5.3042,1300
2008-07-23,5.4631,5.4631,5.0728,5.3065,5.3065,177800
2008-07-24,5.3509,5.3509,5.2808,5.3042,5.3042,89080
2008-07-25,5.3743,5.3743,5.185,5.3252,5.3252,17800
2008-07-28,5.2574,5.3252,5.2341,5.2808,5.2808,28173
2008-07-29,5.3041,5.3041,5.2107,5.3018,5.3018,167700
2008-07-30,5.3041,5.3041,5.1452,5.2574,5.2574,297700
2008-07-31,5.2574,5.2574,4.9583,5.0705,5.0705,48949
2008-08-01,5.0705,5.2084,5.0215,5.164,5.164,8400
2008-08-04,5.2294,5.2294,4.9747,5.0238,5.0238,20586
2008-08-05,5.1406,5.1733,5.0214,5.1172,5.1172,78846
2008-08-06,5.2668,5.2668,5.1383,5.1383,5.1383,91516
2008-08-07,5.3018,5.3018,5.1406,5.1406,5.1406,53133
2008-08-08,5.1406,5.1406,4.977,5.1172,5.1172,75933
2008-08-11,5.0238,5.0238,4.8368,4.9046,4.9046,221700
2008-08-12,4.9771,4.9771,4.7084,4.7785,4.7785,102700
2008-08-13,4.7644,4.7668,4.6032,4.6032,4.6032,30000
2008-08-14,4.5097,4.7901,4.5097,4.7901,4.7901,86100
2008-08-15,4.7901,4.8251,4.6733,4.7901,4.7901,24200
2008-08-18,4.8228,4.8251,4.72,4.72,4.72,230300
2008-08-19,4.6733,4.72,4.6265,4.72,4.72,568300
2008-08-20,4.6733,4.7668,4.6266,4.7668,4.7668,73825
2008-08-21,4.7878,4.8602,4.7387,4.7434,4.7434,973733
2008-08-22,4.7434,4.7434,4.6359,4.727,4.727,10400
2008-08-25,4.8204,4.8204,4.6709,4.6709,4.6709,48900
2008-08-26,4.7854,4.7854,4.6172,4.6616,4.6616,102600
2008-08-27,4.6709,4.6733,4.5588,4.6242,4.6242,3905
2008-08-28,4.7201,4.7201,4.4163,4.4163,4.4163,189000
2008-08-29,4.4514,4.5799,4.4397,4.5565,4.5565,70772
2008-09-01,4.5564,4.6148,4.5097,4.6148,4.6148,66530
2008-09-02,4.6312,4.7644,4.5564,4.7644,4.7644,153471
2008-09-03,4.7294,4.872,4.7294,4.7668,4.7668,293910
2008-09-04,4.7901,4.907,4.6266,4.7177,4.7177,220064
2008-09-05,4.72,4.72,4.5775,4.6733,4.6733,220900
2008-09-08,4.7901,4.7901,4.5658,4.5658,4.5658,4100
2008-09-09,4.6733,4.6733,4.2527,4.3929,4.3929,106716
2008-09-10,4.519,4.6265,4.3811,4.4045,4.4045,75828
2008-09-11,4.4046,4.4046,4.3111,4.3228,4.3228,80900
2008-09-12,4.3228,4.3228,4.2644,4.2737,4.2737,500516
2008-09-15,4.2527,4.2737,4.1803,4.1826,4.1826,82301
2008-09-16,4.1476,4.1476,4.0308,4.0658,4.0658,346606
2008-09-17,4.0657,4.0657,3.7152,3.9699,3.9699,325072
2008-09-18,3.9722,4.0867,3.6732,3.9699,3.9699,488950
2008-09-19,4.227,4.276,3.9723,4.1008,4.1008,141670
2008-09-22,4.0798,4.0821,3.984,3.984,3.984,142600
2008-09-23,3.9256,3.9723,3.7433,3.9723,3.9723,130400
2008-09-24,3.9724,3.9957,3.8649,3.9373,3.9373,83510
2008-09-25,3.97,4.1475,3.9653,3.9723,3.9723,43300
2008-09-26,3.7386,3.9489,3.7269,3.9489,3.9489,84520
2008-09-29,3.9232,3.9232,3.283,3.283,3.283,68693
2008-09-30,3.283,3.7059,3.2783,3.3414,3.3414,225319
2008-10-01,3.3414,3.4582,3.0961,3.4115,3.4115,209855
2008-10-02,3.4115,3.4115,3.1778,3.3881,3.3881,225305
2008-10-03,3.3881,3.4909,3.2502,3.3367,3.3367,249529
2008-10-06,3.0377,3.0377,2.6054,2.7339,2.7339,471902
2008-10-07,2.8156,2.9325,2.5773,2.6988,2.6988,69199
2008-10-08,2.5703,2.5703,2.4534,2.5469,2.5469,235524
2008-10-09,2.5469,2.7782,2.5469,2.7432,2.7432,142600
2008-10-10,2.4558,2.6871,2.4558,2.6871,2.6871,526500
2008-10-13,2.6872,3.4536,2.6872,3.4536,3.4536,1400316
2008-10-14,3.4535,3.7129,3.4535,3.6755,3.6755,24523
2008-10-15,3.6756,3.7363,3.3648,3.6709,3.6709,77600
2008-10-16,3.6685,3.6732,3.4465,3.5984,3.5984,141400
2008-10-17,4.2527,4.2527,3.7387,3.8555,3.8555,7316
2008-10-20,3.741,3.9724,3.741,3.8672,3.8672,123755
2008-10-21,3.8648,3.8648,3.6335,3.8438,3.8438,26128
2008-10-22,3.7386,3.7386,3.3881,3.4582,3.4582,48400
2008-10-23,3.2713,3.6919,3.1778,3.6919,3.6919,24419
2008-10-24,3.3881,3.4465,3.2713,3.2713,3.2713,17430
2008-10-27,3.0377,3.0377,3.0143,3.0143,3.0143,18000
2008-10-28,3.0843,3.0843,2.8974,2.8974,2.8974,30400
2008-10-29,2.9068,3.0119,2.7456,2.8624,2.8624,202400
2008-10-30,3.131,3.131,2.8039,3.0586,3.0586,65200
2008-10-31,3.0681,3.2363,2.9909,3.2363,3.2363,355200
2008-11-03,3.2362,3.3297,3.1545,3.3297,3.3297,86850
2008-11-04,3.4466,3.5284,3.4115,3.4349,3.4349,108400
2008-11-05,3.4349,3.4699,3.2176,3.3531,3.3531,42655
2008-11-06,3.3741,3.5027,3.2573,3.4349,3.4349,13037
2008-11-07,3.5494,3.5494,3.3297,3.4232,3.4232,20800
2008-11-10,3.7386,3.762,3.2713,3.6218,3.6218,79288
2008-11-11,3.5728,3.5728,3.47,3.505,3.505,23965
2008-11-12,3.6079,3.6079,3.3532,3.5027,3.5027,15800
2008-11-13,3.6194,3.6194,3.2596,3.547,3.547,25703
2008-11-14,3.7363,3.7363,3.3648,3.5003,3.5003,198400
2008-11-17,3.5003,3.5003,3.3882,3.4466,3.4466,143410
2008-11-18,3.4465,3.4465,3.2713,3.3881,3.3881,24300
2008-11-19,3.3647,3.3647,3.2479,3.2479,3.2479,21900
2008-11-21,3.2363,3.2363,3.0377,3.2363,3.2363,25506
2008-11-24,3.2714,3.3648,3.1662,3.1662,3.1662,70104
2008-11-25,3.2222,3.2245,3.0376,3.0376,3.0376,8400
2008-11-26,3.1755,3.1919,3.0353,3.1031,3.1031,58739
2008-11-27,3.1498,3.1498,3.0143,3.0143,3.0143,33105
2008-11-28,3.269,3.269,3.1498,3.2129,3.2129,4762
2008-12-01,3.5026,3.5026,3.1475,3.2713,3.2713,24688
2008-12-02,3.2737,3.3181,3.2246,3.2246,3.2246,11200
2008-12-03,3.1545,3.304,3.1545,3.2129,3.2129,84901
2008-12-04,3.1544,3.2012,3.1521,3.1778,3.1778,5435
2008-12-05,3.2012,3.2012,3.0727,3.0727,3.0727,33432
2008-12-08,3.3064,3.3064,3.0377,3.0727,3.0727,145800
2008-12-09,3.1545,3.1545,2.9091,2.9208,2.9208,63340
2008-12-10,3.1918,3.2339,2.7806,2.7806,2.7806,497891
2008-12-11,2.9419,2.9419,2.582,2.6194,2.6194,676217
2008-12-12,2.5703,2.6404,2.5703,2.617,2.617,12567
2008-12-15,2.6404,2.6404,2.5353,2.5703,2.5703,798320
2008-12-16,2.5236,2.5703,2.5119,2.5703,2.5703,130102
2008-12-17,2.5703,2.6872,2.5516,2.5937,2.5937,663903
2008-12-18,2.6193,2.6871,2.617,2.6871,2.6871,96325
2008-12-19,2.6404,2.7222,2.6404,2.6755,2.6755,42346
2008-12-22,2.7222,2.7922,2.7198,2.7572,2.7572,13402
2008-12-23,2.7456,2.7806,2.7339,2.7806,2.7806,1022
2008-12-26,2.6989,2.804,2.6989,2.804,2.804,84735
2008-12-29,2.8881,2.8881,2.7573,2.804,2.804,180000
2008-12-30,2.8507,3.0376,2.8507,2.9208,2.9208,176000
2009-01-02,2.9208,2.9652,2.9208,2.9208,2.9208,36699
2009-01-05,3.0119,3.2012,2.9442,3.2012,3.2012,251476
2009-01-06,3.1288,3.3695,3.1265,3.3695,3.3695,38184
2009-01-07,3.2713,3.2713,3.2058,3.2479,3.2479,121974
2009-01-08,3.2129,3.2129,3.1545,3.1895,3.1895,64001
2009-01-09,3.269,3.269,3.0844,3.1031,3.1031,47996
2009-01-12,3.0377,3.0844,2.9909,3.0844,3.0844,400900
