Código;Ação;Tipo;Qtd. Teórica;%
ALPA4;ALPARGATAS;PN      N1;167963777;0,36
ABEV3;AMBEV S/A;ON;4358814864;3,103
AMER3;AMERICANAS;ON      NM;546064815;1,002
ASAI3;ASSAI;ON      NM;794116430;0,618
AZUL4;AZUL;PN  ATZ N2;327741172;0,475
B3SA3;B3;ON      NM;6079530858;3,579
BIDI4;BANCO INTER;PN      N2;186303277;0,136
BIDI11;BANCO INTER;UNT     N2;477617336;1,011
BPAN4;BANCO PAN;PN      N1;341124068;0,263
BBSE3;BBSEGURIDADE;ON      NM;671629692;0,671
BRML3;BR MALLS PAR;ON  ATZ NM;843728684;0,323
BBDC3;BRADESCO;ON      N1;1378842305;1,159
BBDC4;BRADESCO;PN      N1;4691427537;4,628
BRAP4;BRADESPAR;PN      N1;251426773;0,629
BBAS3;BRASIL;ON      NM;1420530937;2,046
BRKM5;BRASKEM;PNA     N1;264642296;0,715
BRFS3;BRF SA;ON      NM;811759800;0,918
BPAC11;BTGP BANCO;UNT     N2;1301655996;1,48
CRFB3;CARREFOUR BR;ON      NM;410988561;0,349
CCRO3;CCR SA;ON      NM;1115693556;0,641
CMIG4;CEMIG;PN      N1;1114214662;0,774
CIEL3;CIELO;ON      NM;1144359228;0,128
COGN3;COGNA ON;ON      NM;1847994874;0,252
CPLE6;COPEL;PNB     N1;1563365506;0,488
CSAN3;COSAN;ON      NM;1169237744;1,24
CPFE3;CPFL ENERGIA;ON      NM;187732538;0,23
CVCB3;CVC BRASIL;ON      NM;224571661;0,199
CYRE3;CYRELA REALT;ON      NM;281609283;0,224
DXCO3;DEXCO;ON      NM;272062873;0,228
ECOR3;ECORODOVIAS;ON      NM;339237914;0,152
ELET3;ELETROBRAS;ON      N1;358028908;0,659
ELET6;ELETROBRAS;PNB     N1;242987127;0,449
EMBR3;EMBRAER;ON      NM;734558205;0,861
ENBR3;ENERGIAS BR;ON      NM;231489471;0,207
ENGI11;ENERGISA;UNT     N2;248542219;0,516
ENEV3;ENEVA;ON      NM;1261568398;0,876
EGIE3;ENGIE BRASIL;ON      NM;255217329;0,459
EQTL3;EQUATORIAL;ON      NM;1010511085;1,152
EZTC3;EZTEC;ON      NM;101618236;0,105
FLRY3;FLEURY;ON      NM;303005900;0,293
GGBR4;GERDAU;PN      N1;1097534498;1,436
GOAU4;GERDAU MET;PN      N1;698275321;0,414
GETT11;GETNET BR;UNT;90675849;0,039
GOLL4;GOL;PN      N2;167095214;0,148
NTCO3;GRUPO NATURA;ON      NM;843870809;1,6
SOMA3;GRUPO SOMA;ON      NM;421176954;0,314
HAPV3;HAPVIDA;ON      NM;1306939210;0,742
HYPE3;HYPERA;ON      NM;411803359;0,566
IGTA3;IGUATEMI;ON      NM;85748277;0,128
GNDI3;INTERMEDICA;ON      NM;592114608;1,899
IRBR3;IRBBRASIL RE;ON      NM;1255286531;0,303
ITSA4;ITAUSA;PN      N1;4515559175;2,317
ITUB4;ITAUUNIBANCO;PN      N1;4780002924;5,471
JBSS3;JBS;ON      NM;1346828080;2,402
JHSF3;JHSF PART;ON  ED  NM;305915142;0,083
KLBN11;KLABIN S/A;UNT     N2;812994397;0,855
RENT3;LOCALIZA;ON      NM;593944309;1,496
LCAM3;LOCAMERICA;ON      NM;324522975;0,362
LWSA3;LOCAWEB;ON      NM;431783548;0,434
LAME4;LOJAS AMERIC;PN      N1;853524256;0,253
LREN3;LOJAS RENNER;ON      NM;889725318;1,44
MGLU3;MAGAZ LUIZA;ON      NM;2820185158;1,821
MRFG3;MARFRIG;ON      NM;348234011;0,426
CASH3;MELIUZ;ON      NM;543488802;0,113
BEEF3;MINERVA;ON      NM;242962308;0,115
MRVE3;MRV;ON      NM;294643879;0,161
MULT3;MULTIPLAN;ON      N2;273506645;0,251
PCAR3;P.ACUCAR-CBD;ON      NM;156946474;0,213
PETR3;PETROBRAS;ON      N2;3426385188;4,653
PETR4;PETROBRAS;PN      N2;4566511125;6,015
BRDT3;PETROBRAS BR;ON      NM;1164602565;1,273
PRIO3;PETRORIO;ON      NM;839159130;1,056
PETZ3;PETZ;ON      NM;258407844;0,272
QUAL3;QUALICORP;ON      NM;283670037;0,245
RADL3;RAIADROGASIL;ON      NM;1071076905;1,121
RDOR3;REDE D OR;ON      NM;320214380;0,957
RAIL3;RUMO S.A.;ON      NM;1216056103;1,005
SBSP3;SABESP;ON      NM;340001934;0,608
SANB11;SANTANDER BR;UNT EC;362703399;0,596
CSNA3;SID NACIONAL;ON;642398790;0,775
SULA11;SUL AMERICA;UNT     N2;284771028;0,341
SUZB3;SUZANO S.A.;ON      NM;726779281;1,665
TAEE11;TAESA;UNT     N2;218568234;0,385
VIVT3;TELEF BRASIL;ON;443933052;0,958
TIMS3;TIM;ON      NM;808619532;0,466
TOTS3;TOTVS;ON      NM;520230677;0,841
UGPA3;ULTRAPAR;ON      NM;1084337016;0,745
USIM5;USIMINAS;PNA     N1;514680651;0,377
VALE3;VALE;ON      NM;3380233503;12,557
VIIA3;VIA;ON      NM;1595895585;0,585
WEGE3;WEG;ON      NM;1484859030;2,748
YDUQ3;YDUQS PART;ON      NM;300833122;0,356
